Name,URL,Query,Rating,Reviews,Phone,Address,Website
Trek Bicycle Lamar,https://www.google.com/maps/place/Trek+Bicycle+Lamar/data=!4m7!3m6!1s0x8644b5197aa31f29:0xf588de29d12a5a06!8m2!3d30.259626!4d-97.75817!16s%2Fg%2F1tfctm2m!19sChIJKR-jehm1RIYRBloq0SneiPU?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.7,1006,+1 512-477-3472,"517 S Lamar Blvd, Austin, TX 78704, United States",trekbikes.com
Barton Springs Bike Rental & Tours,https://www.google.com/maps/place/Barton+Springs+Bike+Rental+%26+Tours/data=!4m7!3m6!1s0x8644b5185bbff6d1:0x2475eca5aef5e7a0!8m2!3d30.2629668!4d-97.7629227!16s%2Fg%2F1vzg2mng!19sChIJ0fa_Wxi1RIYRoOf1rqXsdSQ?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.9,652,+1 512-480-0200,"1707 Barton Springs Rd, Austin, TX 78704, United States",bartonspringsbikerental.com
Austin Bike Tours & Rentals,https://www.google.com/maps/place/Austin+Bike+Tours+%26+Rentals/data=!4m7!3m6!1s0x8644b5a668e3b8e7:0xd914cd49e7f9cf93!8m2!3d30.2586502!4d-97.7253796!16s%2Fg%2F1v9gkd59!19sChIJ57jjaKa1RIYRk8_550nNFNk?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.9,198,+1 512-277-0609,"1710 E 2nd St, Austin, TX 78702, United States",austinbiketoursandrentals.com
Bike and Brew ATX - Austin Bike Tours,https://www.google.com/maps/place/Bike+and+Brew+ATX+-+Austin+Bike+Tours/data=!4m7!3m6!1s0x8644c9ef8555d777:0xb91bcb00af9559ef!8m2!3d30.2585697!4d-97.7254686!16s%2Fg%2F11c4__6mfx!19sChIJd9dVhe_JRIYR71mVrwDLG7k?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,141,+1 832-773-4012,"1710 E 2nd St, Austin, TX 78702, United States",bikeandbrewatx.com
Mike's Bikes and Tours,https://www.google.com/maps/place/Mike%27s+Bikes+and+Tours/data=!4m7!3m6!1s0x8644b5ab471fb943:0x4383596a4619a518!8m2!3d30.3077609!4d-97.7557424!16s%2Fg%2F1q6jzmwrv!19sChIJQ7kfR6u1RIYRGKUZRmpZg0M?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,67,+1 512-919-6293,-,mikesbikesandtours.com
Austin Pedal Party,https://www.google.com/maps/place/Austin+Pedal+Party/data=!4m7!3m6!1s0x6e03c61a529c2e03:0xa6f93857fdf30aca!8m2!3d30.269597!4d-97.739795!16s%2Fg%2F11t1fmq4gz!19sChIJAy6cUhrGA24Rygrz_Vc4-aY?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,3746,+1 512-539-7861,"806 San Jacinto Blvd, Austin, TX 78701, United States",austinpedalparty.com
Trek Bicycle Lamar,https://www.google.com/maps/place/Trek+Bicycle+Lamar/data=!4m7!3m6!1s0x8644b5197aa31f29:0xf588de29d12a5a06!8m2!3d30.259626!4d-97.75817!16s%2Fg%2F1tfctm2m!19sChIJKR-jehm1RIYRBloq0SneiPU?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.7,1006,+1 512-477-3472,"517 S Lamar Blvd, Austin, TX 78704, United States",trekbikes.com
YourBikerGang.com,https://www.google.com/maps/place/YourBikerGang.com/data=!4m7!3m6!1s0x8644b5159fd0df0d:0xe0339731d159ba49!8m2!3d30.2722966!4d-97.7581381!16s%2Fg%2F11dd_mhh7m!19sChIJDd_QnxW1RIYRSbpZ0TGXM-A?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.9,332,+1 833-988-3999,"506 Walsh St, Austin, TX 78703, United States",yourbikergang.com
Mellow Johnny's,https://www.google.com/maps/place/Mellow+Johnny%27s/data=!4m7!3m6!1s0x8644b50ef2500255:0xedebd9fbf47788e9!8m2!3d30.2676056!4d-97.7550487!16s%2Fg%2F1tptq_j2!19sChIJVQJQ8g61RIYR6Yh39PvZ6-0?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.2,497,+1 512-473-0222,"115 Sandra Muraida Way Suite 102, Austin, TX 78703, United States",mellowjohnnys.com
JET,https://www.google.com/maps/place/JET/data=!4m7!3m6!1s0x8644b59dacc065fb:0x502b7f569866f998!8m2!3d30.2424094!4d-97.7526732!16s%2Fg%2F11h58_46zb!19sChIJ-2XArJ21RIYRmPlmmFZ_K1A?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,21,+1 512-825-0766,"2118 S Congress Ave Unit C, Austin, TX 78704, United States",-
MOD BIKES,https://www.google.com/maps/place/MOD+BIKES/data=!4m7!3m6!1s0x8644b526714b6fcf:0x521be33a6bfdb2d5!8m2!3d30.2143593!4d-97.762592!16s%2Fg%2F11f712q8dm!19sChIJz29LcSa1RIYR1bL9azrjG1I?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.9,449,+1 512-518-3445,"415 E St Elmo Rd Bldg 2, Austin, TX 78745, United States",mod-bikes.com
ATX Bikes,https://www.google.com/maps/place/ATX+Bikes/data=!4m7!3m6!1s0x865b4bf887c1aff5:0x17df5f5e809990d4!8m2!3d30.2005311!4d-97.8702004!16s%2Fg%2F1th28tv3!19sChIJ9a_Bh_hLW4YR1JCZgF5f3xc?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.8,176,+1 512-282-0400,"5701 W Slaughter Ln A-110, Austin, TX 78749, United States",atxbikes.com
Bike Farm,https://www.google.com/maps/place/Bike+Farm/data=!4m7!3m6!1s0x8644ca4794a99ed7:0xd2941d9b77d74bd2!8m2!3d30.3294769!4d-97.7401637!16s%2Fg%2F1tk1zfjh!19sChIJ156plEfKRIYR0kvXd5sdlNI?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.6,364,+1 512-419-1911,"5440 Burnet Rd, Austin, TX 78756, United States",austinbikefarm.com
Eastside Pedal Pushers,https://www.google.com/maps/place/Eastside+Pedal+Pushers/data=!4m7!3m6!1s0x8644b5aff90442cd:0x2cb495859c0c8f90!8m2!3d30.2610479!4d-97.6977819!16s%2Fg%2F1wn_6hdb!19sChIJzUIE-a-1RIYRkI8MnIWVtCw?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.7,172,+1 512-826-3414,"4607 Bolm Rd Suite B, Austin, TX 78702, United States",eastsidepedalpushers.org
Electric Surf Co,https://www.google.com/maps/place/Electric+Surf+Co/data=!4m7!3m6!1s0x8644b5175b5d2fbd:0x1a16df1d36d5db6d!8m2!3d30.2478516!4d-97.7748059!16s%2Fg%2F11p5rr4q__!19sChIJvS9dWxe1RIYRbdvVNh3fFho?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.8,100,+1 512-501-3688,"2300 S Lamar Blvd Suite 108, Austin, TX 78704, United States",electricsurf.com
Austin Tri-Cyclist,https://www.google.com/maps/place/Austin+Tri-Cyclist/data=!4m7!3m6!1s0x8644b51b13f3d469:0xa269b5f01f7fada1!8m2!3d30.2596875!4d-97.7545484!16s%2Fg%2F1tjrqc8s!19sChIJadTzExu1RIYRoa1_H_C1aaI?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.6,160,+1 512-494-9252,"923 Barton Springs Rd, Austin, TX 78704, United States",austintricyclist.com
Dogspeed Cycles,https://www.google.com/maps/place/Dogspeed+Cycles/data=!4m7!3m6!1s0x8644b5cc7747607d:0x6f523c96f36d9505!8m2!3d30.257723!4d-97.7271906!16s%2Fg%2F124sxwnjv!19sChIJfWBHd8y1RIYRBZVt85Y8Um8?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.9,284,+1 512-902-2486,"1619 E Cesar Chavez St, Austin, TX 78702, United States",dogspeedcycles.com
Good Vibes E-Bike Tours,https://www.google.com/maps/place/Good+Vibes+E-Bike+Tours/data=!4m7!3m6!1s0x8644b59c4dc12f79:0x94ddb5cad2fdfd08!8m2!3d30.2715877!4d-97.7574377!16s%2Fg%2F11sv980ngb!19sChIJeS_BTZy1RIYRCP390sq13ZQ?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,235,+1 512-991-2069,"1114 W 5th St Unit 102, Austin, TX 78703, United States",goodvibes.tours
Cycle Progression,https://www.google.com/maps/place/Cycle+Progression/data=!4m7!3m6!1s0x8644b4df2dd688b7:0x3e9044141bb977f5!8m2!3d30.305811!4d-97.7358394!16s%2Fg%2F1vppsxsd!19sChIJt4jWLd-0RIYR9Xe5GxREkD4?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.6,95,+1 512-447-7764,"4017 Guadalupe St, Austin, TX 78751, United States",cycleprogression.com
Orange Bike Project,https://www.google.com/maps/place/Orange+Bike+Project/data=!4m7!3m6!1s0x8644b583ae459909:0xc99a67b6a6f6a8f9!8m2!3d30.2910618!4d-97.7384919!16s%2Fg%2F11gdqj5d_t!19sChIJCZlFroO1RIYR-aj2prZnmsk?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.9,17,-,"109 W 27th St, Austin, TX 78712, United States",parking.utexas.edu
The Peddler Bicycle Shop - Hyde Park,https://www.google.com/maps/place/The+Peddler+Bicycle+Shop+-+Hyde+Park/data=!4m7!3m6!1s0x8644ca6d2d04b709:0x55c2af1756695946!8m2!3d30.3140001!4d-97.7197372!16s%2Fg%2F1td0bb1g!19sChIJCbcELW3KRIYRRllpVhevwlU?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.6,190,+1 512-220-6766,"5015 Duval St, Austin, TX 78751, United States",peddlerbike.com
ATX MetroBike Station,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b50b9abc89e3:0xe36927047e83924e!8m2!3d30.2672784!4d-97.7471537!16s%2Fg%2F11g9jm5rqq!19sChIJ44m8mgu1RIYRTpKDfgQnaeM?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,4,+1 512-954-1665,"401 W 5th St, Austin, TX 78701, United States",-
BikeTexas Tours,https://www.google.com/maps/place/BikeTexas+Tours/data=!4m7!3m6!1s0x8644b517a05fdaab:0x3a262e9e2019cd40!8m2!3d30.2609208!4d-97.6990057!16s%2Fg%2F11h58zsg22!19sChIJq9pfoBe1RIYRQM0ZIJ4uJjo?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.9,15,+1 512-476-7433,"900 Springdale Rd, Austin, TX 78702, United States",biketexas.org
ATX MetroBike Station,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b507d9b98975:0x7cc8a0e7b8e6d7e3!8m2!3d30.2640988!4d-97.7435393!16s%2Fg%2F11f00f512v!19sChIJdYm52Qe1RIYR49fmuOegyHw?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,2,+1 512-954-1665,"151 E 2nd St, Austin, TX 78701, United States",-
Trek Bicycle Research,https://www.google.com/maps/place/Trek+Bicycle+Research/data=!4m7!3m6!1s0x8644cc88906d7e39:0x3310a7dbebc57b8b!8m2!3d30.4025779!4d-97.7447683!16s%2Fg%2F1tgxtymj!19sChIJOX5tkIjMRIYRi3vF69unEDM?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.8,476,+1 512-345-7460,"10947 Research Blvd, Austin, TX 78759, United States",trekbikes.com
ATX MetroBike Station,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5aaf6f3ffc3:0x1783950456e406e5!8m2!3d30.2559638!4d-97.7399329!16s%2Fg%2F11bwfkbvf6!19sChIJw__z9qq1RIYR5QbkVgSVgxc?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,3.8,10,+1 512-954-1665,"1 Rainey St, Austin, TX 78701, United States",-
ATX MetroBike Station,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5006c530667:0xc7342fb302027c5b!8m2!3d30.2546258!4d-97.742656!16s%2Fg%2F11fx8fynpp!19sChIJZwZTbAC1RIYRW3wCArMvNMc?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,2.8,5,+1 512-954-1665,"300 E Riverside Dr, Austin, TX 78702, United States",-
Brooklyn Bike Doctor ATX,https://www.google.com/maps/place/Brooklyn+Bike+Doctor+ATX/data=!4m7!3m6!1s0x89c25960ff903d47:0xa6d2adebb403dfa8!8m2!3d30.2567688!4d-97.7122044!16s%2Fg%2F1th648rh!19sChIJRz2Q_2BZwokRqN8DtOut0qY?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.8,319,+1 512-537-9632,"2709 E 5th St. #130A, Austin, TX 78702, United States",brooklynbikedoctor.com
Riders Share,https://www.google.com/maps/place/Riders+Share/data=!4m7!3m6!1s0x604a814e1b3e6ba1:0x1df5b301b07fad72!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11sgvn6n0q!19sChIJoWs-G06BSmARcq1_sAGz9R0?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,838,+1 657-200-5470,-,riders-share.com
Electric Avenue Bikes - Austin,https://www.google.com/maps/place/Electric+Avenue+Bikes+-+Austin/data=!4m7!3m6!1s0x8644ca644ba4419d:0x7b3276de3d6d9f76!8m2!3d30.3149102!4d-97.7337803!16s%2Fg%2F1tks6q3l!19sChIJnUGkS2TKRIYRdp9tPd52Mns?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.0,93,+1 512-608-4090,"4616 Triangle Ave #403, Austin, TX 78751, United States",electricavenuebike.com
Austin Bar Bike,https://www.google.com/maps/place/Austin+Bar+Bike/data=!4m7!3m6!1s0x8644b5228aed1f2f:0xabeebdb2ac7fb16!8m2!3d30.2709512!4d-97.7566766!16s%2Fg%2F11gr7fc5sf!19sChIJLx_tiiK1RIYRFvvHKtvrvgo?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.9,192,+1 512-710-7707,"1108 Rose St, Austin, TX 78703, United States",austinbarbike.com
ATX MetroBike Station,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b50e3b724cab:0xe21a905898cddce9!8m2!3d30.2677565!4d-97.7517745!16s%2Fg%2F11bxjf3ycn!19sChIJq0xyOw61RIYR6dzNmFiQGuI?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,1,+1 512-954-1665,"652 W 3rd St, Austin, TX 78701, United States",-
ATX MetroBike Station,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b504607b972b:0xef4ec620e5d0619b!8m2!3d30.2594173!4d-97.7497108!16s%2Fg%2F11cjk2ht1k!19sChIJK5d7YAS1RIYRm2HQ5SDGTu8?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,1,+1 512-954-1665,"404 S 1st St, Austin, TX 78704, United States",-
EagleRider Motorcycle Rentals and Tours Austin,https://www.google.com/maps/place/EagleRider+Motorcycle+Rentals+and+Tours+Austin/data=!4m7!3m6!1s0x865b4d30e3638c1d:0x18e227cdccabc787!8m2!3d30.1427529!4d-97.7938673!16s%2Fg%2F11hbgs51m4!19sChIJHYxj4zBNW4YRh8erzM0n4hg?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,4.3,21,+1 512-312-7530,"10917 S I-35 Frontage Rd, Austin, TX 78747, United States",eaglerider.com
ATX MetroBike Station,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5a972492b83:0xd4d3cb3e857a021!8m2!3d30.2608192!4d-97.7380778!16s%2Fg%2F11ckz4h35f!19sChIJgytJcqm1RIYRIaBX6LM8TQ0?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,1,+1 512-954-1665,"99 Rainey St, Austin, TX 78701, United States",-
Bicycle House,https://www.google.com/maps/place/Bicycle+House/data=!4m7!3m6!1s0x8644cb84a4849347:0xc97533326970f561!8m2!3d30.3390774!4d-97.7396281!16s%2Fg%2F11smn8q8bt!19sChIJR5OEpITLRIYRYfVwaTIzdck?authuser=0&hl=en&rclk=1,Bike rentals in Austin Texas,5.0,59,+1 512-666-7046,"6318 Burnet Rd Unit B, Austin, TX 78757, United States",bicyclehouseatx.com
