Name,URL,Query,Rating,Reviews,Phone,Address,Website
E-Trek'N Electric Bike Rentals & Tours,https://www.google.com/maps/place/E-Trek%27N+Electric+Bike+Rentals+%26+Tours/data=!4m7!3m6!1s0x8856a1dfe75785cb:0x92b6ae7c70a59a4c!8m2!3d35.2242581!4d-80.8337331!16s%2Fg%2F11h5lzc4lg!19sChIJy4VX59-hVogRTJqlcHyutpI?authuser=0&hl=en&rclk=1,Bike rentals in Charlotte North Carolina,5.0,10,+1 203-538-7356,"E 7th &, N McDowell St, Charlotte, NC 28204, United States",etrekn.com
Charlotte BCycle,https://www.google.com/maps/place/Charlotte+BCycle/data=!4m7!3m6!1s0x8856a0243e62a56b:0xe816e7c8dd4401e7!8m2!3d35.2259773!4d-80.8439721!16s%2Fg%2F1hm5brz0b!19sChIJa6ViPiSgVogR5wFE3cjnFug?authuser=0&hl=en&rclk=1,Bike rentals in Charlotte North Carolina,3.8,8,+1 704-332-9585,"201 S Tryon St suite a, Charlotte, NC 28202, United States",charlotte.bcycle.com
Charlotte BCycle: Freedom Park,https://www.google.com/maps/place/Charlotte+BCycle:+Freedom+Park/data=!4m7!3m6!1s0x88569fa49249a0f5:0x2e1db147e414f93c!8m2!3d35.1903665!4d-80.8450398!16s%2Fg%2F1pxw67zcr!19sChIJ9aBJkqSfVogRPPkU5EexHS4?authuser=0&hl=en&rclk=1,Bike rentals in Charlotte North Carolina,4.8,5,+1 704-332-9585,"2399 Freedom Park Service Rd, Charlotte, NC 28203, United States",charlottejoyrides.com
Bikesource Charlotte,https://www.google.com/maps/place/Bikesource+Charlotte/data=!4m7!3m6!1s0x88569e536c20f8e3:0x42ffabdf934a65f3!8m2!3d35.1736468!4d-80.8477325!16s%2Fg%2F1tf6mxtm!19sChIJ4_ggbFOeVogR82VKk9-r_0I?authuser=0&hl=en&rclk=1,Bike rentals in Charlotte North Carolina,4.7,455,+1 704-525-8410,"4301 Park Rd, Charlotte, NC 28209, United States",bikesourcecharlotte.com
Giant University City,https://www.google.com/maps/place/Giant+University+City/data=!4m7!3m6!1s0x88541ea0e239dc5f:0x3a2e0e92c4e9e5fa!8m2!3d35.2956445!4d-80.7394853!16s%2Fg%2F1td2hm91!19sChIJX9w54qAeVIgR-uXpxJIOLjo?authuser=0&hl=en&rclk=1,Bike rentals in Charlotte North Carolina,4.8,437,+1 704-549-8804,"8528 University City Blvd, Charlotte, NC 28213, United States",giantuniversitycity.com
QueenCity Bicycles,https://www.google.com/maps/place/QueenCity+Bicycles/data=!4m7!3m6!1s0x88569f984aacacb5:0xe2764febb88d68b8!8m2!3d35.1854481!4d-80.8809945!16s%2Fg%2F1z449z7pz!19sChIJtaysSpifVogRuGiNuOtPduI?authuser=0&hl=en&rclk=1,Bike rentals in Charlotte North Carolina,4.7,41,+1 704-534-0982,"215 Southside Dr, Charlotte, NC 28217, United States",queencitybicycles.com
Bicycle Sport Uptown,https://www.google.com/maps/place/Bicycle+Sport+Uptown/data=!4m7!3m6!1s0x8856a1d079c27f15:0xf77ff421b8594560!8m2!3d35.2293513!4d-80.8651954!16s%2Fg%2F1tp8_rqp!19sChIJFX_CedChVogRYEVZuCH0f_c?authuser=0&hl=en&rclk=1,Bike rentals in Charlotte North Carolina,4.8,115,+1 704-632-7440,"1432 W Morehead St, Charlotte, NC 28208, United States",bicyclesport.com
Rent EBoards Charlotte,https://www.google.com/maps/place/Rent+EBoards+Charlotte/data=!4m7!3m6!1s0x8856a1e2f2ebf46d:0x7e290dad3b02f798!8m2!3d35.2449158!4d-80.8321557!16s%2Fg%2F11s45rqj9l!19sChIJbfTr8uKhVogRmPcCO60NKX4?authuser=0&hl=en&rclk=1,Bike rentals in Charlotte North Carolina,5.0,51,+1 704-315-5837,"1701 N Graham St #114, Charlotte, NC 28206, United States",clt.renteboards.com
Charlotte BCycle: Whole Foods,https://www.google.com/maps/place/Charlotte+BCycle:+Whole+Foods/data=!4m7!3m6!1s0x8856a14cc3ca72e1:0x808dfd99a7b84f9c!8m2!3d35.2212783!4d-80.8463058!16s%2Fg%2F11gy7z3zfg!19sChIJ4XLKw0yhVogRnE-4p5n9jYA?authuser=0&hl=en&rclk=1,Bike rentals in Charlotte North Carolina,5.0,2,+1 704-332-9585,"400 E Brooklyn Vlg Ave, Charlotte, NC 28202, United States",charlotte.bcycle.com
Charlotte Cycles - Sales & Service,https://www.google.com/maps/place/Charlotte+Cycles+-+Sales+%26+Service/data=!4m7!3m6!1s0x88569f13853869df:0x47c3281dbf72b9f8!8m2!3d35.2095573!4d-80.8354555!16s%2Fg%2F11tdxq5199!19sChIJ32k4hROfVogR-Llyvx0ow0c?authuser=0&hl=en&rclk=1,Bike rentals in Charlotte North Carolina,5.0,47,+1 704-333-4358,"601 S Kings Dr Ste CC, Charlotte, NC 28204, United States",charlottecycles.com
