Name,URL,Query,Rating,Reviews,Phone,Address,Website
EagleRider Motorcycle Rentals and Tours Chicago,https://www.google.com/maps/place/EagleRider+Motorcycle+Rentals+and+Tours+Chicago/data=!4m7!3m6!1s0x880fb5e6be1e2c01:0x3f2c0d7f76dbd229!8m2!3d42.0079498!4d-87.9334066!16s%2Fg%2F11b7ybjx0r!19sChIJASwevua1D4gRKdLbdn8NLD8?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.6,241,-,-,-
RentaBikeNow for Store #361,https://www.google.com/maps/place/RentaBikeNow+for+Store+%23361/data=!4m7!3m6!1s0x880efd14b5449e7b:0x82e32da574abc433!8m2!3d41.8872125!4d-88.3006205!16s%2Fg%2F1263wbb_s!19sChIJe55EtRT9DogRM8SrdKUt44I?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,0.0,0,-,-,-
Wicker Bicycle Rentals,https://www.google.com/maps/place/Wicker+Bicycle+Rentals/data=!4m7!3m6!1s0x880fd34ea108579b:0xe3bd872bc38c2af!8m2!3d41.903751!4d-87.6665323!16s%2Fg%2F11kjyjhnlf!19sChIJm1cIoU7TD4gRr8I4vHLYOw4?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.5,51,-,-,-
Bike and Roll Chicago - Millennium Park (34 S. Michigan Ave),https://www.google.com/maps/place/Bike+and+Roll+Chicago+-+Millennium+Park+%2834+S.+Michigan+Ave%29/data=!4m7!3m6!1s0x880e2b52643f778f:0xb8244a2282305229!8m2!3d41.8810973!4d-87.6248373!16s%2Fg%2F12vshq13x!19sChIJj3c_ZFIrDogRKVIwgiJKJLg?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.0,118,-,-,-
"3rd Coast Cycles: Mobile Bicycle Repair, Rental, Tours, and Sales","https://www.google.com/maps/place/3rd+Coast+Cycles:+Mobile+Bicycle+Repair,+Rental,+Tours,+and+Sales/data=!4m7!3m6!1s0x880e2b5a044882f7:0xc9b74ec7e04bdde4!8m2!3d41.8848702!4d-87.6132576!16s%2Fg%2F11c7sx6y0v!19sChIJ94JIBForDogR5N1L4MdOt8k?authuser=0&hl=en&rclk=1",Bike rentals in Chicago Illinois,4.8,232,-,-,-
"Bobby's Bike Hike - Chicago Bike, Walking & Food Tours","https://www.google.com/maps/place/Bobby%27s+Bike+Hike+-+Chicago+Bike,+Walking+%26+Food+Tours/data=!4m7!3m6!1s0x880e2b55e614c4bb:0x935c7988c388b788!8m2!3d41.8925616!4d-87.6150356!16s%2Fg%2F1v76_7h0!19sChIJu8QU5lUrDogRiLeIw4h5XJM?authuser=0&hl=en&rclk=1",Bike rentals in Chicago Illinois,4.9,1297,-,-,-
Bike and Roll Chicago - Navy Pier,https://www.google.com/maps/place/Bike+and+Roll+Chicago+-+Navy+Pier/data=!4m7!3m6!1s0x880e2b527353205f:0xc85660e4a8ba1c93!8m2!3d41.8910672!4d-87.6109095!16s%2Fg%2F12qgtjgrn!19sChIJXyBTc1IrDogRkxy6qORgVsg?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.7,59,-,-,-
Lakeshore Bike,https://www.google.com/maps/place/Lakeshore+Bike/data=!4m7!3m6!1s0x880fd3beaa2ae63f:0xf884e09aec6f0d3e!8m2!3d41.9506081!4d-87.6431333!16s%2Fg%2F1tsykst3!19sChIJP-Yqqr7TD4gRPg1v7JrghPg?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.1,105,-,-,-
HUB312 - McDonald's Cycle Center,https://www.google.com/maps/place/HUB312+-+McDonald%27s+Cycle+Center/data=!4m7!3m6!1s0x880e2ca7cb1f2977:0x9a26a45d0c71782f!8m2!3d41.8839461!4d-87.6210935!16s%2Fg%2F1ymtsrn71!19sChIJdykfy6csDogRL3hxDF2kJpo?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.7,84,-,-,-
3rd Coast Cycles,https://www.google.com/maps/place/3rd+Coast+Cycles/data=!4m7!3m6!1s0x880e2b60dade46a7:0xb10e2554e4ca77ee!8m2!3d41.884871!4d-87.6132652!16s%2Fg%2F11s37fy2c8!19sChIJp0be2mArDogR7nfK5FQlDrE?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.8,83,-,-,-
