Name,URL,Query,Rating,Reviews,Phone,Address,Website
Hyde Lake Wheel House,https://www.google.com/maps/place/Hyde+Lake+Wheel+House/data=!4m7!3m6!1s0x887f9cbd5b181563:0xbbe8007d4626407!8m2!3d35.1386621!4d-89.8322658!16s%2Fg%2F11g8lp4qr6!19sChIJYxUYW72cf4gRB2Ri1AeAvgs?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,5.0,6,+1 901-222-7294,"6903 Great View Dr N, Memphis, TN 38120, United States",shelbyfarmspark.org
Explore Bike Share,https://www.google.com/maps/place/Explore+Bike+Share/data=!4m7!3m6!1s0x87d57ea3a6f82f6b:0x2ec64cb1f042bebe!8m2!3d35.136873!4d-90.050426!16s%2Fg%2F11dft7zfxt!19sChIJay_4pqN-1YcRvr5C8LFMxi4?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,3.2,30,+1 901-295-0707,"287 S 4th St, Memphis, TN 38126, United States",explorebikeshare.com
#1 Party Bike River City Pedalers,https://www.google.com/maps/place/%231+Party+Bike+River+City+Pedalers/data=!4m7!3m6!1s0x87d57f16b8ba92d1:0x91ed31ed0a396a17!8m2!3d35.1286775!4d-90.0642527!16s%2Fg%2F11h6pt9j6z!19sChIJ0ZK6uBZ_1YcRF2o5Cu0x7ZE?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,5.0,56,+1 901-825-7519,"78 W Carolina Ave, Memphis, TN 38103, United States",rivercitypedalers.com
Sprock n' Roll Party Bikes Memphis,https://www.google.com/maps/place/Sprock+n%27+Roll+Party+Bikes+Memphis/data=!4m7!3m6!1s0x887f84bed81b4085:0x94d7c733dc7667ca!8m2!3d35.154999!4d-90.0583729!16s%2Fg%2F11bwwrjhzp!19sChIJhUAb2L6Ef4gRymd23DPH15Q?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,4.9,439,+1 901-500-7101,-,sprocknrollmemphis.com
Bike the Planet,https://www.google.com/maps/place/Bike+the+Planet/data=!4m7!3m6!1s0x887f9dfc038a5489:0x84d95986303fb892!8m2!3d35.203243!4d-89.7836673!16s%2Fg%2F1pp2vdl1r!19sChIJiVSKA_ydf4gRkrg_MIZZ2YQ?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,4.6,81,+1 901-937-4669,"8385 US-64 Suite 104, Memphis, TN 38133, United States",biketheplanetmemphis.com
Explore Bike Share,https://www.google.com/maps/place/Explore+Bike+Share/data=!4m7!3m6!1s0x87d57d2583226b2f:0xcc48bab4fb76ddfd!8m2!3d35.1260278!4d-90.0690446!16s%2Fg%2F11hzmylskf!19sChIJL2sigyV91YcR_d12-7S6SMw?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,3.3,6,+1 901-295-0707,"225 Virginia Ave W, Memphis, TN 38103, United States",explorebikeshare.bcycle.com
Pedego Electric Bikes Germantown-Memphis,https://www.google.com/maps/place/Pedego+Electric+Bikes+Germantown-Memphis/data=!4m7!3m6!1s0x887f99068510123b:0x1cf2f7604daab8a3!8m2!3d35.0626865!4d-89.7510986!16s%2Fg%2F11vcxlf382!19sChIJOxIQhQaZf4gRo7iqTWD38hw?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,5.0,14,+1 901-610-6494,"9330 Poplar Pike Suite 104, Germantown, TN 38138, United States",pedegoelectricbikes.com
Pedaltown Bicycle Company,https://www.google.com/maps/place/Pedaltown+Bicycle+Company/data=!4m7!3m6!1s0x887f80c261835539:0xe9b4c48dfb069dd1!8m2!3d35.1476518!4d-89.974401!16s%2Fg%2F11d_34_wpt!19sChIJOVWDYcKAf4gR0Z0G-43EtOk?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,4.9,158,+1 901-746-8466,"2549 Broad Ave, Memphis, TN 38112, United States",victorybicyclestudio.com
Revolutions Bicycle Co Op,https://www.google.com/maps/place/Revolutions+Bicycle+Co+Op/data=!4m7!3m6!1s0x887f8751d4d9198b:0xc23d0ff493a4065e!8m2!3d35.1189247!4d-89.9909013!16s%2Fg%2F11c74y8vpg!19sChIJixnZ1FGHf4gRXgakk_QPPcI?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,4.7,31,+1 901-552-5097,"1000 Cooper St, Memphis, TN 38104, United States",revolutionsmemphis.com
All About Bikes,https://www.google.com/maps/place/All+About+Bikes/data=!4m7!3m6!1s0x887f84656c1ad4ad:0xb2830d36943fa71b!8m2!3d35.1139371!4d-89.8983698!16s%2Fg%2F1hc1j8039!19sChIJrdQabGWEf4gRG6c_lDYNg7I?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,4.4,128,+1 901-767-6240,"4904 Poplar Ave, Memphis, TN 38117, United States",allaboutbikesllc.com
Trek Bicycle Germantown,https://www.google.com/maps/place/Trek+Bicycle+Germantown/data=!4m7!3m6!1s0x887f9bbaef2a79cf:0x69570db781e0b783!8m2!3d35.0919975!4d-89.8043527!16s%2Fg%2F1tg9j9pv!19sChIJz3kq77qbf4gRg7fggbcNV2k?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,4.8,337,+1 901-757-8485,"2095 Exeter Rd #40, Germantown, TN 38138, United States",trekbikes.com
Shelby Farms Greenline,https://www.google.com/maps/place/Shelby+Farms+Greenline/data=!4m7!3m6!1s0x887f833e360921af:0xc72079359ffac7db!8m2!3d35.1534077!4d-89.8468501!16s%2Fg%2F11d_1pxwfp!19sChIJryEJNj6Df4gR28f6nzV5IMc?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,4.8,162,+1 901-222-7275,"Shelby Farms Greenline, Cordova, TN 38018, United States",shelbyfarmspark.org
Explore Bike Share,https://www.google.com/maps/place/Explore+Bike+Share/data=!4m7!3m6!1s0x887f813b971c9d75:0x34624136272a52fb!8m2!3d35.1461934!4d-89.9932329!16s%2Fg%2F11hzmn_p73!19sChIJdZ0clzuBf4gR-1IqJzZBYjQ?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,0.0,0,+1 901-295-0707,"Veterans Plaza Dr &, Old Forest Ln, Memphis, TN 38104, United States",explorebikeshare.bcycle.com
Party Bike,https://www.google.com/maps/place/Party+Bike/data=!4m7!3m6!1s0x87d57e90c8310715:0x539f5b6419e921e2!8m2!3d35.1392978!4d-90.050861!16s%2Fg%2F11vhf_1rtj!19sChIJFQcxyJB-1YcR4iHpGWRbn1M?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,0.0,0,+1 901-500-7101,"315 Beale St, Memphis, TN 38103, United States",sprocknrollmemphis.com
Explore Bike Share,https://www.google.com/maps/place/Explore+Bike+Share/data=!4m7!3m6!1s0x87d5793bca432467:0xb89a176746c371ce!8m2!3d35.1353561!4d-90.0849885!16s%2Fg%2F11hzmy_7cm!19sChIJZyRDyjt51YcRznHDRmcXmrg?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,0.0,0,+1 901-295-0707,"West Memphis Delta Regional River Park, Big River Trail Blvd, Memphis, AR 38103, United States",explorebikeshare.bcycle.com
N-Cycles,https://www.google.com/maps/place/N-Cycles/data=!4m7!3m6!1s0x887f84bf42337623:0x6dad99815cba0423!8m2!3d35.1058454!4d-89.8657717!16s%2Fg%2F12608x7_t!19sChIJI3YzQr-Ef4gRIwS6XIGZrW0?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,0.0,0,+1 901-756-2705,"5860 Ridgeway Center Pkwy #110, Memphis, TN 38120, United States",-
My City Rides,https://www.google.com/maps/place/My+City+Rides/data=!4m7!3m6!1s0x87d57e15ffe55555:0x6ad32e4fa33af25a!8m2!3d35.148914!4d-89.9559336!16s%2Fg%2F11gr62k4ff!19sChIJVVXl_xV-1YcRWvI6o08u02o?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,4.6,34,+1 901-443-5160,"3155 Summer Ave, Memphis, TN 38112, United States",mycityrides.org
Explore Bike Share,https://www.google.com/maps/place/Explore+Bike+Share/data=!4m7!3m6!1s0x887f81f9cb56a82d:0x61c867c1ac98a41e!8m2!3d35.1465247!4d-89.9825279!16s%2Fg%2F11h4y65wkr!19sChIJLahWy_mBf4gRHqSYrMFnyGE?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,0.0,0,+1 901-295-0707,"US-79, Memphis, TN 38112, United States",explorebikeshare.bcycle.com
Shelby Farms Park,https://www.google.com/maps/place/Shelby+Farms+Park/data=!4m7!3m6!1s0x887f9c987f988c63:0xca99d6d67a4aaa02!8m2!3d35.1386993!4d-89.8322617!16s%2Fm%2F0268fgg!19sChIJY4yYf5icf4gRAqpKetbWmco?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,4.8,11388,+1 901-222-7275,"6903 Great View Dr N, Memphis, TN 38134, United States",shelbyfarmspark.org
Tiger Bike Share Shop,https://www.google.com/maps/place/Tiger+Bike+Share+Shop/data=!4m7!3m6!1s0x887f87000206b4f1:0xff3b3b1b2a255158!8m2!3d35.1145803!4d-89.9368129!16s%2Fg%2F11w809tt0w!19sChIJ8bQGAgCHf4gRWFElKhs7O_8?authuser=0&hl=en&rclk=1,Bike rentals in Memphis Tennessee,0.0,0,+1 901-678-4201,"616 Echles St, Memphis, TN 38111, United States",memphis.edu
