Name,URL,Query,Rating,Reviews,Phone,Address,Website
Cactus Adventures,https://www.google.com/maps/place/Cactus+Adventures/data=!4m7!3m6!1s0x872b05b9584eb691:0xf21505a3a6fcde54!8m2!3d33.3738639!4d-111.9689978!16s%2Fg%2F1tv3p47q!19sChIJkbZOWLkFK4cRVN78pqMFFfI?authuser=0&hl=en&rclk=1,Bike rentals in Phoenix Arizona,4.9,201,+1 480-688-4743,"8000 South Arizona Grand E, Phoenix, AZ 85044, United States",cactusadventures.com
REI Co-op Adventure Center Arizona,https://www.google.com/maps/place/REI+Co-op+Adventure+Center+Arizona/data=!4m7!3m6!1s0x872b75c305da2cef:0x1e8368d49db074b4!8m2!3d33.6446059!4d-111.8817115!16s%2Fg%2F1tnbllys!19sChIJ7yzaBcN1K4cRtHSwndRogx4?authuser=0&hl=en&rclk=1,Bike rentals in Phoenix Arizona,4.9,834,+1 480-945-2881,"17465 N 93rd St, Scottsdale, AZ 85255, United States",destinations.rei.com
Exhale Bikes,https://www.google.com/maps/place/Exhale+Bikes/data=!4m7!3m6!1s0x872b6edd7993df99:0xbe2182902f93f59!8m2!3d33.6408876!4d-112.1193635!16s%2Fg%2F1vgx16m6!19sChIJmd-Ted1uK4cRWT_5AikY4gs?authuser=0&hl=en&rclk=1,Bike rentals in Phoenix Arizona,4.5,297,+1 602-548-0567,"2814 W Bell Rd Ste 1475, Phoenix, AZ 85053, United States",exhale-bikes.com
Bike Barn,https://www.google.com/maps/place/Bike+Barn/data=!4m7!3m6!1s0x872b0dabc0bc78f9:0x762f0d9b04a3d7f3!8m2!3d33.495743!4d-112.004511!16s%2Fg%2F1tls397r!19sChIJ-Xi8wKsNK4cR89ejBJsNL3Y?authuser=0&hl=en&rclk=1,Bike rentals in Phoenix Arizona,4.7,412,+1 602-956-3870,"4112 N 36th St, Phoenix, AZ 85018, United States",bikebarnaz.com
Emigos Bike Shop,https://www.google.com/maps/place/Emigos+Bike+Shop/data=!4m7!3m6!1s0x872ba56676c67bfd:0x49489ff02b8554e6!8m2!3d33.3374683!4d-111.994494!16s%2Fg%2F11j2k17td2!19sChIJ_XvGdmalK4cR5lSFK_CfSEk?authuser=0&hl=en&rclk=1,Bike rentals in Phoenix Arizona,5.0,154,+1 480-935-6750,"12020 S Warner Elliot Loop Suite #105, Phoenix, AZ 85044, United States",emigosbikeshop.com
Bike Emporium,https://www.google.com/maps/place/Bike+Emporium/data=!4m7!3m6!1s0x872b0afeaea270bb:0xc093ddad4c436544!8m2!3d33.5227396!4d-111.8984419!16s%2Fg%2F1tglzfyh!19sChIJu3Cirv4KK4cRRGVDTK3dk8A?authuser=0&hl=en&rclk=1,Bike rentals in Phoenix Arizona,4.9,403,+1 480-991-5430,"8443 E McDonald Dr, Scottsdale, AZ 85250, United States",bikeemporium.com
Phoenix Canal Bike Rentals,https://www.google.com/maps/place/Phoenix+Canal+Bike+Rentals/data=!4m7!3m6!1s0x872b756e80cd61b9:0x44bee5da53f89996!8m2!3d33.6751055!4d-111.9254471!16s%2Fg%2F11p5x5dc14!19sChIJuWHNgG51K4cRlpn4U9rlvkQ?authuser=0&hl=en&rclk=1,Bike rentals in Phoenix Arizona,4.0,12,+1 602-562-6173,"17020 N Scottsdale Rd, Scottsdale, AZ 85255, United States",bikeaz.org
Global Bikes & E-Bikes,https://www.google.com/maps/place/Global+Bikes+%26+E-Bikes/data=!4m7!3m6!1s0x872b04f76aa0af41:0xf9b79e4162699e99!8m2!3d33.3169723!4d-112.004275!16s%2Fg%2F12hywf2_9!19sChIJQa-gavcEK4cRmZ5pYkGet_k?authuser=0&hl=en&rclk=1,Bike rentals in Phoenix Arizona,4.8,547,+1 480-706-0858,"3636 E Ray Rd #6, Phoenix, AZ 85044, United States",globalbikes.info
Smitty's E-Bikes Rentals and Sales,https://www.google.com/maps/place/Smitty%27s+E-Bikes+Rentals+and+Sales/data=!4m7!3m6!1s0x807f646f8d2a305:0xe2443f1c4b850d2e!8m2!3d33.554743!4d-112.1839474!16s%2Fg%2F11s8sx58fs!19sChIJBaPS-Eb2BwgRLg2FSxw_ROI?authuser=0&hl=en&rclk=1,Bike rentals in Phoenix Arizona,4.9,34,+1 623-680-6415,-,smittysebikes.com
Scottsdale Old School Bicycle Rentals,https://www.google.com/maps/place/Scottsdale+Old+School+Bicycle+Rentals/data=!4m7!3m6!1s0x2c0006958893ff11:0x417bdc8092f777d1!8m2!3d33.674211!4d-111.858454!16s%2Fg%2F11tn814mn8!19sChIJEf-TiJUGACwR0Xf3koDce0E?authuser=0&hl=en&rclk=1,Bike rentals in Phoenix Arizona,5.0,15,+1 480-578-2532,-,osbicyclerentals.com
