Name,URL,Query,Rating,Reviews,Phone,Address,Website
Morrison Motor Car Museum,https://www.google.com/maps/place/Morrison+Motor+Car+Museum/data=!4m7!3m6!1s0x88541ade2e7228e3:0xe9178b92497a29a8!8m2!3d35.3590299!4d-80.6738745!16s%2Fg%2F1xgrnm_3!19sChIJ4yhyLt4aVIgRqCl6SZKLF-k?authuser=0&hl=en&rclk=1,Car Dealerships in Charlotte North Carolina,4.5,100,+1 704-788-9500,"4545 Concord Pkwy S, Concord, NC 28027, United States",morrisonmotorcarmuseum.com
Capital Ford of Charlotte,https://www.google.com/maps/place/Capital+Ford+of+Charlotte/data=!4m7!3m6!1s0x88541e52751b6c19:0x5c8dc102aa8e40a3!8m2!3d35.2609798!4d-80.7764321!16s%2Fg%2F1td0tlpp!19sChIJGWwbdVIeVIgRo0COqgLBjVw?authuser=0&hl=en&rclk=1,Car Dealerships in Charlotte North Carolina,4.7,6261,+1 704-598-2599,"5411 N Tryon St, Charlotte, NC 28213, United States",capitalfordcharlotte.com
EchoPark Automotive Charlotte,https://www.google.com/maps/place/EchoPark+Automotive+Charlotte/data=!4m7!3m6!1s0x885421806145c5a5:0xed9618a5a1901791!8m2!3d35.2003174!4d-80.7811905!16s%2Fg%2F11gnrft6w8!19sChIJpcVFYYAhVIgRkReQoaUYlu0?authuser=0&hl=en&rclk=1,Car Dealerships in Charlotte North Carolina,4.7,5907,+1 704-774-4762,"3648 E Independence Blvd, Charlotte, NC 28205, United States",echopark.com
Parks Chevrolet Charlotte,https://www.google.com/maps/place/Parks+Chevrolet+Charlotte/data=!4m7!3m6!1s0x88541e5fa4e704bf:0xca4269fd417745ae!8m2!3d35.2895738!4d-80.7639126!16s%2Fg%2F1thghr52!19sChIJvwTnpF8eVIgRrkV3Qf1pQso?authuser=0&hl=en&rclk=1,Car Dealerships in Charlotte North Carolina,4.6,4426,+1 704-317-6416,"8530 Ikea Blvd, Charlotte, NC 28262, United States",parkscharlotte.com
Rick Hendrick City Chevrolet,https://www.google.com/maps/place/Rick+Hendrick+City+Chevrolet/data=!4m7!3m6!1s0x885421b5fc75c84d:0xb96293a09beb70d6!8m2!3d35.1900046!4d-80.7610935!16s%2Fg%2F1tl9n8fg!19sChIJTch1_LUhVIgR1nDrm6CTYrk?authuser=0&hl=en&rclk=1,Car Dealerships in Charlotte North Carolina,4.6,5716,+1 980-242-5621,"5101 E Independence Blvd, Charlotte, NC 28212, United States",citychevrolet.com
"Victory Chevrolet, LLC","https://www.google.com/maps/place/Victory+Chevrolet,+LLC/data=!4m7!3m6!1s0x8856a33d2570a24b:0xebcc6dcf28436f6e!8m2!3d35.2829312!4d-80.967334!16s%2Fg%2F1tdwfn0_!19sChIJS6JwJT2jVogRbm9DKM9tzOs?authuser=0&hl=en&rclk=1",Car Dealerships in Charlotte North Carolina,4.5,4398,+1 704-837-0410,"717 Rhyne Rd, Charlotte, NC 28214, United States",victorychevycharlotte.com
AutoNation USA Charlotte,https://www.google.com/maps/place/AutoNation+USA+Charlotte/data=!4m7!3m6!1s0x8854218ef8a80da1:0x639951f1fadc8548!8m2!3d35.1916832!4d-80.7641172!16s%2Fg%2F11rkjbx9d_!19sChIJoQ2o-I4hVIgRSIXc-vFRmWM?authuser=0&hl=en&rclk=1,Car Dealerships in Charlotte North Carolina,4.7,1387,+1 980-800-9099,"4800 E Independence Blvd, Charlotte, NC 28212, United States",autonationusa.com
Toyota of North Charlotte,https://www.google.com/maps/place/Toyota+of+North+Charlotte/data=!4m7!3m6!1s0x8856a87d99dc705d:0x1d788fc4cf3fe6b9!8m2!3d35.4013173!4d-80.8532497!16s%2Fg%2F1th24j5j!19sChIJXXDcmX2oVogRueY_z8SPeB0?authuser=0&hl=en&rclk=1,Car Dealerships in Charlotte North Carolina,4.7,8387,+1 704-875-9199,"13429 Statesville Rd, Huntersville, NC 28078, United States",toyotaofnorthcharlotte.com
Hendrick Automotive Group,https://www.google.com/maps/place/Hendrick+Automotive+Group/data=!4m7!3m6!1s0x885421b3778c9555:0x405abdd26ca7dc23!8m2!3d35.184747!4d-80.7630637!16s%2Fg%2F1td778nb!19sChIJVZWMd7MhVIgRI9ynbNK9WkA?authuser=0&hl=en&rclk=1,Car Dealerships in Charlotte North Carolina,4.8,6807,+1 704-568-5550,"6000 Monroe Rd, Charlotte, NC 28212, United States",hendrickcars.com
Hendrick Honda,https://www.google.com/maps/place/Hendrick+Honda/data=!4m7!3m6!1s0x88569c13993c2931:0x4670ed0c2936b2fc!8m2!3d35.1164335!4d-80.882321!16s%2Fg%2F1tdb4_ch!19sChIJMSk8mROcVogR_LI2KQztcEY?authuser=0&hl=en&rclk=1,Car Dealerships in Charlotte North Carolina,4.8,10497,+1 704-412-2393,"8901 South Blvd, Charlotte, NC 28273, United States",hendrickhonda.com
