Name,URL,Query,Rating,Reviews,Phone,Address,Website
DriveTime Used Cars,https://www.google.com/maps/place/DriveTime+Used+Cars/data=!4m7!3m6!1s0x88388af72c868cf5:0x5c2c1dafd3174d65!8m2!3d40.0577445!4d-82.9369724!16s%2Fg%2F12hk4y9gh!19sChIJ9YyGLPeKOIgRZU0X068dLFw?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.8,2610,+1 614-934-2090,"3101 Morse Rd, Columbus, OH 43231, United States",drivetime.com
Columbus Luxury Cars,https://www.google.com/maps/place/Columbus+Luxury+Cars/data=!4m7!3m6!1s0x88388c83817fc101:0x99bd5f74db54aad3!8m2!3d40.064107!4d-82.9982284!16s%2Fg%2F1td7778w!19sChIJAcF_gYOMOIgR06pU23RfvZk?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.2,758,+1 614-230-9999,"4880 Sinclair Rd, Columbus, OH 43229, United States",columbusluxurycars.com
DriveTime Used Cars,https://www.google.com/maps/place/DriveTime+Used+Cars/data=!4m7!3m6!1s0x8838906e8e59757d:0x2181fc13cd2e1ae!8m2!3d39.9538151!4d-83.1070788!16s%2Fg%2F1ptydl5md!19sChIJfXVZjm6QOIgRruHSPMEfGAI?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.9,1865,+1 614-456-0004,"4000 W Broad St, Columbus, OH 43228, United States",drivetime.com
Auto Palace,https://www.google.com/maps/place/Auto+Palace/data=!4m7!3m6!1s0x883899d465025327:0x9760f7452464d6a9!8m2!3d39.9519318!4d-83.1250182!16s%2Fg%2F1263m7kvw!19sChIJJ1MCZdSZOIgRqdZkJEX3YJc?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.7,1815,+1 614-851-6000,"4621 W Broad St, Columbus, OH 43228, United States",autopalacecolumbus.com
Mark Wahlberg Chevrolet of Columbus,https://www.google.com/maps/place/Mark+Wahlberg+Chevrolet+of+Columbus/data=!4m7!3m6!1s0x8838906c34288915:0x261774fd6272cfd2!8m2!3d39.9549516!4d-83.1053745!16s%2Fg%2F1tf8tr__!19sChIJFYkoNGyQOIgR0s9yYv10FyY?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.5,6036,+1 614-569-5497,"3900 W Broad St, Columbus, OH 43228, United States",markwahlbergchevycolumbus.com
Byers Chrysler Jeep Dodge Ram,https://www.google.com/maps/place/Byers+Chrysler+Jeep+Dodge+Ram/data=!4m7!3m6!1s0x883888cd9c85d145:0xeb7c5a9b874fcb75!8m2!3d39.9659309!4d-82.8765915!16s%2Fg%2F1tcyy2fd!19sChIJRdGFnM2IOIgRdctPh5tafOs?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.5,2027,+1 614-681-8375,"465 S Hamilton Rd, Columbus, OH 43213, United States",byersjeep.com
Columbus Auto Mall,https://www.google.com/maps/place/Columbus+Auto+Mall/data=!4m7!3m6!1s0x88388506f2688aa5:0x27f8aef1bdf65320!8m2!3d39.9023028!4d-82.9947371!16s%2Fg%2F11ghnq0twq!19sChIJpYpo8gaFOIgRIFP2vfGu-Cc?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.8,121,+1 614-662-8700,"2900 S High St, Columbus, OH 43207, United States",columbusautomall.com
Performance Chrysler Jeep Dodge Ram Georgesville,https://www.google.com/maps/place/Performance+Chrysler+Jeep+Dodge+Ram+Georgesville/data=!4m7!3m6!1s0x88389a611569f5a9:0x19abb07c00020632!8m2!3d39.9294532!4d-83.125553!16s%2Fg%2F1td6sx72!19sChIJqfVpFWGaOIgRMgYCAHywqxk?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.4,2877,+1 614-272-0000,"1130 Auto Mall Dr, Columbus, OH 43228, United States",columbuscjd.com
Bob Caldwell Chrysler Dodge Jeep RAM,https://www.google.com/maps/place/Bob+Caldwell+Chrysler+Dodge+Jeep+RAM/data=!4m7!3m6!1s0x88388b0c5cd10efd:0x6372306544394292!8m2!3d40.0612708!4d-82.9685539!16s%2Fg%2F1tfg3rq0!19sChIJ_Q7RXAyLOIgRkkI5RGUwcmM?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.6,5840,+1 614-888-2331,"1888 Morse Rd, Columbus, OH 43229, United States",caldwellchrysler.com
CarMax,https://www.google.com/maps/place/CarMax/data=!4m7!3m6!1s0x88388a8f676804c7:0x90b5b5ab967599fb!8m2!3d40.0590795!4d-82.9200991!16s%2Fg%2F1wz53cf_!19sChIJxwRoZ4-KOIgR-5l1lqu1tZA?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.2,1426,+1 614-342-4545,"3800 Morse Rd, Columbus, OH 43219, United States",carmax.com
AutoMart of Ohio,https://www.google.com/maps/place/AutoMart+of+Ohio/data=!4m7!3m6!1s0x88388866f67c0001:0xc83bf4f6be1d3686!8m2!3d39.9475861!4d-82.9422444!16s%2Fg%2F11fy4d_f91!19sChIJAQB89maIOIgRhjYdvvb0O8g?authuser=0&hl=en&rclk=1,Car Dealerships in Columbus Ohio,4.5,260,+1 614-699-2444,"2063 E Livingston Ave, Columbus, OH 43209, United States",automartofohio.com
