Name,URL,Query,Rating,Reviews,Phone,Address,Website
Serra Ford Farmington Hills,https://www.google.com/maps/place/Serra+Ford+Farmington+Hills/data=!4m7!3m6!1s0x8824af3f0b1a311d:0x5d69aca1819e4280!8m2!3d42.4694437!4d-83.4343334!16s%2Fg%2F11fy295d4d!19sChIJHTEaCz-vJIgRgEKegaGsaV0?authuser=0&hl=en&rclk=1,Car Dealerships in Detroit Michigan,4.7,1771,+1 248-474-1234,"39300 W 10 Mile Rd, Farmington Hills, MI 48335, United States",serrafordfarmingtonhills.com
"James-Martin Chevrolet, INC.","https://www.google.com/maps/place/James-Martin+Chevrolet,+INC./data=!4m7!3m6!1s0x8824d29a36a93b6d:0x21aa39438bcb4dcf!8m2!3d42.3674035!4d-83.0702906!16s%2Fg%2F11xbqy8rw!19sChIJbTupNprSJIgRz03Li0M5qiE?authuser=0&hl=en&rclk=1",Car Dealerships in Detroit Michigan,4.3,1242,+1 313-444-8226,"6250 Woodward Ave, Detroit, MI 48202, United States",jamesmartindetroit.com
Best Of Michigan Auto Sales,https://www.google.com/maps/place/Best+Of+Michigan+Auto+Sales/data=!4m7!3m6!1s0x8824d6549c721f2f:0xef07a387cc9c835c!8m2!3d42.4500066!4d-82.9451346!16s%2Fg%2F12qhh5wps!19sChIJLx9ynFTWJIgRXIOczIejB-8?authuser=0&hl=en&rclk=1,Car Dealerships in Detroit Michigan,4.8,1370,+1 313-499-8335,"16850 8 Mile Rd, Detroit, MI 48205, United States",bestofmichiganautosales.com
Empire Auto Sales,https://www.google.com/maps/place/Empire+Auto+Sales/data=!4m7!3m6!1s0x8824d1dbd3d3b9e9:0x684f88f2913c6022!8m2!3d42.4468686!4d-83.0731681!16s%2Fg%2F11c0xn4ncx!19sChIJ6bnT09vRJIgRImA8kfKIT2g?authuser=0&hl=en&rclk=1,Car Dealerships in Detroit Michigan,4.7,640,+1 313-349-0000,"2940 8 Mile Rd, Detroit, MI 48234, United States",empireautosales.com
Frankie's Auto Sales,https://www.google.com/maps/place/Frankie%27s+Auto+Sales/data=!4m7!3m6!1s0x8824ca72be00f9c3:0x280d66304fc9293d!8m2!3d42.4096155!4d-83.2412202!16s%2Fg%2F1260q5c12!19sChIJw_kAvnLKJIgRPSnJTzBmDSg?authuser=0&hl=en&rclk=1,Car Dealerships in Detroit Michigan,4.5,188,+1 313-533-5474,"20301 Grand River Ave, Detroit, MI 48219, United States",homeofthefreelayaway.com
Twins Auto Sales,https://www.google.com/maps/place/Twins+Auto+Sales/data=!4m7!3m6!1s0x8824b5da4ccc4a3b:0xae0677ee5a3c8cd5!8m2!3d42.4260597!4d-83.2800446!16s%2Fg%2F11b6ty3_zy!19sChIJO0rMTNq1JIgR1Yw8Wu53Bq4?authuser=0&hl=en&rclk=1,Car Dealerships in Detroit Michigan,4.4,1500,+1 313-533-9555,"24310 Grand River Ave, Detroit, MI 48219, United States",twinsautosales.com
Car Source,https://www.google.com/maps/place/Car+Source/data=!4m7!3m6!1s0x8824ce6d683726fd:0x3a4c1cd410a631e3!8m2!3d42.4328653!4d-83.1018298!16s%2Fg%2F1hm61ncbz!19sChIJ_SY3aG3OJIgR4zGmENQcTDo?authuser=0&hl=en&rclk=1,Car Dealerships in Detroit Michigan,4.8,2340,+1 313-893-1515,"19100 John R St, Detroit, MI 48203, United States",carsourcedetroit.com
F & M Auto Sales,https://www.google.com/maps/place/F+%26+M+Auto+Sales/data=!4m7!3m6!1s0x8824d6d38f596129:0x1c3d89c7c775cde3!8m2!3d42.4489516!4d-82.9915233!16s%2Fg%2F1xg5t923!19sChIJKWFZj9PWJIgR4811x8eJPRw?authuser=0&hl=en&rclk=1,Car Dealerships in Detroit Michigan,4.6,629,+1 313-423-6191,"13000 M-102, Detroit, MI 48205, United States",fmauto1.com
3 Brothers Auto Sale Inc,https://www.google.com/maps/place/3+Brothers+Auto+Sale+Inc/data=!4m7!3m6!1s0x8824d1248ac98003:0xecaf56273fc90aa9!8m2!3d42.4473996!4d-83.0509674!16s%2Fg%2F11c3hw73hw!19sChIJA4DJiiTRJIgRqQrJPydWr-w?authuser=0&hl=en&rclk=1,Car Dealerships in Detroit Michigan,4.2,357,+1 313-400-5111,"5250 8 Mile Rd, Detroit, MI 48234, United States",3brothersautosales.com
Sky Auto Sales,https://www.google.com/maps/place/Sky+Auto+Sales/data=!4m7!3m6!1s0x8824cab661b2a93b:0x5cfefcb5cf9866a3!8m2!3d42.3573296!4d-83.2317945!16s%2Fg%2F1td7zq54!19sChIJO6myYbbKJIgRo2aYz7X8_lw?authuser=0&hl=en&rclk=1,Car Dealerships in Detroit Michigan,4.8,281,+1 313-306-9283,"19439 Joy Rd, Detroit, MI 48228, United States",skyautosales.net
