Name,URL,Query,Rating,Reviews,Phone,Address,Website
Indy Auto Man Used Cars,https://www.google.com/maps/place/Indy+Auto+Man+Used+Cars/data=!4m7!3m6!1s0x8814add034dff88b:0xb98d5fbab607ee71!8m2!3d39.7059363!4d-86.1480003!16s%2Fg%2F1vxzb6tj!19sChIJi_jfNNCtFIgRce4Htrpfjbk?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.9,5304,+1 317-300-5002,"4031 S East St, Indianapolis, IN 46227, United States",indyautoman.com
DriveTime Used Cars,https://www.google.com/maps/place/DriveTime+Used+Cars/data=!4m7!3m6!1s0x886b4f04615ad1d7:0x3b9882e225f39e85!8m2!3d39.7844559!4d-86.0459551!16s%2Fg%2F1tjt2p8_!19sChIJ19FaYQRPa4gRhZ7zJeKCmDs?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.9,2535,+1 317-554-0355,"1202 Shadeland Ave, Indianapolis, IN 46219, United States",drivetime.com
Ray Skillman Westside Auto Mall,https://www.google.com/maps/place/Ray+Skillman+Westside+Auto+Mall/data=!4m7!3m6!1s0x886b5605f9c868ef:0x6b9bdd14b967831e!8m2!3d39.8324714!4d-86.2466332!16s%2Fg%2F1tc_rrpq!19sChIJ72jI-QVWa4gRHoNnuRTdm2s?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.8,1963,+1 317-293-8060,"5051 W Pike Plaza Rd, Indianapolis, IN 46254, United States",rayskillmanautomall.com
Enterprise Car Sales,https://www.google.com/maps/place/Enterprise+Car+Sales/data=!4m7!3m6!1s0x886b4c1f0b7c34ed:0xab904e3853440ba1!8m2!3d39.791085!4d-86.0464028!16s%2Fg%2F1tj5lxcw!19sChIJ7TR8Cx9Ma4gRoQtEUzhOkKs?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.8,1498,+1 317-377-5615,"1704 Shadeland Ave, Indianapolis, IN 46219, United States",enterprisecarsales.com
CarMax,https://www.google.com/maps/place/CarMax/data=!4m7!3m6!1s0x8814b2a69f5d454b:0xe6bbedb2cb2b73da!8m2!3d39.9288111!4d-86.0906845!16s%2Fg%2F1tf_1pbk!19sChIJS0Vdn6ayFIgR2nMry7Ltu-Y?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.3,2116,+1 317-574-9336,"9750 Gray Rd, Indianapolis, IN 46280, United States",carmax.com
Midwest Motors,https://www.google.com/maps/place/Midwest+Motors/data=!4m7!3m6!1s0x886ca8f54c53a3cd:0xb32b9261b71da128!8m2!3d39.7786058!4d-86.2982343!16s%2Fg%2F11b7_0hvkm!19sChIJzaNTTPWobIgRKKEdt2GSK7M?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.6,607,+1 317-295-2525,"7715 W 10th St, Indianapolis, IN 46214, United States",midwmotors.com
Eastgate Chrysler Jeep Dodge Ram,https://www.google.com/maps/place/Eastgate+Chrysler+Jeep+Dodge+Ram/data=!4m7!3m6!1s0x886b4f0ec60b91bb:0x2672d315550002ff!8m2!3d39.7768772!4d-86.0463264!16s%2Fg%2F1tdml6sr!19sChIJu5ELxg5Pa4gR_wIAVRXTciY?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.1,971,+1 317-352-9361,"500 Shadeland Ave, Indianapolis, IN 46219, United States",eastgateauto.com
Blossom Chevrolet,https://www.google.com/maps/place/Blossom+Chevrolet/data=!4m7!3m6!1s0x886b4efdd04124fb:0x8ac722b0028776ed!8m2!3d39.7928769!4d-86.0470651!16s%2Fg%2F1w3w3sd2!19sChIJ-yRB0P1Oa4gR7XaHArAix4o?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.1,1970,+1 317-759-7603,"1850 Shadeland Ave, Indianapolis, IN 46219, United States",blossomchevrolet.com
Joe's Auto Sales,https://www.google.com/maps/place/Joe%27s+Auto+Sales/data=!4m7!3m6!1s0x886b57828bcc1387:0x2b639f22142ed80a!8m2!3d39.7644281!4d-86.2138305!16s%2Fg%2F1tmqs33r!19sChIJhxPMi4JXa4gRCtguFCKfYys?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.6,1111,+1 317-243-2269,"3250 W Washington St, Indianapolis, IN 46222, United States",joesautosales.com
DriveTime Used Cars,https://www.google.com/maps/place/DriveTime+Used+Cars/data=!4m7!3m6!1s0x886b566c6517d581:0x54355b170a867212!8m2!3d39.8231573!4d-86.2332386!16s%2Fg%2F1tfb79fm!19sChIJgdUXZWxWa4gREnKGChdbNVQ?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.9,2411,+1 317-613-1280,"3717 Lafayette Rd, Indianapolis, IN 46222, United States",drivetime.com
Ray Skillman Southside Auto Center,https://www.google.com/maps/place/Ray+Skillman+Southside+Auto+Center/data=!4m7!3m6!1s0x886b5cf66f5c358d:0x5d04683e5d7fc632!8m2!3d39.6436955!4d-86.1344793!16s%2Fg%2F12hls7g75!19sChIJjTVcb_Zca4gRMsZ_XT5oBF0?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.2,1092,+1 317-888-9500,"8424 US 31 S, Indianapolis, IN 46227, United States",rayskillmanautocenter.com
Oak Motors,https://www.google.com/maps/place/Oak+Motors/data=!4m7!3m6!1s0x886b5239f00d3a91:0x8bbb9c47bdfc2019!8m2!3d39.7087349!4d-86.1481209!16s%2Fg%2F1vwlpwc2!19sChIJkToN8DlSa4gRGSD8vUecu4s?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.5,1874,+1 317-452-8888,"3931 S East St, Indianapolis, IN 46227, United States",oakmotors.com
SELECTIVE MOTORS | Used Car Dealership,https://www.google.com/maps/place/SELECTIVE+MOTORS+%7C+Used+Car+Dealership/data=!4m7!3m6!1s0x886b5227198e15c7:0xa3f76350634072fa!8m2!3d39.8358991!4d-86.1209197!16s%2Fg%2F11dxdhqk70!19sChIJxxWOGSdSa4gR-nJAY1Bj96M?authuser=0&hl=en&rclk=1,Car Dealerships in Indianapolis Indiana,4.7,510,+1 317-744-8551,"4325 Old Allisonville Rd, Indianapolis, IN 46205, United States",selective-motors.com
"Hubler Chevrolet, INC.","https://www.google.com/maps/place/Hubler+Chevrolet,+INC./data=!4m7!3m6!1s0x886b5c5e935601b9:0xd23ae5d7b3d6f580!8m2!3d39.6457668!4d-86.1360338!16s%2Fg%2F1tjz8ptq!19sChIJuQFWk15ca4gRgPXWs9flOtI?authuser=0&hl=en&rclk=1",Car Dealerships in Indianapolis Indiana,4.4,2570,+1 317-882-4389,"8220 US 31 S, Indianapolis, IN 46227, United States",hublerchevyauto.com
