Name,URL,Query,Rating,Reviews,Phone,Address,Website
Key Genesis,https://www.google.com/maps/place/Key+Genesis/data=!4m7!3m6!1s0x88e5b57ee91c9335:0x330136704336c7e5!8m2!3d30.2588268!4d-81.5570512!16s%2Fg%2F11dz1mmnwv!19sChIJNZMc6X615YgR5cc2Q3A2ATM?authuser=0&hl=en&rclk=1,Car Dealerships in Jacksonville Florida,4.5,221,+1 904-642-6060,"4660-200 Southside Blvd, Jacksonville, FL 32216, United States",keygenesis.com
Auto Boutique,https://www.google.com/maps/place/Auto+Boutique/data=!4m7!3m6!1s0x88e5b45fe01e245d:0xc30011f7a63f59bd!8m2!3d30.2860017!4d-81.5619549!16s%2Fg%2F11g68ydk4s!19sChIJXSQe4F-05YgRvVk_pvcRAMM?authuser=0&hl=en&rclk=1,Car Dealerships in Jacksonville Florida,4.7,10262,+1 904-677-3333,"9012 Beach Blvd, Jacksonville, FL 32216, United States",autoboutiqueflorida.com
Autoline Preowned,https://www.google.com/maps/place/Autoline+Preowned/data=!4m7!3m6!1s0x88e44eb17e22cc99:0xd98afd59f7458f4c!8m2!3d30.3434019!4d-81.414036!16s%2Fg%2F1tdlw2cj!19sChIJmcwifrFO5IgRTI9F91n9itk?authuser=0&hl=en&rclk=1,Car Dealerships in Jacksonville Florida,5.0,6742,+1 904-242-8000,"2126 Mayport Rd, Jacksonville, FL 32233, United States",autolinepreowned.com
Autobasics at the Avenues,https://www.google.com/maps/place/Autobasics+at+the+Avenues/data=!4m7!3m6!1s0x88e5cca6bb94a3ed:0xf42fd0b6f43f3823!8m2!3d30.1545101!4d-81.5292698!16s%2Fg%2F11clwnh4bj!19sChIJ7aOUu6bM5YgRIzg_9LbQL_Q?authuser=0&hl=en&rclk=1,Car Dealerships in Jacksonville Florida,4.9,2325,+1 904-551-3949,"11824 Philips Hwy, Jacksonville, FL 32256, United States",autobasicsusa.com
Nimnicht Chevrolet,https://www.google.com/maps/place/Nimnicht+Chevrolet/data=!4m7!3m6!1s0x88e5b6d155555555:0x28ae6fe0ac323661!8m2!3d30.2906597!4d-81.7310946!16s%2Fg%2F1tlw9x6v!19sChIJVVVVVdG25YgRYTYyrOBvrig?authuser=0&hl=en&rclk=1,Car Dealerships in Jacksonville Florida,4.4,7112,+1 904-474-9829,"1550 Cassat Ave, Jacksonville, FL 32210, United States",nimnichtchevy.com
Arlington Toyota,https://www.google.com/maps/place/Arlington+Toyota/data=!4m7!3m6!1s0x88e5b4b4f1ecfcad:0xa473048e13afc137!8m2!3d30.3258223!4d-81.5171683!16s%2Fg%2F1tkf1t1q!19sChIJrfzs8bS05YgRN8GvE44Ec6Q?authuser=0&hl=en&rclk=1,Car Dealerships in Jacksonville Florida,4.7,21167,+1 904-302-9611,"10939 Atlantic Blvd, Jacksonville, FL 32225, United States",arlingtontoyota.com
DriveTime Used Cars,https://www.google.com/maps/place/DriveTime+Used+Cars/data=!4m7!3m6!1s0x88e5b861363283c5:0xd9f306dce6e9c2ad!8m2!3d30.2870961!4d-81.7307539!16s%2Fg%2F1th4b6bj!19sChIJxYMyNmG45YgRrcLp5twG89k?authuser=0&hl=en&rclk=1,Car Dealerships in Jacksonville Florida,4.9,2838,+1 904-380-0262,"1736 Cassat Ave, Jacksonville, FL 32210, United States",drivetime.com
CarMax,https://www.google.com/maps/place/CarMax/data=!4m7!3m6!1s0x88e44b48f0c7b719:0x3cb2e3de71277c4!8m2!3d30.3253463!4d-81.5058462!16s%2Fg%2F1vb9dwlx!19sChIJGbfH8EhL5IgRxHcS5z0uywM?authuser=0&hl=en&rclk=1,Car Dealerships in Jacksonville Florida,4.3,1944,+1 904-620-0585,"11335 Atlantic Blvd, Jacksonville, FL 32225, United States",carmax.com
Coggin Chevrolet in Jacksonville,https://www.google.com/maps/place/Coggin+Chevrolet+in+Jacksonville/data=!4m7!3m6!1s0x88e5cb65a879c465:0x2bed5f257878d490!8m2!3d30.1728223!4d-81.5469586!16s%2Fg%2F1tls3ng9!19sChIJZcR5qGXL5YgRkNR4eCVf7Ss?authuser=0&hl=en&rclk=1,Car Dealerships in Jacksonville Florida,4.4,3480,+1 904-574-5317,"10880 Philips Hwy, Jacksonville, FL 32256, United States",cogginchevrolet.com
Merit Auto Group,https://www.google.com/maps/place/Merit+Auto+Group/data=!4m7!3m6!1s0x88e5b53fc3070bdf:0x80dea25b3b72720a!8m2!3d30.3135381!4d-81.5677405!16s%2Fg%2F11fvgyzz_z!19sChIJ3wsHwz-15YgRCnJyO1ui3oA?authuser=0&hl=en&rclk=1,Car Dealerships in Jacksonville Florida,4.8,1763,+1 904-594-1182,"8500 Atlantic Blvd, Jacksonville, FL 32211, United States",meritautos.com
