Name,URL,Query,Rating,Reviews,Phone,Address,Website
City Auto - Memphis,https://www.google.com/maps/place/City+Auto+-+Memphis/data=!4m7!3m6!1s0x887f8244119181dd:0xa18a2b443009bda1!8m2!3d35.1856635!4d-89.9002262!16s%2Fg%2F1tp08ww7!19sChIJ3YGREUSCf4gRob0JMEQriqE?authuser=0&hl=en&rclk=1,Car Dealerships in Memphis Tennessee,4.5,2970,+1 901-563-4413,"4932 Elmore Rd, Memphis, TN 38128, United States",cityauto.com
Auto Universe,https://www.google.com/maps/place/Auto+Universe/data=!4m7!3m6!1s0x887f825d770c487d:0x2f44a6876f5f39ea!8m2!3d35.0497838!4d-89.8210147!16s%2Fg%2F11clhq0_5m!19sChIJfUgMd12Cf4gR6jlfb4emRC8?authuser=0&hl=en&rclk=1,Car Dealerships in Memphis Tennessee,4.8,546,+1 901-751-7300,"7300 Winchester Rd, Memphis, TN 38125, United States",eautouniverse.com
DriveTime Used Cars,https://www.google.com/maps/place/DriveTime+Used+Cars/data=!4m7!3m6!1s0x887f8244d0c86c6b:0xa47d28141eff3345!8m2!3d35.185307!4d-89.8969764!16s%2Fg%2F1tddyjh_!19sChIJa2zI0ESCf4gRRTP_HhQofaQ?authuser=0&hl=en&rclk=1,Car Dealerships in Memphis Tennessee,4.9,2173,+1 901-334-3280,"2177 Covington Pike, Memphis, TN 38128, United States",drivetime.com
DriveTime Used Cars,https://www.google.com/maps/place/DriveTime+Used+Cars/data=!4m7!3m6!1s0x887f9aade1d4e0c1:0x6be18d2b413d8af9!8m2!3d35.0487579!4d-89.8459264!16s%2Fg%2F12hl5np0y!19sChIJweDU4a2af4gR-Yo9QSuN4Ws?authuser=0&hl=en&rclk=1,Car Dealerships in Memphis Tennessee,4.9,2392,+1 901-800-4190,"6535 Winchester Rd, Memphis, TN 38115, United States",drivetime.com
Jim Keras Chevrolet,https://www.google.com/maps/place/Jim+Keras+Chevrolet/data=!4m7!3m6!1s0x887f825041705127:0xe751b2d20443d644!8m2!3d35.1800918!4d-89.8942565!16s%2Fg%2F1th7nnpp!19sChIJJ1FwQVCCf4gRRNZDBNKyUec?authuser=0&hl=en&rclk=1,Car Dealerships in Memphis Tennessee,4.4,1417,+1 901-589-1730,"2000 Covington Pike, Memphis, TN 38128, United States",jimkerasmemphis.com
CarMax,https://www.google.com/maps/place/CarMax/data=!4m7!3m6!1s0x887f9d85599903e1:0xc319c91f6c95e95!8m2!3d35.2034748!4d-89.8039573!16s%2Fg%2F1tk1nrj0!19sChIJ4QOZWYWdf4gRlV7J9pGcMQw?authuser=0&hl=en&rclk=1,Car Dealerships in Memphis Tennessee,4.2,1936,+1 901-382-1315,"7771 Stage Rd, Suite 64, US-64, Memphis, TN 38133, United States",carmax.com
Gossett Chrysler Dodge Jeep Ram,https://www.google.com/maps/place/Gossett+Chrysler+Dodge+Jeep+Ram/data=!4m7!3m6!1s0x887f8251ef33f3b5:0xf99738effdcac02a!8m2!3d35.1771078!4d-89.8975821!16s%2Fg%2F1tr9p5cr!19sChIJtfMz71GCf4gRKsDK_e84l_k?authuser=0&hl=en&rclk=1,Car Dealerships in Memphis Tennessee,4.2,671,+1 901-203-5294,"1901 Covington Pike, Memphis, TN 38128, United States",gossettmotorcars.net
Smith Imports,https://www.google.com/maps/place/Smith+Imports/data=!4m7!3m6!1s0x87d57c939888e9c7:0x1e12e0019280c702!8m2!3d35.0676017!4d-90.0590432!16s%2Fg%2F1tlc8lwq!19sChIJx-mImJN81YcRAseAkgHgEh4?authuser=0&hl=en&rclk=1,Car Dealerships in Memphis Tennessee,4.8,1083,+1 901-332-2130,"2965 S 3rd St, Memphis, TN 38109, United States",smithimports.com
CarMax,https://www.google.com/maps/place/CarMax/data=!4m7!3m6!1s0x887f9b9bcde5d455:0x439309d80f65d43b!8m2!3d35.0535003!4d-89.815886!16s%2Fg%2F11fjs6rbhr!19sChIJVdTlzZubf4gRO9RlD9gJk0M?authuser=0&hl=en&rclk=1,Car Dealerships in Memphis Tennessee,4.1,779,+1 901-291-7680,"3475 S Germantown Rd, Memphis, TN 38119, United States",carmax.com
AutoNation Ford Memphis,https://www.google.com/maps/place/AutoNation+Ford+Memphis/data=!4m7!3m6!1s0x887f85008701decb:0xc2387f8a5790389d!8m2!3d35.079554!4d-89.888757!16s%2Fg%2F1jglxsyxy!19sChIJy94BhwCFf4gRnTiQV4p_OMI?authuser=0&hl=en&rclk=1,Car Dealerships in Memphis Tennessee,4.1,1938,+1 901-209-1259,"2515 Mt Moriah Rd, Memphis, TN 38115, United States",autonationfordmemphis.com
