Name,URL,Query,Rating,Reviews,Phone,Address,Website
AutoNation USA Phoenix,https://www.google.com/maps/place/AutoNation+USA+Phoenix/data=!4m7!3m6!1s0x872b6ee648415053:0xfd2bd3e8c3c1e0f6!8m2!3d33.6389018!4d-112.1133222!16s%2Fg%2F1vgx16m7!19sChIJU1BBSOZuK4cR9uDBw-jTK_0?authuser=0&hl=en&rclk=1,Car Dealerships in Phoenix Arizona,4.3,2849,+1 623-432-1720,"2625 W Bell Rd, Phoenix, AZ 85023, United States",autonationusa.com
Camelback Toyota,https://www.google.com/maps/place/Camelback+Toyota/data=!4m7!3m6!1s0x872b129fd2331d75:0xf5a4c35a3dd56eac!8m2!3d33.5105514!4d-112.0483703!16s%2Fg%2F1wnbygyg!19sChIJdR0z0p8SK4cRrG7VPVrDpPU?authuser=0&hl=en&rclk=1,Car Dealerships in Phoenix Arizona,4.4,9270,+1 602-464-7261,"1550 E Camelback Rd, Phoenix, AZ 85014, United States",camelbacktoyota.com
Courtesy Chevrolet,https://www.google.com/maps/place/Courtesy+Chevrolet/data=!4m7!3m6!1s0x872b129918a9cc21:0x8c50d263e5e7413!8m2!3d33.508786!4d-112.0549829!16s%2Fg%2F1tgh80d5!19sChIJIcypGJkSK4cRE3RePiYNxQg?authuser=0&hl=en&rclk=1,Car Dealerships in Phoenix Arizona,4.5,10334,+1 480-359-1354,"1233 E Camelback Rd, Phoenix, AZ 85014, United States",courtesychev.com
Camelback World Auto,https://www.google.com/maps/place/Camelback+World+Auto/data=!4m7!3m6!1s0x872b129efb1114c9:0x613dc94f12411c1a!8m2!3d33.5089212!4d-112.0514096!16s%2Fg%2F11bw1_2r7l!19sChIJyRQR-54SK4cRGhxBEk_JPWE?authuser=0&hl=en&rclk=1,Car Dealerships in Phoenix Arizona,4.1,494,+1 602-313-8166,"1405 E Camelback Rd, Phoenix, AZ 85014, United States",camelbackdifference.com
Bill Luke Chrysler Jeep Dodge RAM,https://www.google.com/maps/place/Bill+Luke+Chrysler+Jeep+Dodge+RAM/data=!4m7!3m6!1s0x872b133ba84c1141:0x3e811182e9f4ca1f!8m2!3d33.5086566!4d-112.1100321!16s%2Fg%2F1vfn73cw!19sChIJQRFMqDsTK4cRH8r06YIRgT4?authuser=0&hl=en&rclk=1,Car Dealerships in Phoenix Arizona,4.5,11268,+1 602-786-5700,"2425 W Camelback Rd, Phoenix, AZ 85015, United States",billluke.com
B&G Auto Sales,https://www.google.com/maps/place/B%26G+Auto+Sales/data=!4m7!3m6!1s0x872b1556df1615e1:0x1b7bedfdee8eb1f6!8m2!3d33.4956204!4d-112.1446007!16s%2Fg%2F11qywd7y7k!19sChIJ4RUW31YVK4cR9rGO7v3texs?authuser=0&hl=en&rclk=1,Car Dealerships in Phoenix Arizona,4.7,1216,+1 602-698-7969,"3922 W Indian School Rd, Phoenix, AZ 85019, United States",gobgautos.com
DriveTime Used Cars,https://www.google.com/maps/place/DriveTime+Used+Cars/data=!4m7!3m6!1s0x872b1324e8f6f8f5:0xadbbd5d3901a0bd!8m2!3d33.5092321!4d-112.1060536!16s%2Fg%2F1tn01psz!19sChIJ9fj26CQTK4cRvaABOV292wo?authuser=0&hl=en&rclk=1,Car Dealerships in Phoenix Arizona,4.9,1602,+1 602-794-1090,"2143 W Camelback Rd, Phoenix, AZ 85015, United States",drivetime.com
Midway Chevrolet,https://www.google.com/maps/place/Midway+Chevrolet/data=!4m7!3m6!1s0x872b6ee56164dbcd:0xb80bfd0dd35704ae!8m2!3d33.6390186!4d-112.109302!16s%2Fg%2F1tdfcksv!19sChIJzdtkYeVuK4cRrgRX0w39C7g?authuser=0&hl=en&rclk=1,Car Dealerships in Phoenix Arizona,4.1,4840,+1 602-773-0688,"2323 W Bell Rd, Phoenix, AZ 85023, United States",midwaychevy.com
Camelback Ford,https://www.google.com/maps/place/Camelback+Ford/data=!4m7!3m6!1s0x872b129f239c58d3:0xa601515c0d670c8c!8m2!3d33.5099594!4d-112.0527751!16s%2Fg%2F1td6n3dc!19sChIJ01icI58SK4cRjAxnDVxRAaY?authuser=0&hl=en&rclk=1,Car Dealerships in Phoenix Arizona,4.1,3537,+1 602-635-7551,"1330 E Camelback Rd, Phoenix, AZ 85014, United States",camelbackford.com
Arizona Best Cars,https://www.google.com/maps/place/Arizona+Best+Cars/data=!4m7!3m6!1s0x872b6d7718f6b4ab:0x5766e82fe76c28c2!8m2!3d33.5732154!4d-112.0585937!16s%2Fg%2F11b6smm9py!19sChIJq7T2GHdtK4cRwihs5y_oZlc?authuser=0&hl=en&rclk=1,Car Dealerships in Phoenix Arizona,4.5,573,+1 602-870-8080,"9621 N Cave Creek Rd, Phoenix, AZ 85020, United States",bestarizonacars.com
