Name,URL,Query,Rating,Reviews,Phone,Address,Website
Courtesy Chevrolet Center,https://www.google.com/maps/place/Courtesy+Chevrolet+Center/data=!4m7!3m6!1s0x80d9552461a31451:0x46e42fde38c2d020!8m2!3d32.7655035!4d-117.1572501!16s%2Fg%2F1tdz53df!19sChIJURSjYSRV2YARINDCON4v5EY?authuser=0&hl=en&rclk=1,Car Dealerships in San Diego California,4.5,3820,+1 619-272-6831,"750 Camino Del Rio N, San Diego, CA 92108, United States",courtesysandiego.com
San Diego Chrysler Dodge Jeep Ram,https://www.google.com/maps/place/San+Diego+Chrysler+Dodge+Jeep+Ram/data=!4m7!3m6!1s0x80d955244714716d:0xa1cd9bef3a2c4f53!8m2!3d32.7633982!4d-117.157605!16s%2Fg%2F1tjbsg57!19sChIJbXEURyRV2YARU08sOu-bzaE?authuser=0&hl=en&rclk=1,Car Dealerships in San Diego California,3.9,2219,+1 619-224-4151,"777 Camino del Rio S, San Diego, CA 92108, United States",sandiegochryslerdodgejeepram.com
Miramar Car Center,https://www.google.com/maps/place/Miramar+Car+Center/data=!4m7!3m6!1s0x80dbf92cefab187d:0x875809615e2a24a9!8m2!3d32.8932986!4d-117.11889!16s%2Fg%2F1vq9ml3r!19sChIJfRir7yz524ARqSQqXmEJWIc?authuser=0&hl=en&rclk=1,Car Dealerships in San Diego California,4.4,302,+1 858-536-8142,"9799 Miramar Rd, San Diego, CA 92126, United States",miramarcarcenter.com
Hertz Car Sales San Diego,https://www.google.com/maps/place/Hertz+Car+Sales+San+Diego/data=!4m7!3m6!1s0x80deab508b672659:0x2e047fff2b2fbc01!8m2!3d32.7372089!4d-117.1773949!16s%2Fg%2F11h2znh016!19sChIJWSZni1Cr3oARAbwvK_9_BC4?authuser=0&hl=en&rclk=1,Car Dealerships in San Diego California,4.2,90,+1 619-320-4185,"3338 Kettner Blvd, San Diego, CA 92101, United States",hertzcarsales.com
San Diego Auto Traders,https://www.google.com/maps/place/San+Diego+Auto+Traders/data=!4m7!3m6!1s0x80deab0d9f6dae4f:0xb0bde1d04c96f808!8m2!3d32.7513809!4d-117.245986!16s%2Fg%2F11g0dhgp2x!19sChIJT65tnw2r3oARCPiWTNDhvbA?authuser=0&hl=en&rclk=1,Car Dealerships in San Diego California,4.8,78,+1 619-458-9113,"4953 Voltaire St, San Diego, CA 92107, United States",-
Miramar MotorSports Inc,https://www.google.com/maps/place/Miramar+MotorSports+Inc/data=!4m7!3m6!1s0x80dbf9264cf044ff:0x666fb0f19eceb222!8m2!3d32.838224!4d-117.1294889!16s%2Fg%2F1263cygff!19sChIJ_0TwTCb524ARIrLOnvGwb2Y?authuser=0&hl=en&rclk=1,Car Dealerships in San Diego California,4.4,164,+1 858-677-0027,"5760 Chesapeake Ct, San Diego, CA 92123, United States",mmsportinc.com
DCH Honda of Mission Valley,https://www.google.com/maps/place/DCH+Honda+of+Mission+Valley/data=!4m7!3m6!1s0x80d955c875430cf3:0x2dcb9cac524cd50f!8m2!3d32.7811681!4d-117.1027924!16s%2Fg%2F1v_nct1z!19sChIJ8wxDdchV2YARD9VMUqycyy0?authuser=0&hl=en&rclk=1,Car Dealerships in San Diego California,4.5,2670,+1 619-717-8658,"5812 Mission Gorge Rd, San Diego, CA 92120, United States",dchhondaofmissionvalley.com
La Mesa Pre-Owned,https://www.google.com/maps/place/La+Mesa+Pre-Owned/data=!4m7!3m6!1s0x80d957188a705333:0x48fa08faba927af6!8m2!3d32.7691262!4d-117.0475722!16s%2Fg%2F11b8075yng!19sChIJM1NwihhX2YAR9nqSuvoI-kg?authuser=0&hl=en&rclk=1,Car Dealerships in San Diego California,4.3,192,+1 619-644-9000,"C, nm n, 6992 El Cajon Blvd, San Diego, CA 92115, United States",lamesapreowned.com
Mercedes-Benz of San Diego,https://www.google.com/maps/place/Mercedes-Benz+of+San+Diego/data=!4m7!3m6!1s0x80dbffbfa0b395f9:0xb17520d04c2668cc!8m2!3d32.8239568!4d-117.1474173!16s%2Fg%2F1tf9nk3j!19sChIJ-ZWzoL__24ARzGgmTNAgdbE?authuser=0&hl=en&rclk=1,Car Dealerships in San Diego California,4.4,1898,+1 858-295-3136,"4750 Kearny Mesa Rd, San Diego, CA 92111, United States",mbsd.com
Kearny Mesa Ford,https://www.google.com/maps/place/Kearny+Mesa+Ford/data=!4m7!3m6!1s0x80dbff9ad2f0e22f:0xa80e8aed03175358!8m2!3d32.8318576!4d-117.1614009!16s%2Fg%2F1hc6y07kr!19sChIJL-Lw0pr_24ARWFMXA-2KDqg?authuser=0&hl=en&rclk=1,Car Dealerships in San Diego California,4.3,2169,+1 858-212-0241,"7303 Clairemont Mesa Blvd, San Diego, CA 92111, United States",kearnymesaford.net
