Name,URL,Query,Rating,Reviews,Phone,Address,Website
Midtown Motors Inc,https://www.google.com/maps/place/Midtown+Motors+Inc/data=!4m7!3m6!1s0x808fcb5abbcef84d:0xa9ed9219c838d3bd!8m2!3d37.3237811!4d-121.912256!16s%2Fg%2F11bzzpzvz5!19sChIJTfjOu1rLj4ARvdM4yBmS7ak?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.8,377,+1 408-286-4405,"1333 W San Carlos St, San Jose, CA 95126, United States",midtownmotors.us
CarMax,https://www.google.com/maps/place/CarMax/data=!4m7!3m6!1s0x808e33ba0d66070b:0x8eaeb5fceb41a76f!8m2!3d37.2742889!4d-121.8686633!16s%2Fg%2F11d_2g0ck8!19sChIJCwdmDbozjoARb6dB6_y1ro4?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.2,1222,+1 408-723-0137,"750 W Capitol Expy, San Jose, CA 95136, United States",carmax.com
San Jose Amigos Auto Sales,https://www.google.com/maps/place/San+Jose+Amigos+Auto+Sales/data=!4m7!3m6!1s0x808fcbb8a766b8b5:0xd189148291b65bd7!8m2!3d37.3229057!4d-121.9532214!16s%2Fg%2F11kxg40_r0!19sChIJtbhmp7jLj4AR11u2kYIUidE?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.7,713,+1 408-477-1470,"3190 Stevens Creek Blvd, San Jose, CA 95117, United States",sanjoseamigos.com
Auto Center West,https://www.google.com/maps/place/Auto+Center+West/data=!4m7!3m6!1s0x808fcb3ea55c6139:0x7350d3f1947183c!8m2!3d37.3230919!4d-121.9297507!16s%2Fg%2F11bw77v2h3!19sChIJOWFcpT7Lj4ARPBhHGT8NNQc?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.3,75,+1 408-297-3400,"1930 W San Carlos St, San Jose, CA 95128, United States",autocenterwest.com
Capitol Honda,https://www.google.com/maps/place/Capitol+Honda/data=!4m7!3m6!1s0x808e33b4d8dbe91d:0xb8d5d1a3624c6e04!8m2!3d37.2756177!4d-121.8669057!16s%2Fg%2F11g_xz92s!19sChIJHenb2LQzjoARBG5MYqPR1bg?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.7,3873,+1 408-675-5884,"745 Capitol Expressway Auto Mall, San Jose, CA 95136, United States",capitolhonda.com
ALL USA Motors,https://www.google.com/maps/place/ALL+USA+Motors/data=!4m7!3m6!1s0x808fcce7a1ea9147:0x18cfa4a98834e0a0!8m2!3d37.347977!4d-121.8650709!16s%2Fg%2F11bxfkls39!19sChIJR5HqoefMj4ARoOA0iKmkzxg?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.8,151,+1 408-279-8490,"1260 E Santa Clara St, San Jose, CA 95116, United States",allusamotors.com
Capitol Volkswagen,https://www.google.com/maps/place/Capitol+Volkswagen/data=!4m7!3m6!1s0x808e33a34a5aec3b:0x91f99828d7587265!8m2!3d37.2764343!4d-121.87447!16s%2Fg%2F1v6l7qp4!19sChIJO-xaSqMzjoARZXJY1yiY-ZE?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.4,997,+1 408-265-4400,"911-A Capitol Expressway Auto Mall A, San Jose, CA 95136, United States",capitolvw.com
Capitol Chevrolet,https://www.google.com/maps/place/Capitol+Chevrolet/data=!4m7!3m6!1s0x808e33bb4842ea39:0x7120f99394f77305!8m2!3d37.2758758!4d-121.8713015!16s%2Fg%2F1v2gd_59!19sChIJOepCSLszjoARBXP3lJP5IHE?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.3,2173,+1 408-622-1851,"905 Capitol Expressway Auto Mall, San Jose, CA 95136, United States",capitolchevysj.com
All Credit Auto Sales,https://www.google.com/maps/place/All+Credit+Auto+Sales/data=!4m7!3m6!1s0x808e3333a4f16c5d:0xe2b9bfc4e18fec50!8m2!3d37.3226291!4d-121.8714654!16s%2Fg%2F11dfq7731j!19sChIJXWzxpDMzjoARUOyP4cS_ueI?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.9,412,+1 408-630-1111,"310 Keyes St, San Jose, CA 95112, United States",allcreditautosales.com
Premier Nissan of San Jose,https://www.google.com/maps/place/Premier+Nissan+of+San+Jose/data=!4m7!3m6!1s0x808e33bd4f2fb223:0x47e9859adef7de56!8m2!3d37.274585!4d-121.877676!16s%2Fg%2F1v6p924w!19sChIJI7IvT70zjoARVt733pqF6Uc?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.6,5888,+1 408-763-4027,"1120 W Capitol Expy, San Jose, CA 95136, United States",nissanofsanjose.com
Stevens Creek Toyota,https://www.google.com/maps/place/Stevens+Creek+Toyota/data=!4m7!3m6!1s0x808fca93a56d00e7:0xf425a80bc8f2b1b3!8m2!3d37.3226956!4d-121.9761486!16s%2Fg%2F1tfhgnbm!19sChIJ5wBtpZPKj4ARs7HyyAuoJfQ?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.3,3200,+1 408-984-1234,"4202 Stevens Creek Blvd, San Jose, CA 95129, United States",stevenscreektoyota.com
Capitol Toyota,https://www.google.com/maps/place/Capitol+Toyota/data=!4m7!3m6!1s0x808e33bae537e435:0x95ca9dc134a51440!8m2!3d37.2759234!4d-121.8697458!16s%2Fg%2F1vxw8h9x!19sChIJNeQ35bozjoARQBSlNMGdypU?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,3.6,1238,+1 408-705-4707,"775 Capitol Expressway Auto Mall, San Jose, CA 95136, United States",capitoltoyota.com
Stevens Creek Chevrolet,https://www.google.com/maps/place/Stevens+Creek+Chevrolet/data=!4m7!3m6!1s0x808fcaec19ffc309:0x63a47e1f2660d2d!8m2!3d37.3219444!4d-121.965!16s%2Fg%2F1v96m0jj!19sChIJCcP_GezKj4ARLQ1m8uFHOgY?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,3.9,2210,+1 408-249-3131,"3640 Stevens Creek Blvd, San Jose, CA 95117, United States",stevenscreekchevy.com
United Imports,https://www.google.com/maps/place/United+Imports/data=!4m7!3m6!1s0x808fca92d8f9545f:0x6e2b52d94b075c42!8m2!3d37.3224947!4d-121.9708299!16s%2Fg%2F1vcjmh6g!19sChIJX1T52JLKj4ARQlwHS9lSK24?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.1,335,+1 408-246-0600,"325 Saratoga Ave, San Jose, CA 95129, United States",unitedimportsofsanjose.com
INFINITI of San Jose,https://www.google.com/maps/place/INFINITI+of+San+Jose/data=!4m7!3m6!1s0x808e338446b11c5f:0xf56a248231da01f1!8m2!3d37.3300055!4d-121.8131106!16s%2Fg%2F1tdnfh32!19sChIJXxyxRoQzjoAR8QHaMYIkavU?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.7,1098,+1 408-531-3000,"2198 Tully Rd, San Jose, CA 95122, United States",infinitiofsanjose.com
San Jose Auto Sales,https://www.google.com/maps/place/San+Jose+Auto+Sales/data=!4m7!3m6!1s0x808e35e250314ce9:0xa4d7c5c214a11036!8m2!3d37.3230296!4d-121.9546211!16s%2Fg%2F11trf2216d!19sChIJ6UwxUOI1joARNhChFMLF16Q?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.8,70,+1 408-204-7677,"3268 Stevens Creek Blvd, San Jose, CA 95117, United States",sanjoseautosale.com
AMC Auto Sales,https://www.google.com/maps/place/AMC+Auto+Sales/data=!4m7!3m6!1s0x808fcb45c8f05555:0x83f9cd4ed22c5521!8m2!3d37.3232129!4d-121.9176547!16s%2Fg%2F11h5611m43!19sChIJVVXwyEXLj4ARIVUs0k7N-YM?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.8,178,+1 408-642-1990,"1500 W San Carlos St, San Jose, CA 95126, United States",amcautogroup.com
Ronnie Motors LLC,https://www.google.com/maps/place/Ronnie+Motors+LLC/data=!4m7!3m6!1s0x808fcae6944c75a3:0x7ca0964ed4e83912!8m2!3d37.323979!4d-121.9072662!16s%2Fg%2F11ckdthh0t!19sChIJo3VMlObKj4AREjno1E6WoHw?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.4,131,+1 408-499-2607,"919 W San Carlos St, San Jose, CA 95126, United States",ronniemotors.net
Express Credit Motors,https://www.google.com/maps/place/Express+Credit+Motors/data=!4m7!3m6!1s0x808e3337271f15bf:0x25b84033e94138eb!8m2!3d37.3174171!4d-121.8743133!16s%2Fg%2F11ghtdpxcs!19sChIJvxUfJzczjoAR6zhB6TNAuCU?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,3.4,75,+1 408-676-3184,"1334 S 1st St, San Jose, CA 95110, United States",expresscreditmotors.com
Honda of Stevens Creek,https://www.google.com/maps/place/Honda+of+Stevens+Creek/data=!4m7!3m6!1s0x808fca85169fcbc7:0xc0d0e00ce6906131!8m2!3d37.3224981!4d-121.9836979!16s%2Fg%2F1tf3bsj1!19sChIJx8ufFoXKj4ARMWGQ5gzg0MA?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.6,7160,+1 800-692-2129,"4590 Stevens Creek Blvd, San Jose, CA 95129, United States",hondaofstevenscreek.com
Capitol Expressway Auto Mall,https://www.google.com/maps/place/Capitol+Expressway+Auto+Mall/data=!4m7!3m6!1s0x808e33b09da315ed:0xf96715a20488753d!8m2!3d37.2761136!4d-121.8733831!16s%2Fg%2F11f_knf4n5!19sChIJ7RWjnbAzjoARPXWIBKIVZ_k?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.2,1006,-,"909 Capitol Expressway Auto Mall, San Jose, CA 95136, United States",capitolautomall.com
Capitol Hyundai,https://www.google.com/maps/place/Capitol+Hyundai/data=!4m7!3m6!1s0x808e339749f12525:0x20186302a8cb6b50!8m2!3d37.2752953!4d-121.8753796!16s%2Fg%2F11xjbvf23!19sChIJJSXxSZczjoARUGvLqAJjGCA?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.4,1714,+1 408-728-6039,"1050 Capitol Expressway Auto Mall, San Jose, CA 95136, United States",capitolhyundaisj.com
Auto Cars & Trucks,https://www.google.com/maps/place/Auto+Cars+%26+Trucks/data=!4m7!3m6!1s0x808fcb50a29ef441:0xbc361118104bc6b7!8m2!3d37.3232328!4d-121.9090111!16s%2Fg%2F1tdftcnw!19sChIJQfSeolDLj4ARt8ZLEBgRNrw?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.8,21,+1 408-286-7200,"1100 W San Carlos St, San Jose, CA 95126, United States",autocarsandtrucks.com
Stevens Creek Chrysler Jeep Dodge Ram,https://www.google.com/maps/place/Stevens+Creek+Chrysler+Jeep+Dodge+Ram/data=!4m7!3m6!1s0x808fca8dff0a1899:0xebf986deebd75746!8m2!3d37.3221297!4d-121.9743749!16s%2Fg%2F1tzzvr7y!19sChIJmRgK_43Kj4ARRlfX696G-es?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,3.8,2198,+1 408-248-1800,"4100 Stevens Creek Blvd, San Jose, CA 95129, United States",stevenscreekchryslerjeepdodge.net
Car Time Inc,https://www.google.com/maps/place/Car+Time+Inc/data=!4m7!3m6!1s0x808fcb50a4a7877b:0xf9e3aedc9a5a2a67!8m2!3d37.3237252!4d-121.9194216!16s%2Fg%2F11g0zwsq3q!19sChIJe4enpFDLj4ARZypamtyu4_k?authuser=0&hl=en&rclk=1,Car Dealerships in San Jose California,4.0,117,+1 408-912-4500,"1555, 1660 W San Carlos St, San Jose, CA 95126, United States",cartimeinc.com
