Name,URL,Query,Rating,Reviews,Phone,Address,Website
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x8644b50f4c97a69d:0xd1a1c040b5862c0d!8m2!3d30.2654227!4d-97.7473723!16s%2Fg%2F1t_wpr95!19sChIJnaaXTA-1RIYRDSyGtUDAodE?authuser=0&hl=en&rclk=1,Clothing stores in Austin Texas,3.8,329,+1 512-499-0006,"320 W 2nd St Block 21, Austin, TX 78701, United States",urbanoutfitters.com
Uptown Cheapskate Austin,https://www.google.com/maps/place/Uptown+Cheapskate+Austin/data=!4m7!3m6!1s0x8644b4d2dbd8c2d3:0xd59af32ee148b6dc!8m2!3d30.2412959!4d-97.7836964!16s%2Fg%2F1ptx7kgpp!19sChIJ08LY29K0RIYR3LZI4S7zmtU?authuser=0&hl=en&rclk=1,Clothing stores in Austin Texas,4.6,1275,+1 512-462-4646,"3005 S Lamar Blvd #110B, Austin, TX 78704, United States",uptowncheapskateaustin.com
United Apparel Liquidators,https://www.google.com/maps/place/United+Apparel+Liquidators/data=!4m7!3m6!1s0x8644b50f4abf2b01:0x315419fbbe955473!8m2!3d30.2647799!4d-97.7464936!16s%2Fg%2F11g72f4hjh!19sChIJASu_Sg-1RIYRc1SVvvsZVDE?authuser=0&hl=en&rclk=1,Clothing stores in Austin Texas,4.5,71,+1 512-912-1111,"249 W 2nd St, Austin, TX 78701, United States",shopual.com
Hemline Austin,https://www.google.com/maps/place/Hemline+Austin/data=!4m7!3m6!1s0x8644b508a4e16ffb:0x168f8e22a978b52e!8m2!3d30.264686!4d-97.746288!16s%2Fg%2F12633phhw!19sChIJ-2_hpAi1RIYRLrV4qSKOjxY?authuser=0&hl=en&rclk=1,Clothing stores in Austin Texas,4.9,81,+1 512-474-2212,"233 W 2nd St, Austin, TX 78701, United States",shophemlineaustin.com
K&G Fashion Superstore,https://www.google.com/maps/place/K%26G+Fashion+Superstore/data=!4m7!3m6!1s0x8644ca1615b0a09d:0x161cfe5abf1f67a2!8m2!3d30.3148998!4d-97.7046316!16s%2Fg%2F1tg4x70f!19sChIJnaCwFRbKRIYRomcfv1r-HBY?authuser=0&hl=en&rclk=1,Clothing stores in Austin Texas,4.2,276,+1 512-453-9595,"5451A N Interstate Hwy 35, Austin, TX 78723, United States",kgstores.com
Fashion & co.,https://www.google.com/maps/place/Fashion+%26+co./data=!4m7!3m6!1s0x8644cbc72d6cb979:0xf0adfdc734d02c5c!8m2!3d30.2364826!4d-97.7238006!16s%2Fg%2F1tcz8q45!19sChIJeblsLcfLRIYRXCzQNMf9rfA?authuser=0&hl=en&rclk=1,Clothing stores in Austin Texas,4.3,45,+1 512-916-0555,"2410 E Riverside Dr, Austin, TX 78741, United States",-
SPRING FROST Boutique,https://www.google.com/maps/place/SPRING+FROST+Boutique/data=!4m7!3m6!1s0x8644ca5fcd81c0b9:0xb2e24448305a4cde!8m2!3d30.3226828!4d-97.7391789!16s%2Fg%2F1td0t8ff!19sChIJucCBzV_KRIYR3kxaMEhE4rI?authuser=0&hl=en&rclk=1,Clothing stores in Austin Texas,4.9,33,+1 512-467-9100,"5101 Burnet Rd, Austin, TX 78756, United States",springfrost.com
Private Stock Premium Boutique,https://www.google.com/maps/place/Private+Stock+Premium+Boutique/data=!4m7!3m6!1s0x8644b5a6681918cb:0x99caedea550e51aa!8m2!3d30.2667706!4d-97.7375805!16s%2Fg%2F11c6w0dc0g!19sChIJyxgZaKa1RIYRqlEOVertypk?authuser=0&hl=en&rclk=1,Clothing stores in Austin Texas,4.6,115,+1 512-804-8763,"516 E 6th St, Austin, TX 78701, United States",privatestockonline.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x8644b57808bade09:0x27e4c7f7fe28c529!8m2!3d30.288158!4d-97.741838!16s%2Fg%2F1tkl3q6_!19sChIJCd66CHi1RIYRKcUo_vfH5Cc?authuser=0&hl=en&rclk=1,Clothing stores in Austin Texas,4.1,272,+1 512-472-1621,"2406 Guadalupe St, Austin, TX 78705, United States",urbanoutfitters.com
Feather's Boutique Vintage,https://www.google.com/maps/place/Feather%27s+Boutique+Vintage/data=!4m7!3m6!1s0x8644b4fc9ee96069:0xf6bd2d9e075582ee!8m2!3d30.247036!4d-97.7511346!16s%2Fg%2F1vrqb0cj!19sChIJaWDpnvy0RIYR7oJVB54tvfY?authuser=0&hl=en&rclk=1,Clothing stores in Austin Texas,4.0,71,+1 512-912-9779,"1700 B South Congress Ave, Austin, TX 78704, United States",feathersboutiquevintage.com
