Name,URL,Query,Rating,Reviews,Phone,Address,Website
Jugrnaut,https://www.google.com/maps/place/Jugrnaut/data=!4m7!3m6!1s0x880e2cbd45bf0329:0xaedbadc51ca54947!8m2!3d41.8761577!4d-87.6290529!16s%2Fg%2F1tdvq9yf!19sChIJKQO_Rb0sDogRR0mlHMWt264?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.7,94,+1 312-435-4635,"427 S Dearborn St, Chicago, IL 60605, United States",jugrnaut.com
Una Mae's,https://www.google.com/maps/place/Una+Mae%27s/data=!4m7!3m6!1s0x880fd2c710000441:0xff22cc171d1265a!8m2!3d41.9091734!4d-87.6758426!16s%2Fg%2F1tht212b!19sChIJQQQAEMfSD4gRWibRccEs8g8?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.6,103,+1 773-276-7002,"1528 N Milwaukee Ave # 1, Chicago, IL 60622, United States",unamaeschicago.com
Alice & Wonder - Webster,https://www.google.com/maps/place/Alice+%26+Wonder+-+Webster/data=!4m7!3m6!1s0x880fd31c759c1e99:0xa0e97880c2d8d264!8m2!3d41.9219597!4d-87.6532374!16s%2Fg%2F11g893x5ly!19sChIJmR6cdRzTD4gRZNLYwoB46aA?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.9,64,+1 773-708-9015,"956 W Webster Ave, Chicago, IL 60614, United States",aliceandwonder.com
rag & bone,https://www.google.com/maps/place/rag+%26+bone/data=!4m7!3m6!1s0x880fd352155ab9c1:0x6fcb2a5116e690b!8m2!3d41.898997!4d-87.6273648!16s%2Fg%2F11byl7llvs!19sChIJwblaFVLTD4gRC2luEaWy_AY?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.7,49,+1 312-483-1122,"25 E Delaware Pl, Chicago, IL 60611, United States",rag-bone.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x880fd352272ae531:0x5bfbe1f6a70b063f!8m2!3d41.9020725!4d-87.6285661!16s%2Fg%2F1tfrmym5!19sChIJMeUqJ1LTD4gRPwYLp_bh-1s?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.0,286,+1 312-475-0704,"1100 N State St, Chicago, IL 60610, United States",urbanoutfitters.com
AKIRA,https://www.google.com/maps/place/AKIRA/data=!4m7!3m6!1s0x880e2ca52fa95185:0x60d0c76d2f6c7bc1!8m2!3d41.8839801!4d-87.6289502!16s%2Fg%2F11rcttc84!19sChIJhVGpL6UsDogRwXtsL23H0GA?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.4,113,+1 312-346-3355,"108 N State St #188, Chicago, IL 60602, United States",shopakira.com
Ragstock,https://www.google.com/maps/place/Ragstock/data=!4m7!3m6!1s0x880fd2c66f8cfa13:0x3d563f6d9f332757!8m2!3d41.9085163!4d-87.67424!16s%2Fg%2F1hd_ww2p7!19sChIJE_qMb8bSD4gRVyczn20_Vj0?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.4,344,+1 773-252-4880,"1459 N Milwaukee Ave, Chicago, IL 60622, United States",ragstock.com
Planet Access,https://www.google.com/maps/place/Planet+Access/data=!4m7!3m6!1s0x880fd21acb0a998b:0x22a86537aa2f123b!8m2!3d41.9674185!4d-87.6875762!16s%2Fg%2F1hhl96p6w!19sChIJi5kKyxrSD4gROxIvqjdlqCI?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.3,27,+1 773-754-8176,"4727 N Lincoln Ave, Chicago, IL 60625, United States",shoplightspeed.com
UNIQLO State Street,https://www.google.com/maps/place/UNIQLO+State+Street/data=!4m7!3m6!1s0x880e2de94fd49e83:0x1532e848bbf9694e!8m2!3d41.8826698!4d-87.6281369!16s%2Fg%2F11h8wskj1c!19sChIJg57UT-ktDogRTmn5u0joMhU?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.3,621,+1 855-486-4756,"22 N State St, Chicago, IL 60602, United States",uniqlo.com
art effect,https://www.google.com/maps/place/art+effect/data=!4m7!3m6!1s0x880fd31920b7132f:0x6428de45929421a1!8m2!3d41.9182219!4d-87.6523235!16s%2Fg%2F1td7756n!19sChIJLxO3IBnTD4gRoSGUkkXeKGQ?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.4,83,+1 773-929-3600,"934 W Armitage Ave, Chicago, IL 60614, United States",shoparteffect.com
Primark,https://www.google.com/maps/place/Primark/data=!4m7!3m6!1s0x880e2da1d086e46b:0x865321a09df64bda!8m2!3d41.8830319!4d-87.6271967!16s%2Fg%2F11r2swlsmw!19sChIJa-SG0KEtDogR2kv2naAhU4Y?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,3.9,362,+1 708-733-7344,"35 N State St, Chicago, IL 60602, United States",stores.primark.com
AKIRA,https://www.google.com/maps/place/AKIRA/data=!4m7!3m6!1s0x880fd2c6aef6aa63:0x4ee18bbbeb436df9!8m2!3d41.9106478!4d-87.673424!16s%2Fg%2F1vc_qz7r!19sChIJY6r2rsbSD4gR-W1D67uL4U4?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.3,232,+1 312-438-4762,"1814 W North Ave, Chicago, IL 60622, United States",shopakira.com
Ragstock,https://www.google.com/maps/place/Ragstock/data=!4m7!3m6!1s0x880fd3a8cc38c99f:0xa4ac5dc58db0fc74!8m2!3d41.9401668!4d-87.6500386!16s%2Fg%2F1263slgmm!19sChIJn8k4zKjTD4gRdPywjcVdrKQ?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.3,283,+1 773-868-9263,"812 W Belmont Ave, Chicago, IL 60657, United States",ragstock.com
INDEPENDENCE,https://www.google.com/maps/place/INDEPENDENCE/data=!4m7!3m6!1s0x880fd35184f81bd5:0x217f5730d91a0aab!8m2!3d41.9029843!4d-87.6752728!16s%2Fg%2F1hc3q01h8!19sChIJ1Rv4hFHTD4gRqwoa2TBXfyE?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.5,64,+1 312-675-2105,"1909 W Division St, Chicago, IL 60622, United States",independence-chicago.com
Squasht Boutique,https://www.google.com/maps/place/Squasht+Boutique/data=!4m7!3m6!1s0x880e2c5876829061:0xa8d1c6c450ed0471!8m2!3d41.895815!4d-87.691564!16s%2Fg%2F1w0j05ns!19sChIJYZCCdlgsDogRcQTtUMTG0ag?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.6,51,+1 773-292-4123,"2556 W Chicago Ave, Chicago, IL 60622, United States",squashtboutique.com
Lost Girls Vintage,https://www.google.com/maps/place/Lost+Girls+Vintage/data=!4m7!3m6!1s0x880fd2aa143c529f:0x6f744103c58d0af0!8m2!3d41.8957803!4d-87.6764802!16s%2Fg%2F11f1vvdpn3!19sChIJn1I8FKrSD4gR8AqNxQNBdG8?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.5,77,-,"1947 W Chicago Ave, Chicago, IL 60622, United States",lostgirlschicago.com
Tribeca Boutique,https://www.google.com/maps/place/Tribeca+Boutique/data=!4m7!3m6!1s0x880e2cd95996e30b:0x99d4eb59b0566c94!8m2!3d41.8814875!4d-87.6534331!16s%2Fg%2F1tgwbh73!19sChIJC-OWWdksDogRlGxWsFnr1Jk?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.5,19,+1 312-492-9373,"1035 W Madison St, Chicago, IL 60607, United States",tribecaboutiquechicago.com
Ross Dress for Less,https://www.google.com/maps/place/Ross+Dress+for+Less/data=!4m7!3m6!1s0x880e2ca566fbb357:0xc0b60936b80f5e32!8m2!3d41.8846333!4d-87.6267151!16s%2Fg%2F11b67rhq7y!19sChIJV7P7ZqUsDogRMl4PuDYJtsA?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.2,3333,+1 312-578-0171,"26 E Randolph St, Chicago, IL 60601, United States",rossstores.com
Bronzeville Boutique by Lady Mocha,https://www.google.com/maps/place/Bronzeville+Boutique+by+Lady+Mocha/data=!4m7!3m6!1s0x880e2bffca7b0589:0x2f62b5f3ca327816!8m2!3d41.8167381!4d-87.6163531!16s%2Fg%2F11g_9p7l_!19sChIJiQV7yv8rDogRFngyyvO1Yi8?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.7,142,+1 773-891-4473,"4259 S King Dr, Chicago, IL 60653, United States",bronzeville.boutique
Kokorokoko,https://www.google.com/maps/place/Kokorokoko/data=!4m7!3m6!1s0x880fd2d1e6b01455:0x98fd04cd636193c0!8m2!3d41.9059612!4d-87.6703268!16s%2Fg%2F1tdx044n!19sChIJVRSw5tHSD4gRwJNhY80E_Zg?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.2,122,+1 773-252-6996,"1323 N Milwaukee Ave, Chicago, IL 60622, United States",kokorokokovintage.com
L.A. Fashion Mart,https://www.google.com/maps/place/L.A.+Fashion+Mart/data=!4m7!3m6!1s0x880fcda8575d5abf:0xfc9138b1a90fdbaf!8m2!3d41.939207!4d-87.7290102!16s%2Fg%2F1tpn34sx!19sChIJv1pdV6jND4gRr9sPqbE4kfw?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.3,162,+1 773-286-1182,"4040 W Belmont Ave, Chicago, IL 60641, United States",-
Ms Catwalk,https://www.google.com/maps/place/Ms+Catwalk/data=!4m7!3m6!1s0x880e2c7c01a6fda7:0xf64b0bb0b7105d0f!8m2!3d41.85076!4d-87.6236085!16s%2Fg%2F11bwhbf29h!19sChIJp_2mAXwsDogRD10Qt7ALS_Y?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.6,30,+1 312-929-3360,"2311 S Michigan Ave, Chicago, IL 60616, United States",mscatwalk.com
Penelope's,https://www.google.com/maps/place/Penelope%27s/data=!4m7!3m6!1s0x880fd2c9077c102f:0xc0acc865d629db57!8m2!3d41.9030586!4d-87.675491!16s%2Fg%2F1tv3p8lf!19sChIJLxB8B8nSD4gRV9sp1mXIrMA?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.3,72,+1 773-395-2351,"1913 W Division St, Chicago, IL 60622, United States",shoppenelopes.com
Sara Jane,https://www.google.com/maps/place/Sara+Jane/data=!4m7!3m6!1s0x880fd3466e4a665d:0xf16442f40977a77b!8m2!3d41.9069667!4d-87.6343413!16s%2Fg%2F1tdjxm6l!19sChIJXWZKbkbTD4gRe6d3CfRCZPE?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.7,30,+1 312-335-1962,"1343 N Wells St, Chicago, IL 60610, United States",shopsarajane.com
Gemini,https://www.google.com/maps/place/Gemini/data=!4m7!3m6!1s0x880fd3ce722b9759:0x7899c234651bb6e!8m2!3d41.9029668!4d-87.6753691!16s%2Fg%2F11g18_gwpd!19sChIJWZcrcs7TD4gRbrtRRiOciQc?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.4,37,+1 773-394-1034,"1911 W Division St, Chicago, IL 60622, United States",geminishop.com
P45,https://www.google.com/maps/place/P45/data=!4m7!3m6!1s0x880fd2c0a578e77b:0x2305f0bce7e73dc2!8m2!3d41.9117197!4d-87.6773404!16s%2Fg%2F1tdq_9mq!19sChIJe-d4pcDSD4gRwj3n57zwBSM?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.7,11,+1 773-862-4523,"1643 N Damen Ave, Chicago, IL 60647, United States",p45.com
Mildblend Supply Co.,https://www.google.com/maps/place/Mildblend+Supply+Co./data=!4m7!3m6!1s0x880fd2c5881c0025:0xf7d2b0cea345691c!8m2!3d41.9061109!4d-87.6710714!16s%2Fg%2F11xphrjbm!19sChIJJQAciMXSD4gRHGlFo86w0vc?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.6,223,+1 773-772-9711,"1342 N Milwaukee Ave, Chicago, IL 60622, United States",mildblend.com
Aritzia,https://www.google.com/maps/place/Aritzia/data=!4m7!3m6!1s0x880fd352307ed21f:0xa49cb9f3c2f6b8ac!8m2!3d41.8996982!4d-87.6265048!16s%2Fg%2F11g9qmbyh3!19sChIJH9J-MFLTD4gRrLj2wvO5nKQ?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,3.6,159,+1 312-649-1734,"923 N Rush St, Chicago, IL 60611, United States",aritzia.com
The Denim Lounge,https://www.google.com/maps/place/The+Denim+Lounge/data=!4m7!3m6!1s0x880fd2679e656447:0x7add916f7975534c!8m2!3d41.9429808!4d-87.6800337!16s%2Fg%2F1tj1n377!19sChIJR2RlnmfSD4gRTFN1eW-R3Xo?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.7,75,+1 773-935-2820,"2039 W Roscoe St, Chicago, IL 60618, United States",thedenimlounge.com
Free People,https://www.google.com/maps/place/Free+People/data=!4m7!3m6!1s0x880e2cd9a4aa37b9:0x443ca64b9d1f8876!8m2!3d41.8840635!4d-87.6545647!16s%2Fg%2F11dxkjby83!19sChIJuTeqpNksDogRdogfnUumPEQ?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.1,70,+1 312-243-8150,"1101 W Randolph St, Chicago, IL 60607, United States",freepeople.com
Alcala's Western Wear,https://www.google.com/maps/place/Alcala%27s+Western+Wear/data=!4m7!3m6!1s0x880e2d332d706f89:0xdc61e1d5ec7bbe7c!8m2!3d41.8958877!4d-87.6711258!16s%2Fg%2F1td8zq6c!19sChIJiW9wLTMtDogRfL577NXhYdw?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.6,481,+1 312-226-0152,"1733 W Chicago Ave, Chicago, IL 60622, United States",alcalas.com
Florodora,https://www.google.com/maps/place/Florodora/data=!4m7!3m6!1s0x880e2d5036ade91f:0xdc0064b5fa450d7!8m2!3d41.877344!4d-87.6294513!16s%2Fg%2F11mv1183_3!19sChIJH-mtNlAtDogR11CkX0sGwA0?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.7,13,+1 312-212-8860,"330 S Dearborn St, Chicago, IL 60604, United States",florodora.com
phayes,https://www.google.com/maps/place/phayes/data=!4m7!3m6!1s0x880fcd7b4a3ddfbb:0x6383e829a772b19c!8m2!3d41.926887!4d-87.703641!16s%2Fg%2F11c58dv96f!19sChIJu989SnvND4gRnLFypynog2M?authuser=0&hl=en&rclk=1,Clothing stores in Chicago Illinois,4.8,63,+1 773-687-8549,"2501 N Milwaukee Ave, Chicago, IL 60647, United States",phayes.shop
