Name,URL,Query,Rating,Reviews,Phone,Address,Website
K&G Fashion Superstore,https://www.google.com/maps/place/K%26G+Fashion+Superstore/data=!4m7!3m6!1s0x887f81350948876b:0x80c42cbbdd759493!8m2!3d35.1303817!4d-89.9463526!16s%2Fg%2F1vyn4m5q!19sChIJa4dICTWBf4gRk5R13bssxIA?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.3,927,+1 901-458-2289,"3480 Plaza Ave, Memphis, TN 38111, United States",kgstores.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x887f874d5ee2cd55:0x8a045bc28d46c929!8m2!3d35.1256314!4d-89.9904912!16s%2Fg%2F1xcbqcrp!19sChIJVc3iXk2Hf4gRKclGjcJbBIo?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.0,276,+1 901-272-2117,"2151 Central Avenue Cooper-Young District, Memphis, TN 38104, United States",urbanoutfitters.com
Stock & Belle,https://www.google.com/maps/place/Stock+%26+Belle/data=!4m7!3m6!1s0x87d57ea31dd8c4f7:0xe5ddb069ac479b6f!8m2!3d35.135857!4d-90.0581806!16s%2Fg%2F11b7l4dz1b!19sChIJ98TYHaN-1YcRb5tHrGmw3eU?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.7,62,+1 901-734-2911,"387 S Main St, Memphis, TN 38103, United States",stockandbelle.com
The Superior Shop,https://www.google.com/maps/place/The+Superior+Shop/data=!4m7!3m6!1s0x887f85b624169afb:0xa98dc5f8a448fc44!8m2!3d35.0750345!4d-89.9067521!16s%2Fg%2F1wf39cjk!19sChIJ-5oWJLaFf4gRRPxIpPjFjak?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.4,109,+1 901-308-0299,"2703 S Perkins Rd, Memphis, TN 38118, United States",thesuperiorshop.com
Oak Hall,https://www.google.com/maps/place/Oak+Hall/data=!4m7!3m6!1s0x887f84c8ffd142c3:0x4db06b67db9439e2!8m2!3d35.1022388!4d-89.8575734!16s%2Fg%2F1tjy27yp!19sChIJw0LR_8iEf4gR4jmU22drsE0?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.6,79,+1 901-761-3580,"6150 Poplar Ave Suite 146, Memphis, TN 38119, United States",oakhall.com
Lansky at The Peabody,https://www.google.com/maps/place/Lansky+at+The+Peabody/data=!4m7!3m6!1s0x87d57e96b026f2bd:0x6f6ba8e3cc33f6bb!8m2!3d35.142642!4d-90.0519507!16s%2Fg%2F1tc_x40v!19sChIJvfImsJZ-1YcRu_YzzOOoa28?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.7,128,+1 901-529-9070,"149 Union Ave, Memphis, TN 38103, United States",lanskybros.com
MUSE INSPIRED FASHION,https://www.google.com/maps/place/MUSE+INSPIRED+FASHION/data=!4m7!3m6!1s0x87d57ea3c43aa3bb:0xc84a48b3dc35d402!8m2!3d35.1420076!4d-90.0542701!16s%2Fg%2F1tj4hl8_!19sChIJu6M6xKN-1YcRAtQ13LNISsg?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.9,11,+1 901-526-8738,"117 S Main St, Memphis, TN 38103, United States",museinspiredfashion.com
M&K Men's Fashion Suits Memphis Prom Sport Jackets Slim,https://www.google.com/maps/place/M%26K+Men%27s+Fashion+Suits+Memphis+Prom+Sport+Jackets+Slim/data=!4m7!3m6!1s0x887f85c82586c02b:0x55d3af5e8a77400b!8m2!3d35.0751598!4d-89.9079984!16s%2Fg%2F11bxf_v6c_!19sChIJK8CGJciFf4gRC0B3il6v01U?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.4,145,+1 901-654-3289,"2671 S Perkins Rd, Memphis, TN 38118, United States",mkmemphis.com
FOX+CATVINTAGE,https://www.google.com/maps/place/FOX%2BCATVINTAGE/data=!4m7!3m6!1s0x887f874d5b18cc69:0x1f11e42b3b67d4c3!8m2!3d35.1256777!4d-89.9901236!16s%2Fg%2F11c5bhfjcw!19sChIJacwYW02Hf4gRw9RnOyvkER8?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.8,81,+1 901-409-6117,"2153 Central Ave, Memphis, TN 38104, United States",foxandcatvintage.com
Indigo,https://www.google.com/maps/place/Indigo/data=!4m7!3m6!1s0x887f9ba7fce45b99:0x5a23f897f3fd1aa4!8m2!3d35.1025623!4d-89.857355!16s%2Fg%2F1v_z527q!19sChIJmVvk_Kebf4gRpBr985f4I1o?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.5,21,+1 901-755-6909,"6150 Poplar Ave, Memphis, TN 38119, United States",shopindigo.com
STEP UP FASHION,https://www.google.com/maps/place/STEP+UP+FASHION/data=!4m7!3m6!1s0x887f850ae093720f:0x736ed31e92daf194!8m2!3d35.0632829!4d-89.8872728!16s%2Fg%2F1tf4ft1v!19sChIJD3KT4AqFf4gRlPHakh7TbnM?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.9,61,+1 901-433-8343,"3133 S Mendenhall Rd, Memphis, TN 38115, United States",-
20twelve,https://www.google.com/maps/place/20twelve/data=!4m7!3m6!1s0x887f80c2661d8a0f:0x2792266b863e3a5!8m2!3d35.1025623!4d-89.857355!16s%2Fg%2F11b7f27tyq!19sChIJD4odZsKAf4gRpeNjuGYieQI?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.8,10,+1 901-275-8784,"6150 Poplar Ave #113, Memphis, TN 38119, United States",20twelvedesign.com
VILLAGE MART Clothing and Footwear,https://www.google.com/maps/place/VILLAGE+MART+Clothing+and+Footwear/data=!4m7!3m6!1s0x87d562ccdaa0d3f5:0xbc8ee6dd36514bce!8m2!3d35.036906!4d-90.023308!16s%2Fg%2F1vq75d7g!19sChIJ9dOg2sxi1YcRzktRNt3mjrw?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,4.1,171,+1 901-346-1122,"4084 Elvis Presley Blvd, Memphis, TN 38116, United States",-
Envy Chic Couture Boutique,https://www.google.com/maps/place/Envy+Chic+Couture+Boutique/data=!4m7!3m6!1s0x887f85af7c7c0143:0x9645c973044398ce!8m2!3d35.1088684!4d-89.9869202!16s%2Fg%2F11gmvkr1rk!19sChIJQwF8fK-Ff4gRzphDBHPJRZY?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,5.0,211,+1 901-268-5242,"2276 Park Ave, Memphis, TN 38114, United States",envychiccoutureboutique.com
FAST Boutique LLC,https://www.google.com/maps/place/FAST+Boutique+LLC/data=!4m7!3m6!1s0x887f85ef5c018463:0xf57fea1aa4809e80!8m2!3d35.0610623!4d-89.8624678!16s%2Fg%2F11rmry01mx!19sChIJY4QBXO-Ff4gRgJ6ApBrqf_U?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,5.0,185,+1 901-474-7174,"6030 Knight Arnold Rd Extended Suite 102, Memphis, TN 38115, United States",fastboutique901.com
ODDS Atelier,https://www.google.com/maps/place/ODDS+Atelier/data=!4m7!3m6!1s0x87d57f289677d251:0x7bbb70b4daa8f7d0!8m2!3d35.1377373!4d-90.0563222!16s%2Fg%2F11nmm1j83w!19sChIJUdJ3lih_1YcR0Peo2rRwu3s?authuser=0&hl=en&rclk=1,Clothing stores in Memphis Tennessee,5.0,12,+1 901-779-7743,"304 S Main St, Memphis, TN 38103, United States",oddsatelier.com
