Name,URL,Query,Rating,Reviews,Phone,Address,Website
Kohl's,https://www.google.com/maps/place/Kohl%27s/data=!4m7!3m6!1s0x89c257e8f18eb161:0x289a272e9d918f5b!8m2!3d40.7917366!4d-74.0520629!16s%2Fg%2F1v2f1f7s!19sChIJYbGO8ehXwokRW4-RnS4nmig?authuser=0&hl=en&rclk=1,Clothing stores in New York New York,4.3,2577,+1 201-553-9143,"3 Mill Creek Dr, Secaucus, NJ 07094, United States",kohls.com
Splendid,https://www.google.com/maps/place/Splendid/data=!4m7!3m6!1s0x89c2598eaffb532d:0x6b497c2957a73b5d!8m2!3d40.723756!4d-73.9996753!16s%2Fg%2F11g_f00rs!19sChIJLVP7r45ZwokRXTunVyl8SWs?authuser=0&hl=en&rclk=1,Clothing stores in New York New York,4.3,21,+1 212-966-6600,"111 Spring St, New York, NY 10012, United States",splendid.com
UNIQLO 5th Avenue,https://www.google.com/maps/place/UNIQLO+5th+Avenue/data=!4m7!3m6!1s0x89c258fbea19da6f:0x55cb1d86a6ae7ba9!8m2!3d40.7604228!4d-73.9760834!16s%2Fg%2F1pt_24pb2!19sChIJb9oZ6vtYwokRqXuupoYdy1U?authuser=0&hl=en&rclk=1,Clothing stores in New York New York,4.5,7529,-,"660 5th Ave, New York, NY 10103, United States",uniqlo.com
Dover Street Market New York,https://www.google.com/maps/place/Dover+Street+Market+New+York/data=!4m7!3m6!1s0x89c25908147e2f4d:0x708cff5aee1ebb71!8m2!3d40.7441358!4d-73.981773!16s%2Fg%2F11b725zr3d!19sChIJTS9-FAhZwokRcbse7lr_jHA?authuser=0&hl=en&rclk=1,Clothing stores in New York New York,4.3,832,+1 646-837-7750,"160 Lexington Ave, New York, NY 10016, United States",newyork.doverstreetmarket.com
T.J. Maxx,https://www.google.com/maps/place/T.J.+Maxx/data=!4m7!3m6!1s0x89c258e774efe9e9:0x3dbf9135197bdc76!8m2!3d40.7595404!4d-73.961351!16s%2Fg%2F11cfctgsq!19sChIJ6envdOdYwokRdtx7GTWRvz0?authuser=0&hl=en&rclk=1,Clothing stores in New York New York,4.3,2218,+1 212-486-2142,"407 E 59th St, New York, NY 10022, United States",tjmaxx.tjx.com
Looks Vintage Clothing,https://www.google.com/maps/place/Looks+Vintage+Clothing/data=!4m7!3m6!1s0x89c259fa68894c4d:0xbfdc01d846f2a2da!8m2!3d40.7278792!4d-73.9945333!16s%2Fg%2F11s02ss2jy!19sChIJTUyJaPpZwokR2qLyRtgB3L8?authuser=0&hl=en&rclk=1,Clothing stores in New York New York,5.0,1356,+1 518-424-8185,"684 Broadway, New York, NY 10012, United States",looksvintage.com
LOFT,https://www.google.com/maps/place/LOFT/data=!4m7!3m6!1s0x89c259ab32f823fd:0x3442ae4d1de8fc53!8m2!3d40.7556676!4d-73.9870445!16s%2Fg%2F1jljy1d63!19sChIJ_SP4MqtZwokRU_zoHU2uQjQ?authuser=0&hl=en&rclk=1,Clothing stores in New York New York,4.3,543,+1 212-704-4195,"1459 Broadway, New York, NY 10036, United States",loft.com
De Janeiro Stores,https://www.google.com/maps/place/De+Janeiro+Stores/data=!4m7!3m6!1s0x89c25903d03272bd:0x3e8770c11ab810e9!8m2!3d40.7507353!4d-73.9760607!16s%2Fg%2F11gbx8w3tk!19sChIJvXIy0ANZwokR6RC4GsFwhz4?authuser=0&hl=en&rclk=1,Clothing stores in New York New York,4.3,119,+1 212-983-0333,"375 Lexington Ave, New York, NY 10017, United States",dejny.com
ONS Clothing,https://www.google.com/maps/place/ONS+Clothing/data=!4m7!3m6!1s0x89c259360715ec8b:0x2e13d2fbd563389c!8m2!3d40.7215521!4d-73.9967131!16s%2Fg%2F11jj344fc2!19sChIJi-wVBzZZwokRnDhj1fvSEy4?authuser=0&hl=en&rclk=1,Clothing stores in New York New York,4.9,180,+1 646-609-2626,"201 Mulberry St, New York, NY 10012, United States",onsclothing.com
T.J. Maxx,https://www.google.com/maps/place/T.J.+Maxx/data=!4m7!3m6!1s0x89c258f7dcf442db:0x40a5341cb8dc7eac!8m2!3d40.7665182!4d-73.9827963!16s%2Fg%2F1hc198bd2!19sChIJ20L03PdYwokRrH7cuBw0pUA?authuser=0&hl=en&rclk=1,Clothing stores in New York New York,4.1,5220,+1 212-245-6201,"250 W 57th St, New York, NY 10107, United States",tjmaxx.tjx.com
