Name,URL,Query,Rating,Reviews,Phone,Address,Website
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x80dc01f2aad783ab:0x4d0c73b98c281397!8m2!3d32.7967533!4d-117.2559459!16s%2Fg%2F1tj3lcl1!19sChIJq4PXqvIB3IARlxMojLlzDE0?authuser=0&hl=en&rclk=1,Clothing stores in San Diego California,4.0,130,+1 858-273-3942,"4516 Mission Blvd, San Diego, CA 92109, United States",urbanoutfitters.com
Day to Day Vintage,https://www.google.com/maps/place/Day+to+Day+Vintage/data=!4m7!3m6!1s0x80d9552a1ee66dd7:0x86f28ca5796ebd4c!8m2!3d32.748232!4d-117.127877!16s%2Fg%2F11p3_42c5v!19sChIJ123mHipV2YARTL1ueaWM8oY?authuser=0&hl=en&rclk=1,Clothing stores in San Diego California,5.0,902,+1 858-218-6795,"3063 University Ave, San Diego, CA 92104, United States",daytodayvintage.com
Ross Dress for Less,https://www.google.com/maps/place/Ross+Dress+for+Less/data=!4m7!3m6!1s0x80d954a7c664ed1b:0x81f406add381406a!8m2!3d32.7169761!4d-117.1606435!16s%2Fg%2F1w2yzr72!19sChIJG-1kxqdU2YARakCB060G9IE?authuser=0&hl=en&rclk=1,Clothing stores in San Diego California,4.1,2605,+1 619-231-7154,"428 C St, San Diego, CA 92101, United States",rossstores.com
Rare Bloom Boutique,https://www.google.com/maps/place/Rare+Bloom+Boutique/data=!4m7!3m6!1s0x80deaba2ea5e2165:0x6ce95debdb429daf!8m2!3d32.7207472!4d-117.2308398!16s%2Fg%2F1q2wf5_3w!19sChIJZSFe6qKr3oARr51C2-td6Ww?authuser=0&hl=en&rclk=1,Clothing stores in San Diego California,4.9,22,+1 619-677-7160,"2841 Cañon St UNIT G, San Diego, CA 92106, United States",rarebloomboutique.com
Miss Match Boutique OB,https://www.google.com/maps/place/Miss+Match+Boutique+OB/data=!4m7!3m6!1s0x80deaa39ffd99c63:0xa445e3f95efa451f!8m2!3d32.74631!4d-117.249816!16s%2Fg%2F1v9t_6cj!19sChIJY5zZ_zmq3oARH0X6XvnjRaQ?authuser=0&hl=en&rclk=1,Clothing stores in San Diego California,4.6,94,+1 619-223-5500,"4932 Newport Ave, San Diego, CA 92107, United States",missmatchsd.com
Wild Dove Boutique,https://www.google.com/maps/place/Wild+Dove+Boutique/data=!4m7!3m6!1s0x80d9535914f14f6b:0x7cfdcfdf9ca251ad!8m2!3d32.7116476!4d-117.1576798!16s%2Fg%2F11c530h_0d!19sChIJa0_xFFlT2YARrVGinN_P_Xw?authuser=0&hl=en&rclk=1,Clothing stores in San Diego California,4.4,38,+1 619-775-7665,"740 Market St, San Diego, CA 92101, United States",shopwilddove.com
Tribal Streetwear,https://www.google.com/maps/place/Tribal+Streetwear/data=!4m7!3m6!1s0x80d953670bf31a6d:0xd0d9f87f9858538d!8m2!3d32.710203!4d-117.148251!16s%2Fg%2F1hc371v5b!19sChIJbRrzC2dT2YARjVNYmH_42dA?authuser=0&hl=en&rclk=1,Clothing stores in San Diego California,4.5,66,+1 619-527-1880,"465 17th St, San Diego, CA 92101, United States",shop.tribalgear.com
Express,https://www.google.com/maps/place/Express/data=!4m7!3m6!1s0x80d9553162b758f9:0xc7a3664b71671894!8m2!3d32.768568!4d-117.165616!16s%2Fg%2F1tfs1c3f!19sChIJ-Vi3YjFV2YARlBhncUtmo8c?authuser=0&hl=en&rclk=1,Clothing stores in San Diego California,4.2,85,+1 619-296-8161,"7007 Friars Rd, San Diego, CA 92108, United States",stores.express.com
Bluza Boutique,https://www.google.com/maps/place/Bluza+Boutique/data=!4m7!3m6!1s0x80d954add43594bf:0xb7aae7bc733b82ae!8m2!3d32.7213052!4d-117.1680357!16s%2Fg%2F11c7p0vljq!19sChIJv5Q11K1U2YARroI7c7znqrc?authuser=0&hl=en&rclk=1,Clothing stores in San Diego California,5.0,12,+1 619-955-5554,"1501 India St #104, San Diego, CA 92101, United States",bluzaboutique.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x80d95531b908d843:0xfdf8c1d6c83bbd2f!8m2!3d32.7677306!4d-117.1680462!16s%2Fg%2F12vthfnv3!19sChIJQ9gIuTFV2YARL707yNbB-P0?authuser=0&hl=en&rclk=1,Clothing stores in San Diego California,4.2,420,+1 619-542-1423,"7007 Friars Rd #250-A, San Diego, CA 92108, United States",urbanoutfitters.com
