Name,URL,Query,Rating,Reviews,Phone,Address,Website
UNIQLO Stonestown Galleria,https://www.google.com/maps/place/UNIQLO+Stonestown+Galleria/data=!4m7!3m6!1s0x808f7dba37ccbf31:0xb9db55bbb027c5ee!8m2!3d37.7292272!4d-122.4767096!16s%2Fg%2F1ptx088w5!19sChIJMb_MN7p9j4AR7sUnsLtV27k?authuser=0&hl=en&rclk=1,Clothing stores in San Francisco California,4.3,446,+1 855-486-4756,"3251 20th Ave Space 148, San Francisco, CA 94132, United States",uniqlo.com
dress,https://www.google.com/maps/place/dress/data=!4m7!3m6!1s0x808580d69f489aad:0x7e4e86e049583dbf!8m2!3d37.8001583!4d-122.4406433!16s%2Fg%2F1tdy4pw2!19sChIJrZpIn9aAhYARvz1YSeCGTn4?authuser=0&hl=en&rclk=1,Clothing stores in San Francisco California,4.1,15,+1 415-860-7998,"2271 Chestnut St, San Francisco, CA 94123, United States",dresssanfrancisco.com
Angelic Pretty San Francisco,https://www.google.com/maps/place/Angelic+Pretty+San+Francisco/data=!4m7!3m6!1s0x808580885ae091af:0x44966ca5b7127d0!8m2!3d37.7881202!4d-122.4037131!16s%2Fg%2F11b5yy85wf!19sChIJr5HgWoiAhYAR0CdxW8pmSQQ?authuser=0&hl=en&rclk=1,Clothing stores in San Francisco California,4.6,79,+1 415-788-0862,"15 Kearny St, San Francisco, CA 94108, United States",angelicpretty.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x8085808f582b3ba1:0x282afe3754f5e88f!8m2!3d37.7853812!4d-122.4077033!16s%2Fg%2F1td0n7l6!19sChIJoTsrWI-AhYARj-j1VDf-Kig?authuser=0&hl=en&rclk=1,Clothing stores in San Francisco California,4.1,873,+1 415-989-1515,"80 Powell St, San Francisco, CA 94102, United States",urbanoutfitters.com
Ross Dress for Less,https://www.google.com/maps/place/Ross+Dress+for+Less/data=!4m7!3m6!1s0x80858086241aa733:0xd230f063b698fd33!8m2!3d37.7856544!4d-122.4052753!16s%2Fg%2F1tgfdljm!19sChIJM6caJIaAhYARM_2YtmPwMNI?authuser=0&hl=en&rclk=1,Clothing stores in San Francisco California,4.2,5444,+1 415-957-9222,"799 Market St, San Francisco, CA 94103, United States",rossstores.com
Cary Lane,https://www.google.com/maps/place/Cary+Lane/data=!4m7!3m6!1s0x808580a245925a89:0x484121ffa3448e3f!8m2!3d37.7695894!4d-122.4490775!16s%2Fg%2F1tk63bpx!19sChIJiVqSRaKAhYARP45Eo_8hQUg?authuser=0&hl=en&rclk=1,Clothing stores in San Francisco California,4.5,54,+1 415-896-4210,"1615 Haight St, San Francisco, CA 94117, United States",carylanesf.com
Bloomingdale's,https://www.google.com/maps/place/Bloomingdale%27s/data=!4m7!3m6!1s0x808580866c2989cb:0xd97b27f720bcf7c8!8m2!3d37.7837826!4d-122.4057398!16s%2Fg%2F1thgbpcm!19sChIJy4kpbIaAhYARyPe8IPcne9k?authuser=0&hl=en&rclk=1,Clothing stores in San Francisco California,4.2,2142,+1 415-856-5300,"845 Market St, San Francisco, CA 94103, United States",bloomingdales.com
Short Story,https://www.google.com/maps/place/Short+Story/data=!4m7!3m6!1s0x808f7fd45791e4b5:0xcd363b2fba46e899!8m2!3d37.7639259!4d-122.3905326!16s%2Fg%2F11fhrym_th!19sChIJteSRV9R_j4ARmehGui87Ns0?authuser=0&hl=en&rclk=1,Clothing stores in San Francisco California,4.8,219,+1 415-917-3072,"645 Mariposa St, San Francisco, CA 94107, United States",shortstorybox.com
Ambiance SF,https://www.google.com/maps/place/Ambiance+SF/data=!4m7!3m6!1s0x8085875c4de65af3:0x9fb404303e276331!8m2!3d37.764192!4d-122.4661629!16s%2Fg%2F1hc8dm1y6!19sChIJ81rmTVyHhYARMWMnPjAEtJ8?authuser=0&hl=en&rclk=1,Clothing stores in San Francisco California,4.4,49,+1 415-661-1663,"756 Irving St, San Francisco, CA 94122, United States",ambiancesf.com
Love on Haight,https://www.google.com/maps/place/Love+on+Haight/data=!4m7!3m6!1s0x808580acc02dcb47:0x2ea3667de7278589!8m2!3d37.7702806!4d-122.445566!16s%2Fg%2F11xms7dd1!19sChIJR8stwKyAhYARiYUn531moy4?authuser=0&hl=en&rclk=1,Clothing stores in San Francisco California,4.7,330,+1 415-817-1027,"1400 Haight St, San Francisco, CA 94117, United States",loveonhaightsf.com
