Name,URL,Query,Rating,Reviews,Phone,Address,Website
Hidden Hype,https://www.google.com/maps/place/Hidden+Hype/data=!4m7!3m6!1s0x808e33d6047ac985:0x870995bf8946347b!8m2!3d37.2521668!4d-121.8635451!16s%2Fg%2F11gblflqp9!19sChIJhcl6BNYzjoARezRGib-VCYc?authuser=0&hl=en&rclk=1,Clothing stores in San Jose California,4.8,197,+1 408-784-3602,"925 Blossom Hill Rd #1276, San Jose, CA 95123, United States",hiddenhype.com
Windsor,https://www.google.com/maps/place/Windsor/data=!4m7!3m6!1s0x808e339362fec01f:0xfc154f11634b7ca9!8m2!3d37.3256289!4d-121.8139115!16s%2Fg%2F11h4k8xz64!19sChIJH8D-YpMzjoARqXxLYxFPFfw?authuser=0&hl=en&rclk=1,Clothing stores in San Jose California,4.0,7,+1 888-495-4957,"2200 Eastridge Loop #1044, San Jose, CA 95122, United States",windsorstore.com
Jeans Palace,https://www.google.com/maps/place/Jeans+Palace/data=!4m7!3m6!1s0x808fcb46edc0fcab:0x185717cca45c93e4!8m2!3d37.3239428!4d-121.9204505!16s%2Fg%2F1vg6tzw3!19sChIJq_zA7UbLj4AR5JNcpMwXVxg?authuser=0&hl=en&rclk=1,Clothing stores in San Jose California,4.6,288,+1 408-286-8001,"1635 W San Carlos St, San Jose, CA 95128, United States",-
Black and Brown,https://www.google.com/maps/place/Black+and+Brown/data=!4m7!3m6!1s0x808fcb5a808e1653:0x6adcbeeb0b993623!8m2!3d37.324024!4d-121.9045093!16s%2Fg%2F1hc7jzzrt!19sChIJUxaOgFrLj4ARIzaZC-u-3Go?authuser=0&hl=en&rclk=1,Clothing stores in San Jose California,4.2,143,+1 408-298-1970,"751 W San Carlos St, San Jose, CA 95126, United States",shopblackandbrown.com
Marshalls,https://www.google.com/maps/place/Marshalls/data=!4m7!3m6!1s0x808fcb638e1d3c89:0x335e795cef5beec9!8m2!3d37.3388682!4d-121.9059681!16s%2Fg%2F1th576t3!19sChIJiTwdjmPLj4ARye5b71x5XjM?authuser=0&hl=en&rclk=1,Clothing stores in San Jose California,4.2,896,+1 408-275-8919,"535 Coleman Ave, San Jose, CA 95110, United States",marshalls.com
Nordstrom Rack,https://www.google.com/maps/place/Nordstrom+Rack/data=!4m7!3m6!1s0x808fcaabc6f78145:0xea82e2057a54ef9f!8m2!3d37.2930334!4d-121.987204!16s%2Fg%2F1tfg39_h!19sChIJRYH3xqvKj4ARn-9UegXiguo?authuser=0&hl=en&rclk=1,Clothing stores in San Jose California,4.1,1250,+1 408-374-4144,"1600 Saratoga Ave, San Jose, CA 95129, United States",stores.nordstromrack.com
San Jose Blue Jeans,https://www.google.com/maps/place/San+Jose+Blue+Jeans/data=!4m7!3m6!1s0x808fcd5c9de3d29d:0x29b4e69f0aa005cd!8m2!3d37.3541806!4d-121.81955!16s%2Fg%2F1tftlg1s!19sChIJndLjnVzNj4ARzQWgCp_mtCk?authuser=0&hl=en&rclk=1,Clothing stores in San Jose California,4.7,398,+1 408-926-9606,"3062 Story Rd, San Jose, CA 95127, United States",facebook.com
Plato's Closet San Jose,https://www.google.com/maps/place/Plato%27s+Closet+San+Jose/data=!4m7!3m6!1s0x808e33d5ced21377:0x4086c04268672a28!8m2!3d37.2539128!4d-121.8602973!16s%2Fg%2F1tqt9xh2!19sChIJdxPSztUzjoARKCpnaELAhkA?authuser=0&hl=en&rclk=1,Clothing stores in San Jose California,3.6,286,+1 669-696-3423,"5440 Thornwood Dr H, San Jose, CA 95123, United States",platoscloset.com
Moon Zooom,https://www.google.com/maps/place/Moon+Zooom/data=!4m7!3m6!1s0x808fcb46e4dc51bf:0xa8b9713b38b95232!8m2!3d37.3232498!4d-121.9212188!16s%2Fg%2F1hc7s9z07!19sChIJv1Hc5EbLj4ARMlK5ODtxuag?authuser=0&hl=en&rclk=1,Clothing stores in San Jose California,4.5,139,+1 408-287-5876,"1630 W San Carlos St, San Jose, CA 95128, United States",-
Madewell,https://www.google.com/maps/place/Madewell/data=!4m7!3m6!1s0x808fcae002de9b63:0xd4821ec87a16b42c!8m2!3d37.3214751!4d-121.9475797!16s%2Fg%2F12hkc1v3d!19sChIJY5veAuDKj4ARLLQWesgegtQ?authuser=0&hl=en&rclk=1,Clothing stores in San Jose California,4.3,77,+1 408-984-4854,"334 Santana Row Suite 1095, San Jose, CA 95128, United States",stores.madewell.com
