Name,URL,Query,Rating,Reviews,Phone,Address,Website
Education Service Center Region 13,https://www.google.com/maps/place/Education+Service+Center+Region+13/data=!4m7!3m6!1s0x8644b620e4d29a4b:0x442d6af515400b19!8m2!3d30.2999229!4d-97.6709213!16s%2Fg%2F1ttq2hkn!19sChIJS5rS5CC2RIYRGQtAFfVqLUQ?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,4.5,34,+1 512-919-5313,"5701 Springdale Rd, Austin, TX 78723, United States",esc13.net
Texas Education Services / Servicios Educativos de Texas LLC,https://www.google.com/maps/place/Texas+Education+Services+%2F+Servicios+Educativos+de+Texas+LLC/data=!4m7!3m6!1s0x8644c991ab79e5e5:0x871e453141330374!8m2!3d30.3335824!4d-97.684956!16s%2Fg%2F11c58nhqf4!19sChIJ5eV5q5HJRIYRdAMzQTFFHoc?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,0.0,0,+1 512-800-6654,"7901 Cameron Rd #302, Austin, TX 78754, United States",-
CES - Counseling and Education Services,https://www.google.com/maps/place/CES+-+Counseling+and+Education+Services/data=!4m7!3m6!1s0x8644ca113c8df7c7:0x5bd3999c3b7d5180!8m2!3d30.3166424!4d-97.7126065!16s%2Fg%2F1ydpvbhf5!19sChIJx_eNPBHKRIYRgFF9O5yZ01s?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,2.9,18,+1 512-854-9540,"5501 Airport Blvd, Austin, TX 78751, United States",traviscountytx.gov
ACES (Austin Chinese Education Services),https://www.google.com/maps/place/ACES+%28Austin+Chinese+Education+Services%29/data=!4m7!3m6!1s0x865b32ca2e38620d:0x19245aedaa46ec89!8m2!3d30.4544726!4d-97.788962!16s%2Fg%2F1tmpfbss!19sChIJDWI4LsoyW4YRiexGqu1aJBk?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,3.5,11,+1 512-650-8408,"13581 Pond Springs Rd #200, Austin, TX 78729, United States",aces4kids.com
Education Resource of Texas,https://www.google.com/maps/place/Education+Resource+of+Texas/data=!4m7!3m6!1s0x865b4ca8be0c2715:0x6664b39f2baadafc!8m2!3d30.3077609!4d-97.7557424!16s%2Fg%2F1260wcbtm!19sChIJFScMvqhMW4YR_NqqK5-zZGY?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,4.9,7,+1 512-786-3673,-,educationresourceoftexas.com
ATX Learning,https://www.google.com/maps/place/ATX+Learning/data=!4m7!3m6!1s0x8644cfd48d7f5813:0x4aa612adb99f0209!8m2!3d45.9579786!4d-129.1052858!16s%2Fg%2F11h_kfn17y!19sChIJE1h_jdTPRIYRCQKfua0Spko?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,4.8,42,+1 800-846-5120,-,atxlearning.com
Diagnostic Learning Services - Austin,https://www.google.com/maps/place/Diagnostic+Learning+Services+-+Austin/data=!4m7!3m6!1s0x865b32b121c73b2b:0x6bb5fea1a76355f3!8m2!3d30.3429239!4d-97.7067433!16s%2Fg%2F11c0rnxnq_!19sChIJKzvHIbEyW4YR81Vjp6H-tWs?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,4.9,49,+1 512-633-0990,"111 W Anderson Ln. Building E Suite 346B, Austin, TX 78752, United States",diagnostic-learning.com
Alt Ed Austin,https://www.google.com/maps/place/Alt+Ed+Austin/data=!4m7!3m6!1s0x8644b51791457245:0x89f0ba54b52e60cd!8m2!3d30.3077609!4d-97.7557424!16s%2Fg%2F11b6gd7rn0!19sChIJRXJFkRe1RIYRzWAutVS68Ik?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,5.0,6,+1 512-731-0174,-,altedaustin.com
HOFT Institute - House of Tutors,https://www.google.com/maps/place/HOFT+Institute+-+House+of+Tutors/data=!4m7!3m6!1s0x8644b579f54963f7:0xece510e05f3d9b6e!8m2!3d30.2883087!4d-97.7469813!16s%2Fg%2F1tlbpjwk!19sChIJ92NJ9Xm1RIYRbps9X-AQ5ew?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,4.8,141,+1 512-472-6666,"2400 Pearl St, Austin, TX 78705, United States",hoft.edu
Yes Class Austin,https://www.google.com/maps/place/Yes+Class+Austin/data=!4m7!3m6!1s0x865b32b7743986fb:0xcafe08c394d421c1!8m2!3d30.4468048!4d-97.7951337!16s%2Fg%2F11b6vj3vrr!19sChIJ-4Y5dLcyW4YRwSHUlMMI_so?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,5.0,2,+1 512-777-5127,"9801 Anderson Mill Rd STE 206, Austin, TX 78750, United States",-
Texas Executive Education,https://www.google.com/maps/place/Texas+Executive+Education/data=!4m7!3m6!1s0x8644b59b2584cfb7:0x2025c89406b41954!8m2!3d30.2815095!4d-97.7401174!16s%2Fg%2F1tg163g8!19sChIJt8-EJZu1RIYRVBm0BpTIJSA?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,4.3,3,+1 512-471-5893,"1900 University Ave Suite L078, Austin, TX 78705, United States",mccombs.utexas.edu
Academic Answers,https://www.google.com/maps/place/Academic+Answers/data=!4m7!3m6!1s0x865b4a9bcbfc1799:0x8d68e822d7df0677!8m2!3d30.2804334!4d-97.8235922!16s%2Fg%2F1tg79gb1!19sChIJmRf8y5tKW4YRdwbf1yLoaI0?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,4.0,20,+1 512-306-8567,"1250 S Capital of Texas Hwy Building 3, Suite 400, Austin, TX 78746, United States",academic-answers.com
Education My Way,https://www.google.com/maps/place/Education+My+Way/data=!4m7!3m6!1s0xaf3a42c79a99895f:0xc867ab919f0f7b48!8m2!3d29.9379065!4d-95.4506263!16s%2Fg%2F11tj5wcxzh!19sChIJX4mZmsdCOq8RSHsPn5GrZ8g?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,5.0,1,+1 713-528-8980,-,-
Austin Learning Solutions,https://www.google.com/maps/place/Austin+Learning+Solutions/data=!4m7!3m6!1s0x865b4a8272f3d919:0x95ae945dfecafcf7!8m2!3d30.293254!4d-97.821747!16s%2Fg%2F1tp08jmk!19sChIJGdnzcoJKW4YR9_zK_l2UrpU?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,5.0,10,+1 512-609-0745,"5450 Bee Caves Rd #3b, Austin, TX 78746, United States",austinlearningsolutions.com
JEI Learning Center,https://www.google.com/maps/place/JEI+Learning+Center/data=!4m7!3m6!1s0x8644cd27ba8c26a7:0x79c4317b63d8106d!8m2!3d30.4365449!4d-97.7724687!16s%2Fg%2F1261dxwjj!19sChIJpyaMuifNRIYRbRDYY3sxxHk?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,4.8,5,+1 512-720-1838,"12885 Research Blvd #107, Austin, TX 78750, United States",jeilearning.com
Texas Education Agency,https://www.google.com/maps/place/Texas+Education+Agency/data=!4m7!3m6!1s0x86612124c5fc2091:0xcbb47f49673f67b8!8m2!3d30.2791674!4d-97.7379896!16s%2Fg%2F1tdmv_zh!19sChIJkSD8xSQhYYYRuGc_Z0l_tMs?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,1.5,138,+1 512-463-9734,"William B. Travis Building, Congress Ave., Austin, TX 78701, United States",tea.texas.gov
Fathom Corporate Training,https://www.google.com/maps/place/Fathom+Corporate+Training/data=!4m7!3m6!1s0x8644cb05ba0712f5:0x5cb646e24cb09430!8m2!3d30.3077609!4d-97.7557424!16s%2Fg%2F1tt1t1z9!19sChIJ9RIHugXLRIYRMJSwTOJGtlw?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,5.0,11,+1 512-689-4600,-,fathomtraining.com
Texas Empowerment Academy,https://www.google.com/maps/place/Texas+Empowerment+Academy/data=!4m7!3m6!1s0x8644b5a4cd3ec05d:0x5dec9c59df1aa22b!8m2!3d30.3147924!4d-97.681338!16s%2Fg%2F1tx47fky!19sChIJXcA-zaS1RIYRK6Ia31mc7F0?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,4.0,7,+1 512-494-1076,"6414 N Hampton Dr, Austin, TX 78723, United States",texasempowerment.org
Eze Learning Center for Healthcare Professions,https://www.google.com/maps/place/Eze+Learning+Center+for+Healthcare+Professions/data=!4m7!3m6!1s0x8644cbddba882d55:0x7a35a6f6d5b31d27!8m2!3d30.3674724!4d-97.7058221!16s%2Fg%2F1q6jjl5f6!19sChIJVS2Iut3LRIYRJx2z1famNXo?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,4.6,23,+1 512-719-3007,"9411 Parkfield Dr #310, Austin, TX 78758, United States",-
Capitol School of Austin,https://www.google.com/maps/place/Capitol+School+of+Austin/data=!4m7!3m6!1s0x8644ca57769b0c59:0x84a48de316870848!8m2!3d30.3337909!4d-97.7390326!16s%2Fg%2F1tdnx8x6!19sChIJWQybdlfKRIYRSAiHFuONpIQ?authuser=0&hl=en&rclk=1,Educational Services in Austin Texas,5.0,3,+1 512-467-7006,"2011 W Koenig Ln, Austin, TX 78756, United States",capitolschool.com
