Name,URL,Query,Rating,Reviews,Phone,Address,Website
Gibson Educational Services,https://www.google.com/maps/place/Gibson+Educational+Services/data=!4m7!3m6!1s0x864e99e74e6cbd61:0x4cba3f7ec05925a!8m2!3d32.7412686!4d-96.84632!16s%2Fg%2F11fd54zynz!19sChIJYb1sTueZToYRWpIF7PejywQ?authuser=0&hl=en&rclk=1,Educational Services in Dallas Texas,4.5,12,+1 214-903-0664,-,gibsoneducationalservices.com
"Valued Educational Services, LLC","https://www.google.com/maps/place/Valued+Educational+Services,+LLC/data=!4m7!3m6!1s0x864c20c29cc60aef:0x7d581d0853e4ebe3!8m2!3d32.9250357!4d-96.8138948!16s%2Fg%2F11h5q8pbsx!19sChIJ7wrGnMIgTIYR4-vkUwgdWH0?authuser=0&hl=en&rclk=1",Educational Services in Dallas Texas,5.0,1,+1 972-765-3627,"5520 Lyndon B Johnson Fwy, Dallas, TX 75240, United States",globalves.com
Archimedes Educational Services LLC,https://www.google.com/maps/place/Archimedes+Educational+Services+LLC/data=!4m7!3m6!1s0x864e999d0ef30c19:0xe8c8ed43f30971b8!8m2!3d32.7860112!4d-96.7997259!16s%2Fg%2F11svchwtmc!19sChIJGQzzDp2ZToYRuHEJ80PtyOg?authuser=0&hl=en&rclk=1,Educational Services in Dallas Texas,5.0,3,+1 469-305-1781,"750 North St. Paul Street Ste 250, Dallas, TX 75201, United States",archimedeseducationalservices.org
A+ Educational Society,https://www.google.com/maps/place/A%2B+Educational+Society/data=!4m7!3m6!1s0x864e9c40d0dbc1e9:0xbbd1c6d76c88f46d!8m2!3d32.8239479!4d-96.864157!16s%2Fg%2F11fzfb7qqj!19sChIJ6cHb0ECcToYRbfSIbNfG0bs?authuser=0&hl=en&rclk=1,Educational Services in Dallas Texas,5.0,10,+1 972-372-4405,"8204 Elmbrook Dr Ste 213, Dallas, TX 75247, United States",-
AES Literacy Institute -ALI,https://www.google.com/maps/place/AES+Literacy+Institute+-ALI/data=!4m7!3m6!1s0x864e9de9eb36198d:0x4ada408bdf07cb41!8m2!3d32.8239479!4d-96.864157!16s%2Fg%2F11h6qkgbh1!19sChIJjRk26-mdToYRQcsH34tA2ko?authuser=0&hl=en&rclk=1,Educational Services in Dallas Texas,4.9,133,+1 972-889-9979,"8204 Elmbrook Dr Ste 213, Dallas, TX 75247, United States",alihsedu.org
LNESC Upward Bound,https://www.google.com/maps/place/LNESC+Upward+Bound/data=!4m7!3m6!1s0x864e9a25d5b720f1:0xefd839888b32de80!8m2!3d32.7414341!4d-96.8446059!16s%2Fg%2F1tfrblgt!19sChIJ8SC31SWaToYRgN4yi4g52O8?authuser=0&hl=en&rclk=1,Educational Services in Dallas Texas,4.8,10,+1 214-943-2528,"345 S Edgefield Ave, Dallas, TX 75208, United States",lnesc.org
Risepoint,https://www.google.com/maps/place/Risepoint/data=!4m7!3m6!1s0x864e992120031e31:0x32a0a6e41f9823da!8m2!3d32.7875445!4d-96.796066!16s%2Fg%2F125_xcvbb!19sChIJMR4DICGZToYR2iOYH-SmoDI?authuser=0&hl=en&rclk=1,Educational Services in Dallas Texas,4.4,82,+1 855-593-6050,"700 N Pearl St #600, Dallas, TX 75201, United States",risepoint.com
Big Rock Educational Services,https://www.google.com/maps/place/Big+Rock+Educational+Services/data=!4m7!3m6!1s0x864e991700194fad:0x6513c34378d95a68!8m2!3d32.7787323!4d-96.8056046!16s%2Fg%2F11fk0blh5s!19sChIJrU8ZABeZToYRaFrZeEPDE2U?authuser=0&hl=en&rclk=1,Educational Services in Dallas Texas,0.0,0,+1 214-704-6686,"701 Commerce St, Dallas, TX 75202, United States",bigrockeducation.com
Dallas Learning Center,https://www.google.com/maps/place/Dallas+Learning+Center/data=!4m7!3m6!1s0x864c21dfa5e1ed5f:0x793ae1e9ddaec5cf!8m2!3d32.9617204!4d-96.7514096!16s%2Fg%2F1tczqrwq!19sChIJX-3hpd8hTIYRz8Wu3enhOnk?authuser=0&hl=en&rclk=1,Educational Services in Dallas Texas,5.0,16,+1 972-231-3723,"1021 Newberry Dr, Richardson, TX 75080, United States",dallaslearningcenter.com
Bruscan Educational Information Services,https://www.google.com/maps/place/Bruscan+Educational+Information+Services/data=!4m7!3m6!1s0x864e823a20c08e2b:0xd78aff62f5e322ad!8m2!3d32.8569486!4d-96.9325708!16s%2Fg%2F11gf9gfd6q!19sChIJK47AIDqCToYRrSLj9WL_itc?authuser=0&hl=en&rclk=1,Educational Services in Dallas Texas,4.7,110,+1 214-693-3869,"600 E John W Carpenter Fwy Suite 351, Irving, TX 75062, United States",bruscan.com
Rosie M. Collins Sorrells School of Education & Social Services,https://www.google.com/maps/place/Rosie+M.+Collins+Sorrells+School+of+Education+%26+Social+Services/data=!4m7!3m6!1s0x864e99a45cc80dfb:0xc56bde76fe48113a!8m2!3d32.7518733!4d-96.8061283!16s%2Fm%2F03c_n7r!19sChIJ-w3IXKSZToYROhFI_nbea8U?authuser=0&hl=en&rclk=1,Educational Services in Dallas Texas,4.0,1,+1 972-925-5940,"1201 E 8th St # 111, Dallas, TX 75203, United States",dallasisd.org
