Name,URL,Query,Rating,Reviews,Phone,Address,Website
Detroit Service Learning Academy,https://www.google.com/maps/place/Detroit+Service+Learning+Academy/data=!4m7!3m6!1s0x8824b5fdd632028d:0x5474b07801463698!8m2!3d42.428689!4d-83.2563827!16s%2Fg%2F1yl49gsm4!19sChIJjQIy1v21JIgRmDZGAXiwdFQ?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,3.4,71,+1 313-541-7619,"21605 W Seven Mile Rd, Detroit, MI 48219, United States",detroitsla.org
Wayne Regional Educational Service Agency,https://www.google.com/maps/place/Wayne+Regional+Educational+Service+Agency/data=!4m7!3m6!1s0x883b4e8e9045b475:0x3055de22cfe9a91d!8m2!3d42.2688213!4d-83.3707779!16s%2Fg%2F1ttyxdh2!19sChIJdbRFkI5OO4gRHanpzyLeVTA?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,4.4,18,+1 734-334-1300,"33500 Van Born Rd, Wayne, MI 48184, United States",resa.net
SER YouthBuild Learning Academy,https://www.google.com/maps/place/SER+YouthBuild+Learning+Academy/data=!4m7!3m6!1s0x883b3367fd4e212b:0xf16f810c8980560f!8m2!3d42.3284639!4d-83.1534247!16s%2Fg%2F1v96mgc1!19sChIJKyFO_WczO4gRD1aAiQyBb_E?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,3.6,23,+1 313-945-5200,"9215 Michigan Ave, Detroit, MI 48210, United States",sermetro.org
Hamadeh Educational Services,https://www.google.com/maps/place/Hamadeh+Educational+Services/data=!4m7!3m6!1s0x883b4ab897bfe1f1:0xd3c6ee8272650aa6!8m2!3d42.3398422!4d-83.271118!16s%2Fg%2F1td_hy1p!19sChIJ8eG_l7hKO4gRpgplcoLuxtM?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,3.8,16,+1 313-565-0507,"6919 N Waverly St, Dearborn Heights, MI 48127, United States",hesedu.com
DPR Educational Services,https://www.google.com/maps/place/DPR+Educational+Services/data=!4m7!3m6!1s0x8824c956cbe39513:0x498989f3d4bc283d!8m2!3d42.6774895!4d-83.246131!16s%2Fg%2F11h_x4ss8c!19sChIJE5Xjy1bJJIgRPSi81POJiUk?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,0.0,0,+1 313-587-6010,-,-
International Institute of Metropolitan Detroit,https://www.google.com/maps/place/International+Institute+of+Metropolitan+Detroit/data=!4m7!3m6!1s0x8824d2bd85a083cd:0x166f14e902f9c2f3!8m2!3d42.361003!4d-83.0646437!16s%2Fg%2F1tfq58gj!19sChIJzYOghb3SJIgR88L5AukUbxY?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,4.5,92,+1 313-871-8600,"111 E Kirby St, Detroit, MI 48202, United States",iimd.org
Early Intervention Diagnostic Center (EIDC),https://www.google.com/maps/place/Early+Intervention+Diagnostic+Center+%28EIDC%29/data=!4m7!3m6!1s0x883b33ee9c75d447:0xcfb3ff9f355fc436!8m2!3d42.3404355!4d-83.0896936!16s%2Fg%2F11l2fqsf87!19sChIJR9R1nO4zO4gRNsRfNZ__s88?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,5.0,1,-,"Legacy Academy, 2750 Selden St, Detroit, MI 48208, United States",-
Epiphany Education Center,https://www.google.com/maps/place/Epiphany+Education+Center/data=!4m7!3m6!1s0x8824d47270040aff:0x6af256eeee6f5eab!8m2!3d42.3902033!4d-82.9819582!16s%2Fg%2F1260455nv!19sChIJ_woEcHLUJIgRq15v7u5W8mo?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,5.0,1,+1 313-267-1830,"5555 Conner St #3258, Detroit, MI 48213, United States",epiphanyeducationcenter.org
Mercy Education Project,https://www.google.com/maps/place/Mercy+Education+Project/data=!4m7!3m6!1s0x883b2d46aeed4b17:0x87b2638c2dce76fa!8m2!3d42.3268439!4d-83.0624948!16s%2Fg%2F1tfg8bg8!19sChIJF0vtrkYtO4gR-nbOLYxjsoc?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,4.8,6,+1 313-963-5881,"1450 Howard St, Detroit, MI 48216, United States",mercyed.net
Golightly Education Center,https://www.google.com/maps/place/Golightly+Education+Center/data=!4m7!3m6!1s0x8824d29497e19eb1:0x4af153584c7cfa64!8m2!3d42.3649117!4d-83.0595309!16s%2Fm%2F0766q08!19sChIJsZ7hl5TSJIgRZPp8TFhT8Uo?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,4.0,9,+1 313-870-1101,"5536 St Antoine, Detroit, MI 48202, United States",detroitk12.org
SW Solutions Adult Learning Lab,https://www.google.com/maps/place/SW+Solutions+Adult+Learning+Lab/data=!4m7!3m6!1s0x883b3296891ac471:0x6f5f338d426507c6!8m2!3d42.3209619!4d-83.0943453!16s%2Fg%2F1tfk52wh!19sChIJccQaiZYyO4gRxgdlQo0zX28?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,4.6,12,+1 313-451-8055,"4214 Vernor Hwy, Detroit, MI 48209, United States",swsol.org
Detroit Hispanic Development Corporation,https://www.google.com/maps/place/Detroit+Hispanic+Development+Corporation/data=!4m7!3m6!1s0x883b2d43f83368b9:0x6281146e7aa03237!8m2!3d42.3267228!4d-83.0637127!16s%2Fg%2F1tdjxpg2!19sChIJuWgz-EMtO4gRNzKgem4UgWI?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,4.9,42,+1 313-967-4880,"1211 Trumbull, Detroit, MI 48216, United States",dhdc1.org
"Creative Educational Solutions, LLC","https://www.google.com/maps/place/Creative+Educational+Solutions,+LLC/data=!4m7!3m6!1s0x883b2d5a45360a3f:0xc61bebd3ce7478a4!8m2!3d42.3291885!4d-83.0473656!16s%2Fg%2F11c3mrsww3!19sChIJPwo2RVotO4gRpHh0ztPrG8Y?authuser=0&hl=en&rclk=1",Educational Services in Detroit Michigan,0.0,0,+1 866-468-9584,"Murphy Telegraph Building, 155 W Congress St #32/306, Detroit, MI 48226, United States",innovativeschools.net
Champion Education Network,https://www.google.com/maps/place/Champion+Education+Network/data=!4m7!3m6!1s0x8824b7dabf6ef873:0xf86538d2322c49!8m2!3d42.3849558!4d-83.2706937!16s%2Fg%2F11bw5m9m0x!19sChIJc_huv9q3JIgRSSwy0jhl-AA?authuser=0&hl=en&rclk=1,Educational Services in Detroit Michigan,3.7,3,+1 313-977-9178,"13600 Virgil St, Detroit, MI 48223, United States",cennonprofit.org
