Name,URL,Query,Rating,Reviews,Phone,Address,Website
Central Indiana Educational Service Center,https://www.google.com/maps/place/Central+Indiana+Educational+Service+Center/data=!4m7!3m6!1s0x886b5598491c93c7:0x5b373feb87125be7!8m2!3d39.9200085!4d-86.2209939!16s%2Fg%2F12qgg30p_!19sChIJx5McSZhVa4gR51sSh-s_N1s?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,2.5,2,+1 317-759-5555,"3500 Depauw Blvd, Indianapolis, IN 46268, United States",ciesc.org
The John Morton Finney Center for Educational Services,https://www.google.com/maps/place/The+John+Morton+Finney+Center+for+Educational+Services/data=!4m7!3m6!1s0x886b50ea76e9d6a1:0x4532bed26d4ff507!8m2!3d39.776918!4d-86.1546093!16s%2Fg%2F11dyx5n7md!19sChIJodbpdupQa4gRB_VPbdK-MkU?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,0.0,0,+1 317-226-4000,"120 E Walnut St, Indianapolis, IN 46204, United States",myips.org
"Eagle Education Services, LLC","https://www.google.com/maps/place/Eagle+Education+Services,+LLC/data=!4m7!3m6!1s0x886b413aaaaaaaab:0x846fa8775e101f2a!8m2!3d39.76652!4d-86.4412135!16s%2Fg%2F11b76m9jm4!19sChIJq6qqqjpBa4gRKh8QXneob4Q?authuser=0&hl=en&rclk=1",Educational Services in Indianapolis Indiana,0.0,0,+1 317-883-7174,-,eagleeducation.net
Indy Education Collaborative,https://www.google.com/maps/place/Indy+Education+Collaborative/data=!4m7!3m6!1s0x886b509426d46fd1:0x7a6d9e2c2a76683f!8m2!3d39.7687496!4d-86.1513415!16s%2Fg%2F11vzbdbkxc!19sChIJ0W_UJpRQa4gRP2h2KiyebXo?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,5.0,1,+1 317-445-4824,"360 E Market St, Indianapolis, IN 46204, United States",indyedtech.org
Educational Innovation 360,https://www.google.com/maps/place/Educational+Innovation+360/data=!4m7!3m6!1s0x8814b231f6a77f39:0x92fb8f322e292ca5!8m2!3d39.9200125!4d-86.2202553!16s%2Fg%2F11f_j1mzcd!19sChIJOX-n9jGyFIgRpSwpLjKP-5I?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,4.9,15,+1 866-950-3259,"3500 Depauw Blvd Suite 1085, Indianapolis, IN 46268, United States",educationalinnovation360.com
Huntington Learning Center Indianapolis,https://www.google.com/maps/place/Huntington+Learning+Center+Indianapolis/data=!4m7!3m6!1s0x886b532db3c3b26b:0xeafd666fbea7dd25!8m2!3d39.8678989!4d-86.1189556!16s%2Fg%2F11fd4y5w31!19sChIJa7LDsy1Ta4gRJd2nvm9m_eo?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,4.8,32,+1 317-562-0550,"2635 E 62nd St Suite 2020, Indianapolis, IN 46220, United States",huntingtonhelps.com
EXL Education Services,https://www.google.com/maps/place/EXL+Education+Services/data=!4m7!3m6!1s0x886ca98b14b2b39d:0x2646b4708e03f767!8m2!3d39.8357272!4d-86.2781804!16s%2Fg%2F1q2wkl309!19sChIJnbOyFIupbIgRZ_cDjnC0RiY?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,0.0,0,+1 877-705-1131,"6701 Eagle Pointe Dr S, Indianapolis, IN 46254, United States",exleducation.com
Adaptive Educational Services,https://www.google.com/maps/place/Adaptive+Educational+Services/data=!4m7!3m6!1s0x886b50ca8204835d:0xfb673d2452b9c289!8m2!3d39.7732311!4d-86.1741018!16s%2Fg%2F1td5s031!19sChIJXYMEgspQa4gRicK5UiQ9Z_s?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,0.0,0,+1 317-274-3241,"815 W Michigan St, Indianapolis, IN 46202, United States",diversity.indianapolis.iu.edu
Capitol City Family Educ Services,https://www.google.com/maps/place/Capitol+City+Family+Educ+Services/data=!4m7!3m6!1s0x886b5059bb9c4385:0x15f76295a1b9c704!8m2!3d39.7815104!4d-86.13106!16s%2Fg%2F1263rjxtm!19sChIJhUOcu1lQa4gRBMe5oZVi9xU?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,5.0,1,+1 317-686-0931,"1608 E 10th St, Indianapolis, IN 46201, United States",-
American College of Education,https://www.google.com/maps/place/American+College+of+Education/data=!4m7!3m6!1s0x880e2cb8925e8fe5:0x2c71a35e9480aadb!8m2!3d39.7696979!4d-86.1602258!16s%2Fm%2F047bgcl!19sChIJ5Y9ekrgsDogR26qAlF6jcSw?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,4.1,57,+1 800-280-0307,"101 W Ohio St Suite 1200, Indianapolis, IN 46204, United States",ace.edu
Weyand Educational Services LLC,https://www.google.com/maps/place/Weyand+Educational+Services+LLC/data=!4m7!3m6!1s0x2ed395ea240baf99:0x1bcee90208b853a1!8m2!3d39.76652!4d-86.4412135!16s%2Fg%2F11wb8l3p2h!19sChIJma8LJOqV0y4RoVO4CALpzhs?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,0.0,0,+1 317-727-0697,-,weyandeducate.com
IU School of Education - Indianapolis,https://www.google.com/maps/place/IU+School+of+Education+-+Indianapolis/data=!4m7!3m6!1s0x886b5735461f008b:0x164dda606e9c9f4b!8m2!3d39.7729767!4d-86.1735929!16s%2Fg%2F1tgjm0pd!19sChIJiwAfRjVXa4gRS5-cbmDaTRY?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,4.5,6,+1 317-274-6801,"Business/SPEA Building, 902 W New York St, Indianapolis, IN 46202, United States",education.iupui.edu
"Education is my Destiny, Inc.","https://www.google.com/maps/place/Education+is+my+Destiny,+Inc./data=!4m7!3m6!1s0x886b50b8a0bfffff:0x4cc7ce52522571ea!8m2!3d39.773952!4d-86.1609483!16s%2Fg%2F11sw6rp_27!19sChIJ__-_oLhQa4gR6nElUlLOx0w?authuser=0&hl=en&rclk=1",Educational Services in Indianapolis Indiana,0.0,0,+1 812-727-5174,"433 N Capitol Ave, Indianapolis, IN 46204, United States",educationismydestinyconsulting.com
Orbis Education,https://www.google.com/maps/place/Orbis+Education/data=!4m7!3m6!1s0x886b552c94ba96cf:0xbacfe46a298331d0!8m2!3d39.9317824!4d-86.1501982!16s%2Fg%2F1tk707hx!19sChIJz5a6lCxVa4gR0DGDKWrkz7o?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,3.3,7,+1 317-663-0260,"301 Pennsylvania Pkwy Suite 400, Indianapolis, IN 46280, United States",orbiseducation.com
Educational Services Center,https://www.google.com/maps/place/Educational+Services+Center/data=!4m7!3m6!1s0x88135576409faa8b:0x73ba972e7a78df9d!8m2!3d39.9611482!4d-86.2702319!16s%2Fg%2F11ffl__rpr!19sChIJi6qfQHZVE4gRnd94ei6XunM?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,0.0,0,-,"Zionsville, IN 46077, United States",zcs.k12.in.us
"Education Resources, LLC.","https://www.google.com/maps/place/Education+Resources,+LLC./data=!4m7!3m6!1s0x8814acb42dc3d11d:0xe4a15d63a0f6de1b!8m2!3d39.9223343!4d-86.1559023!16s%2Fg%2F1thw7b87!19sChIJHdHDLbSsFIgRG972oGNdoeQ?authuser=0&hl=en&rclk=1",Educational Services in Indianapolis Indiana,5.0,7,+1 317-610-6689,"9247 N Meridian St # 260, Indianapolis, IN 46260, United States",educationresource.com
Marley Educational Services,https://www.google.com/maps/place/Marley+Educational+Services/data=!4m7!3m6!1s0x82f6d18dd12ac969:0x8f6e64b828647893!8m2!3d39.7797845!4d-86.13275!16s%2Fg%2F11vq7sqyxn!19sChIJackq0Y3R9oIRk3hkKLhkbo8?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,0.0,0,+1 317-792-0484,-,marleyeducationalservices.com
Rise Learning Center,https://www.google.com/maps/place/Rise+Learning+Center/data=!4m7!3m6!1s0x886b5b9ed9ad53b5:0xae8f799dc2891f1f!8m2!3d39.6889159!4d-86.1379117!16s%2Fm%2F076gchj!19sChIJtVOt2Z5ba4gRHx-Jwp15j64?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,3.8,14,+1 317-789-1600,"5391 Shelby St, Indianapolis, IN 46227, United States",riselearningcenter.org
Think Ahead Academy,https://www.google.com/maps/place/Think+Ahead+Academy/data=!4m7!3m6!1s0x886ca97e0e165629:0x246cb1368ce51e55!8m2!3d39.8249113!4d-86.2329528!16s%2Fg%2F11fd_pq52r!19sChIJKVYWDn6pbIgRVR7ljDaxbCQ?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,3.9,15,+1 317-220-8830,"4262 W 38th St, Indianapolis, IN 46254, United States",thinkaheadservices.com
EdChoice,https://www.google.com/maps/place/EdChoice/data=!4m7!3m6!1s0x886b50b93afa265f:0x76adc9e205951ab9!8m2!3d39.7692267!4d-86.1565759!16s%2Fg%2F1tcy51cy!19sChIJXyb6OrlQa4gRuRqVBeLJrXY?authuser=0&hl=en&rclk=1,Educational Services in Indianapolis Indiana,5.0,1,+1 317-681-0745,"111 Monument Cir #2650, Indianapolis, IN 46204, United States",edchoice.org
