Name,URL,Query,Rating,Reviews,Phone,Address,Website
Southern California Educational Services,https://www.google.com/maps/place/Southern+California+Educational+Services/data=!4m7!3m6!1s0x80c2cf70fc8de833:0xee706961ed26bf30!8m2!3d34.0335628!4d-118.1675684!16s%2Fg%2F1262fksk1!19sChIJM-iN_HDPwoARML8m7WFpcO4?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,5.0,1,+1 323-266-0139,"4555 E 3rd St #3B, Los Angeles, CA 90022, United States",-
High Point Educational Services,https://www.google.com/maps/place/High+Point+Educational+Services/data=!4m7!3m6!1s0x80c2b8932c186b51:0x6e86d1fc23de1d95!8m2!3d34.0614708!4d-118.3224986!16s%2Fg%2F1tw_nh_z!19sChIJUWsYLJO4woARlR3eI_zRhm4?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,4.0,1,+1 323-935-3350,"4322 Wilshire Blvd, Los Angeles, CA 90010, United States",hipointed.com
Alma Mater Educational Services,https://www.google.com/maps/place/Alma+Mater+Educational+Services/data=!4m7!3m6!1s0x80c2b947aba7c2a9:0x4321e8818e47cfa7!8m2!3d34.0309774!4d-118.3443975!16s%2Fg%2F1vntk4q6!19sChIJqcKnq0e5woARp89HjoHoIUM?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,5.0,3,+1 310-622-4591,"2800 Vineyard Ave, Los Angeles, CA 90016, United States",almamater.net
IMCES Los Angeles • Institute for Multicultural Counseling & Education Services,https://www.google.com/maps/place/IMCES+Los+Angeles+%E2%80%A2+Institute+for+Multicultural+Counseling+%26+Education+Services/data=!4m7!3m6!1s0x80c2b88304170c33:0xa2665edc2b9ed25a!8m2!3d34.061114!4d-118.302815!16s%2Fg%2F1tdcm6tt!19sChIJMwwXBIO4woARWtKeK9xeZqI?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,3.5,15,+1 213-381-1250,"3580 Wilshire Blvd # 2000, Los Angeles, CA 90010, United States",-
Franklin Educational Services,https://www.google.com/maps/place/Franklin+Educational+Services/data=!4m7!3m6!1s0x80c2bca0b11ae07f:0x2b9d9ba2667e2f17!8m2!3d34.0535041!4d-118.468411!16s%2Fg%2F1thcsm3j!19sChIJf-AasaC8woARFy9-ZqKbnSs?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,4.6,9,+1 310-571-1176,"11777 San Vicente Blvd #129, Los Angeles, CA 90049, United States",franklined.com
School To Success Training System LLC,https://www.google.com/maps/place/School+To+Success+Training+System+LLC/data=!4m7!3m6!1s0x80c2b62da728069f:0xc51e964f723251cb!8m2!3d33.9669572!4d-118.3086389!16s%2Fg%2F11fk0bfb3p!19sChIJnwYopy22woARy1Eyck-WHsU?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,5.0,1,+1 323-680-0420,"7900 S Western Ave, Los Angeles, CA 90047, United States",careerguidanceathome.com
East Los Angeles Occupational Center,https://www.google.com/maps/place/East+Los+Angeles+Occupational+Center/data=!4m7!3m6!1s0x80c2c60aa700229d:0xd64a0320051f3c38!8m2!3d34.0552098!4d-118.2063475!16s%2Fg%2F1vyxjpg1!19sChIJnSIApwrGwoARODwfBSADStY?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,4.7,112,+1 323-276-7000,"2100 Marengo St, Los Angeles, CA 90033, United States",elaoc.net
Product School Los Angeles,https://www.google.com/maps/place/Product+School+Los+Angeles/data=!4m7!3m6!1s0x80c2c7b3436b1f67:0x52da7a9f2b102c82!8m2!3d34.0507775!4d-118.2538442!16s%2Fg%2F11dxdbh_t9!19sChIJZx9rQ7PHwoARgiwQK5962lI?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,4.9,473,+1 415-938-3858,"The CalEdison, 601 W 5th St 9th Floor, Suite 920, Room 2, Los Angeles, CA 90071, United States",productschool.com
California State Education,https://www.google.com/maps/place/California+State+Education/data=!4m7!3m6!1s0x80c2c7a19f728d19:0x2d2998f1fa4c33a4!8m2!3d34.056641!4d-118.2733456!16s%2Fg%2F1tdc0xk_!19sChIJGY1yn6HHwoARpDNM-vGYKS0?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,4.5,2,+1 213-989-2000,"1820 Wilshire Blvd, Los Angeles, CA 90057, United States",cde.ca.gov
GCS Education Inc dba SKYUS Los Angeles,https://www.google.com/maps/place/GCS+Education+Inc+dba+SKYUS+Los+Angeles/data=!4m7!3m6!1s0x80c2ba4cf72fffff:0xf3b83a12d080972d!8m2!3d33.8601051!4d-118.2891132!16s%2Fg%2F11f57h49nz!19sChIJ__8v90y6woARLZeA0BI6uPM?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,5.0,3,+1 424-247-2017,"879 W 190th St Ste 400, Gardena, CA 90248, United States",skyus.global
Learnet Academy,https://www.google.com/maps/place/Learnet+Academy/data=!4m7!3m6!1s0x80c2c77b7b781c67:0xf596fdb8ec62be0d!8m2!3d34.0637639!4d-118.2931792!16s%2Fg%2F1tffpm3z!19sChIJZxx4e3vHwoARDb5i7Lj9lvU?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,4.5,55,+1 213-387-4242,"3251 W 6th St #200, Los Angeles, CA 90020, United States",learnet.edu
Boston Education,https://www.google.com/maps/place/Boston+Education/data=!4m7!3m6!1s0x80c2b893396ed7af:0x84c24200a389e681!8m2!3d34.0619839!4d-118.3211768!16s%2Fg%2F1tfjft83!19sChIJr9duOZO4woARgeaJowBCwoQ?authuser=0&hl=en&rclk=1,Educational Services in Los Angeles California,3.9,11,+1 323-933-0909,"4221 Wilshire Blvd Suite #136, Los Angeles, CA 90010, United States",thebostoneducation.com
"International Education Evaluations, Inc.","https://www.google.com/maps/place/International+Education+Evaluations,+Inc./data=!4m7!3m6!1s0x80c2bb412661a4cf:0x8cda0f223471d5ad!8m2!3d34.0488756!4d-118.4620338!16s%2Fg%2F11fm3n90n2!19sChIJz6RhJkG7woARrdVxNCIP2ow?authuser=0&hl=en&rclk=1",Educational Services in Los Angeles California,4.7,3,+1 323-336-8147,"11755 Wilshire Blvd Suite 1250 #110, Los Angeles, CA 90025, United States",myiee.org
