Name,URL,Query,Rating,Reviews,Phone,Address,Website
World Education Services,https://www.google.com/maps/place/World+Education+Services/data=!4m7!3m6!1s0x89c25a13da29b5d9:0x4d6e02672ad2db99!8m2!3d40.7033758!4d-74.0138065!16s%2Fg%2F1vntktbt!19sChIJ2bUp2hNawokRmdvSKmcCbk0?authuser=0&hl=en&rclk=1,Educational Services in New York New York,3.7,1181,+1 800-361-3106,"One Battery Park Plaza, New York, NY 10004, United States",wes.org
Morningside Education Services,https://www.google.com/maps/place/Morningside+Education+Services/data=!4m7!3m6!1s0x89c259ab291f3beb:0x3f40d7cb6fb7f7f3!8m2!3d40.7551055!4d-73.9862093!16s%2Fg%2F11c32nnwt9!19sChIJ6zsfKatZwokR8_e3b8vXQD8?authuser=0&hl=en&rclk=1,Educational Services in New York New York,5.0,1,+1 212-401-0691,"1460 Broadway, New York, NY 10036, United States",-
J&J IEP Educational Consulting Corp,https://www.google.com/maps/place/J%26J+IEP+Educational+Consulting+Corp/data=!4m7!3m6!1s0x89c259ae42f5b44d:0x6387807594747bce!8m2!3d40.6974881!4d-73.979681!16s%2Fg%2F11lkczv3xj!19sChIJTbT1Qq5ZwokRznt0lHWAh2M?authuser=0&hl=en&rclk=1,Educational Services in New York New York,5.0,14,+1 516-477-0657,-,jjiepconsulting.com
Kohen Educational Services,https://www.google.com/maps/place/Kohen+Educational+Services/data=!4m7!3m6!1s0x89c2f629d7793ce7:0xa20aff86aa3027cd!8m2!3d40.7935244!4d-73.9746718!16s%2Fg%2F11b5wtgf9v!19sChIJ5zx51yn2wokRzScwqob_CqI?authuser=0&hl=en&rclk=1,Educational Services in New York New York,5.0,9,+1 212-658-0834,"685 West End Ave #1af, New York, NY 10025, United States",koheneducationalservices.com
InAmerica Education,https://www.google.com/maps/place/InAmerica+Education/data=!4m7!3m6!1s0x89c2592412bd1971:0x3ee1aa8c8c0108b1!8m2!3d40.7572285!4d-73.9707207!16s%2Fg%2F11f04b277p!19sChIJcRm9EiRZwokRsQgBjIyq4T4?authuser=0&hl=en&rclk=1,Educational Services in New York New York,5.0,58,+1 646-984-4684,"150 E 52nd St 10th Floor, New York, NY 10022, United States",inamericaedu.com
"Hudson Educational Services, Inc.","https://www.google.com/maps/place/Hudson+Educational+Services,+Inc./data=!4m7!3m6!1s0x89c25888abf0aef3:0x69110e46cfcdf6d5!8m2!3d40.774929!4d-73.955009!16s%2Fg%2F1tlwgk89!19sChIJ867wq4hYwokR1fbNz0YOEWk?authuser=0&hl=en&rclk=1",Educational Services in New York New York,0.0,0,+1 917-628-8958,"230 E 81st St # 2D, New York, NY 10028, United States",hudsoneducational.com
Semirosas Educational Services & Tutoring,https://www.google.com/maps/place/Semirosas+Educational+Services+%26+Tutoring/data=!4m7!3m6!1s0x89c25787beeb20a3:0xde42fb9f4a529b91!8m2!3d40.8071972!4d-73.9425802!16s%2Fg%2F11dxb449fy!19sChIJoyDrvodXwokRkZtSSp_7Qt4?authuser=0&hl=en&rclk=1,Educational Services in New York New York,5.0,1,+1 551-257-3645,"WeWork Office Space & Coworking, 8 W 126th St, New York, NY 10027, United States",semirosas.com
Center for Student Achievement Solutions,https://www.google.com/maps/place/Center+for+Student+Achievement+Solutions/data=!4m7!3m6!1s0x89c259a775f8f6bf:0x3be4c924242c0353!8m2!3d40.7611001!4d-73.9706487!16s%2Fg%2F11g0k1r0qn!19sChIJv_b4dadZwokRUwMsJCTJ5Ds?authuser=0&hl=en&rclk=1,Educational Services in New York New York,5.0,1,+1 347-436-8333,"445 Park Ave 9th floor, New York, NY 10022, United States",studentachievementsolutions.com
King Education LLC,https://www.google.com/maps/place/King+Education+LLC/data=!4m7!3m6!1s0x89c259dbf7dbbad5:0x811cde5d9dbcdd3e!8m2!3d40.7481859!4d-73.977463!16s%2Fg%2F11f8g4f9j9!19sChIJ1brb99tZwokRPt28nV3eHIE?authuser=0&hl=en&rclk=1,Educational Services in New York New York,5.0,8,+1 917-768-6151,"99 Madison Ave Suite 515, New York, NY 10018, United States",kingeducation.com
Andersen Education,https://www.google.com/maps/place/Andersen+Education/data=!4m7!3m6!1s0x8b4340460ac8f2d9:0x6f8d559e5186d057!8m2!3d40.6974881!4d-73.9796294!16s%2Fg%2F11vsd94kxc!19sChIJ2fLICkZAQ4sRV9CGUZ5VjW8?authuser=0&hl=en&rclk=1,Educational Services in New York New York,5.0,40,+1 646-598-4195,-,and-ed.com
"My Learning Springboard, Inc.","https://www.google.com/maps/place/My+Learning+Springboard,+Inc./data=!4m7!3m6!1s0x89c258a40034677f:0xd983d774b925de88!8m2!3d40.7895034!4d-73.9769713!16s%2Fg%2F11bbw_myp1!19sChIJf2c0AKRYwokRiN4luXTXg9k?authuser=0&hl=en&rclk=1",Educational Services in New York New York,4.7,30,+1 646-580-9794,"269 W 87th St APT TH1, New York, NY 10024, United States",mylearningspringboard.com
MBA House GMAT prep and admissions consulting,https://www.google.com/maps/place/MBA+House+GMAT+prep+and+admissions+consulting/data=!4m7!3m6!1s0x89c259c5157eabb1:0x2ded7b5175aa049e!8m2!3d40.738149!4d-73.999583!16s%2Fg%2F11h_s4xnwm!19sChIJsat-FcVZwokRngSqdVF77S0?authuser=0&hl=en&rclk=1,Educational Services in New York New York,5.0,37,+1 646-668-6151,"154 W 14th St 7th floor, New York, NY 10011, United States",gmatny.com
PEAS (Private Education Advisory Service),https://www.google.com/maps/place/PEAS+%28Private+Education+Advisory+Service%29/data=!4m7!3m6!1s0x89c25904834e27c9:0xecda366fe44cf884!8m2!3d40.7484906!4d-73.9736435!16s%2Fg%2F1tg6909d!19sChIJySdOgwRZwokRhPhM5G822uw?authuser=0&hl=en&rclk=1,Educational Services in New York New York,0.0,0,+1 917-476-9544,"250 E 40th St, New York, NY 10016, United States",nypeas.com
Concorde Education,https://www.google.com/maps/place/Concorde+Education/data=!4m7!3m6!1s0x89c259a1804c0323:0x873eaa1811292015!8m2!3d40.7514206!4d-73.9907453!16s%2Fg%2F11fn26d7nt!19sChIJIwNMgKFZwokRFSApERiqPoc?authuser=0&hl=en&rclk=1,Educational Services in New York New York,4.7,49,+1 646-453-6429,"450 7th Ave #804, New York, NY 10123, United States",concordeeducation.com
