Name,URL,Query,Rating,Reviews,Phone,Address,Website
Turning Points Educational Solutions,https://www.google.com/maps/place/Turning+Points+Educational+Solutions/data=!4m7!3m6!1s0x808e335856cbffff:0xfbbcb17349a9ea9b!8m2!3d37.3054089!4d-121.8994169!16s%2Fg%2F11fxcgjvgl!19sChIJ___LVlgzjoARm-qpSXOxvPs?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,5.0,2,+1 408-439-1111,"1261 Lincoln Ave #104, San Jose, CA 95125, United States",turningpointsed.com
SK Education Consulting Group Inc,https://www.google.com/maps/place/SK+Education+Consulting+Group+Inc/data=!4m7!3m6!1s0x808fcbb479d73e7b:0x479376befa71159e!8m2!3d37.3030231!4d-121.9792141!16s%2Fg%2F11fn8vwz71!19sChIJez7XebTLj4ARnhVx-r52k0c?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,5.0,37,+1 408-520-3285,"1190 Saratoga Ave suite 240, San Jose, CA 95129, United States",skcgi.com
Knowledge Quest Tutoring Center,https://www.google.com/maps/place/Knowledge+Quest+Tutoring+Center/data=!4m7!3m6!1s0x808e314136f2aaf1:0x2fe38f67551cd026!8m2!3d37.230324!4d-121.884991!16s%2Fg%2F1tdcm5st!19sChIJ8aryNkExjoARJtAcVWeP4y8?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,5.0,11,+1 408-323-1544,"6055-90 Meridian Ave, San Jose, CA 95120, United States",kqonline.com
Accessible Education Center,https://www.google.com/maps/place/Accessible+Education+Center/data=!4m7!3m6!1s0x808fccb9334f15cb:0xd44a07fd0a73e9d!8m2!3d37.3369291!4d-121.8830563!16s%2Fg%2F11ddxpwhm2!19sChIJyxVPM7nMj4ARnT6n0H-gRA0?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,5.0,1,+1 408-924-6000,"290 S 7th St, San Jose, CA 95112, United States",sjsu.edu
Developmental Learning Solutions,https://www.google.com/maps/place/Developmental+Learning+Solutions/data=!4m7!3m6!1s0x808fcaeed600b997:0x5eda21419a3aee4a!8m2!3d37.322774!4d-121.9614463!16s%2Fg%2F11btwkb1vs!19sChIJl7kA1u7Kj4ARSu46mkEh2l4?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,4.4,5,+1 831-429-5987,"3550 Stevens Creek Blvd #210, San Jose, CA 95117, United States",dls-learning.com
JEI Learning Center,https://www.google.com/maps/place/JEI+Learning+Center/data=!4m7!3m6!1s0x808e2d68cd880b23:0xef623908be281177!8m2!3d37.3239099!4d-121.7972698!16s%2Fg%2F1tfrs4gv!19sChIJIwuIzWgtjoARdxEovgg5Yu8?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,5.0,5,+1 408-270-6162,"2847 S White Rd Suite 201, San Jose, CA 95148, United States",jeilearning.com
Mega College Prep,https://www.google.com/maps/place/Mega+College+Prep/data=!4m7!3m6!1s0x808fb50493eb0735:0xbfa52d740598991f!8m2!3d37.315469!4d-121.9741937!16s%2Fg%2F11b7q7878m!19sChIJNQfrkwS1j4ARH5mYBXQtpb8?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,5.0,1,+1 408-637-9458,"4100 Moorpark Ave Suite #124, San Jose, CA 95117, United States",megaprep.net
C2 Education of Almaden,https://www.google.com/maps/place/C2+Education+of+Almaden/data=!4m7!3m6!1s0x808e317f7c1b2135:0xc8c34d3de1bea4ce!8m2!3d37.2496691!4d-121.8568842!16s%2Fg%2F11b66f8v7t!19sChIJNSEbfH8xjoARzqS-4T1Nw8g?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,4.9,31,+1 408-224-5600,"836 Blossom Hill Rd, San Jose, CA 95123, United States",c2educate.com
Campbell Adult and Community Education (CACE),https://www.google.com/maps/place/Campbell+Adult+and+Community+Education+%28CACE%29/data=!4m7!3m6!1s0x808e34cb96723cf7:0x911968c3ff4765c8!8m2!3d37.3031721!4d-121.9291415!16s%2Fg%2F119tqr44t!19sChIJ9zxylss0joARyGVH_8NoGZE?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,4.9,27,+1 408-626-3402,"1224 Del Mar Ave, San Jose, CA 95128, United States",cace.cuhsd.org
Abundant Education,https://www.google.com/maps/place/Abundant+Education/data=!4m7!3m6!1s0x808fcd5575515f1f:0x78dc395fec72a68b!8m2!3d37.3311531!4d-121.858191!16s%2Fg%2F11fthdcj73!19sChIJH19RdVXNj4ARi6Zy7F853Hg?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,5.0,12,+1 510-579-9199,"919 Story Rd 1260 floor 2, San Jose, CA 95122, United States",abundanteducation.org
School Linked Services,https://www.google.com/maps/place/School+Linked+Services/data=!4m7!3m6!1s0x808fcb33e3a25823:0x196447be8cfc373!8m2!3d37.312217!4d-121.9311668!16s%2Fg%2F11c1vk5pl1!19sChIJI1ii4zPLj4ARc8PP6HtElgE?authuser=0&hl=en&rclk=1,Educational Services in San Jose California,0.0,0,+1 408-793-5846,"828 S Bascom Ave # 200, San Jose, CA 95128, United States",-
