Name,URL,Query,Rating,Reviews,Phone,Address,Website
"Crown Wealth Strategies, El Paso Wealth Management Dipp Metzger CFP Certified Financial Planner","https://www.google.com/maps/place/Crown+Wealth+Strategies,+El+Paso+Wealth+Management+Dipp+Metzger+CFP+Certified+Financial+Planner/data=!4m7!3m6!1s0x86ddf8545d22a03b:0xf939eeca5a15ea1!8m2!3d31.8497434!4d-106.5544358!16s%2Fg%2F11df0z7nqt!19sChIJO6AiXVT43YYRoV6hpeyekw8?authuser=0&hl=en&rclk=1",Financial Planners in El Paso Texas,5.0,4,+1 915-613-4300,"621 Resler Dr, El Paso, TX 79912, United States",crownws.com
Lauterbach Financial Advisors,https://www.google.com/maps/place/Lauterbach+Financial+Advisors/data=!4m7!3m6!1s0x86e75817acca90d5:0x49c4e77070e18bea!8m2!3d31.7938753!4d-106.5137829!16s%2Fg%2F1tg_ghjg!19sChIJ1ZDKrBdY54YR6ovhcHDnxEk?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,3,+1 915-544-6950,"4130 Rio Bravo St, El Paso, TX 79902, United States",lfa-ia.com
Lincoln Financial Group,https://www.google.com/maps/place/Lincoln+Financial+Group/data=!4m7!3m6!1s0x86e75817acca90d5:0x17b73200505e100e!8m2!3d31.8026195!4d-106.5101852!16s%2Fg%2F1tdlvqnf!19sChIJ1ZDKrBdY54YRDhBeUAAytxc?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,3,+1 915-543-5630,"4687 N Mesa St UNIT 200, El Paso, TX 79912, United States",lfg.com
Carson Wealth,https://www.google.com/maps/place/Carson+Wealth/data=!4m7!3m6!1s0x86e7512c38ff5803:0xddb0cea99e739ac8!8m2!3d31.8703484!4d-106.4352851!16s%2Fg%2F1wn_6k5w!19sChIJA1j_OCxR54YRyJpznqnOsN0?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,3,+1 915-759-6393,"4545 Hondo Pass Dr Suite C, El Paso, TX 79904, United States",carsonwealth.com
Symphony Financial,https://www.google.com/maps/place/Symphony+Financial/data=!4m7!3m6!1s0x86e757ddd5e2dc49:0xf8c965d7caa722bb!8m2!3d31.8078958!4d-106.5107849!16s%2Fg%2F1th7nbpz!19sChIJSdzi1d1X54YRuyKnytdlyfg?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,1,+1 915-585-8770,"4855 N Mesa St UNIT 120, El Paso, TX 79912, United States",4-sf.com
Strategic Wealth,https://www.google.com/maps/place/Strategic+Wealth/data=!4m7!3m6!1s0x86ddf809bac17f6f:0x7f51980582210f07!8m2!3d31.7587196!4d-106.4890983!16s%2Fg%2F1tj5lltd!19sChIJb3_Bugn43YYRBw8hggWYUX8?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,1,+1 915-532-8885,"123 W Mills Ave STE 200, El Paso, TX 79901, United States",s-wealth.com
Carolyn L Mora Financial Services,https://www.google.com/maps/place/Carolyn+L+Mora+Financial+Services/data=!4m7!3m6!1s0x86e758ff89d8b451:0xca14a182f380a4d3!8m2!3d31.7563658!4d-106.3209149!16s%2Fg%2F1tcwl_sn!19sChIJUbTYif9Y54YR06SA84KhFMo?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,1,+1 915-577-0926,"11163 La Quinta Pl, El Paso, TX 79936, United States",elpasocpa.com
"Edward Jones - Financial Advisor: Dave Forney, CFP®|AAMS™|CRPC™","https://www.google.com/maps/place/Edward+Jones+-+Financial+Advisor:+Dave+Forney,+CFP%C2%AE%7CAAMS%E2%84%A2%7CCRPC%E2%84%A2/data=!4m7!3m6!1s0x86e7454ab8973b3b:0xaed24521be80be9e!8m2!3d31.7609081!4d-106.4883448!16s%2Fg%2F11hdss5_h6!19sChIJOzuXuEpF54YRnr6AviFF0q4?authuser=0&hl=en&rclk=1",Financial Planners in El Paso Texas,5.0,7,+1 915-533-3355,"201 E Main St #1302, El Paso, TX 79901, United States",edwardjones.com
"Luis Landin - Financial Advisor, Ameriprise Financial Services, LLC","https://www.google.com/maps/place/Luis+Landin+-+Financial+Advisor,+Ameriprise+Financial+Services,+LLC/data=!4m7!3m6!1s0x86e757e8a3788d55:0x55e4c55c48b10674!8m2!3d31.7950819!4d-106.5157818!16s%2Fg%2F1ptvxn5hk!19sChIJVY14o-hX54YRdAaxSFzF5FU?authuser=0&hl=en&rclk=1",Financial Planners in El Paso Texas,5.0,1,+1 915-223-3284,"444 Executive Center Blvd Ste 222, El Paso, TX 79902, United States",ameripriseadvisors.com
Trilogy Financial Planning,https://www.google.com/maps/place/Trilogy+Financial+Planning/data=!4m7!3m6!1s0x86e75bfde3f006c9:0xff3760f0bb61e7e9!8m2!3d31.7792683!4d-106.4103145!16s%2Fg%2F11fwj1zyb8!19sChIJyQbw4_1b54YR6edhu_BgN_8?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,6,+1 915-303-8092,"6090 Surety Dr Suite 210, El Paso, TX 79905, United States",trilogyfinancialplanning.com
First Command Financial Advisor - Randy Mills,https://www.google.com/maps/place/First+Command+Financial+Advisor+-+Randy+Mills/data=!4m7!3m6!1s0x86e751d2896bfecd:0xed48230561dea2a7!8m2!3d31.8973364!4d-106.4343718!16s%2Fg%2F11rblhdpy5!19sChIJzf5ridJR54YRp6LeYQUjSO0?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,10,+1 915-772-0100,"4712 Woodrow Bean Transmountain Suite F, El Paso, TX 79924, United States",advisor.firstcommand.com
"Edward Jones - Financial Advisor: Jesus Horton, CFP®|ABFP™|AAMS™|CRPC™|CRPS™","https://www.google.com/maps/place/Edward+Jones+-+Financial+Advisor:+Jesus+Horton,+CFP%C2%AE%7CABFP%E2%84%A2%7CAAMS%E2%84%A2%7CCRPC%E2%84%A2%7CCRPS%E2%84%A2/data=!4m7!3m6!1s0x86ddf87049b300b7:0xa19c839ee9c89656!8m2!3d31.8303681!4d-106.5289213!16s%2Fg%2F11d_7hlgvl!19sChIJtwCzSXD43YYRVpbI6Z6DnKE?authuser=0&hl=en&rclk=1",Financial Planners in El Paso Texas,5.0,4,+1 915-585-1912,"6006 N Mesa St #1007, El Paso, TX 79912, United States",edwardjones.com
Hughes Financial,https://www.google.com/maps/place/Hughes+Financial/data=!4m7!3m6!1s0x86e757dac24bf4c1:0x6094f995472e5785!8m2!3d31.8380674!4d-106.5241574!16s%2Fg%2F1tfbnscm!19sChIJwfRLwtpX54YRhVcuR5X5lGA?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,3,+1 915-587-7777,"5925 Silver Springs Dr, El Paso, TX 79912, United States",hughesfinancialep.com
"Edward Jones - Financial Advisor: Abraham Arroyos, CRPC™","https://www.google.com/maps/place/Edward+Jones+-+Financial+Advisor:+Abraham+Arroyos,+CRPC%E2%84%A2/data=!4m7!3m6!1s0x86e7455a8330e3db:0xe7e8debcc6f8a088!8m2!3d31.7573125!4d-106.3182413!16s%2Fg%2F11k06j8m48!19sChIJ2-Mwg1pF54YRiKD4xrze6Oc?authuser=0&hl=en&rclk=1",Financial Planners in El Paso Texas,5.0,1,+1 915-591-0124,"1600 Lee Trevino Dr Ste C-2, El Paso, TX 79936, United States",edwardjones.com
AIO Fee Only Financial Advisors,https://www.google.com/maps/place/AIO+Fee+Only+Financial+Advisors/data=!4m7!3m6!1s0x86e745fa64540735:0xb6b44d4c8d1437d8!8m2!3d31.7712321!4d-106.3387909!16s%2Fg%2F11j86xxd2v!19sChIJNQdUZPpF54YR2DcUjUxNtLY?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,0.0,0,+1 915-671-1345,"10420 Montwood Dr Suite N143, El Paso, TX 79935, United States",aiofinancial.com
Carlos Veytia & Associates,https://www.google.com/maps/place/Carlos+Veytia+%26+Associates/data=!4m7!3m6!1s0x86e759a8d9f97c7d:0xc0158078c82e555f!8m2!3d31.7728099!4d-106.4783872!16s%2Fg%2F1thd27jf!19sChIJfXz52ahZ54YRX1UuyHiAFcA?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,2,+1 915-544-1066,"1517 Montana Ave, El Paso, TX 79902, United States",-
First Command Financial Advisor - Jason Faras,https://www.google.com/maps/place/First+Command+Financial+Advisor+-+Jason+Faras/data=!4m7!3m6!1s0x86e751d247dd3641:0x4e4f7ba023d01e!8m2!3d31.8973059!4d-106.4343378!16s%2Fg%2F11ssfv6v22!19sChIJQTbdR9JR54YRHtAjoHtPTgA?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,10,+1 915-772-0100,"4712 Woodrow Bean Transmountain Suite F, El Paso, TX 79924, United States",advisor.firstcommand.com
Morgan Stanley Financial Advisors,https://www.google.com/maps/place/Morgan+Stanley+Financial+Advisors/data=!4m7!3m6!1s0x86e758fe422a4979:0x620d4eb33b171131!8m2!3d31.759119!4d-106.489088!16s%2Fg%2F1tfctnxg!19sChIJeUkqQv5Y54YRMREXO7NODWI?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,2,+1 915-842-7900,"303 N Oregon St 9th Fl, El Paso, TX 79901, United States",advisor.morganstanley.com
Safe Path Financial,https://www.google.com/maps/place/Safe+Path+Financial/data=!4m7!3m6!1s0x86e745a312b4dbe9:0xdbfa3937ba18c8bf!8m2!3d31.7514978!4d-106.3304673!16s%2Fg%2F11fml34hl7!19sChIJ6du0EqNF54YRv8gYujc5-ts?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,1,+1 915-621-5466,"10921 Pellicano Dr #101, El Paso, TX 79935, United States",-
Edward Jones - Financial Advisor: Keith D Erickson,https://www.google.com/maps/place/Edward+Jones+-+Financial+Advisor:+Keith+D+Erickson/data=!4m7!3m6!1s0x86ddf8905aee05c5:0x6ca90569a1b02cc3!8m2!3d31.9132737!4d-106.4395741!16s%2Fg%2F11bwh9_b3f!19sChIJxQXuWpD43YYRwyywoWkFqWw?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,5,+1 915-822-2353,"4525 Sun Valley Dr Ste 108, El Paso, TX 79924, United States",edwardjones.com
"Edward Jones - Financial Advisor: Kevin C Long, AAMS™|CRPC™","https://www.google.com/maps/place/Edward+Jones+-+Financial+Advisor:+Kevin+C+Long,+AAMS%E2%84%A2%7CCRPC%E2%84%A2/data=!4m7!3m6!1s0x86e75affa895a5cb:0xb82351b1a1cf0f4f!8m2!3d31.7685133!4d-106.3213626!16s%2Fg%2F11bc7p9jnl!19sChIJy6WVqP9a54YRTw_PobFRI7g?authuser=0&hl=en&rclk=1",Financial Planners in El Paso Texas,5.0,1,+1 915-594-2974,"10960 Montwood Dr D, El Paso, TX 79935, United States",edwardjones.com
Armando Salas CFP® - Trilogy Financial Planning,https://www.google.com/maps/place/Armando+Salas+CFP%C2%AE+-+Trilogy+Financial+Planning/data=!4m7!3m6!1s0xad4f03ce2f3ad2d5:0xdb73ca44cd4dc8f2!8m2!3d31.6944852!4d-106.3001081!16s%2Fg%2F11vyq35rks!19sChIJ1dI6L84DT60R8shNzUTKc9s?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,1,+1 915-503-8493,-,-
Franklin Star,https://www.google.com/maps/place/Franklin+Star/data=!4m7!3m6!1s0x86e74499cc1bebcf:0xd4acd977ff6d571a!8m2!3d31.7601581!4d-106.4859811!16s%2Fg%2F11dxjvms85!19sChIJz-sbzJlE54YRGldt_3fZrNQ?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,5,+1 915-238-6153,"221 N Kansas St #700, El Paso, TX 79902, United States",franklinstar.com
Edward Jones - Financial Advisor: Bradley V Byers,https://www.google.com/maps/place/Edward+Jones+-+Financial+Advisor:+Bradley+V+Byers/data=!4m7!3m6!1s0x86e75affaee60529:0xafa8dbb2f9e44e3a!8m2!3d31.7820823!4d-106.3913125!16s%2Fg%2F1pp2tgq1d!19sChIJKQXmrv9a54YROk7k-bLbqK8?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,4,+1 915-881-8187,"6767 Viscount Blvd Suite 103, El Paso, TX 79925, United States",edwardjones.com
"Raul Bencomo - Financial Advisor, Ameriprise Financial Services, LLC","https://www.google.com/maps/place/Raul+Bencomo+-+Financial+Advisor,+Ameriprise+Financial+Services,+LLC/data=!4m7!3m6!1s0x86e757e894385a93:0xdd8ad6129f55e5db!8m2!3d31.8248432!4d-106.5219003!16s%2Fg%2F11crzjmt9q!19sChIJk1o4lOhX54YR2-VVnxLWit0?authuser=0&hl=en&rclk=1",Financial Planners in El Paso Texas,0.0,0,+1 915-842-0014,"5760 N Mesa St, El Paso, TX 79912, United States",ameripriseadvisors.com
Edward Jones - Financial Advisor: Pam Hynes,https://www.google.com/maps/place/Edward+Jones+-+Financial+Advisor:+Pam+Hynes/data=!4m7!3m6!1s0x86ddf8905ecd4dc9:0x5c9f2557a56c55aa!8m2!3d31.8606763!4d-106.5487093!16s%2Fg%2F1tql56r0!19sChIJyU3NXpD43YYRqlVspVcln1w?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,1,+1 915-833-7218,"7181 Westwind Dr # C, El Paso, TX 79912, United States",edwardjones.com
Impact Financial Planners,https://www.google.com/maps/place/Impact+Financial+Planners/data=!4m7!3m6!1s0x86e745d542269f9f:0xeea66a90b2cccfca!8m2!3d31.7712321!4d-106.3387909!16s%2Fg%2F11j5n9kcgn!19sChIJn58mQtVF54YRys_MspBqpu4?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,0.0,0,+1 915-671-1345,"10420 Montwood Dr Suite N143, El Paso, TX 79935, United States",impactfinancialplanners.com
Reliable Financial SVCS LLC,https://www.google.com/maps/place/Reliable+Financial+SVCS+LLC/data=!4m7!3m6!1s0x86e7599f02d0b423:0x5f33f33e4655047c!8m2!3d31.7763421!4d-106.4680506!16s%2Fg%2F11q919q4qs!19sChIJI7TQAp9Z54YRfARVRj7zM18?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,4.8,58,+1 915-777-4442,"2211 E Missouri Ave Ste 231, El Paso, TX 79903, United States",reliablefinancialsvcs.com
Cortez Wealth Management,https://www.google.com/maps/place/Cortez+Wealth+Management/data=!4m7!3m6!1s0x86ddf886be03bad9:0x77415f3fc4e34b87!8m2!3d31.8526851!4d-106.5421991!16s%2Fg%2F11fylsmzgg!19sChIJ2boDvob43YYRh0vjxD9fQXc?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,2,+1 915-777-3112,"7001 Westwind Dr STE 130, El Paso, TX 79912, United States",cortezwealth.com
Pension Planners of West Texas,https://www.google.com/maps/place/Pension+Planners+of+West+Texas/data=!4m7!3m6!1s0x86e7435e8cc8c8b3:0xfb6a37fb33118a43!8m2!3d31.7819654!4d-106.415789!16s%2Fg%2F1tjjptr1!19sChIJs8jIjF5D54YRQ4oRM_s3avs?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,2,+1 915-599-8500,"5959 Gateway Blvd W, El Paso, TX 79925, United States",retire915.com
Milner Carballo,https://www.google.com/maps/place/Milner+Carballo/data=!4m7!3m6!1s0x86e75902052dce01:0x253a21f8d0e058b!8m2!3d31.7608786!4d-106.486991!16s%2Fg%2F11c5397r5b!19sChIJAc4tBQJZ54YRiwUOjR-iUwI?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,1,+1 915-613-4602,"300 E Main St #945, El Paso, TX 79901, United States",milnercarballo.com
Merrill Lynch Financial Advisor Kristine Denise Marcum,https://www.google.com/maps/place/Merrill+Lynch+Financial+Advisor+Kristine+Denise+Marcum/data=!4m7!3m6!1s0x86e7590795de2019:0x598e81ecf7efcd0d!8m2!3d31.8042079!4d-106.5099339!16s%2Fg%2F11gzkw1db0!19sChIJGSDelQdZ54YRDc3v9-yBjlk?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,5.0,2,+1 915-534-3185,"4699 N Mesa St 1st Floor, El Paso, TX 79912, United States",fa.ml.com
Northwestern Mutual,https://www.google.com/maps/place/Northwestern+Mutual/data=!4m7!3m6!1s0x86ddf8091f73f0d7:0xb5942691a309a8f8!8m2!3d31.8183611!4d-106.5391885!16s%2Fg%2F1w112mtf!19sChIJ1_BzHwn43YYR-KgJo5EmlLU?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,4.3,6,+1 915-842-8552,"5870 Onix Dr A, El Paso, TX 79912, United States",northwesternmutual.com
Transamerica Financial Advisor - WFG,https://www.google.com/maps/place/Transamerica+Financial+Advisor+-+WFG/data=!4m7!3m6!1s0x86e75a5eaf8fce91:0xc5a853283d4f1dae!8m2!3d31.7929565!4d-106.3945296!16s%2Fg%2F1tdfnq9v!19sChIJkc6Pr15a54YRrh1PPShTqMU?authuser=0&hl=en&rclk=1,Financial Planners in El Paso Texas,4.2,16,-,"1760 Airway Blvd #201, El Paso, TX 79925, United States",-
