Name,URL,Query,Rating,Reviews,Phone,Address,Website
"Curtis Pope, CFP | Certified Financial Planner | Financial Advisor","https://www.google.com/maps/place/Curtis+Pope,+CFP+%7C+Certified+Financial+Planner+%7C+Financial+Advisor/data=!4m7!3m6!1s0x89c259df5c377de9:0x12a6993eab697e9b!8m2!3d40.7532886!4d-73.9754271!16s%2Fg%2F11j1c0hc64!19sChIJ6X03XN9ZwokRm35pqz6ZphI?authuser=0&hl=en&rclk=1",Financial Planners in New York New York,4.9,74,+1 646-640-6337,"450 Lexington Ave 4th fl, New York, NY 10017, United States",financialadvisor.nyc
Drucker Wealth Management,https://www.google.com/maps/place/Drucker+Wealth+Management/data=!4m7!3m6!1s0x89c25907ed7618cd:0x6a5b6db27b110d31!8m2!3d40.7461274!4d-73.9824949!16s%2Fg%2F1tffkpq_!19sChIJzRh27QdZwokRMQ0Re7JtW2o?authuser=0&hl=en&rclk=1,Financial Planners in New York New York,4.9,64,+1 212-681-0460,"2 Park Ave 20th Floor, New York, NY 10016, United States",druckerwealth.com
"Francis Financial, Inc.","https://www.google.com/maps/place/Francis+Financial,+Inc./data=!4m7!3m6!1s0x89c25a3d42540821:0xc213168091375100!8m2!3d40.706316!4d-74.0132432!16s%2Fg%2F1tdd65f6!19sChIJIQhUQj1awokRAFE3kYAWE8I?authuser=0&hl=en&rclk=1",Financial Planners in New York New York,5.0,37,+1 212-374-9008,"39 Broadway Suite 1730, New York, NY 10006, United States",francisfinancial.com
Wealthspire Advisors,https://www.google.com/maps/place/Wealthspire+Advisors/data=!4m7!3m6!1s0x89c258827eb6480f:0xf9e9757748438de5!8m2!3d40.7541602!4d-73.9797975!16s%2Fg%2F1hc3w62sb!19sChIJD0i2foJYwokR5Y1DSHd16fk?authuser=0&hl=en&rclk=1,Financial Planners in New York New York,5.0,42,+1 800-994-3766,"521 5th Ave 15th Floor, New York, NY 10175, United States",wealthspire.com
"Kristen S. Han, CPA, CFP | Millennial Estates Financial Group, LLC | Certified Financial Planner","https://www.google.com/maps/place/Kristen+S.+Han,+CPA,+CFP+%7C+Millennial+Estates+Financial+Group,+LLC+%7C+Certified+Financial+Planner/data=!4m7!3m6!1s0x89c28968b473e367:0x50d77ab6c5a5bdc!8m2!3d40.7706761!4d-73.9552999!16s%2Fg%2F11g4jks1ff!19sChIJZ-NztGiJwokR3FtabKt3DQU?authuser=0&hl=en&rclk=1",Financial Planners in New York New York,5.0,18,+1 631-729-0988,"350 E 76th St, New York, NY 10021, United States",mefg.nyc
Unique Financial Advisors & Tax Consultants,https://www.google.com/maps/place/Unique+Financial+Advisors+%26+Tax+Consultants/data=!4m7!3m6!1s0x89c25bf9e2697519:0x427af560f2c44898!8m2!3d40.7055089!4d-74.0129045!16s%2Fg%2F11f9xs8nqv!19sChIJGXVp4vlbwokRmEjE8mD1ekI?authuser=0&hl=en&rclk=1,Financial Planners in New York New York,5.0,2,+1 646-916-4620,"26 Broadway f8, New York, NY 10004, United States",uniquefinancialadvisors.com
MYRA Wealth,https://www.google.com/maps/place/MYRA+Wealth/data=!4m7!3m6!1s0x21e18b94700eb605:0x9cf4b64bf4584037!8m2!3d40.7626903!4d-73.9682642!16s%2Fg%2F11pcdysyrc!19sChIJBbYOcJSL4SERN0BY9Eu29Jw?authuser=0&hl=en&rclk=1,Financial Planners in New York New York,5.0,7,+1 805-380-6972,"750 Lexington Ave, New York, NY 10022, United States",myrawealth.com
Zoe Financial,https://www.google.com/maps/place/Zoe+Financial/data=!4m7!3m6!1s0x89c29468ada3f9b7:0xc51c5d7f2b953b0d!8m2!3d40.7514809!4d-73.9745171!16s%2Fg%2F11cs6h1521!19sChIJt_mjrWiUwokRDTuVK39dHMU?authuser=0&hl=en&rclk=1,Financial Planners in New York New York,4.6,30,+1 646-680-9244,"666 3rd Ave, New York, NY 10174, United States",zoefin.com
Park Avenue Financial Advisors,https://www.google.com/maps/place/Park+Avenue+Financial+Advisors/data=!4m7!3m6!1s0x89c259a7da071119:0xd18349f2dde36b27!8m2!3d40.7462357!4d-73.9844308!16s%2Fg%2F1t_tl6bk!19sChIJGREH2qdZwokRJ2vj3fJJg9E?authuser=0&hl=en&rclk=1,Financial Planners in New York New York,5.0,1,+1 212-685-3260,"136 Madison Ave, New York, NY 10016, United States",parkavenuefinancialadvisors.com
Wharton Wealth Planning,https://www.google.com/maps/place/Wharton+Wealth+Planning/data=!4m7!3m6!1s0x27857c04ae89043f:0xfaf67d5a82af8474!8m2!3d40.7668727!4d-73.9822123!16s%2Fg%2F11sr70902c!19sChIJPwSJrgR8hScRdISvglp99vo?authuser=0&hl=en&rclk=1,Financial Planners in New York New York,5.0,6,+1 646-450-7021,"3 Columbus Cir Floor 15, New York, NY 10019, United States",whartonwealthplanning.com
