Name,URL,Query,Rating,Reviews,Phone,Address,Website
Living Spaces,https://www.google.com/maps/place/Living+Spaces/data=!4m7!3m6!1s0x80c2b8fec9c60577:0x4822fca2ab2edbb6!8m2!3d34.0472677!4d-118.341064!16s%2Fg%2F11ckvf9db2!19sChIJdwXGyf64woARttsuq6L8Ikg?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.6,3117,+1 877-266-7300,"4801 Venice Blvd., Los Angeles, CA 90019, United States",livingspaces.com
LA Furniture Store - Los Angeles,https://www.google.com/maps/place/LA+Furniture+Store+-+Los+Angeles/data=!4m7!3m6!1s0x80c2cfdc859a0557:0x3d07b2e3810d451f!8m2!3d34.0132!4d-118.166349!16s%2Fg%2F1q5bp9fxg!19sChIJVwWahdzPwoARH0UNgeOyBz0?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.4,185,+1 323-215-1645,"4900 Triggs St, Los Angeles, CA 90022, United States",lafurniturestore.com
Bob’s Discount Furniture and Mattress Store,https://www.google.com/maps/place/Bob%E2%80%99s+Discount+Furniture+and+Mattress+Store/data=!4m7!3m6!1s0x80c2b8f9cc000001:0xff868e51e25fdb96!8m2!3d34.0479329!4d-118.3353987!16s%2Fg%2F11f3_gccft!19sChIJAQAAzPm4woARlttf4lGOhv8?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.8,3850,+1 213-306-1001,"4550 W Pico Blvd Suite 305, Los Angeles, CA 90019, United States",mybobs.com
Melrose Discount Furniture Inc.,https://www.google.com/maps/place/Melrose+Discount+Furniture+Inc./data=!4m7!3m6!1s0x80c2b8ae4dd58411:0x2c9223fda62d65a5!8m2!3d34.0850738!4d-118.3088161!16s%2Fg%2F1th8262b!19sChIJEYTVTa64woARpWUtpv0jkiw?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.3,64,+1 323-466-3881,"820 N Western Ave STE 103, Los Angeles, CA 90029, United States",furniturestorelosangeles.com
Modani Furniture,https://www.google.com/maps/place/Modani+Furniture/data=!4m7!3m6!1s0x80c2bea3b0cf1753:0x95be2a3aafd8ad8b!8m2!3d34.0794671!4d-118.3437748!16s%2Fg%2F1tsbmcwv!19sChIJUxfPsKO-woARi63YrzoqvpU?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.3,311,+1 310-652-2323,"440 N La Brea Ave, Los Angeles, CA 90036, United States",modani.com
Mi Casa Furniture,https://www.google.com/maps/place/Mi+Casa+Furniture/data=!4m7!3m6!1s0x80c2b8984de8f4b3:0xb80f59ddb29c7e91!8m2!3d34.072682!4d-118.3093293!16s%2Fg%2F1tfppz6v!19sChIJs_ToTZi4woARkX6cst1ZD7g?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.3,75,+1 213-381-3060,"107 S Western Ave, Los Angeles, CA 90004, United States",micasafurniturela.shop
Hollywood Glam Furniture,https://www.google.com/maps/place/Hollywood+Glam+Furniture/data=!4m7!3m6!1s0x80c2b900d778a487:0xc969099d23bf9843!8m2!3d34.064317!4d-118.343675!16s%2Fg%2F11j1m95cqf!19sChIJh6R41wC5woARQ5i_I50Jack?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.9,223,+1 310-359-9923,"618 S La Brea Ave, Los Angeles, CA 90036, United States",hollywoodglamfurniture.com
Sofa Club,https://www.google.com/maps/place/Sofa+Club/data=!4m7!3m6!1s0x80c2bba6a920000f:0x5d3ac28cd3f0673a!8m2!3d34.0349902!4d-118.4338439!16s%2Fg%2F1tgfdms2!19sChIJDwAgqaa7woAROmfw04zCOl0?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.7,145,+1 310-473-8294,"2500 S Sepulveda Blvd, Los Angeles, CA 90064, United States",sofaclubs.com
Cantoni Modern Furniture,https://www.google.com/maps/place/Cantoni+Modern+Furniture/data=!4m7!3m6!1s0x80c2b8d5d76a07d1:0xaa84578cb37f0633!8m2!3d34.0789073!4d-118.3437748!16s%2Fg%2F1ts_6wg5!19sChIJ0Qdq19W4woARMwZ_s4xXhKo?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.4,62,+1 323-634-0909,"420 N La Brea Ave, Los Angeles, CA 90036, United States",cantoni.com
EZ 2 Get Furniture,https://www.google.com/maps/place/EZ+2+Get+Furniture/data=!4m7!3m6!1s0x80c2c837967d3aaf:0xf9931f075a18be37!8m2!3d33.9865433!4d-118.278047!16s%2Fg%2F1hm25gcb_!19sChIJrzp9ljfIwoARN74YWgcfk_k?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.7,162,+1 323-235-4011,"5912 S Broadway, Los Angeles, CA 90003, United States",easy2getfurniture.com
Scandinavian Designs Furniture,https://www.google.com/maps/place/Scandinavian+Designs+Furniture/data=!4m7!3m6!1s0x80c2b981813909f3:0xa76aba743f164fa!8m2!3d34.0301271!4d-118.3861371!16s%2Fg%2F1th49nr0!19sChIJ8wk5gYG5woAR-mTxQ6erdgo?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.7,331,+1 310-837-0138,"8850 Venice Blvd., Los Angeles, CA 90034, United States",scandinaviandesigns.com
Valyou Furniture,https://www.google.com/maps/place/Valyou+Furniture/data=!4m7!3m6!1s0x80c2c78e590ff5e5:0x6d91903d2046813c!8m2!3d34.0592788!4d-118.2380349!16s%2Fg%2F11s5nvntk0!19sChIJ5fUPWY7HwoARPIFGID2QkW0?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,3.8,302,+1 213-266-8405,"676 N Spring St, Los Angeles, CA 90012, United States",valyoufurniture.com
Joybird,https://www.google.com/maps/place/Joybird/data=!4m7!3m6!1s0x80c2c79c4ddba143:0x49faa93ad99b10df!8m2!3d34.0344519!4d-118.2409317!16s%2Fg%2F11tx29bgqs!19sChIJQ6HbTZzHwoAR3xCb2Tqp-kk?authuser=0&hl=en&rclk=1,Furniture stores in Los Angeles California,4.7,1565,+1 213-634-6245,"767 S Alameda St Suite 152, Los Angeles, CA 90021, United States",joybird.com
