Name,URL,Query,Rating,Reviews,Phone,Address,Website
Living Spaces,https://www.google.com/maps/place/Living+Spaces/data=!4m7!3m6!1s0x808e33cee5efdb15:0xf4c5ee4464467efd!8m2!3d37.2524659!4d-121.8654856!16s%2Fg%2F11h7w2hx7x!19sChIJFdvv5c4zjoAR_X5GZETuxfQ?authuser=0&hl=en&rclk=1,Furniture stores in San Jose California,4.6,2239,+1 877-266-7300,"5540 Winfield Blvd, San Jose, CA 95123, United States",livingspaces.com
What A Room,https://www.google.com/maps/place/What+A+Room/data=!4m7!3m6!1s0x808fcc0ec67af0f3:0x506296620c4e4d8!8m2!3d37.376298!4d-121.91567!16s%2Fg%2F1vtqwbg_!19sChIJ8_B6xg7Mj4AR2OTEIGYpBgU?authuser=0&hl=en&rclk=1,Furniture stores in San Jose California,4.5,171,+1 408-868-5203,"111 E Brokaw Rd, San Jose, CA 95112, United States",whataroom.com
San Jose Warehouse Furniture,https://www.google.com/maps/place/San+Jose+Warehouse+Furniture/data=!4m7!3m6!1s0x808e333465a52bc3:0xfa911daa858a88be!8m2!3d37.3218211!4d-121.8742706!16s%2Fg%2F1tlbpcpb!19sChIJwyulZTQzjoARvoiKhaodkfo?authuser=0&hl=en&rclk=1,Furniture stores in San Jose California,3.8,74,+1 408-275-0502,"1065 S 5th St, San Jose, CA 95112, United States",sanjosewarehouseca.com
Scandinavian Designs Furniture,https://www.google.com/maps/place/Scandinavian+Designs+Furniture/data=!4m7!3m6!1s0x808fb51caa7a2f15:0x76845ebe3a3d882d!8m2!3d37.3056106!4d-122.0327911!16s%2Fg%2F11g4gcd5ft!19sChIJFS96qhy1j4ARLYg9Or5ehHY?authuser=0&hl=en&rclk=1,Furniture stores in San Jose California,4.6,249,+1 408-255-5900,"1115 S De Anza Blvd, San Jose, CA 95129, United States",scandinaviandesigns.com
Direct Factory Furniture,https://www.google.com/maps/place/Direct+Factory+Furniture/data=!4m7!3m6!1s0x808fca83bf33a723:0xb8c4c238d4e9c6fe!8m2!3d37.3227952!4d-121.9888756!16s%2Fg%2F1tg8jzkn!19sChIJI6czv4PKj4AR_sbp1DjCxLg?authuser=0&hl=en&rclk=1,Furniture stores in San Jose California,4.5,151,+1 408-261-2266,"4910 Stevens Creek Blvd, San Jose, CA 95129, United States",directfactoryfurniture.com
Ramos Furniture,https://www.google.com/maps/place/Ramos+Furniture/data=!4m7!3m6!1s0x808e32e0965747f3:0xcf22fa6e96049f1c!8m2!3d37.3112998!4d-121.8520876!16s%2Fg%2F1tfrbdv7!19sChIJ80dXluAyjoARHJ8Elm76Is8?authuser=0&hl=en&rclk=1,Furniture stores in San Jose California,4.2,381,+1 408-293-9930,"577 Burke St, San Jose, CA 95112, United States",ramosfurniture.com
Redwood Furniture,https://www.google.com/maps/place/Redwood+Furniture/data=!4m7!3m6!1s0x808fcbc01f152a25:0x4730965aca1fd3d6!8m2!3d37.3871644!4d-121.9082206!16s%2Fg%2F11rsrczr6w!19sChIJJSoVH8DLj4AR1tMfylqWMEc?authuser=0&hl=en&rclk=1,Furniture stores in San Jose California,4.9,390,+1 669-298-1881,"2158 Paragon Dr, San Jose, CA 95131, United States",redwoodfurn.com
La-Z-Boy Home Furnishings & Décor,https://www.google.com/maps/place/La-Z-Boy+Home+Furnishings+%26+De%CC%81cor/data=!4m7!3m6!1s0x808fca6add30b2a9:0xe6fcd058cf75ff54!8m2!3d37.3236348!4d-121.96052!16s%2Fg%2F1tyt5lbh!19sChIJqbIw3WrKj4ARVP91z1jQ_OY?authuser=0&hl=en&rclk=1,Furniture stores in San Jose California,4.2,192,+1 408-249-9295,"3529 Stevens Creek Blvd, San Jose, CA 95117, United States",la-z-boy.com
Best Furniture,https://www.google.com/maps/place/Best+Furniture/data=!4m7!3m6!1s0x808e32e39ae2f7d3:0x8e0a2ceb3d398748!8m2!3d37.3232063!4d-121.8099339!16s%2Fg%2F1tt8chg1!19sChIJ0_fimuMyjoARSIc5PessCo4?authuser=0&hl=en&rclk=1,Furniture stores in San Jose California,4.3,40,+1 408-297-8216,"2298 Quimby Rd Suite E, San Jose, CA 95122, United States",-
Scandinavian Designs Furniture,https://www.google.com/maps/place/Scandinavian+Designs+Furniture/data=!4m7!3m6!1s0x808e3131b4e3d37b:0xa24bb86ca1e417e7!8m2!3d37.2514477!4d-121.8570968!16s%2Fg%2F11gm7wxv84!19sChIJe9PjtDExjoAR5xfkoWy4S6I?authuser=0&hl=en&rclk=1,Furniture stores in San Jose California,4.4,117,+1 408-599-5660,"865 Blossom Hill Rd, San Jose, CA 95123, United States",scandinaviandesigns.com
