Name,URL,Query,Rating,Reviews,Phone,Address,Website
Mozart's Coffee Roasters,https://www.google.com/maps/place/Mozart%27s+Coffee+Roasters/data=!4m7!3m6!1s0x8644b5554461664d:0xbc4ff333ec9ad1ad!8m2!3d30.29544!4d-97.784187!16s%2Fm%2F020z4hc!19sChIJTWZhRFW1RIYRrdGa7DPzT7w?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.5,9233,+1 512-477-2900,"3825 Lake Austin Blvd, Austin, TX 78703, United States",mozartscoffee.com
Epoch Coffee,https://www.google.com/maps/place/Epoch+Coffee/data=!4m7!3m6!1s0x8644ca6bc309e81b:0x1f1a903bbb66839!8m2!3d30.3186037!4d-97.7245402!16s%2Fg%2F1v76_180!19sChIJG-gJw2vKRIYROWi2uwOp8QE?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.5,2277,+1 512-454-3762,"221 W N Loop Blvd, Austin, TX 78751, United States",epochcoffee.com
Cafe Java,https://www.google.com/maps/place/Cafe+Java/data=!4m7!3m6!1s0x8644cc0475e0ce43:0x70fd81313ee83d0e!8m2!3d30.4000982!4d-97.7041603!16s%2Fm%2F020yqy9!19sChIJQ87gdQTMRIYRDj3oPjGB_XA?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.7,3079,+1 512-339-7677,"11900 Metric Blvd Suite K, Austin, TX 78758, United States",thecafejava.com
Halcyon,https://www.google.com/maps/place/Halcyon/data=!4m7!3m6!1s0x8644b508e07d1009:0x79f091dba4f136!8m2!3d30.2669598!4d-97.7456922!16s%2Fg%2F1tmy5fpt!19sChIJCRB94Ai1RIYRNvGk25HweQA?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.3,1969,+1 512-472-9637,"218 W 4th St, Austin, TX 78701, United States",halcyoncoffeebar.com
Magnolia Cafe,https://www.google.com/maps/place/Magnolia+Cafe/data=!4m7!3m6!1s0x8644b4fb3005897f:0xbb8c53ee8d72a1f7!8m2!3d30.2444565!4d-97.7519537!16s%2Fm%2F020z2tj!19sChIJf4kFMPu0RIYR96Fyje5TjLs?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.5,6496,+1 512-445-0000,"1920 S Congress Ave, Austin, TX 78704, United States",magnoliacafeaustin.com
Cherrywood Coffeehouse,https://www.google.com/maps/place/Cherrywood+Coffeehouse/data=!4m7!3m6!1s0x8644b5f39514ccb1:0xdb66f50a00dea398!8m2!3d30.2935632!4d-97.7160212!16s%2Fm%2F0l58ylf!19sChIJscwUlfO1RIYRmKPeAAr1Zts?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.5,2160,+1 512-538-1991,"1400 E 38th 1/2 St, Austin, TX 78722, United States",cherrywoodcoffeehouse.com
Genuine Joe Coffeehouse,https://www.google.com/maps/place/Genuine+Joe+Coffeehouse/data=!4m7!3m6!1s0x8644cbb1030f7d31:0xff1d8120b027b9cc!8m2!3d30.3540284!4d-97.7273578!16s%2Fg%2F1tlvpy0j!19sChIJMX0PA7HLRIYRzLknsCCBHf8?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.7,1222,+1 512-220-1576,"2001 W Anderson Ln., Austin, TX 78757, United States",genuinejoecoffee.com
Radio Coffee & Beer,https://www.google.com/maps/place/Radio+Coffee+%26+Beer/data=!4m7!3m6!1s0x865b4b345f5f9e47:0x987257b0016e1db8!8m2!3d30.2315079!4d-97.7876869!16s%2Fg%2F11bbt54057!19sChIJR55fXzRLW4YRuB1uAbBXcpg?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.6,3611,+1 512-394-7844,"4204 Menchaca Rd, Austin, TX 78704, United States",radiocoffeeandbeer.com
Jo's Coffee – South Congress,https://www.google.com/maps/place/Jo%27s+Coffee+%E2%80%93+South+Congress/data=!4m7!3m6!1s0x8644b4fda2c12fd5:0x66b58cb4722b37b!8m2!3d30.2510458!4d-97.7493717!16s%2Fm%2F020z01l!19sChIJ1S_Bov20RIYRe7MiR8tYawY?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.5,1807,+1 512-852-2300,"1300 S Congress Ave, Austin, TX 78704, United States",joscoffee.com
Kick Butt Coffee,https://www.google.com/maps/place/Kick+Butt+Coffee/data=!4m7!3m6!1s0x8644ca160d07cb95:0x99c3ffe727bef746!8m2!3d30.3224296!4d-97.7136952!16s%2Fm%2F0k0c4tv!19sChIJlcsHDRbKRIYRRve-J-f_w5k?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.6,2520,+1 512-454-5425,"5775 Airport Blvd Suite 725, Austin, TX 78752, United States",kickbuttcoffee.com
Bouldin Creek Cafe,https://www.google.com/maps/place/Bouldin+Creek+Cafe/data=!4m7!3m6!1s0x8644b4e2e4a3e41f:0xd9a244b346bf2f8c!8m2!3d30.2464971!4d-97.7567785!16s%2Fg%2F1tvdk5fm!19sChIJH-Sj5OK0RIYRjC-_RrNEotk?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.7,4261,+1 512-416-1601,"1900 S 1st St, Austin, TX 78704, United States",bouldincreekcafe.com
Proud Mary Coffee,https://www.google.com/maps/place/Proud+Mary+Coffee/data=!4m7!3m6!1s0x8644b5368814cbd7:0x4d085ea3ef8f1cca!8m2!3d30.2483106!4d-97.769407!16s%2Fg%2F11tffll7z9!19sChIJ18sUiDa1RIYRyhyP76NeCE0?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.5,508,+1 512-551-2901,"2043 S Lamar Blvd, Austin, TX 78704, United States",proudmarycoffee.com
Kerbey Lane Cafe - Central,https://www.google.com/maps/place/Kerbey+Lane+Cafe+-+Central/data=!4m7!3m6!1s0x8644ca850e445e49:0xb6352b68729379c1!8m2!3d30.3079979!4d-97.7505616!16s%2Fg%2F1z449y242!19sChIJSV5EDoXKRIYRwXmTcmgrNbY?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.5,2504,+1 512-451-1436,"3704 Kerbey Ln, Austin, TX 78731, United States",kerbeylanecafe.com
Bennu Coffee,https://www.google.com/maps/place/Bennu+Coffee/data=!4m7!3m6!1s0x8644b571d3dfb50d:0x4deb2f0c0bfd183a!8m2!3d30.279812!4d-97.7196223!16s%2Fg%2F1tdqhw72!19sChIJDbXf03G1RIYROhj9Cwwv600?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.5,1352,+1 512-478-4700,"2001 E Martin Luther King Jr Blvd, Austin, TX 78702, United States",bennucoffee.com
Bennu Coffee on Congress,https://www.google.com/maps/place/Bennu+Coffee+on+Congress/data=!4m7!3m6!1s0x8644b501711ea8ed:0xe0ff9456d3a1189a!8m2!3d30.2560821!4d-97.7462348!16s%2Fg%2F11g88h94b2!19sChIJ7agecQG1RIYRmhih01aU_-A?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.5,1408,+1 512-448-3919,"515 S Congress Ave, Austin, TX 78704, United States",bennucoffee.com
Kerbey Lane Cafe - South,https://www.google.com/maps/place/Kerbey+Lane+Cafe+-+South/data=!4m7!3m6!1s0x8644b4d46d43cfd5:0x7bc3e5b0f82417f4!8m2!3d30.2421889!4d-97.7835131!16s%2Fm%2F020z0cl!19sChIJ1c9DbdS0RIYR9Bck-LDlw3s?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.3,3167,+1 512-445-4451,"3003 S Lamar Blvd, Austin, TX 78704, United States",kerbeylanecafe.com
Desnudo Coffee,https://www.google.com/maps/place/Desnudo+Coffee/data=!4m7!3m6!1s0x8644b525b4375f7b:0x1d73c2989730057a!8m2!3d30.2630986!4d-97.7137874!16s%2Fg%2F11sr2623d5!19sChIJe183tCW1RIYRegUwl5jCcx0?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.9,602,+1 424-400-1857,"2505 Webberville Rd, Austin, TX 78702, United States",desnudocoffee.com
Café Crème,https://www.google.com/maps/place/Caf%C3%A9+Cr%C3%A8me/data=!4m7!3m6!1s0x8644b45de80b2117:0xe3e3fbe1c224673b!8m2!3d30.2318602!4d-97.7356308!16s%2Fg%2F1ptx1t41x!19sChIJFyEL6F20RIYRO2ckwuH74-M?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.5,899,+1 512-710-9473,"1834 E Oltorf St, Austin, TX 78741, United States",cafecremeaustin.com
Kerbey Lane Cafe,https://www.google.com/maps/place/Kerbey+Lane+Cafe/data=!4m7!3m6!1s0x865b4b9766b63abb:0x14781e9942a1da04!8m2!3d30.2226011!4d-97.8413817!16s%2Fg%2F1thz221q!19sChIJuzq2ZpdLW4YRBNqhQpkeeBQ?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.3,2843,+1 512-899-1500,"4301 W William Cannon Dr, Austin, TX 78749, United States",kerbeylanecafe.com
1886 Cafe & Bakery,https://www.google.com/maps/place/1886+Cafe+%26+Bakery/data=!4m7!3m6!1s0x8644b5a77c8f25e3:0x87146cb3ee708d69!8m2!3d30.2680033!4d-97.7419673!16s%2Fm%2F020ylfz!19sChIJ4yWPfKe1RIYRaY1w7rNsFIc?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.4,1471,+1 512-439-1234,"604 Brazos St, Austin, TX 78701, United States",driskillhotel.com
Le Café Crêpe,https://www.google.com/maps/place/Le+Caf%C3%A9+Cr%C3%AApe/data=!4m7!3m6!1s0x8644b507f99f68ef:0x9835ad627019bd69!8m2!3d30.2639774!4d-97.7418824!16s%2Fg%2F1v3khxby!19sChIJ72if-Qe1RIYRab0ZcGKtNZg?authuser=0&hl=en&rclk=1,Cafes in Austin Texas,4.4,1542,+1 512-480-0084,"200 San Jacinto Blvd, Austin, TX 78701, United States",cafecrepeofaustin.com
