Name,URL,Query,Rating,Reviews,Phone,Address,Website
Spare Time Huntersville,https://www.google.com/maps/place/Spare+Time+Huntersville/data=!4m7!3m6!1s0x8856a8e29a708bbf:0xefb8edaea71537e7!8m2!3d35.4377549!4d-80.867303!16s%2Fg%2F1vk6zyr0!19sChIJv4twmuKoVogR5zcVp67tuO8?authuser=0&hl=en&rclk=1,Cafes in Charlotte North Carolina,4.4,2674,+1 704-892-7177,"16317 Statesville Rd, Huntersville, NC 28078, United States",sparetimeentertainment.com
BrightStar Grill,https://www.google.com/maps/place/BrightStar+Grill/data=!4m7!3m6!1s0x8856bcf13be05027:0x92c823e2866058ba!8m2!3d35.2912666!4d-81.0242548!16s%2Fg%2F1tdwfn11!19sChIJJ1DgO_G8VogRulhghuIjyJI?authuser=0&hl=en&rclk=1,Cafes in Charlotte North Carolina,4.5,1012,+1 704-827-0212,"205 Madora St, Mt Holly, NC 28120, United States",brightstargrill.com
Community Matters Cafe,https://www.google.com/maps/place/Community+Matters+Cafe/data=!4m7!3m6!1s0x8856a1d2b8695555:0xe0f0f8aacea1e2ca!8m2!3d35.2293334!4d-80.8551835!16s%2Fg%2F11f53dpv8m!19sChIJVVVpuNKhVogRyuKhzqr48OA?authuser=0&hl=en&rclk=1,Cafes in Charlotte North Carolina,4.8,447,+1 980-237-2147,"821 W 1st St, Charlotte, NC 28202, United States",communitymatterscafe.com
Smelly Cat Coffee House & Roastery,https://www.google.com/maps/place/Smelly+Cat+Coffee+House+%26+Roastery/data=!4m7!3m6!1s0x88541fda21dbea15:0x7b322c07165692ef!8m2!3d35.247177!4d-80.804324!16s%2Fg%2F1vlk282z!19sChIJFerbIdofVIgR75JWFgcsMns?authuser=0&hl=en&rclk=1,Cafes in Charlotte North Carolina,4.5,925,+1 704-374-9656,"514 E 36th St, Charlotte, NC 28205, United States",smellycatcoffee.com
Amélie's French Bakery & Café,https://www.google.com/maps/place/Am%C3%A9lie%27s+French+Bakery+%26+Caf%C3%A9/data=!4m7!3m6!1s0x8856a075ae53fe63:0x6fc6afa1b6d5b91d!8m2!3d35.251701!4d-80.8078971!16s%2Fg%2F1tm69nb3!19sChIJY_5TrnWgVogRHbnVtqGvxm8?authuser=0&hl=en&rclk=1,Cafes in Charlotte North Carolina,4.6,6782,+1 704-376-1781,"136 E 36th St, Charlotte, NC 28205, United States",ameliesfrenchbakery.com
Queen City Grounds,https://www.google.com/maps/place/Queen+City+Grounds/data=!4m7!3m6!1s0x8856a03c7bfce283:0x323d3d3fbbf6b751!8m2!3d35.2326302!4d-80.837543!16s%2Fg%2F11f53nvzpc!19sChIJg-L8ezygVogRUbf2uz89PTI?authuser=0&hl=en&rclk=1,Cafes in Charlotte North Carolina,4.6,664,+1 704-324-3231,"644 N Church St, Charlotte, NC 28202, United States",queencitygrounds.com
Coco and the Director,https://www.google.com/maps/place/Coco+and+the+Director/data=!4m7!3m6!1s0x8856a025623f7e03:0xfd47172b8945ded7!8m2!3d35.2278119!4d-80.8433958!16s%2Fg%2F11c0xytryj!19sChIJA34_YiWgVogR195FiSsXR_0?authuser=0&hl=en&rclk=1,Cafes in Charlotte North Carolina,4.5,1051,+1 704-353-6003,"100 W Trade St, Charlotte, NC 28202, United States",cocoandthedirector.com
The Giddy Goat Coffee Roasters,https://www.google.com/maps/place/The+Giddy+Goat+Coffee+Roasters/data=!4m7!3m6!1s0x8856a1f2b90c778f:0x36774be41527cf6a!8m2!3d35.2189342!4d-80.8110255!16s%2Fg%2F11jcnymjsw!19sChIJj3cMufKhVogRas8nFeRLdzY?authuser=0&hl=en&rclk=1,Cafes in Charlotte North Carolina,4.8,881,-,"1217 The Plaza, Charlotte, NC 28205, United States",giddygoat.com
Mac Tabby Cat Cafe - Charlotte,https://www.google.com/maps/place/Mac+Tabby+Cat+Cafe+-+Charlotte/data=!4m7!3m6!1s0x8856a011413092b3:0x6dd02b4d696af368!8m2!3d35.247083!4d-80.8054386!16s%2Fg%2F11f089mjjg!19sChIJs5IwQRGgVogRaPNqaU0r0G0?authuser=0&hl=en&rclk=1,Cafes in Charlotte North Carolina,4.8,1004,+1 704-890-0373,"3204 N Davidson St, Charlotte, NC 28205, United States",mactabby.com
Central Coffee Co,https://www.google.com/maps/place/Central+Coffee+Co/data=!4m7!3m6!1s0x8856a01cc7854467:0xe574b9fab3ff114!8m2!3d35.2215056!4d-80.8219556!16s%2Fg%2F1tgcb6mc!19sChIJZ0SFxxygVogRFPE_q59LVw4?authuser=0&hl=en&rclk=1,Cafes in Charlotte North Carolina,4.5,923,+1 704-335-7288,"719 Louise Ave, Charlotte, NC 28204, United States",centralcoffeeco.com
