Name,URL,Query,Rating,Reviews,Phone,Address,Website
Kinley's House Coffee & Tea,https://www.google.com/maps/place/Kinley%27s+House+Coffee+%26+Tea/data=!4m7!3m6!1s0x86e7585a8bc50401:0x2960ad651ccde59e!8m2!3d31.7737164!4d-106.5005311!16s%2Fg%2F1hc5351dn!19sChIJAQTFi1pY54YRnuXNHGWtYCk?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.4,1086,+1 915-838-7177,"2231 N Mesa St, El Paso, TX 79902, United States",kinleyscoffeehouse.com
Coffee Box,https://www.google.com/maps/place/Coffee+Box/data=!4m7!3m6!1s0x86e758fde9bbdbbf:0xf397cb4bdf7d0b38!8m2!3d31.760314!4d-106.488651!16s%2Fg%2F11bwqqcwhf!19sChIJv9u76f1Y54YROAt930vLl_M?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.5,1174,+1 915-268-5571,"401 N Mesa St, El Paso, TX 79901, United States",elpasocoffeebox.com
2Ten Coffee Roasters (Montana Av.),https://www.google.com/maps/place/2Ten+Coffee+Roasters+%28Montana+Av.%29/data=!4m7!3m6!1s0x86e7599724708673:0x9e6964dc8ac2c658!8m2!3d31.7824487!4d-106.4630954!16s%2Fg%2F11b7kw545j!19sChIJc4ZwJJdZ54YRWMbCitxkaZ4?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.6,710,+1 915-307-5336,"2829 Montana Ave Building C, El Paso, TX 79903, United States",2tencoffeeroasters.com
Joe Vinny & Bronsons Bohemian Cafe,https://www.google.com/maps/place/Joe+Vinny+%26+Bronsons+Bohemian+Cafe/data=!4m7!3m6!1s0x86e759979cc5caf3:0xdf5a23ebf21045ba!8m2!3d31.7825556!4d-106.4612694!16s%2Fg%2F11x9gst0c!19sChIJ88rFnJdZ54YRukUQ8usjWt8?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.5,941,+1 915-801-0475,"824 N Piedras St, El Paso, TX 79903, United States",joevinnyandbronsons.com
Salt + Honey Bakery Cafe,https://www.google.com/maps/place/Salt+%2B+Honey+Bakery+Cafe/data=!4m7!3m6!1s0x86e759979bb8bc1b:0x438a4f083e19470a!8m2!3d31.7648676!4d-106.4783652!16s%2Fg%2F11cs2c6xdf!19sChIJG7y4m5dZ54YRCkcZPghPikM?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.2,1730,+1 915-313-4907,"1125 Texas Ave, El Paso, TX 79901, United States",saltandhoneyep.com
Global Coffee Roasters,https://www.google.com/maps/place/Global+Coffee+Roasters/data=!4m7!3m6!1s0x86e74384eb81222b:0xd8dfcc7c3ac34232!8m2!3d31.7392425!4d-106.2917007!16s%2Fg%2F11c2q5xtnx!19sChIJKyKB64RD54YRMkLDOnzM39g?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.7,534,+1 915-777-1479,"1513 N Zaragoza Rd, El Paso, TX 79936, United States",globalcoffeeco.com
AMO the Pink Cafe in El Paso,https://www.google.com/maps/place/AMO+the+Pink+Cafe+in+El+Paso/data=!4m7!3m6!1s0x86e7593ea60dd971:0xf0084bd44a4829f!8m2!3d31.7644764!4d-106.4887152!16s%2Fg%2F11v5wh_4j9!19sChIJcdkNpj5Z54YRn4KkRL2EAA8?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.2,639,+1 915-219-8863,"412 Yandell Dr, El Paso, TX 79902, United States",amocafeeptx.com
Caffe Fioretti,https://www.google.com/maps/place/Caffe+Fioretti/data=!4m7!3m6!1s0x86e759901f81b361:0xd6c8cd6b3d5dcdd6!8m2!3d31.78392!4d-106.4525611!16s%2Fg%2F1wh4g97f!19sChIJYbOBH5BZ54YR1s1dPWvNyNY?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.8,280,+1 915-562-4600,"3429 Montana Ave, El Paso, TX 79903, United States",caffefioretti.com
BLDG 6 COFFEE ROASTERS,https://www.google.com/maps/place/BLDG+6+COFFEE+ROASTERS/data=!4m7!3m6!1s0x86e74362286a3d25:0xf081b0cd401fdd41!8m2!3d31.74367!4d-106.3172015!16s%2Fg%2F1263kwxlg!19sChIJJT1qKGJD54YRQd0fQM2wgfA?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.6,171,+1 915-629-2021,"11385 James Watt Dr Ste B-6, El Paso, TX 79936, United States",bldg6coffee.com
Café Con Leche,https://www.google.com/maps/place/Caf%C3%A9+Con+Leche/data=!4m7!3m6!1s0x86e759a74ad6800d:0x1ae0801d3e6cff01!8m2!3d31.7782479!4d-106.4654502!16s%2Fg%2F11jb871zmk!19sChIJDYDWSqdZ54YRAf9sPh2A4Bo?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.8,104,-,"2430 Wyoming Ave, El Paso, TX 79901, United States",cafeconlecheept.com
Corner Bakery Cafe,https://www.google.com/maps/place/Corner+Bakery+Cafe/data=!4m7!3m6!1s0x86e744b2f56c9351:0xaf67a73143fb0b95!8m2!3d31.7538212!4d-106.3436518!16s%2Fg%2F1264blmc3!19sChIJUZNs9bJE54YRlQv7QzGnZ68?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.5,2029,+1 915-633-1392,"1144 N Yarbrough Dr, El Paso, TX 79925, United States",cornerbakerycafe.com
Corner Bakery Cafe,https://www.google.com/maps/place/Corner+Bakery+Cafe/data=!4m7!3m6!1s0x86e75a5678ff8169:0xd0febcca81e89f70!8m2!3d31.7847589!4d-106.3959913!16s%2Fg%2F11b7t34n3h!19sChIJaYH_eFZa54YRcJ_ogcq8_tA?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.5,2854,+1 915-772-5522,"1301 Airway Blvd, El Paso, TX 79925, United States",cornerbakerycafe.com
Casa Cafetzin Coffee Roasters,https://www.google.com/maps/place/Casa+Cafetzin+Coffee+Roasters/data=!4m7!3m6!1s0x86e7599de28999b1:0x1e40ef7d076846d6!8m2!3d31.7905396!4d-106.5079253!16s%2Fg%2F11jgsf07lh!19sChIJsZmJ4p1Z54YR1kZoB33vQB4?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.5,230,+1 915-926-6001,"4111 N Mesa St APT 1, El Paso, TX 79902, United States",mailchimpsites.com
Sand Dust Coffee,https://www.google.com/maps/place/Sand+Dust+Coffee/data=!4m7!3m6!1s0x86e743425fceb8cd:0xb501f97d716620a5!8m2!3d31.7351976!4d-106.29453!16s%2Fg%2F11gh4lxqcp!19sChIJzbjOX0JD54YRpSBmcX35AbU?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.7,226,+1 915-301-0005,"1441 N Zaragoza Rd Ste E-1, El Paso, TX 79936, United States",sanddustcoffee.com
Mas y Menos,https://www.google.com/maps/place/Mas+y+Menos/data=!4m7!3m6!1s0x86ddf9e0d236e169:0xb38db0178ac3ff57!8m2!3d31.8527324!4d-106.5405437!16s%2Fg%2F11gj0shcx1!19sChIJaeE20uD53YYRV__DihewjbM?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.4,327,+1 915-491-0595,"1035 Belvidere St STE 300, El Paso, TX 79912, United States",masymenos.biz
Coffee Box,https://www.google.com/maps/place/Coffee+Box/data=!4m7!3m6!1s0x86e747585254650d:0x8c6a2da8c3fec275!8m2!3d31.780072!4d-106.2490289!16s%2Fg%2F11twc_3x52!19sChIJDWVUUlhH54YRdcL-w6gtaow?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.5,238,+1 915-304-0122,"3001 N Zaragoza Rd Building A, El Paso, TX 79938, United States",elpasocoffeebox.com
787 Coffee,https://www.google.com/maps/place/787+Coffee/data=!4m7!3m6!1s0x86e75b5450d614ef:0xa9771efd9df8e025!8m2!3d31.7691657!4d-106.4304281!16s%2Fg%2F11svpx4swx!19sChIJ7xTWUFRb54YRJeD4nf0ed6k?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.9,1285,+1 915-219-8718,"5038 Alameda Ave, El Paso, TX 79905, United States",787coffee.com
Café Rosé the Pink Cafe El Paso,https://www.google.com/maps/place/Caf%C3%A9+Ros%C3%A9+the+Pink+Cafe+El+Paso/data=!4m7!3m6!1s0x86e759ea500069cb:0xacb21a547ddaa534!8m2!3d31.7618756!4d-106.4880369!16s%2Fg%2F11vrdwjhk9!19sChIJy2kAUOpZ54YRNKXafVQasqw?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.4,289,-,"307 E Franklin Ave, El Paso, TX 79901, United States",-
The Hive Java Lounge,https://www.google.com/maps/place/The+Hive+Java+Lounge/data=!4m7!3m6!1s0x86e7437e4b48d3b1:0xdceaca6a75726abc!8m2!3d31.7460059!4d-106.3024704!16s%2Fg%2F11g9qh9rb5!19sChIJsdNIS35D54YRvGpydWrK6tw?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.8,481,+1 915-500-5500,"1505 George Dieter Dr #115, El Paso, TX 79936, United States",thehivetx.com
Viejo Coffee,https://www.google.com/maps/place/Viejo+Coffee/data=!4m7!3m6!1s0x86e759b6fe17b1d5:0x575fe35823f5db16!8m2!3d31.776457!4d-106.5017671!16s%2Fg%2F11ll40j71y!19sChIJ1bEX_rZZ54YRFtv1I1jjX1c?authuser=0&hl=en&rclk=1,Cafes in El Paso Texas,4.9,95,+1 888-358-4356,"2519 N Stanton St, El Paso, TX 79902, United States",-
