Name,URL,Query,Rating,Reviews,Phone,Address,Website
Love.Life Café + Wellness Bar,https://www.google.com/maps/place/Love.Life+Caf%C3%A9+%2B+Wellness+Bar/data=!4m7!3m6!1s0x80c2b5eafdd631a3:0x49a18a1c65cd84dc!8m2!3d33.9064614!4d-118.3940466!16s%2Fg%2F11w4tl3fd8!19sChIJozHW_eq1woAR3ITNZRyKoUk?authuser=0&hl=en&rclk=1,Cafes in Los Angeles California,0.0,0,+1 310-623-6895,"740 S Sepulveda Blvd, El Segundo, CA 90245, United States",love.life
Maison Kasai,https://www.google.com/maps/place/Maison+Kasai/data=!4m7!3m6!1s0x80c2c743e635da13:0x2373512be2726191!8m2!3d34.0407681!4d-118.2671671!16s%2Fg%2F11v679m7wv!19sChIJE9o15kPHwoARkWFy4itRcyM?authuser=0&hl=en&rclk=1,Cafes in Los Angeles California,4.1,30,+1 213-789-7852,"1254 S Figueroa St 8th Floor, Los Angeles, CA 90015, United States",maisonkasaidtla.com
Urth Caffe,https://www.google.com/maps/place/Urth+Caffe/data=!4m7!3m6!1s0x80c2c63b819c5a17:0x560b879100a3bb9f!8m2!3d34.0419377!4d-118.235274!16s%2Fg%2F1tj52w6p!19sChIJF1qcgTvGwoARn7ujAJGHC1Y?authuser=0&hl=en&rclk=1,Cafes in Los Angeles California,4.5,5127,+1 213-797-4534,"459 S Hewitt St, Los Angeles, CA 90013, United States",urthcaffe.com
The L.A. Cafe,https://www.google.com/maps/place/The+L.A.+Cafe/data=!4m7!3m6!1s0x80c2c6355a20a8a9:0x3a90e709fc873d3f!8m2!3d34.045169!4d-118.2521037!16s%2Fg%2F1td0gsdb!19sChIJqaggWjXGwoARPz2H_AnnkDo?authuser=0&hl=en&rclk=1,Cafes in Los Angeles California,4.3,2166,+1 213-612-3000,"639 S Spring St, Los Angeles, CA 90014, United States",thelacafe.com
Green Table Cafe,https://www.google.com/maps/place/Green+Table+Cafe/data=!4m7!3m6!1s0x80c2b96b67f5580f:0x3c04d649ae6bb8e3!8m2!3d34.052183!4d-118.3710405!16s%2Fg%2F11c0pz0d1g!19sChIJD1j1Z2u5woAR47hrrknWBDw?authuser=0&hl=en&rclk=1,Cafes in Los Angeles California,4.7,493,+1 323-424-4129,"5998 W Pico Blvd, Los Angeles, CA 90035, United States",greentablecafe.com
Verve Coffee Roasters,https://www.google.com/maps/place/Verve+Coffee+Roasters/data=!4m7!3m6!1s0x80c2c63ce65f5f17:0xde68a7b895be0bb!8m2!3d34.0414258!4d-118.2327019!16s%2Fg%2F11f0_chzp2!19sChIJF19f5jzGwoARu-BbiXuK5g0?authuser=0&hl=en&rclk=1,Cafes in Los Angeles California,4.6,539,+1 213-419-5077,"500 Mateo St #102, Los Angeles, CA 90013, United States",vervecoffee.com
Bohemia Cafe,https://www.google.com/maps/place/Bohemia+Cafe/data=!4m7!3m6!1s0x80c2bedc406ea1e1:0xab6b726a39465532!8m2!3d34.0981909!4d-118.3535627!16s%2Fg%2F11fylz0p_4!19sChIJ4aFuQNy-woARMlVGOWpya6s?authuser=0&hl=en&rclk=1,Cafes in Los Angeles California,4.7,343,+1 323-672-8662,"7525 W Sunset Blvd, Los Angeles, CA 90046, United States",-
Cafe Giverny,https://www.google.com/maps/place/Cafe+Giverny/data=!4m7!3m6!1s0x80c2b89904af6319:0x9444c33973629b7a!8m2!3d34.0695615!4d-118.307582!16s%2Fg%2F11bymv_0mq!19sChIJGWOvBJm4woARepticznDRJQ?authuser=0&hl=en&rclk=1,Cafes in Los Angeles California,4.5,273,+1 213-637-0204,"252 S Oxford Ave, Los Angeles, CA 90004, United States",instagram.com
Alfred Coffee,https://www.google.com/maps/place/Alfred+Coffee/data=!4m7!3m6!1s0x80c2beb6dca059d5:0x1cb3f4f60927a92a!8m2!3d34.08337!4d-118.374326!16s%2Fg%2F1pty5gsqy!19sChIJ1Vmg3La-woARKqknCfb0sxw?authuser=0&hl=en&rclk=1,Cafes in Los Angeles California,4.4,1141,+1 323-870-1100,"8428 Melrose Pl, Los Angeles, CA 90069, United States",alfred.la
ilCaffè,https://www.google.com/maps/place/ilCaff%C3%A8/data=!4m7!3m6!1s0x80c2c7ca598aaca3:0xaf267260ea5bd05a!8m2!3d34.0428165!4d-118.2561113!16s%2Fg%2F11b7llnk9q!19sChIJo6yKWcrHwoARWtBb6mByJq8?authuser=0&hl=en&rclk=1,Cafes in Los Angeles California,4.6,309,+1 213-612-0331,"855 S Broadway, Los Angeles, CA 90014, United States",ilcaffe.la
