Name,URL,Query,Rating,Reviews,Phone,Address,Website
Café Eclectic,https://www.google.com/maps/place/Caf%C3%A9+Eclectic/data=!4m7!3m6!1s0x887f809e8058ed47:0x18d57a1ae5526e93!8m2!3d35.1541408!4d-89.9975227!16s%2Fg%2F1tg5cw8t!19sChIJR-1YgJ6Af4gRk25S5Rp61Rg?authuser=0&hl=en&rclk=1,Cafes in Memphis Tennessee,4.4,1625,+1 901-725-1718,"603 N McLean Blvd, Memphis, TN 38107, United States",cafeeclectic.net
Otherlands Coffee Bar,https://www.google.com/maps/place/Otherlands+Coffee+Bar/data=!4m7!3m6!1s0x887f80ad601bfefd:0xde926dd3f26e1c4e!8m2!3d35.1282945!4d-89.9908637!16s%2Fg%2F1tk4rxxn!19sChIJ_f4bYK2Af4gRThxu8tNtkt4?authuser=0&hl=en&rclk=1,Cafes in Memphis Tennessee,4.4,821,+1 901-278-4994,"641 Cooper St, Memphis, TN 38104, United States",otherlandscoffeebar.com
Cafe Keough,https://www.google.com/maps/place/Cafe+Keough/data=!4m7!3m6!1s0x87d57e9447705a6b:0x6c940971cc7d3ca7!8m2!3d35.1448013!4d-90.0527902!16s%2Fg%2F1q6703x00!19sChIJa1pwR5R-1YcRpzx9zHEJlGw?authuser=0&hl=en&rclk=1,Cafes in Memphis Tennessee,4.4,424,+1 901-509-2469,"12 S Main St, Memphis, TN 38103, United States",cafekeough.com
INSPIRE Community Cafe,https://www.google.com/maps/place/INSPIRE+Community+Cafe/data=!4m7!3m6!1s0x887f819d60ac4abd:0x50cb8abb6f9831a2!8m2!3d35.1462836!4d-89.9607284!16s%2Fg%2F11gnpv507v!19sChIJvUqsYJ2Bf4gRojGYb7uKy1A?authuser=0&hl=en&rclk=1,Cafes in Memphis Tennessee,4.8,190,+1 901-509-8640,"510 Tillman St #110, Memphis, TN 38112, United States",inspirecafememphis.com
Blues City Cafe,https://www.google.com/maps/place/Blues+City+Cafe/data=!4m7!3m6!1s0x87d57e9705a8fc6d:0x8b34cc989a8cae7!8m2!3d35.140139!4d-90.053301!16s%2Fg%2F1hc28cszk!19sChIJbfyoBZd-1YcR58qoiclMswg?authuser=0&hl=en&rclk=1,Cafes in Memphis Tennessee,4.4,6494,+1 901-526-3637,"138 Beale St, Memphis, TN 38103, United States",bluescitycafe.com
Paradise Cafe,https://www.google.com/maps/place/Paradise+Cafe/data=!4m7!3m6!1s0x887f84c8ffd142c3:0xc75416ee7c052bf9!8m2!3d35.1029961!4d-89.8576384!16s%2Fg%2F1tggpd7d!19sChIJw0LR_8iEf4gR-SsFfO4WVMc?authuser=0&hl=en&rclk=1,Cafes in Memphis Tennessee,4.7,45,+1 901-821-9600,"6150 Poplar Ave #120, Memphis, TN 38119, United States",paradisecafememphis.com
Crazy Gander Coffee Company,https://www.google.com/maps/place/Crazy+Gander+Coffee+Company/data=!4m7!3m6!1s0x87d57fb16a0f7c33:0x28d563ade1551660!8m2!3d35.1448491!4d-90.0511129!16s%2Fg%2F11rg7p2q29!19sChIJM3wParF_1YcRYBZV4a1j1Sg?authuser=0&hl=en&rclk=1,Cafes in Memphis Tennessee,4.8,240,+1 901-552-3852,"150 Madison Ave, Memphis, TN 38103, United States",crazygander.com
Vice & Virtue Coffee,https://www.google.com/maps/place/Vice+%26+Virtue+Coffee/data=!4m7!3m6!1s0x887f80c1fec3487b:0x423b5027bb8410cb!8m2!3d35.1343396!4d-90.0590898!16s%2Fg%2F11f40404tw!19sChIJe0jD_sGAf4gRyxCEuydQO0I?authuser=0&hl=en&rclk=1,Cafes in Memphis Tennessee,4.8,126,+1 901-402-8002,"477 S Main St, Memphis, TN 38103, United States",vicevirtuecoffee.com
Bluff City Coffee & Bakery,https://www.google.com/maps/place/Bluff+City+Coffee+%26+Bakery/data=!4m7!3m6!1s0x87d57ea3c77181a9:0x1c7098208142ff8e!8m2!3d35.1336449!4d-90.059345!16s%2Fg%2F1ty74t3r!19sChIJqYFxx6N-1YcRjv9CgSCYcBw?authuser=0&hl=en&rclk=1,Cafes in Memphis Tennessee,4.2,502,+1 901-405-4399,"505 S Main St, Memphis, TN 38103, United States",bluffcitycoffee.com
Comeback Coffee,https://www.google.com/maps/place/Comeback+Coffee/data=!4m7!3m6!1s0x87d57fe969a279c9:0x696d0b43e8b6ee0!8m2!3d35.1545214!4d-90.0487841!16s%2Fg%2F11h6v1d0d7!19sChIJyXmiael_1YcR4G6LPrTQlgY?authuser=0&hl=en&rclk=1,Cafes in Memphis Tennessee,4.6,353,+1 901-860-4215,"358 N Main St, Memphis, TN 38103, United States",comebackbev.com
