Name,URL,Query,Rating,Reviews,Phone,Address,Website
Front Street Cafe,https://www.google.com/maps/place/Front+Street+Cafe/data=!4m7!3m6!1s0x89c6c8695c59335d:0xe2d713b27da7bfbf!8m2!3d39.9702616!4d-75.1356904!16s%2Fg%2F11c3sr6mlm!19sChIJXTNZXGnIxokRv7-nfbIT1-I?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.4,2365,+1 215-515-3073,"1253 N Front St, Philadelphia, PA 19122, United States",frontstreetcafe.net
Elixr Coffee Roasters,https://www.google.com/maps/place/Elixr+Coffee+Roasters/data=!4m7!3m6!1s0x89c6c625546f5fe1:0x94adb27329b4a173!8m2!3d39.9493231!4d-75.1667136!16s%2Fg%2F1v8x34b4!19sChIJ4V9vVCXGxokRc6G0KXOyrZQ?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.6,1553,+1 239-404-1730,"207 S Sydenham St, Philadelphia, PA 19102, United States",elixrcoffee.com
Cafe Ole,https://www.google.com/maps/place/Cafe+Ole/data=!4m7!3m6!1s0x89c6c88645a46535:0xfa7477a1a6b730f1!8m2!3d39.953539!4d-75.144762!16s%2Fg%2F1tdksrx6!19sChIJNWWkRYbIxokR8TC3pqF3dPo?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.6,705,+1 215-627-2140,"147 N 3rd St, Philadelphia, PA 19106, United States",facebook.com
FRIEDA,https://www.google.com/maps/place/FRIEDA/data=!4m7!3m6!1s0x89c6c884cb1d254d:0x754ab9c9060dfb4a!8m2!3d39.9471206!4d-75.1470526!16s%2Fg%2F11bwy_vgbp!19sChIJTSUdy4TIxokRSvsNBsm5SnU?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.6,618,+1 215-600-1291,"320 Walnut St, Philadelphia, PA 19106, United States",friedaforgenerations.com
La Colombe Coffee Roasters,https://www.google.com/maps/place/La+Colombe+Coffee+Roasters/data=!4m7!3m6!1s0x89c6c86bcfab7759:0x932bd2e5fbb5e792!8m2!3d39.971241!4d-75.134027!16s%2Fg%2F11b66f8lc9!19sChIJWXerz2vIxokRkue1--XSK5M?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.6,1875,+1 267-479-1600,"1335 Frankford Ave, Philadelphia, PA 19125, United States",lacolombe.com
Menagerie Coffee,https://www.google.com/maps/place/Menagerie+Coffee/data=!4m7!3m6!1s0x89c6c88454ae1d0f:0x7aef391b9c8d4939!8m2!3d39.9496924!4d-75.1459389!16s%2Fg%2F12qgvq_51!19sChIJDx2uVITIxokROUmNnBs573o?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.6,696,-,"18 S 3rd St, Philadelphia, PA 19106, United States",menageriecoffee.com
Café Square One,https://www.google.com/maps/place/Caf%C3%A9+Square+One/data=!4m7!3m6!1s0x89c6c884fc91fbb5:0x25a8523419b82846!8m2!3d39.9503713!4d-75.146141!16s%2Fg%2F11b60931_r!19sChIJtfuR_ITIxokRRii4GTRSqCU?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.5,429,+1 215-645-2712,"311 Market St, Philadelphia, PA 19106, United States",cafesquareone.com
K'Far Cafe Philadelphia,https://www.google.com/maps/place/K%27Far+Cafe+Philadelphia/data=!4m7!3m6!1s0x89c6c7b6a2f89d41:0x8909a8bbff002c74!8m2!3d39.9514386!4d-75.1721742!16s%2Fg%2F11fl467sx7!19sChIJQZ34orbHxokRdCwA_7uoCYk?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.5,765,+1 267-800-7200,"110 S 19th St, Philadelphia, PA 19103, United States",kfarcafe.com
Gran Caffe L'Aquila,https://www.google.com/maps/place/Gran+Caffe+L%27Aquila/data=!4m7!3m6!1s0x89c6c630f4735a25:0xc09673e7f3f17fb7!8m2!3d39.9514385!4d-75.1694882!16s%2Fg%2F11b6t1x51n!19sChIJJVpz9DDGxokRt3_x8-dzlsA?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.6,2892,+1 215-568-5600,"1716 Chestnut St, Philadelphia, PA 19103, United States",grancaffelaquila.com
La Colombe Coffee Roasters,https://www.google.com/maps/place/La+Colombe+Coffee+Roasters/data=!4m7!3m6!1s0x89c6c6375294832f:0x89ba9b4d7b43b759!8m2!3d39.9507564!4d-75.1723193!16s%2Fg%2F1hc0vlp2h!19sChIJL4OUUjfGxokRWbdDe02buok?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.6,1139,+1 215-563-0860,"130 S 19th St, Philadelphia, PA 19103, United States",lacolombe.com
Tuscany Cafe (Locust Street),https://www.google.com/maps/place/Tuscany+Cafe+%28Locust+Street%29/data=!4m7!3m6!1s0x89c6c6256988c2ab:0x692f97401ae317b2!8m2!3d39.9484155!4d-75.1650461!16s%2Fg%2F1thnpqx0!19sChIJq8KIaSXGxokRshfjGkCXL2k?authuser=0&hl=en&rclk=1,Cafes in Philadelphia Pennsylvania,4.9,200,+1 215-964-9176,"230 S Broad St, Philadelphia, PA 19102, United States",tuscanycafephilly.com
