Name,URL,Query,Rating,Reviews,Phone,Address,Website
Cherrywine Sushi & Burmese Cuisine,https://www.google.com/maps/place/Cherrywine+Sushi+%26+Burmese+Cuisine/data=!4m7!3m6!1s0x80dc037d26473bfb:0x6c30707a471519bd!8m2!3d32.8480242!4d-117.2744792!16s%2Fg%2F11h27y991w!19sChIJ-ztHJn0D3IARvRkVR3pwMGw?authuser=0&hl=en&rclk=1,Cafes in San Diego California,4.6,380,+1 858-246-7755,"8008 Girard Ave #210, La Jolla, CA 92037, United States",lajollacherrywine.com
Lapper Sports Bar + Kitchen,https://www.google.com/maps/place/Lapper+Sports+Bar+%2B+Kitchen/data=!4m7!3m6!1s0x80d9554d0f1ad901:0x6ad3c060d9898fd!8m2!3d32.7636246!4d-117.1683999!16s%2Fg%2F11rnbdzbqm!19sChIJAdkaD01V2YAR_ZiYDQY8rQY?authuser=0&hl=en&rclk=1,Cafes in San Diego California,3.9,63,+1 619-908-5095,"500 Hotel Cir N, San Diego, CA 92108, United States",towncountry.com
Caffè Calabria,https://www.google.com/maps/place/Caff%C3%A8+Calabria/data=!4m7!3m6!1s0x80d954f68d9a781d:0xecfb462bc4a9659e!8m2!3d32.7492135!4d-117.1299926!16s%2Fg%2F1wk7r47k!19sChIJHXiajfZU2YARnmWpxCtG--w?authuser=0&hl=en&rclk=1,Cafes in San Diego California,4.6,1267,+1 619-683-7787,"3933 30th St Suite 2, San Diego, CA 92104, United States",caffecalabria.com
Cafe Bassam,https://www.google.com/maps/place/Cafe+Bassam/data=!4m7!3m6!1s0x80d954c7c71dd989:0x49a7a5ff0d5fe61f!8m2!3d32.7375115!4d-117.1605595!16s%2Fg%2F1tggnydt!19sChIJidkdx8dU2YARH-ZfDf-lp0k?authuser=0&hl=en&rclk=1,Cafes in San Diego California,4.4,1058,+1 619-557-0173,"3088 Fifth Ave, San Diego, CA 92103, United States",cafe-bassam.cafes-city.com
Spill the Beans Coffee and Bagels,https://www.google.com/maps/place/Spill+the+Beans+Coffee+and+Bagels/data=!4m7!3m6!1s0x80d95359bce1b455:0x19c0ac0f5e37590d!8m2!3d32.711363!4d-117.1594778!16s%2Fg%2F11f38nlfvq!19sChIJVbThvFlT2YARDVk3Xg-swBk?authuser=0&hl=en&rclk=1,Cafes in San Diego California,4.5,949,+1 619-233-3836,"555 Market St, San Diego, CA 92101, United States",spillthebeanssd.com
Better Buzz Coffee Hillcrest,https://www.google.com/maps/place/Better+Buzz+Coffee+Hillcrest/data=!4m7!3m6!1s0x80d954db417b9089:0xbc9ba1edbfec3e07!8m2!3d32.7481995!4d-117.1570355!16s%2Fg%2F11f_3dqw1g!19sChIJiZB7QdtU2YARBz7sv-2hm7w?authuser=0&hl=en&rclk=1,Cafes in San Diego California,4.4,1671,+1 619-269-2740,"801 University Ave, San Diego, CA 92103, United States",betterbuzzcoffee.com
Lestat's on Park,https://www.google.com/maps/place/Lestat%27s+on+Park/data=!4m7!3m6!1s0x80d954e1cf32b25f:0x19bfe09db0698b63!8m2!3d32.7589454!4d-117.1464131!16s%2Fm%2F0k2t3v4!19sChIJX7Iyz-FU2YARY4tpsJ3gvxk?authuser=0&hl=en&rclk=1,Cafes in San Diego California,4.4,1212,+1 619-501-6638,"4496 Park Blvd, San Diego, CA 92116, United States",lestats.com
Holsem Coffee,https://www.google.com/maps/place/Holsem+Coffee/data=!4m7!3m6!1s0x80d954f69ee71d6d:0x7e880457902402c9!8m2!3d32.7482577!4d-117.1306925!16s%2Fg%2F11bc8_kqwc!19sChIJbR3nnvZU2YARyQIkkFcEiH4?authuser=0&hl=en&rclk=1,Cafes in San Diego California,4.5,755,+1 855-923-3770,"2911 University Ave, San Diego, CA 92104, United States",holsemcoffee.com
Scrimshaw Coffee,https://www.google.com/maps/place/Scrimshaw+Coffee/data=!4m7!3m6!1s0x80d9569ee694b32b:0x4a7c1dc7f453dd5!8m2!3d32.7585924!4d-117.0752213!16s%2Fg%2F11f03h8qhb!19sChIJK7OU5p5W2YAR1T1Ff9zBpwQ?authuser=0&hl=en&rclk=1,Cafes in San Diego California,4.7,337,+1 619-501-2355,"5542 El Cajon Blvd, San Diego, CA 92115, United States",scrimshawcoffee.com
Communal Coffee,https://www.google.com/maps/place/Communal+Coffee/data=!4m7!3m6!1s0x80d954ee32187627:0x570eb5a679a17a63!8m2!3d32.7483084!4d-117.1391773!16s%2Fg%2F11cn68py1_!19sChIJJ3YYMu5U2YARY3qheaa1Dlc?authuser=0&hl=en&rclk=1,Cafes in San Diego California,4.6,1222,+1 619-363-7737,"2335 University Ave, San Diego, CA 92104, United States",communalcoffee.com
