Name,URL,Query,Rating,Reviews,Phone,Address,Website
Sawada Coffee,https://www.google.com/maps/place/Sawada+Coffee/data=!4m7!3m6!1s0x880e2cdada6e91e9:0x85e817197841a73e!8m2!3d41.8836251!4d-87.6487119!16s%2Fg%2F11ckwy0qw6!19sChIJ6ZFu2tosDogRPqdBeBkX6IU?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.7,1746,+1 312-344-1750,"112 N Green St, Chicago, IL 60607, United States",sawadacoffee.com
The Wormhole Coffee,https://www.google.com/maps/place/The+Wormhole+Coffee/data=!4m7!3m6!1s0x880fd2c659f78e63:0xdbccde2384438e52!8m2!3d41.9084133!4d-87.6746028!16s%2Fg%2F1tcysf87!19sChIJY473WcbSD4gRUo5DhCPezNs?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.6,1860,+1 773-661-2468,"1462 N Milwaukee Ave, Chicago, IL 60622, United States",instagram.com
Side Practice Coffee,https://www.google.com/maps/place/Side+Practice+Coffee/data=!4m7!3m6!1s0x880fd1939a853341:0x26daf1536bce515d!8m2!3d41.9758686!4d-87.6791457!16s%2Fg%2F11hjf0j2tz!19sChIJQTOFmpPRD4gRXVHOa1Px2iY?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.7,208,+1 773-754-8763,"5139 N Damen Ave, Chicago, IL 60625, United States",sidepracticecoffee.square.site
Intelligentsia Coffee Millennium Park Coffeebar,https://www.google.com/maps/place/Intelligentsia+Coffee+Millennium+Park+Coffeebar/data=!4m7!3m6!1s0x880e2ca59d87f58f:0x16c6cb5e284d552d!8m2!3d41.884283!4d-87.6257752!16s%2Fg%2F1hc55s20n!19sChIJj_WHnaUsDogRLVVNKF7LxhY?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.3,1788,+1 312-920-9332,"53 E Randolph St, Chicago, IL 60601, United States",intelligentsia.com
Gaslight Coffee Roasters,https://www.google.com/maps/place/Gaslight+Coffee+Roasters/data=!4m7!3m6!1s0x880fcd62fcc09c0b:0x4b446755eaaec633!8m2!3d41.9245667!4d-87.6997915!16s%2Fg%2F11r96kjdt!19sChIJC5zA_GLND4gRM8au6lVnREs?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.5,742,-,"2385 N Milwaukee Ave, Chicago, IL 60647, United States",gaslightcoffee.com
Metric,https://www.google.com/maps/place/Metric/data=!4m7!3m6!1s0x880e2d4801c5ef15:0x5914de466518fb36!8m2!3d41.8866135!4d-87.6776119!16s%2Fg%2F11b6mrgc2c!19sChIJFe_FAUgtDogRNvsYZUbeFFk?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.6,374,+1 312-982-2196,"2021 W Fulton St suite k-101b, Chicago, IL 60612, United States",metriccoffee.com
Ludlow Charlingtons Coffee Shop,https://www.google.com/maps/place/Ludlow+Charlingtons+Coffee+Shop/data=!4m7!3m6!1s0x880fd3ff041f665f:0x7384a4797f9a18c6!8m2!3d41.9262858!4d-87.6407508!16s%2Fg%2F11rghm1fxn!19sChIJX2YfBP_TD4gRxhiaf3mkhHM?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.9,234,+1 773-697-7984,"2425 N Clark St, Chicago, IL 60614, United States",ludlowcharlingtons.com
Hero Coffee and Bagel Bar,https://www.google.com/maps/place/Hero+Coffee+and+Bagel+Bar/data=!4m7!3m6!1s0x880e2cbd5a699c65:0x27dbfd0d599c064b!8m2!3d41.8758926!4d-87.6290583!16s%2Fg%2F11b6gq9jhv!19sChIJZZxpWr0sDogRSwacWQ392yc?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.5,824,+1 312-631-3269,"439 S Dearborn St, Chicago, IL 60605, United States",herocoffeebars.com
Caffe Umbria,https://www.google.com/maps/place/Caffe+Umbria/data=!4m7!3m6!1s0x880e2cb109470fb1:0x1bfa35f0425ae540!8m2!3d41.8887579!4d-87.6312297!16s%2Fg%2F11bwh9wdq2!19sChIJsQ9HCbEsDogRQOVaQvA1-hs?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.7,913,+1 312-955-0288,"346 N Clark St UNIT 4709, Chicago, IL 60654, United States",caffeumbria.com
Cafe Jumping Bean,https://www.google.com/maps/place/Cafe+Jumping+Bean/data=!4m7!3m6!1s0x880e2d00ca33c0fb:0x6e45042fd695384d!8m2!3d41.8577252!4d-87.6628297!16s%2Fg%2F1th87q50!19sChIJ-8AzygAtDogRTTiV1i8ERW4?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.7,1184,+1 312-455-0019,"1439 W 18th St, Chicago, IL 60608, United States",-
Dark Matter Coffee - The Mothership,https://www.google.com/maps/place/Dark+Matter+Coffee+-+The+Mothership/data=!4m7!3m6!1s0x880e2d4d67081259:0xfba8ccb74b79cf88!8m2!3d41.8950699!4d-87.687134!16s%2Fg%2F1hc7dw4r1!19sChIJWRIIZ00tDogRiM95S7fMqPs?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.7,1198,+1 773-697-8472,"738 N Western Ave, Chicago, IL 60612, United States",darkmattercoffee.com
Metropolis Coffee Company,https://www.google.com/maps/place/Metropolis+Coffee+Company/data=!4m7!3m6!1s0x880fd1754efabc4d:0xbc516c59c683d7e4!8m2!3d41.9943972!4d-87.6572444!16s%2Fg%2F1tdq1qxf!19sChIJTbz6TnXRD4gR5NeDxllsUbw?authuser=0&hl=en&rclk=1,Coffee shops in Chicago Illinois,4.6,1137,+1 773-764-0400,"1039 W Granville Ave, Chicago, IL 60660, United States",metropoliscoffee.com
