Name,URL,Query,Rating,Reviews,Phone,Address,Website
Stauf's Coffee Roasters,https://www.google.com/maps/place/Stauf%27s+Coffee+Roasters/data=!4m7!3m6!1s0x88388f4b7be30795:0xb4a07466b704923!8m2!3d39.9495856!4d-82.9956865!16s%2Fg%2F1tghq7lx!19sChIJlQfje0uPOIgRI0lwa0YHSgs?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.6,1178,+1 614-221-1563,"627 S 3rd St #1060, Columbus, OH 43206, United States",staufs.com
Parable Cafe,https://www.google.com/maps/place/Parable+Cafe/data=!4m7!3m6!1s0x8838894b268b5259:0xe845d1d2a6bca06c!8m2!3d39.9590386!4d-83.0002557!16s%2Fg%2F11k_htnmwg!19sChIJWVKLJkuJOIgRbKC8ptLRReg?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.5,561,+1 614-972-6001,"149 S High St, Columbus, OH 43215, United States",parable.coffee
Koffee Paradise,https://www.google.com/maps/place/Koffee+Paradise/data=!4m7!3m6!1s0x8838633274b0f961:0x9eac0071b8462bad!8m2!3d39.9551286!4d-82.8297224!16s%2Fg%2F11v5ft4pd5!19sChIJYfmwdDJjOIgRrStGuHEArJ4?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.9,414,+1 614-429-7033,"6308 E Main St, Columbus, OH 43213, United States",-
One Line Coffee-Short North,https://www.google.com/maps/place/One+Line+Coffee-Short+North/data=!4m7!3m6!1s0x88388ed7808d0387:0xdfd160f0912a7e75!8m2!3d39.9776191!4d-83.0038365!16s%2Fg%2F11x9_8rpz!19sChIJhwONgNeOOIgRdX4qkfBg0d8?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.6,795,+1 614-564-9852,"745 N High St, Columbus, OH 43215, United States",onelinecoffee.com
Cup O Joe Coffee House,https://www.google.com/maps/place/Cup+O+Joe+Coffee+House/data=!4m7!3m6!1s0x88388c1895ff11e9:0x397a769f79d7d565!8m2!3d40.0231592!4d-83.0133737!16s%2Fg%2F1tfklvfc!19sChIJ6RH_lRiMOIgRZdXXeZ92ejk?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.5,640,+1 614-447-7563,"2990 N High St, Columbus, OH 43202, United States",cupojoe.com
Kafe Kerouac,https://www.google.com/maps/place/Kafe+Kerouac/data=!4m7!3m6!1s0x88388ea37b98fa85:0xbca5f8e1f4bb6d30!8m2!3d40.0081961!4d-83.0094337!16s%2Fm%2F0k2335m!19sChIJhfqYe6OOOIgRMG279OH4pbw?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.6,1003,+1 614-299-2672,"2250 N High St, Columbus, OH 43201, United States",kafekerouac.com
Brioso Coffee,https://www.google.com/maps/place/Brioso+Coffee/data=!4m7!3m6!1s0x88388f31c65fa2df:0x93e022e54fc1b02f!8m2!3d39.9634638!4d-83.0010813!16s%2Fg%2F1tyzznhs!19sChIJ36JfxjGPOIgRL7DBT-Ui4JM?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.6,403,+1 614-670-8490,"53 N High St, Columbus, OH 43215, United States",briosocoffee.com
Global Gallery Coffee Shop,https://www.google.com/maps/place/Global+Gallery+Coffee+Shop/data=!4m7!3m6!1s0x88388c3e50bce2e7:0x4fbf24edfdec3f44!8m2!3d40.0341716!4d-83.0167931!16s%2Fg%2F1tf7hb48!19sChIJ5-K8UD6MOIgRRD_s_e0kv08?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,510,+1 614-262-5535,"3535 N High St, Columbus, OH 43214, United States",globalgallerycolumbus.com
Upper Cup Coffee,https://www.google.com/maps/place/Upper+Cup+Coffee/data=!4m7!3m6!1s0x883888c54359dabd:0xe3bcb52514ce5c2e!8m2!3d39.9625609!4d-82.9818877!16s%2Fg%2F1w0p68_r!19sChIJvdpZQ8WIOIgRLlzOFCW1vOM?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,960,+1 614-220-0206,"79 Parsons Ave, Columbus, OH 43215, United States",uppercupcoffee.com
Stauf's Coffee Roasters,https://www.google.com/maps/place/Stauf%27s+Coffee+Roasters/data=!4m7!3m6!1s0x88388e5190daff07:0x3cca13367341c3b6!8m2!3d39.983777!4d-83.045055!16s%2Fg%2F1v29cpnx!19sChIJB__akFGOOIgRtsNBczYTyjw?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.6,1478,+1 614-486-4861,"1277 Grandview Ave, Columbus, OH 43212, United States",staufs.com
Coffee Underground,https://www.google.com/maps/place/Coffee+Underground/data=!4m7!3m6!1s0x88388eaff1e35041:0x1eb2e33ad64be3c7!8m2!3d40.0067881!4d-83.0032546!16s%2Fg%2F11bvt4hktf!19sChIJQVDj8a-OOIgRx-NL1jrjsh4?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.8,135,+1 614-725-1805,"2141 Indianola Ave, Columbus, OH 43201, United States",coffeeunderground.org
Cafe De Nook,https://www.google.com/maps/place/Cafe+De+Nook/data=!4m7!3m6!1s0x88388f3411046a01:0xfafbc4396acbd32d!8m2!3d39.9588106!4d-82.9977817!16s%2Fg%2F11ckqrqfbt!19sChIJAWoEETSPOIgRLdPLajnE-_o?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.8,230,+1 614-745-3712,"175 S 3rd St, Columbus, OH 43215, United States",-
Crimson Cup Coffee Shop - Clintonville,https://www.google.com/maps/place/Crimson+Cup+Coffee+Shop+-+Clintonville/data=!4m7!3m6!1s0x88388c5932c337f9:0xeb8f8617f126e8e8!8m2!3d40.0546485!4d-83.0204862!16s%2Fg%2F1w4vklpz!19sChIJ-TfDMlmMOIgR6Ogm8ReGj-s?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.5,1090,+1 614-262-6212,"4541 N High St, Columbus, OH 43214, United States",crimsoncup.com
Mission Coffee Co.,https://www.google.com/maps/place/Mission+Coffee+Co./data=!4m7!3m6!1s0x88388eda1c909597:0xc6fccff56e2d8df!8m2!3d39.9806376!4d-83.0046196!16s%2Fg%2F1hc5q34f0!19sChIJl5WQHNqOOIgR39jiVv_Mbww?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.6,564,-,"11 Price Ave, Columbus, OH 43201, United States",missioncoffeeco.com
The Roosevelt Coffeehouse,https://www.google.com/maps/place/The+Roosevelt+Coffeehouse/data=!4m7!3m6!1s0x883888d2cd2780fb:0xce8b110fba6bd0e3!8m2!3d39.966006!4d-82.9931475!16s%2Fg%2F11b7l69_51!19sChIJ-4AnzdKIOIgR49Brug8Ri84?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,1062,+1 614-670-5228,"300 E Long St, Columbus, OH 43215, United States",rooseveltcoffee.org
Winans Coffee & Chocolate,https://www.google.com/maps/place/Winans+Coffee+%26+Chocolate/data=!4m7!3m6!1s0x883888bdbddab5f7:0xc56e420c55c5754c!8m2!3d39.9440709!4d-82.9945453!16s%2Fg%2F1thf96p9!19sChIJ97Xavb2IOIgRTHXFVQxCbsU?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,514,+1 614-445-6464,"897 S 3rd St, Columbus, OH 43206, United States",winanschocolate.com
Bottoms Up Coffee,https://www.google.com/maps/place/Bottoms+Up+Coffee/data=!4m7!3m6!1s0x88388f0cf17a542d:0x4165fdfc3fe5b74e!8m2!3d39.9585798!4d-83.0291128!16s%2Fg%2F11cjk37cwt!19sChIJLVR68QyPOIgRTrflP_z9ZUE?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,525,+1 614-662-2212,"1069 W Broad St #715, Columbus, OH 43222, United States",bottomsupcoffee.com
Grandview Grind,https://www.google.com/maps/place/Grandview+Grind/data=!4m7!3m6!1s0x88388e5069753943:0x3e43bc7d6132d657!8m2!3d39.9868796!4d-83.045132!16s%2Fg%2F1hhgl47t6!19sChIJQzl1aVCOOIgRV9YyYX28Qz4?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.6,228,+1 614-485-9005,"1423 Grandview Ave, Columbus, OH 43212, United States",m.facebook.com
Maudine’s,https://www.google.com/maps/place/Maudine%E2%80%99s/data=!4m7!3m6!1s0x88388ff8e9bfdb35:0x54e61d23c315d4b!8m2!3d39.959475!4d-83.008988!16s%2Fg%2F11t9qnmpgh!19sChIJNdu_6fiPOIgRS10xPNJhTgU?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.4,76,+1 614-607-6700,"77 Belle St, Columbus, OH 43215, United States",thejuntohotel.com
Honey Cup Coffee Company,https://www.google.com/maps/place/Honey+Cup+Coffee+Company/data=!4m7!3m6!1s0x88388f7a35c9a74b:0x1973d969b3a2756d!8m2!3d40.0144373!4d-83.0004395!16s%2Fg%2F11rfpbj3w7!19sChIJS6fJNXqPOIgRbXWis2nZcxk?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.9,192,-,"2489 Summit St, Columbus, OH 43202, United States",-
Roaming Goat Coffee,https://www.google.com/maps/place/Roaming+Goat+Coffee/data=!4m7!3m6!1s0x88388ed9e4c35bf7:0xcfedb4b21eb6aa38!8m2!3d39.9797017!4d-83.0043654!16s%2Fg%2F11f3nm8j7g!19sChIJ91vD5NmOOIgROKq2HrK07c8?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.5,315,+1 614-294-2489,"849 N High St, Columbus, OH 43215, United States",roaminggoatcoffee.com
Third Way Coffee House,https://www.google.com/maps/place/Third+Way+Coffee+House/data=!4m7!3m6!1s0x8838901e841b2929:0x92ef7121c15455d8!8m2!3d39.9542699!4d-83.0820844!16s%2Fg%2F11hb4wbpkf!19sChIJKSkbhB6QOIgR2FVUwSFx75I?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.8,466,+1 513-449-0082,"3059 W Broad St, Columbus, OH 43204, United States",thirdwaycoffee.com
Brioso Roastery & Coffee Bar,https://www.google.com/maps/place/Brioso+Roastery+%26+Coffee+Bar/data=!4m7!3m6!1s0x883888d2c748adcd:0xdee75b3c0f5a637f!8m2!3d39.9658446!4d-82.9922197!16s%2Fg%2F11cjn057tr!19sChIJza1Ix9KIOIgRf2NaDzxb594?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.8,225,+1 614-754-9511,"329 E Long St, Columbus, OH 43215, United States",briosocoffee.com
German Village Coffee Shop,https://www.google.com/maps/place/German+Village+Coffee+Shop/data=!4m7!3m6!1s0x883888ac8ee4a29b:0x79583d617878b056!8m2!3d39.9394745!4d-82.9909012!16s%2Fg%2F1vyn4j4y!19sChIJm6LkjqyIOIgRVrB4eGE9WHk?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,1094,+1 614-443-8900,"193 Thurman Ave, Columbus, OH 43206, United States",gvcoffeeshop.com
Stauf’s Coffee,https://www.google.com/maps/place/Stauf%E2%80%99s+Coffee/data=!4m7!3m6!1s0x88388f78b8938867:0x642b349380d7ed2!8m2!3d39.9886988!4d-83.0129531!16s%2Fg%2F11h_5ggqjf!19sChIJZ4iTuHiPOIgR0n4NOEmzQgY?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,360,+1 614-928-3993,"1334 Neil Ave, Columbus, OH 43201, United States",staufs.com
Winans Coffee & Chocolate,https://www.google.com/maps/place/Winans+Coffee+%26+Chocolate/data=!4m7!3m6!1s0x88388f3c11d9f299:0x40ece69664f7ba73!8m2!3d39.9748391!4d-83.0033928!16s%2Fg%2F11vb3d88ln!19sChIJmfLZETyPOIgRc7r3ZJbm7EA?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.8,29,+1 614-745-0040,"611 N High St, Columbus, OH 43215, United States",winanscandies.com
The Morning Ritual,https://www.google.com/maps/place/The+Morning+Ritual/data=!4m7!3m6!1s0x88388f8b1291a00d:0xc58521a564db6e11!8m2!3d39.9576025!4d-82.999999!16s%2Fg%2F11j0_rxxft!19sChIJDaCREouPOIgREW7bZKUhhcU?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,3.3,46,+1 614-779-0800,"219 S High St Suite 100, Columbus, OH 43215, United States",morningritual.com
Community Grounds: Coffee & Meeting House,https://www.google.com/maps/place/Community+Grounds:+Coffee+%26+Meeting+House/data=!4m7!3m6!1s0x883888af77517fd1:0x9a13575b5cf35d2b!8m2!3d39.940472!4d-82.9830438!16s%2Fg%2F11ddwwf555!19sChIJ0X9Rd6-IOIgRK13zXFtXE5o?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,272,+1 614-826-1026,"1134 Parsons Ave, Columbus, OH 43206, United States",mycommunitygrounds.com
Mission Coffee-Southside,https://www.google.com/maps/place/Mission+Coffee-Southside/data=!4m7!3m6!1s0x883861c7657e9f4b:0xc1908957c66c3087!8m2!3d39.9194805!4d-82.9941637!16s%2Fg%2F11ff4_zldn!19sChIJS59-ZcdhOIgRhzBsxleJkME?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,134,-,"2060 S High St, Columbus, OH 43207, United States",missioncoffeeco.com
Fox in the Snow Cafe,https://www.google.com/maps/place/Fox+in+the+Snow+Cafe/data=!4m7!3m6!1s0x88388ed1ec27f5c5:0xaecb3332dd59fdc1!8m2!3d39.9841624!4d-82.9993464!16s%2Fg%2F11b6d510l2!19sChIJxfUn7NGOOIgRwf1Z3TIzy64?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,2419,+1 614-826-0007,"1031 N 4th St, Columbus, OH 43201, United States",foxinthesnow.com
Jennings Java Artisan Coffee Roasters,https://www.google.com/maps/place/Jennings+Java+Artisan+Coffee+Roasters/data=!4m7!3m6!1s0x88388f47b4fe1ba1:0x25e85492343d6570!8m2!3d39.9351934!4d-82.992751!16s%2Fg%2F11h6rpclmr!19sChIJoRv-tEePOIgRcGU9NJJU6CU?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,5.0,101,+1 614-385-2326,"116 E Moler St, Columbus, OH 43207, United States",jenningsjava.com
Qahwah House Coffee - Columbus,https://www.google.com/maps/place/Qahwah+House+Coffee+-+Columbus/data=!4m7!3m6!1s0x88388f0059838de9:0x86b1b3f39bfaf105!8m2!3d39.9565873!4d-82.9944732!16s%2Fg%2F11vm24xrmn!19sChIJ6Y2DWQCPOIgRBfH6m_OzsYY?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.8,225,+1 614-372-5313,"189 E Main St, Columbus, OH 43215, United States",qahwahhouse.com
Stonebrick Cafe,https://www.google.com/maps/place/Stonebrick+Cafe/data=!4m7!3m6!1s0x88388d0a78728071:0xe08f73ac748e6dc!8m2!3d40.0628352!4d-83.0457814!16s%2Fg%2F11t0sw4bxk!19sChIJcYByeAqNOIgR3OZIxzr3CA4?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.9,127,-,"999 Bethel Rd # D, Columbus, OH 43214, United States",stonebrickcafe.com
Chocolate Café,https://www.google.com/maps/place/Chocolate+Caf%C3%A9/data=!4m7!3m6!1s0x88388e42d712ee41:0xc3adf7b8a1586b22!8m2!3d39.9957861!4d-83.0473778!16s%2Fg%2F1thcs_p9!19sChIJQe4S10KOOIgRImtYobj3rcM?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.6,1116,+1 614-485-2233,"1855 Northwest Blvd, Columbus, OH 43212, United States",chocolatecafecolumbus.com
Pistacia Vera,https://www.google.com/maps/place/Pistacia+Vera/data=!4m7!3m6!1s0x88388f4ba804111d:0xd42be512568aa469!8m2!3d39.9512782!4d-82.9959712!16s%2Fg%2F1tdcbgr0!19sChIJHREEqEuPOIgRaaSKVhLlK9Q?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,1483,+1 614-220-9070,"541 S 3rd St, Columbus, OH 43215, United States",pistaciavera.com
One Line Coffee-Franklinton,https://www.google.com/maps/place/One+Line+Coffee-Franklinton/data=!4m7!3m6!1s0x88388f3974c3688b:0xba95aad56c9a6d29!8m2!3d39.9559184!4d-83.0122668!16s%2Fg%2F11j5h58ngz!19sChIJi2jDdDmPOIgRKW2abNWqlbo?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,307,+1 614-929-5877,"471 W Rich St, Columbus, OH 43215, United States",onelinecoffee.com
Florin Coffee,https://www.google.com/maps/place/Florin+Coffee/data=!4m7!3m6!1s0x88388dd84135ff5b:0xf72aa0216b8d519a!8m2!3d40.0327245!4d-82.9910053!16s%2Fg%2F11ghn6hn79!19sChIJW_81QdiNOIgRmlGNayGgKvc?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.9,289,-,"874 Oakland Park Ave, Columbus, OH 43224, United States",florincoffee.com
Safari Coffee House,https://www.google.com/maps/place/Safari+Coffee+House/data=!4m7!3m6!1s0x88388bb9b9194c99:0xc913ee5634a2ffb7!8m2!3d40.0377137!4d-82.960992!16s%2Fg%2F1tfb2nsn!19sChIJmUwZubmLOIgRt_-iNFbuE8k?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.2,345,+1 614-262-2811,"3414 Cleveland Ave, Columbus, OH 43224, United States",-
Royal Flamingo Coffee House,https://www.google.com/maps/place/Royal+Flamingo+Coffee+House/data=!4m7!3m6!1s0x8838890736fe0831:0x39a9edf5c81f7785!8m2!3d39.9909192!4d-83.031858!16s%2Fg%2F11n723rqk6!19sChIJMQj-NgeJOIgRhXcfyPXtqTk?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,5.0,40,+1 614-233-1352,"inside I Like It Like That Bar, 945 King Ave, Columbus, OH 43212, United States",royalflamingocoffee.com
"Yeah, Me Too coffee","https://www.google.com/maps/place/Yeah,+Me+Too+coffee/data=!4m7!3m6!1s0x88388c0572e7d433:0x5de487962feffe5d!8m2!3d40.0250203!4d-83.0017764!16s%2Fg%2F1tx8twfk!19sChIJM9TncgWMOIgRXf7vL5aH5F0?authuser=0&hl=en&rclk=1",Coffee shops in Columbus Ohio,4.8,113,-,"3005 Indianola Ave, Columbus, OH 43202, United States",yeahmetoocoffee.com
One Line Coffee at Capitol Square,https://www.google.com/maps/place/One+Line+Coffee+at+Capitol+Square/data=!4m7!3m6!1s0x88388f3118bb29d5:0x92c4455a31a9c366!8m2!3d39.961079!4d-83.000769!16s%2Fg%2F11c3kvv5cl!19sChIJ1Sm7GDGPOIgRZsOpMVpFxJI?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,79,+1 614-824-2642,"41 S High St, Columbus, OH 43215, United States",onelinecoffee.com
The Roosevelt Coffeehouse at Gravity,https://www.google.com/maps/place/The+Roosevelt+Coffeehouse+at+Gravity/data=!4m7!3m6!1s0x88388f03e2cad353:0xa5371204899198eb!8m2!3d39.9609056!4d-83.0130374!16s%2Fg%2F11flbtzm9p!19sChIJU9PK4gOPOIgR65iRiQQSN6U?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,117,+1 614-315-5696,"462 W Broad St, Columbus, OH 43215, United States",linktr.ee
Gata Mágica Café and Lounge,https://www.google.com/maps/place/Gata+M%C3%A1gica+Caf%C3%A9+and+Lounge/data=!4m7!3m6!1s0x88388fe2ffbb3c0b:0xefa58cc02f848f02!8m2!3d39.9983268!4d-83.0075016!16s%2Fg%2F11stnbcjts!19sChIJCzy7_-KPOIgRAo-EL8CMpe8?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.8,81,+1 380-383-4282,"1762 N High St, Columbus, OH 43201, United States",gatamagicacbus.com
Fox In The Snow Cafe,https://www.google.com/maps/place/Fox+In+The+Snow+Cafe/data=!4m7!3m6!1s0x883888ac602f8f2d:0x32d37fbc2acd08!8m2!3d39.9398362!4d-82.990447!16s%2Fg%2F11f3n60726!19sChIJLY8vYKyIOIgRCM0qvH_TMgA?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.6,1046,+1 614-826-0007,"210 Thurman Ave, Columbus, OH 43206, United States",foxinthesnow.com
Java Central Café and Roaster,https://www.google.com/maps/place/Java+Central+Caf%C3%A9+and+Roaster/data=!4m7!3m6!1s0x8838f50d0a12e58b:0x356d4e309ac2e8c2!8m2!3d40.1254069!4d-82.9310172!16s%2Fg%2F1trvm2t0!19sChIJi-USCg31OIgRwujCmjBObTU?authuser=0&hl=en&rclk=1,Coffee shops in Columbus Ohio,4.7,1171,+1 614-839-0698,"20 S State St Suite B, Westerville, OH 43081, United States",javacentral.coffee
