Name,URL,Query,Rating,Reviews,Phone,Address,Website
Merit Coffee Co.,https://www.google.com/maps/place/Merit+Coffee+Co./data=!4m7!3m6!1s0x864e999c3cc0c611:0x1400e7be0be48d9!8m2!3d32.7839245!4d-96.7847895!16s%2Fg%2F11h0jvfy5m!19sChIJEcbAPJyZToYR2Ui-4HsOQAE?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.5,593,+1 469-248-3440,"2639 Main St, Dallas, TX 75226, United States",meritcoffee.com
Weekend Coffee,https://www.google.com/maps/place/Weekend+Coffee/data=!4m7!3m6!1s0x864e9918b848d65f:0xbc4f68ce5bc6d034!8m2!3d32.7801915!4d-96.7982092!16s%2Fg%2F11b75hwcb_!19sChIJX9ZIuBiZToYRNNDGW85oT7w?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.5,356,+1 214-261-4545,"1511 Commerce St, Dallas, TX 75201, United States",ahhweekend.com
Ascension Coffee - Design District,https://www.google.com/maps/place/Ascension+Coffee+-+Design+District/data=!4m7!3m6!1s0x864e994ebccd4e19:0xf1b0b7144c1e7e17!8m2!3d32.7970313!4d-96.8199752!16s%2Fg%2F1hhjnstb7!19sChIJGU7NvE6ZToYRF34eTBS3sPE?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.5,2166,+1 214-741-3211,"1621 Oak Lawn Ave, Dallas, TX 75207, United States",ascensiondallas.com
Hola Cafe Dallas,https://www.google.com/maps/place/Hola+Cafe+Dallas/data=!4m7!3m6!1s0x864e9b82d837c8cd:0xebaac49d1cd8233d!8m2!3d32.7486572!4d-96.8377468!16s%2Fg%2F11flkhd0_5!19sChIJzcg32IKbToYRPSPYHJ3Equs?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,311,-,"413 N Tyler St, Dallas, TX 75208, United States",holacafedallas.com
Sip Stir Coffee House,https://www.google.com/maps/place/Sip+Stir+Coffee+House/data=!4m7!3m6!1s0x864e992db0275763:0xe872b4e7d29670!8m2!3d32.8091548!4d-96.7951543!16s%2Fg%2F12qgpb14x!19sChIJY1cnsC2ZToYRcJbS57Ry6AA?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.5,587,+1 469-518-1117,"3800 McKinney Ave #180, Dallas, TX 75204, United States",sipstircoffeehouse.com
Civil Pour Coffee + Beer,https://www.google.com/maps/place/Civil+Pour+Coffee+%2B+Beer/data=!4m7!3m6!1s0x864e9fc1db5505dd:0x385eb6486382ee3b!8m2!3d32.882032!4d-96.767603!16s%2Fg%2F11f9yy7hbw!19sChIJ3QVV28GfToYRO-6CY0i2Xjg?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,775,+1 972-290-0216,"8061 Walnut Hill Ln # 924, Dallas, TX 75231, United States",civilpour.com
Magnolias Sous Le Pont,https://www.google.com/maps/place/Magnolias+Sous+Le+Pont/data=!4m7!3m6!1s0x864e9930af046889:0x9d03cece22f6311d!8m2!3d32.7933618!4d-96.8077473!16s%2Fg%2F1v46_s2g!19sChIJiWgErzCZToYRHTH2Is7OA50?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,711,+1 469-249-9222,"2727 N Harwood St, Dallas, TX 75201, United States",magnoliasdallas.com
Houndstooth Coffee,https://www.google.com/maps/place/Houndstooth+Coffee/data=!4m7!3m6!1s0x864e9fe9b946c831:0x77c730f6459a5d7b!8m2!3d32.8808891!4d-96.7692488!16s%2Fg%2F11gdkrmldl!19sChIJMchGuemfToYRe12aRfYwx3c?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.4,653,+1 469-399-7653,"9730 N Central Expy, Dallas, TX 75231, United States",houndstoothcoffee.com
Murray Street Coffee Shop,https://www.google.com/maps/place/Murray+Street+Coffee+Shop/data=!4m7!3m6!1s0x864e98c246a9383f:0x62e301891bdf9528!8m2!3d32.7849414!4d-96.777874!16s%2Fg%2F1tj9tr9x!19sChIJPzipRsKYToYRKJXfG4kB42I?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,311,+1 214-655-2808,"103 Murray St, Dallas, TX 75226, United States",murraystreetcoffee.com
Cafe Duro,https://www.google.com/maps/place/Cafe+Duro/data=!4m7!3m6!1s0x864e9f9b81c1b3d9:0x53eae503db4c2add!8m2!3d32.8232311!4d-96.770034!16s%2Fg%2F11swl_pv89!19sChIJ2bPBgZufToYR3SpM2wPl6lM?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.7,127,+1 214-888-8485,"2804 Greenville Ave, Dallas, TX 75206, United States",cafe-duro.com
Opening Bell Coffee,https://www.google.com/maps/place/Opening+Bell+Coffee/data=!4m7!3m6!1s0x864e9903b6cd4dbd:0x5cfe530c861396f1!8m2!3d32.7673584!4d-96.796026!16s%2Fm%2F0k2xhny!19sChIJvU3NtgOZToYR8ZYThgxT_lw?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,668,+1 214-565-0383,"1409 Botham Jean Blvd, Dallas, TX 75215, United States",openingbellcoffee.com
Houndstooth Coffee,https://www.google.com/maps/place/Houndstooth+Coffee/data=!4m7!3m6!1s0x864e9f369e80ef7b:0xb55670453654e3b!8m2!3d32.8115075!4d-96.7743712!16s%2Fg%2F11b5wdggd0!19sChIJe--AnjafToYRO05lUwRnVQs?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,520,+1 972-863-9080,"1900 N Henderson Ave, Dallas, TX 75206, United States",houndstoothcoffee.com
Buzz & Bustle Coffee House & Shop - The Village Dallas,https://www.google.com/maps/place/Buzz+%26+Bustle+Coffee+House+%26+Shop+-+The+Village+Dallas/data=!4m7!3m6!1s0x864e9f1d4befc6dd:0xce543036a3019705!8m2!3d32.8593228!4d-96.7639186!16s%2Fg%2F11ngs_1bb3!19sChIJ3cbvSx2fToYRBZcBozYwVM4?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,205,+1 469-659-6379,"5610 Village Glen Dr, Dallas, TX 75206, United States",thevillagedallas.com
Triumphs Espresso & Whiskey,https://www.google.com/maps/place/Triumphs+Espresso+%26+Whiskey/data=!4m7!3m6!1s0x864e998fb2ffef29:0xcabb5acd6b29a3c0!8m2!3d32.794223!4d-96.8310407!16s%2Fg%2F11s598lnsz!19sChIJKe__so-ZToYRwKMpa81au8o?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.7,295,-,"141 Manufacturing St Suite 110, Dallas, TX 75207, United States",triumphsdallas.com
LDU Coffee To Go,https://www.google.com/maps/place/LDU+Coffee+To+Go/data=!4m7!3m6!1s0x864e9f2f3d837d3f:0x417ae2f6cd8ae64e!8m2!3d32.8144722!4d-96.7856509!16s%2Fg%2F11gf1kp6c_!19sChIJP32DPS-fToYRTuaKzfbiekE?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.8,629,+1 469-739-1881,"2650 N Fitzhugh Ave #100, Dallas, TX 75204, United States",lducoffee.com
The Berni Bean Coffee Company,https://www.google.com/maps/place/The+Berni+Bean+Coffee+Company/data=!4m7!3m6!1s0x864e9961390ef7d9:0x7e1481c891cfda67!8m2!3d32.7842789!4d-96.7976334!16s%2Fg%2F11mvxmdbw8!19sChIJ2fcOOWGZToYRZ9rPkciBFH4?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,281,+1 972-863-9550,"400 North St. Paul Street Ste 120, Dallas, TX 75201, United States",thebernibean.com
La La Land Kind Cafe,https://www.google.com/maps/place/La+La+Land+Kind+Cafe/data=!4m7!3m6!1s0x864e9f19310016a3:0xe4be2b5aca57c9d7!8m2!3d32.8106878!4d-96.8066818!16s%2Fg%2F11jks1m92_!19sChIJoxYAMRmfToYR18lXylorvuQ?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.5,592,+1 469-709-8033,"3330 Oak Lawn Ave, Dallas, TX 75219, United States",lalalandkindcafe.com
NATIVE COFFEE CO.,https://www.google.com/maps/place/NATIVE+COFFEE+CO./data=!4m7!3m6!1s0x864c2710dcaed78f:0x9a801c26d59e0b80!8m2!3d32.9333684!4d-96.8354106!16s%2Fg%2F11g4cl8cnq!19sChIJj9eu3BAnTIYRgAue1SYcgJo?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.7,619,+1 214-217-4744,"4319 Alpha Rd, Dallas, TX 75244, United States",thenativecoffeecompany.com
Watermark Coffee,https://www.google.com/maps/place/Watermark+Coffee/data=!4m7!3m6!1s0x864c20438f7c3011:0x58790566b73ce9a!8m2!3d32.9226591!4d-96.7776535!16s%2Fg%2F11b6cmkqf3!19sChIJETB8j0MgTIYRms5za1aQhwU?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.8,264,+1 214-361-2275,"7540 Lyndon B Johnson Fwy, Dallas, TX 75251, United States",watermark.org
Union,https://www.google.com/maps/place/Union/data=!4m7!3m6!1s0x864e9f097eedbf03:0x75dafe2362b508af!8m2!3d32.8083788!4d-96.8082855!16s%2Fg%2F1pzwbb0fh!19sChIJA7_tfgmfToYRrwi1YiP-2nU?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,592,+1 469-501-5440,"3705 Cedar Springs Rd, Dallas, TX 75219, United States",uniondallas.org
FULL CITY ROOSTER Coffee Roasting Studio,https://www.google.com/maps/place/FULL+CITY+ROOSTER+Coffee+Roasting+Studio/data=!4m7!3m6!1s0x864e98fdb2c7b347:0x110936d7b2acb758!8m2!3d32.767665!4d-96.789791!16s%2Fg%2F1pp2vkr4b!19sChIJR7PHsv2YToYRWLesstc2CRE?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.9,392,+1 214-247-6394,"1810 S Akard St UNIT 100, Dallas, TX 75215, United States",fullcityrooster.com
Wayward Coffee Co,https://www.google.com/maps/place/Wayward+Coffee+Co/data=!4m7!3m6!1s0x864e9bb803eaf659:0x950aa7eafa4adadf!8m2!3d32.7493836!4d-96.8437164!16s%2Fg%2F11hfz46hpq!19sChIJWfbqA7ibToYR39pK-uqnCpU?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,220,-,"1318 W Davis St, Dallas, TX 75208, United States",waywardcoffee.co
Cultivar Coffee Roasting Co.,https://www.google.com/maps/place/Cultivar+Coffee+Roasting+Co./data=!4m7!3m6!1s0x864ea10e3d0b13cf:0x3b6285e3d19aea57!8m2!3d32.8391169!4d-96.6976459!16s%2Fg%2F1tdmqgfg!19sChIJzxMLPQ6hToYRV-qa0eOFYjs?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.5,434,+1 469-387-6289,"1155 Peavy Rd, Dallas, TX 75218, United States",cultivarcoffee.com
Peaberry Coffee,https://www.google.com/maps/place/Peaberry+Coffee/data=!4m7!3m6!1s0x864e91066d6ff29b:0x6e275eb46580b469!8m2!3d32.7054126!4d-96.8583679!16s%2Fg%2F11gr46_xnq!19sChIJm_JvbQaRToYRabSAZbReJ24?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.9,321,+1 214-434-1516,"2446 W Kiest Blvd, Dallas, TX 75233, United States",peaberrycoffeetogo.com
JuJu's Coffee,https://www.google.com/maps/place/JuJu%27s+Coffee/data=!4m7!3m6!1s0x864e9f9f5d241f83:0x292f2713c6786bdb!8m2!3d32.8125933!4d-96.7621871!16s%2Fg%2F11txzm5k71!19sChIJgx8kXZ-fToYR22t4xhMnLyk?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,5.0,107,+1 806-676-5385,"6038 La Vista Dr, Dallas, TX 75206, United States",jujuscoffee.com
Well Grounded Coffee Community at White Rock,https://www.google.com/maps/place/Well+Grounded+Coffee+Community+at+White+Rock/data=!4m7!3m6!1s0x864ea1f22b473e07:0x9c0cb16025c4c690!8m2!3d32.8307491!4d-96.7064482!16s%2Fg%2F11m8j8pm9c!19sChIJBz5HK_KhToYRkMbEJWCxDJw?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.9,240,+1 214-918-3538,"9219 Garland Rd # 2109, Dallas, TX 75218, United States",wellgrounded.coffee
White Rock Coffee,https://www.google.com/maps/place/White+Rock+Coffee/data=!4m7!3m6!1s0x864ea050ac6a581b:0xb381a4f05145a722!8m2!3d32.8646048!4d-96.7123226!16s%2Fm%2F0l61mhh!19sChIJG1hqrFCgToYRIqdFUfCkgbM?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.7,1693,+1 214-341-4774,"10105 E NW Hwy, Dallas, TX 75238, United States",wrcoffee.com
Coffee House Cafe,https://www.google.com/maps/place/Coffee+House+Cafe/data=!4m7!3m6!1s0x864c23ce5fae7ed7:0xe58d55a8e00bc612!8m2!3d32.9978358!4d-96.7991618!16s%2Fg%2F1tf3byn2!19sChIJ136uX84jTIYREsYL4KhVjeU?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.3,1610,+1 972-232-2333,"6150 Frankford Rd, Dallas, TX 75252, United States",coffeehousecafe.com
White Rhino Coffee,https://www.google.com/maps/place/White+Rhino+Coffee/data=!4m7!3m6!1s0x864e99a8d1f69a0f:0x2d80c7ad4d699e8b!8m2!3d32.7970162!4d-96.7969902!16s%2Fg%2F11p9pf2k7g!19sChIJD5r20aiZToYRi55pTa3HgC0?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.5,432,+1 214-774-2406,"2909 Thomas Ave, Dallas, TX 75204, United States",whiterhinocoffee.com
Herb's House Coffee + Company,https://www.google.com/maps/place/Herb%27s+House+Coffee+%2B+Company/data=!4m7!3m6!1s0x864e9f0cdc05cf69:0x3a889d6936388285!8m2!3d32.8427867!4d-96.771844!16s%2Fg%2F11f4r7t06_!19sChIJac8F3AyfToYRhYI4NmmdiDo?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.4,311,+1 469-399-0311,"5622 Dyer St #100, Dallas, TX 75206, United States",herbshousecoffee.com
La La Land Kind Cafe,https://www.google.com/maps/place/La+La+Land+Kind+Cafe/data=!4m7!3m6!1s0x864e9fe15b463e77:0x43a7d3ab2be46ec3!8m2!3d32.8152631!4d-96.771179!16s%2Fg%2F11h5_snvlh!19sChIJdz5GW-GfToYRw27kK6vTp0M?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.4,934,+1 214-579-9550,"5626 Bell Ave, Dallas, TX 75206, United States",lalalandkindcafe.com
Flying Horse Cafe,https://www.google.com/maps/place/Flying+Horse+Cafe/data=!4m7!3m6!1s0x864e9918e993c711:0x5ad72d39e72b032!8m2!3d32.7799788!4d-96.7992266!16s%2Fg%2F11b6b8ddkm!19sChIJEceT6RiZToYRMrByntNyrQU?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.6,571,+1 214-741-1731,"1401 Commerce St, Dallas, TX 75201, United States",flyinghorsecafe.com
Noble Coyote Coffee Roasters,https://www.google.com/maps/place/Noble+Coyote+Coffee+Roasters/data=!4m7!3m6!1s0x864ea1282a75330b:0x27f1604245697041!8m2!3d32.7822861!4d-96.7673403!16s%2Fg%2F11bbrkkqs7!19sChIJCzN1KiihToYRQXBpRUJg8Sc?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.8,184,+1 214-321-4321,"819 Exposition Ave, Dallas, TX 75226, United States",noblecoyotecoffee.com
Houndstooth Coffee,https://www.google.com/maps/place/Houndstooth+Coffee/data=!4m7!3m6!1s0x864e9bd80410f2c3:0x1bd0044248b5b89c!8m2!3d32.7691459!4d-96.8354748!16s%2Fg%2F11bzwsffx6!19sChIJw_IQBNibToYRnLi1SEIE0Bs?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.5,448,+1 214-238-2838,"1878 Sylvan Ave e150, Dallas, TX 75208, United States",houndstoothcoffee.com
Otto's Coffee & Fine Foods,https://www.google.com/maps/place/Otto%27s+Coffee+%26+Fine+Foods/data=!4m7!3m6!1s0x864e9918f094566f:0x6038372a5b778ab4!8m2!3d32.7798765!4d-96.7999844!16s%2Fg%2F11gh2sx9qn!19sChIJb1aU8BiZToYRtIp3Wyo3OGA?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.3,261,+1 214-651-3685,"1321 Commerce St, Dallas, TX 75202, United States",adolphus.com
White Rhino Coffee,https://www.google.com/maps/place/White+Rhino+Coffee/data=!4m7!3m6!1s0x864e99a3d7bd6fe5:0x5ab7dcea7dc13818!8m2!3d32.7812191!4d-96.8010833!16s%2Fg%2F11p659nvh3!19sChIJ5W-916OZToYRGDjBferct1o?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.5,235,+1 214-980-1150,"1401 Elm St Suite 100, Dallas, TX 75202, United States",whiterhinocoffee.com
Merit Coffee,https://www.google.com/maps/place/Merit+Coffee/data=!4m7!3m6!1s0x864e9f30eb78d951:0x82df750d08fdd571!8m2!3d32.8203903!4d-96.8020312!16s%2Fg%2F11h6g39g8s!19sChIJUdl46zCfToYRcdX9CA1134I?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.4,214,+1 469-759-6221,"4228 Oak Lawn Ave, Dallas, TX 75219, United States",meritcoffee.com
Hola Cafe Dallas,https://www.google.com/maps/place/Hola+Cafe+Dallas/data=!4m7!3m6!1s0x864e9920b8719cc5:0xac3b8fdbc639c005!8m2!3d32.7886916!4d-96.8036633!16s%2Fg%2F11s7crz6w2!19sChIJxZxxuCCZToYRBcA5xtuPO6w?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.8,24,-,"1845 Woodall Rodgers Fwy, Dallas, TX 75201, United States",holacafedallas.com
White Rock Coffee,https://www.google.com/maps/place/White+Rock+Coffee/data=!4m7!3m6!1s0x864c211611c2868b:0x39bb6af234f4c813!8m2!3d32.8945217!4d-96.8058495!16s%2Fg%2F11gr5zq3yz!19sChIJi4bCERYhTIYRE8j0NPJquzk?authuser=0&hl=en&rclk=1,Coffee shops in Dallas Texas,4.5,168,+1 214-647-1213,"5930 D Royal Ln, Dallas, TX 75230, United States",wrcoffee.com
