Name,URL,Query,Rating,Reviews,Phone,Address,Website
La Ventana Cafe,https://www.google.com/maps/place/La+Ventana+Cafe/data=!4m7!3m6!1s0x8824d3749bc9daa1:0xb9acd172a2a8f3b1!8m2!3d42.344671!4d-83.037509!16s%2Fg%2F11tsq1sjrd!19sChIJodrJm3TTJIgRsfOoonLRrLk?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.6,137,-,"1492 Gratiot Ave, Detroit, MI 48207, United States",laventana.cafe
Dessert Oasis Coffee Roasters Detroit,https://www.google.com/maps/place/Dessert+Oasis+Coffee+Roasters+Detroit/data=!4m7!3m6!1s0x883b2d304d5c95cd:0x9b808caf20089b7b!8m2!3d42.3329972!4d-83.0489528!16s%2Fg%2F11bx3nn2j2!19sChIJzZVcTTAtO4gRe5sIIK-MgJs?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.6,883,+1 313-338-3515,"1220 Griswold St, Detroit, MI 48226, United States",docr.coffee
Cafe Sous Terre,https://www.google.com/maps/place/Cafe+Sous+Terre/data=!4m7!3m6!1s0x8824d31b2c0c5d4d:0xd11950fe2922d21b!8m2!3d42.3532722!4d-83.0661922!16s%2Fg%2F11v021m_yj!19sChIJTV0MLBvTJIgRG9IiKf5QGdE?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.8,217,+1 313-228-2880,"445 W Forest Ave, Detroit, MI 48201, United States",cafesousterre.com
Roasting Plant Coffee,https://www.google.com/maps/place/Roasting+Plant+Coffee/data=!4m7!3m6!1s0x883b2d2fee1a0753:0x7655f4b200b3a60b!8m2!3d42.3312625!4d-83.0460499!16s%2Fg%2F12qhb2fqb!19sChIJUwca7i8tO4gRC6azALL0VXY?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.5,1029,+1 313-782-4291,"660 Woodward Ave, Detroit, MI 48226, United States",roastingplant.com
The Congregation,https://www.google.com/maps/place/The+Congregation/data=!4m7!3m6!1s0x8824cde4c06e40c9:0x2dc12b076dbae4a9!8m2!3d42.3775399!4d-83.1005714!16s%2Fg%2F11j1bpc6xr!19sChIJyUBuwOTNJIgRqeS6bQcrwS0?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.7,953,+1 313-307-5518,"9321 Rosa Parks Blvd, Detroit, MI 48206, United States",thecongregationdetroit.com
James Oliver,https://www.google.com/maps/place/James+Oliver/data=!4m7!3m6!1s0x883b2d73b5cb15cf:0xda2e4c56a6019c50!8m2!3d42.3317104!4d-83.0629614!16s%2Fg%2F11nx681ds9!19sChIJzxXLtXMtO4gRUJwBplZMLto?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.4,290,+1 313-765-9505,"1236 Michigan Ave, Detroit, MI 48226, United States",jamesolivercoffee.com
Madcap Coffee Company,https://www.google.com/maps/place/Madcap+Coffee+Company/data=!4m7!3m6!1s0x883b2d303ce9ffbd:0xd793c048969ef3f8!8m2!3d42.3347355!4d-83.0482329!16s%2Fg%2F11h9zqlvg_!19sChIJvf_pPDAtO4gR-POelkjAk9c?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.7,504,+1 888-866-9091,"1413 Farmer St, Detroit, MI 48226, United States",madcapcoffee.com
Lucky Detroit - Coffee Roasters & Espresso,https://www.google.com/maps/place/Lucky+Detroit+-+Coffee+Roasters+%26+Espresso/data=!4m7!3m6!1s0x883b2d7cbdad1f15:0x3dd86883e018213!8m2!3d42.3316002!4d-83.0737355!16s%2Fg%2F11ff2yn340!19sChIJFR-tvXwtO4gRE4IBPoiG3QM?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.5,244,-,"2000 Michigan Ave f2, Detroit, MI 48216, United States",luckydetroit.com
Anthology Coffee,https://www.google.com/maps/place/Anthology+Coffee/data=!4m7!3m6!1s0x883b2d5cf160e2a7:0x3815a1240519a624!8m2!3d42.3488306!4d-83.0361796!16s%2Fg%2F1pp2wzt2d!19sChIJp-Jg8VwtO4gRJKYZBSShFTg?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.6,381,+1 313-355-4040,"1948 Division St, Detroit, MI 48207, United States",anthologycoffee.com
The Siren Café,https://www.google.com/maps/place/The+Siren+Caf%C3%A9/data=!4m7!3m6!1s0x883b2d322726aaab:0x591abcd17a9b8fa6!8m2!3d42.3356721!4d-83.0486183!16s%2Fg%2F11hd9lr808!19sChIJq6omJzItO4gRpo-betG8Glk?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.5,78,+1 313-277-4736,"1509 Broadway St, Detroit, MI 48226, United States",thesirenhotel.com
Kitab Cafe,https://www.google.com/maps/place/Kitab+Cafe/data=!4m7!3m6!1s0x8824d395155c5cf7:0xaadb94636e18c519!8m2!3d42.3505198!4d-83.0641998!16s%2Fg%2F11vqjfj6zw!19sChIJ91xcFZXTJIgRGcUYbmOU26o?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.8,113,-,"422 W Willis St, Detroit, MI 48201, United States",kitab-cafe.com
Coffee Down Under,https://www.google.com/maps/place/Coffee+Down+Under/data=!4m7!3m6!1s0x883b2dc57fc2ad45:0xaf825f0df75f3c2e!8m2!3d42.3292865!4d-83.0484296!16s%2Fg%2F11frdln51y!19sChIJRa3Cf8UtO4gRLjxf9w1fgq8?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.6,212,+1 313-444-6626,"607 Shelby St Basement, Detroit, MI 48226, United States",coffeedownunder.com
AWAKE Cafe,https://www.google.com/maps/place/AWAKE+Cafe/data=!4m7!3m6!1s0x8824d3d5287b5a0b:0x52f76e1c3eaf1882!8m2!3d42.3496324!4d-83.068056!16s%2Fg%2F11fjbqpgx2!19sChIJC1p7KNXTJIgRghivPhxu91I?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.8,310,+1 313-315-3038,"4224 3rd Ave, Detroit, MI 48201, United States",awakedetroit.com
The Red Hook-Midtown,https://www.google.com/maps/place/The+Red+Hook-Midtown/data=!4m7!3m6!1s0x8824d37216896da3:0xd5bb51bdac660c09!8m2!3d42.3504095!4d-83.0601858!16s%2Fg%2F11k3ky2c_6!19sChIJo22JFnLTJIgRCQxmrL1Ru9U?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.5,81,-,"3965 Woodward Ave, Detroit, MI 48201, United States",theredhookcoffee.com
Cafe Alto,https://www.google.com/maps/place/Cafe+Alto/data=!4m7!3m6!1s0x8824d392a287522f:0xe2886f6f607ef483!8m2!3d42.3451362!4d-83.0559013!16s%2Fg%2F11py3st50w!19sChIJL1KHopLTJIgRg_R-YG9viOI?authuser=0&hl=en&rclk=1,Coffee shops in Detroit Michigan,4.8,66,+1 313-638-1646,"3100 Woodward Ave, Detroit, MI 48201, United States",alto.coffee
