Name,URL,Query,Rating,Reviews,Phone,Address,Website
Coffee Box,https://www.google.com/maps/place/Coffee+Box/data=!4m7!3m6!1s0x86e758fde9bbdbbf:0xf397cb4bdf7d0b38!8m2!3d31.760314!4d-106.488651!16s%2Fg%2F11bwqqcwhf!19sChIJv9u76f1Y54YROAt930vLl_M?authuser=0&hl=en&rclk=1,Coffee shops in El Paso Texas,4.5,1173,+1 915-268-5571,"401 N Mesa St, El Paso, TX 79901, United States",elpasocoffeebox.com
Dutch Bros Coffee,https://www.google.com/maps/place/Dutch+Bros+Coffee/data=!4m7!3m6!1s0x86e75bec0c3a6cff:0x12854207e349254e!8m2!3d31.759878!4d-106.3547351!16s%2Fg%2F11sz2y3xym!19sChIJ_2w6DOxb54YRTiVJ4wdChRI?authuser=0&hl=en&rclk=1,Coffee shops in El Paso Texas,4.1,454,+1 877-899-2767,"1122 McRae Blvd, El Paso, TX 79925, United States",locations.dutchbros.com
District Coffee Co.,https://www.google.com/maps/place/District+Coffee+Co./data=!4m7!3m6!1s0x86e75902673e025f:0x7394ef8023f2d8c2!8m2!3d31.7592136!4d-106.486333!16s%2Fg%2F11ggrq3d8p!19sChIJXwI-ZwJZ54YRwtjyI4DvlHM?authuser=0&hl=en&rclk=1,Coffee shops in El Paso Texas,4.5,394,+1 915-533-3226,"222 Texas Ave F, El Paso, TX 79901, United States",districtcoffee.co
Global Coffee Roasters,https://www.google.com/maps/place/Global+Coffee+Roasters/data=!4m7!3m6!1s0x86e74384eb81222b:0xd8dfcc7c3ac34232!8m2!3d31.7392425!4d-106.2917007!16s%2Fg%2F11c2q5xtnx!19sChIJKyKB64RD54YRMkLDOnzM39g?authuser=0&hl=en&rclk=1,Coffee shops in El Paso Texas,4.7,534,+1 915-777-1479,"1513 N Zaragoza Rd, El Paso, TX 79936, United States",globalcoffeeco.com
Mas y Menos,https://www.google.com/maps/place/Mas+y+Menos/data=!4m7!3m6!1s0x86ddf9e0d236e169:0xb38db0178ac3ff57!8m2!3d31.8527324!4d-106.5405437!16s%2Fg%2F11gj0shcx1!19sChIJaeE20uD53YYRV__DihewjbM?authuser=0&hl=en&rclk=1,Coffee shops in El Paso Texas,4.4,327,+1 915-491-0595,"1035 Belvidere St STE 300, El Paso, TX 79912, United States",masymenos.biz
Kinley's House Coffee & Tea,https://www.google.com/maps/place/Kinley%27s+House+Coffee+%26+Tea/data=!4m7!3m6!1s0x86e7585a8bc50401:0x2960ad651ccde59e!8m2!3d31.7737164!4d-106.5005311!16s%2Fg%2F1hc5351dn!19sChIJAQTFi1pY54YRnuXNHGWtYCk?authuser=0&hl=en&rclk=1,Coffee shops in El Paso Texas,4.4,1086,+1 915-838-7177,"2231 N Mesa St, El Paso, TX 79902, United States",kinleyscoffeehouse.com
Starbucks,https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x86e75b001cd4e897:0x139693afa693e830!8m2!3d31.7792508!4d-106.3927058!16s%2Fg%2F1tp27qrt!19sChIJl-jUHABb54YRMOiTpq-TlhM?authuser=0&hl=en&rclk=1,Coffee shops in El Paso Texas,4.3,1670,+1 915-778-3265,"6669 Gateway Blvd W, El Paso, TX 79925, United States",starbucks.com
Dutch Bros Coffee,https://www.google.com/maps/place/Dutch+Bros+Coffee/data=!4m7!3m6!1s0x86e759a6a0890f51:0x45c652e71797dea2!8m2!3d31.7844332!4d-106.5063169!16s%2Fg%2F11sqwy6ylw!19sChIJUQ-JoKZZ54YRot6XF-dSxkU?authuser=0&hl=en&rclk=1,Coffee shops in El Paso Texas,4.6,199,+1 877-899-2767,"3435 N Mesa St, El Paso, TX 79902, United States",locations.dutchbros.com
Dutch Bros Coffee,https://www.google.com/maps/place/Dutch+Bros+Coffee/data=!4m7!3m6!1s0x86ddf9078ddc9a33:0x5448a07326494c2a!8m2!3d31.8846891!4d-106.574483!16s%2Fg%2F11rxy6w0v0!19sChIJM5rcjQf53YYRKkxJJnOgSFQ?authuser=0&hl=en&rclk=1,Coffee shops in El Paso Texas,4.3,546,+1 877-899-2767,"7727 Paseo del Norte, El Paso, TX 79912, United States",locations.dutchbros.com
Dutch Bros Coffee,https://www.google.com/maps/place/Dutch+Bros+Coffee/data=!4m7!3m6!1s0x86e751211ce14711:0xd5f4a4fcf40e9f29!8m2!3d31.8984332!4d-106.4310505!16s%2Fg%2F11tmhyk2c7!19sChIJEUfhHCFR54YRKZ8O9Pyk9NU?authuser=0&hl=en&rclk=1,Coffee shops in El Paso Texas,4.5,214,+1 877-899-2767,"4810 Woodrow Bean Transmountain, El Paso, TX 79924, United States",locations.dutchbros.com
