Name,URL,Query,Rating,Reviews,Phone,Address,Website
Day 6 Coffee Co.,https://www.google.com/maps/place/Day+6+Coffee+Co./data=!4m7!3m6!1s0x8640bf84510689a5:0xffb945bb6e112fec!8m2!3d29.7608745!4d-95.362557!16s%2Fg%2F11m_gwcqky!19sChIJpYkGUYS_QIYR7C8RbrtFuf8?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.7,855,+1 832-696-7822,"910 Prairie St Suite 100, Houston, TX 77002, United States",daysixcoffee.com
Catalina Coffee,https://www.google.com/maps/place/Catalina+Coffee/data=!4m7!3m6!1s0x8640bf4c3510cacb:0xa463f801e7b96bc6!8m2!3d29.7679733!4d-95.3806446!16s%2Fg%2F1w455_9_!19sChIJy8oQNUy_QIYRxmu55wH4Y6Q?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.6,1691,+1 713-861-8448,"2201 Washington Ave, Houston, TX 77007, United States",catalinacoffeeshop.com
The Coffee House at West End,https://www.google.com/maps/place/The+Coffee+House+at+West+End/data=!4m7!3m6!1s0x8640c1b2971f5999:0x419ec54d5d4638f4!8m2!3d29.7693063!4d-95.4088925!16s%2Fg%2F11p5jwx1rb!19sChIJmVkfl7LBQIYR9DhGXU3FnkE?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.5,563,+1 281-762-1850,"802 Shepherd Dr, Houston, TX 77007, United States",thecoffeehousehtx.com
Retrospect Coffee Bar,https://www.google.com/maps/place/Retrospect+Coffee+Bar/data=!4m7!3m6!1s0x8640bf7255e43f6f:0x8a36435c59f28de1!8m2!3d29.7353516!4d-95.3754064!16s%2Fg%2F11dym4c4qp!19sChIJbz_kVXK_QIYR4Y3yWVxDNoo?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.6,858,+1 713-993-6600,"3709 La Branch St, Houston, TX 77004, United States",retrospectcoffeebar.com
Siphon Coffee,https://www.google.com/maps/place/Siphon+Coffee/data=!4m7!3m6!1s0x8640bf64a4f5bfdb:0xbd3769015ac51d24!8m2!3d29.738531!4d-95.3882988!16s%2Fg%2F11bbrlm0bp!19sChIJ27_1pGS_QIYRJB3FWgFpN70?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.4,1707,+1 281-974-4426,"701 W Alabama St, Houston, TX 77006, United States",siphoncoffee.com
Tenfold Coffee Company,https://www.google.com/maps/place/Tenfold+Coffee+Company/data=!4m7!3m6!1s0x8640c7a6f0ec376b:0x8780baa753f1ccdf!8m2!3d29.809918!4d-95.3989069!16s%2Fg%2F11hfm_qc12!19sChIJazfs8KbHQIYR38zxU6e6gIc?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.7,518,-,"101 Aurora St, Houston, TX 77008, United States",tenfoldcoffee.com
Segundo Coffee Lab,https://www.google.com/maps/place/Segundo+Coffee+Lab/data=!4m7!3m6!1s0x8640bf38de012db9:0xc804ea14b5c68b03!8m2!3d29.7446993!4d-95.3391776!16s%2Fg%2F11rg5l4f72!19sChIJuS0B3ji_QIYRA4vGtRTqBMg?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.5,529,+1 346-240-3032,"711 Milby St #35, Houston, TX 77023, United States",segundocoffee.com
Black Hole Coffee House,https://www.google.com/maps/place/Black+Hole+Coffee+House/data=!4m7!3m6!1s0x8640c08213dbe49f:0x14eb9a20efced16e!8m2!3d29.7324466!4d-95.3949937!16s%2Fg%2F1tj7ffm4!19sChIJn-TbE4LAQIYRbtHO7yCa6xQ?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.3,2145,+1 713-528-0653,"4504 Graustark St, Houston, TX 77006, United States",m.facebook.com
Roast & Brew,https://www.google.com/maps/place/Roast+%26+Brew/data=!4m7!3m6!1s0x8640c702b95187a9:0x47212590970059b6!8m2!3d29.8030351!4d-95.4157847!16s%2Fg%2F11j6htr0l_!19sChIJqYdRuQLHQIYRtlkAl5AlIUc?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.7,676,+1 346-802-4844,"931 W 19th St, Houston, TX 77008, United States",roastandbrewcafetx.com
Tout Suite,https://www.google.com/maps/place/Tout+Suite/data=!4m7!3m6!1s0x8640bed8f266310d:0xf2be062ecea4822f!8m2!3d29.7586416!4d-95.3505875!16s%2Fg%2F11b6xf0x6d!19sChIJDTFm8ti-QIYRL4Kkzi4GvvI?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.3,4425,+1 713-227-8688,"2001 Commerce St, Houston, TX 77002, United States",toutsuitehtx.com
Antidote Coffee,https://www.google.com/maps/place/Antidote+Coffee/data=!4m7!3m6!1s0x8640b8a5e985049b:0xa2b969213e34f7f3!8m2!3d29.7850029!4d-95.3880676!16s%2Fg%2F1tkbylsf!19sChIJmwSF6aW4QIYR8_c0PiFpuaI?authuser=0&hl=en&rclk=1,Coffee shops in Houston Texas,4.4,1057,+1 713-861-7400,"729 Studewood St, Houston, TX 77007, United States",m.facebook.com
