Name,URL,Query,Rating,Reviews,Phone,Address,Website
Otherlands Coffee Bar,https://www.google.com/maps/place/Otherlands+Coffee+Bar/data=!4m7!3m6!1s0x887f80ad601bfefd:0xde926dd3f26e1c4e!8m2!3d35.1282945!4d-89.9908637!16s%2Fg%2F1tk4rxxn!19sChIJ_f4bYK2Af4gRThxu8tNtkt4?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.4,820,+1 901-278-4994,"641 Cooper St, Memphis, TN 38104, United States",otherlandscoffeebar.com
Comeback Coffee,https://www.google.com/maps/place/Comeback+Coffee/data=!4m7!3m6!1s0x87d57fe969a279c9:0x696d0b43e8b6ee0!8m2!3d35.1545214!4d-90.0487841!16s%2Fg%2F11h6v1d0d7!19sChIJyXmiael_1YcR4G6LPrTQlgY?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.6,353,+1 901-860-4215,"358 N Main St, Memphis, TN 38103, United States",comebackbev.com
The Hub,https://www.google.com/maps/place/The+Hub/data=!4m7!3m6!1s0x887f84b9afdc5497:0x5bf6c6e55251767b!8m2!3d35.1080806!4d-89.8617315!16s%2Fg%2F11gbw9lx7d!19sChIJl1Tcr7mEf4gRe3ZRUuXG9ls?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.8,374,+1 901-207-1307,"6000 Briarcrest Ave, Memphis, TN 38120, United States",thehubcoffee.org
Ramblin' Joe's Coffee,https://www.google.com/maps/place/Ramblin%27+Joe%27s+Coffee/data=!4m7!3m6!1s0x887f840d722ce317:0x9d7319dca952ed37!8m2!3d35.1171745!4d-89.9083697!16s%2Fg%2F11b6txmysj!19sChIJF-Mscg2Ef4gRN-1SqdwZc50?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.5,814,+1 901-552-3165,"4610 Poplar Ave, Memphis, TN 38117, United States",ramblinjoescoffee.com
Belltower Coffee at Highland,https://www.google.com/maps/place/Belltower+Coffee+at+Highland/data=!4m7!3m6!1s0x887f86c87b29a90b:0x8a5b253b0b8380ff!8m2!3d35.1172637!4d-89.9459152!16s%2Fg%2F11f1vy6fgg!19sChIJC6kpe8iGf4gR_4CDCzslW4o?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.7,324,+1 901-506-2934,"525 S Highland St, Memphis, TN 38111, United States",belltowercoffee.com
Crazy Gander Coffee Company,https://www.google.com/maps/place/Crazy+Gander+Coffee+Company/data=!4m7!3m6!1s0x87d57fb16a0f7c33:0x28d563ade1551660!8m2!3d35.1448491!4d-90.0511129!16s%2Fg%2F11rg7p2q29!19sChIJM3wParF_1YcRYBZV4a1j1Sg?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.8,240,+1 901-552-3852,"150 Madison Ave, Memphis, TN 38103, United States",crazygander.com
City & State,https://www.google.com/maps/place/City+%26+State/data=!4m7!3m6!1s0x887f80dd35ba780b:0x2633d08fe03fda0a!8m2!3d35.1474856!4d-89.9718229!16s%2Fg%2F1tsbmwsj!19sChIJC3i6Nd2Af4gRCto_4I_QMyY?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.5,400,+1 901-249-2406,"2625 Broad Ave, Memphis, TN 38112, United States",cityandstate.us
Dr Bean's Coffee & Tea Emporium,https://www.google.com/maps/place/Dr+Bean%27s+Coffee+%26+Tea+Emporium/data=!4m7!3m6!1s0x87d57ff2c72d0883:0x83a0b99ebda4d94c!8m2!3d35.1359526!4d-90.0581365!16s%2Fg%2F11j01f65rt!19sChIJgwgtx_J_1YcRTNmkvZ65oIM?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.6,121,+1 901-849-1532,"387 S Main St, Memphis, TN 38103, United States",dr-beans-coffee-and-tea.myshopify.com
Bluff City Coffee & Bakery,https://www.google.com/maps/place/Bluff+City+Coffee+%26+Bakery/data=!4m7!3m6!1s0x87d57ea3c77181a9:0x1c7098208142ff8e!8m2!3d35.1336449!4d-90.059345!16s%2Fg%2F1ty74t3r!19sChIJqYFxx6N-1YcRjv9CgSCYcBw?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.2,502,+1 901-405-4399,"505 S Main St, Memphis, TN 38103, United States",bluffcitycoffee.com
Boycott Coffee,https://www.google.com/maps/place/Boycott+Coffee/data=!4m7!3m6!1s0x87d57fbbc50374b1:0x2f75192f63b4b461!8m2!3d35.1440584!4d-90.0479156!16s%2Fg%2F11rx1gkwpq!19sChIJsXQDxbt_1YcRYbS0Yy8ZdS8?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.9,59,+1 901-833-5348,"240 Madison Ave STE 103, Memphis, TN 38103, United States",boycottcoffee.com
7 Brew Coffee,https://www.google.com/maps/place/7+Brew+Coffee/data=!4m7!3m6!1s0x87d57f2a5d80ecd1:0x4bd2e73f343a8e49!8m2!3d35.135613!4d-90.0071944!16s%2Fg%2F11v08rynq6!19sChIJ0eyAXSp_1YcRSY46ND_n0ks?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.7,124,+1 901-698-7247,"1625 Union Ave, Memphis, TN 38104, United States",7brew.com
Vice & Virtue Coffee,https://www.google.com/maps/place/Vice+%26+Virtue+Coffee/data=!4m7!3m6!1s0x887f80c1fec3487b:0x423b5027bb8410cb!8m2!3d35.1343396!4d-90.0590898!16s%2Fg%2F11f40404tw!19sChIJe0jD_sGAf4gRyxCEuydQO0I?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.8,126,+1 901-402-8002,"477 S Main St, Memphis, TN 38103, United States",vicevirtuecoffee.com
Café Eclectic,https://www.google.com/maps/place/Caf%C3%A9+Eclectic/data=!4m7!3m6!1s0x887f809e8058ed47:0x18d57a1ae5526e93!8m2!3d35.1541408!4d-89.9975227!16s%2Fg%2F1tg5cw8t!19sChIJR-1YgJ6Af4gRk25S5Rp61Rg?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.4,1624,+1 901-725-1718,"603 N McLean Blvd, Memphis, TN 38107, United States",cafeeclectic.net
Qahwa,https://www.google.com/maps/place/Qahwa/data=!4m7!3m6!1s0x87d57e94ba66c725:0x7c8b1a2d619b6a51!8m2!3d35.1481158!4d-90.0517743!16s%2Fg%2F12639z9sf!19sChIJJcdmupR-1YcRUWqbYS0ai3w?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.6,271,-,"109 N Main St, Memphis, TN 38103, United States",facebook.com
Ancient Grounds Coffee Shop,https://www.google.com/maps/place/Ancient+Grounds+Coffee+Shop/data=!4m7!3m6!1s0x887f81c647d6037f:0xe5303fa124b527ef!8m2!3d35.1501994!4d-89.9945514!16s%2Fg%2F11rrp6_rld!19sChIJfwPWR8aBf4gR7ye1JKE_MOU?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.4,14,+1 901-333-6500,"2000 Prentiss Pl, Memphis, TN 38112, United States",-
French Truck Coffee,https://www.google.com/maps/place/French+Truck+Coffee/data=!4m7!3m6!1s0x87d57e3c33ffaaab:0x3cee5e83ca70f29c!8m2!3d35.15198!4d-90.0130702!16s%2Fg%2F11g9d0cznf!19sChIJq6r_Mzx-1YcRnPJwyoNe7jw?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.4,241,+1 901-878-3383,"1350 Concourse Ave #167, Memphis, TN 38104, United States",frenchtruckcoffee.com
Cafe Keough,https://www.google.com/maps/place/Cafe+Keough/data=!4m7!3m6!1s0x87d57e9447705a6b:0x6c940971cc7d3ca7!8m2!3d35.1448013!4d-90.0527902!16s%2Fg%2F1q6703x00!19sChIJa1pwR5R-1YcRpzx9zHEJlGw?authuser=0&hl=en&rclk=1,Coffee shops in Memphis Tennessee,4.4,424,+1 901-509-2469,"12 S Main St, Memphis, TN 38103, United States",cafekeough.com
