Name,URL,Query,Rating,Reviews,Phone,Address,Website
Victory Sweet Shop/Victory Garden Cafe,https://www.google.com/maps/place/Victory+Sweet+Shop%2FVictory+Garden+Cafe/data=!4m7!3m6!1s0x89c25f6f5b0d0f0f:0x474263db3a1427f1!8m2!3d40.7730857!4d-73.9054343!16s%2Fg%2F1vgqd_w_!19sChIJDw8NW29fwokR8ScUOttjQkc?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.5,387,+1 718-274-2087,"21-69 Steinway St, Astoria, NY 11105, United States",victorysweetshop.com
Bird & Branch Coffee Roasters,https://www.google.com/maps/place/Bird+%26+Branch+Coffee+Roasters/data=!4m7!3m6!1s0x89c25853c46c584d:0x2be347662f0035e!8m2!3d40.7603366!4d-73.9908687!16s%2Fg%2F11hbtg2w_k!19sChIJTVhsxFNYwokRXgPwYnY0vgI?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.6,686,+1 917-265-8444,"359 W 45th St, New York, NY 10036, United States",birdandbranch.com
Coffee Project New York | East Village,https://www.google.com/maps/place/Coffee+Project+New+York+%7C+East+Village/data=!4m7!3m6!1s0x89c2599b5a24d7fd:0x9e354f6cf514b9fc!8m2!3d40.7270884!4d-73.989382!16s%2Fg%2F11c3svpqld!19sChIJ_dckWptZwokR_LkU9WxPNZ4?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.7,754,+1 212-228-7888,"239 E 5th St, New York, NY 10003, United States",coffeeprojectny.com
GRIND THE NYC COFFEE SHOP & BAGEL HOUSE,https://www.google.com/maps/place/GRIND+THE+NYC+COFFEE+SHOP+%26+BAGEL+HOUSE/data=!4m7!3m6!1s0x89c259125a931087:0x3d471d4575240620!8m2!3d40.7590839!4d-73.9918101!16s%2Fg%2F11kgnrjx7t!19sChIJhxCTWhJZwokRIAYkdUUdRz0?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.5,709,+1 646-755-8073,"602 9th Ave, New York, NY 10036, United States",grindnyc.com
Stumptown Coffee Roasters,https://www.google.com/maps/place/Stumptown+Coffee+Roasters/data=!4m7!3m6!1s0x89c259a61c75684f:0x79d31adb123348d2!8m2!3d40.7457399!4d-73.9882272!16s%2Fg%2F1hhw712x0!19sChIJT2h1HKZZwokR0kgzEtsa03k?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.5,1569,+1 347-414-7816,"18 W 29th St, New York, NY 10001, United States",stumptowncoffee.com
Café Integral,https://www.google.com/maps/place/Caf%C3%A9+Integral/data=!4m7!3m6!1s0x89c259889b2eaaab:0x66784a0bd9b66d7c!8m2!3d40.7203698!4d-73.9952115!16s%2Fg%2F11cr_5lhbb!19sChIJq6oum4hZwokRfG222QtKeGY?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.5,431,-,"149 Elizabeth St, New York, NY 10012, United States",cafeintegral.com
Culture Espresso,https://www.google.com/maps/place/Culture+Espresso/data=!4m7!3m6!1s0x89c259aa4c38ca75:0x88ca3d6ff537d876!8m2!3d40.7520746!4d-73.9857387!16s%2Fg%2F1z449xl4g!19sChIJdco4TKpZwokRdtg39W89yog?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.6,1662,+1 212-302-0200,"72 W 38th St, New York, NY 10018, United States",cultureespresso.com
Gumption Coffee,https://www.google.com/maps/place/Gumption+Coffee/data=!4m7!3m6!1s0x89c25903f53cf951:0xc2c7e3abcb39348f!8m2!3d40.7569259!4d-73.983446!16s%2Fg%2F11m7mgfqyx!19sChIJUfk89QNZwokRjzQ5y6vjx8I?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.5,182,+1 845-605-6218,"106 W 45th St, New York, NY 10036, United States",gumptioncoffee.com
King's Street Coffee,https://www.google.com/maps/place/King%27s+Street+Coffee/data=!4m7!3m6!1s0x89c259af1423dd57:0xc79663f8c0966fe0!8m2!3d40.7478184!4d-73.9906072!16s%2Fg%2F11f_yc9g_7!19sChIJV90jFK9ZwokR4G-WwPhjlsc?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.6,382,+1 212-335-0333,"121 W 30th St, New York, NY 10001, United States",kingsstreetcoffee.com
Ground Central Coffee Company,https://www.google.com/maps/place/Ground+Central+Coffee+Company/data=!4m7!3m6!1s0x89c2597a31a565a5:0xe01b52e4c8a54a46!8m2!3d40.7528218!4d-73.9896601!16s%2Fg%2F11np7j4wmw!19sChIJpWWlMXpZwokRRkqlyORSG-A?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.6,200,+1 646-682-7478,"498 7th Ave, New York, NY 10018, United States",groundcentral.com
Starbucks Reserve Roastery New York,https://www.google.com/maps/place/Starbucks+Reserve+Roastery+New+York/data=!4m7!3m6!1s0x89c259bf6dd90021:0x645ce21be1b31735!8m2!3d40.7415944!4d-74.0051549!16s%2Fg%2F11j7w8j09h!19sChIJIQDZbb9ZwokRNRez4RviXGQ?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.3,5007,+1 212-691-0531,"61 9th Ave, New York, NY 10011, United States",starbucksreserve.com
The Coffee Inn,https://www.google.com/maps/place/The+Coffee+Inn/data=!4m7!3m6!1s0x89c258c17790eed9:0x66c6334e9848f607!8m2!3d40.7667216!4d-73.9564252!16s%2Fg%2F1tf5r44b!19sChIJ2e6Qd8FYwokRB_ZImE4zxmY?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.3,227,+1 646-590-2844,"1314 1st Ave., New York, NY 10021, United States",order.online
Variety Coffee Roasters,https://www.google.com/maps/place/Variety+Coffee+Roasters/data=!4m7!3m6!1s0x89c258bcefd9db3d:0x6f5aa1bf6489d409!8m2!3d40.7788574!4d-73.9558565!16s%2Fg%2F11f54sp5r4!19sChIJPdvZ77xYwokRCdSJZL-hWm8?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.4,507,+1 212-289-2104,"1269 Lexington Ave, New York, NY 10028, United States",varietycoffeeroasters.com
Afficionado Coffee Roasters,https://www.google.com/maps/place/Afficionado+Coffee+Roasters/data=!4m7!3m6!1s0x89c3d32f93bb637f:0x6f96319b26fe2897!8m2!3d40.7676039!4d-73.9931737!16s%2Fg%2F11qyqmqv07!19sChIJf2O7ky_Tw4kRlyj-Jpsxlm8?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.5,274,+1 914-482-1521,"750 11th Ave, New York, NY 10019, United States",afficionadocoffee.com
787 Coffee,https://www.google.com/maps/place/787+Coffee/data=!4m7!3m6!1s0x89c259d0c6f18fbb:0xdece525857eefe65!8m2!3d40.7298046!4d-73.987158!16s%2Fg%2F11nnqnvdnd!19sChIJu4_xxtBZwokRZf7uV1hSzt4?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.8,1168,+1 646-869-0130,"159 2nd Ave, corner of, E 10th St, New York, NY 10003, United States",787coffee.com
St Kilda Coffee,https://www.google.com/maps/place/St+Kilda+Coffee/data=!4m7!3m6!1s0x89c2585398cb1ecd:0x1c444f8aa8477495!8m2!3d40.7590238!4d-73.9902597!16s%2Fg%2F11c2091lqr!19sChIJzR7LmFNYwokRlXRHqIpPRBw?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.6,601,+1 917-262-0945,"328 W 44th St, New York, NY 10036, United States",stkildacoffee.com
Corvo Coffee,https://www.google.com/maps/place/Corvo+Coffee/data=!4m7!3m6!1s0x89c25852b61a7fdb:0x8caabf047de8ebc3!8m2!3d40.7569714!4d-73.9933947!16s%2Fg%2F11c56dyxfd!19sChIJ238atlJYwokRw-vofQS_qow?authuser=0&hl=en&rclk=1,Coffee shops in New York New York,4.3,349,-,"542 9th Ave, New York, NY 10018, United States",-
