Name,URL,Query,Rating,Reviews,Phone,Address,Website
James Coffee Co.,https://www.google.com/maps/place/James+Coffee+Co./data=!4m7!3m6!1s0x80d954b463bd1349:0xdb1ba50d60709536!8m2!3d32.7291417!4d-117.1703361!16s%2Fg%2F1q66wnncb!19sChIJSRO9Y7RU2YARNpVwYA2lG9s?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.6,1201,+1 619-756-7770,"2355 India St, San Diego, CA 92101, United States",jamescoffeeco.com
Genteel Coffee Roasters,https://www.google.com/maps/place/Genteel+Coffee+Roasters/data=!4m7!3m6!1s0x80d953b9e56811e3:0x9f9123ec4dd3980b!8m2!3d32.7482403!4d-117.1355359!16s%2Fg%2F11cs1vs647!19sChIJ4xFo5blT2YARC5jTTewjkZ8?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.7,282,+1 619-786-6142,"2603 University Ave, San Diego, CA 92104, United States",genteelcoffee.com
Adore Coffee House,https://www.google.com/maps/place/Adore+Coffee+House/data=!4m7!3m6!1s0x80deabf565f05371:0x32209b103eb474a3!8m2!3d32.7221894!4d-117.1599087!16s%2Fg%2F11smmq79_w!19sChIJcVPwZfWr3oARo3S0PhCbIDI?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.9,176,+1 858-333-9301,"550 Cedar St Suite 101, San Diego, CA 92101, United States",coldbrewsandiego.com
Jaunt Coffee Roasters,https://www.google.com/maps/place/Jaunt+Coffee+Roasters/data=!4m7!3m6!1s0x80dbf9cbbb2b8045:0x23b31bcfbe43236a!8m2!3d32.8965857!4d-117.1374155!16s%2Fg%2F11f75ygxp8!19sChIJRYAru8v524ARaiNDvs8bsyM?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.9,668,+1 619-330-5692,"8680 Miralani Dr UNIT 131, San Diego, CA 92126, United States",jauntcoffee.com
Bird Rock Coffee Roasters,https://www.google.com/maps/place/Bird+Rock+Coffee+Roasters/data=!4m7!3m6!1s0x80d954b379be21ab:0x837b91357ed036d!8m2!3d32.7280158!4d-117.1709483!16s%2Fg%2F11b6j7qn6d!19sChIJqyG-ebNU2YARbQPtVxO5Nwg?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.7,718,+1 619-272-0203,"2295 Kettner Blvd, San Diego, CA 92101, United States",birdrockcoffee.com
Caffè Calabria,https://www.google.com/maps/place/Caff%C3%A8+Calabria/data=!4m7!3m6!1s0x80d954f68d9a781d:0xecfb462bc4a9659e!8m2!3d32.7492135!4d-117.1299926!16s%2Fg%2F1wk7r47k!19sChIJHXiajfZU2YARnmWpxCtG--w?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.6,1266,+1 619-683-7787,"3933 30th St Suite 2, San Diego, CA 92104, United States",caffecalabria.com
Better Buzz Coffee Hillcrest,https://www.google.com/maps/place/Better+Buzz+Coffee+Hillcrest/data=!4m7!3m6!1s0x80d954db417b9089:0xbc9ba1edbfec3e07!8m2!3d32.7481995!4d-117.1570355!16s%2Fg%2F11f_3dqw1g!19sChIJiZB7QdtU2YARBz7sv-2hm7w?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.4,1670,+1 619-269-2740,"801 University Ave, San Diego, CA 92103, United States",betterbuzzcoffee.com
Communal Coffee,https://www.google.com/maps/place/Communal+Coffee/data=!4m7!3m6!1s0x80d954ee32187627:0x570eb5a679a17a63!8m2!3d32.7483084!4d-117.1391773!16s%2Fg%2F11cn68py1_!19sChIJJ3YYMu5U2YARY3qheaa1Dlc?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.6,1222,+1 619-363-7737,"2335 University Ave, San Diego, CA 92104, United States",communalcoffee.com
Mostra Coffee,https://www.google.com/maps/place/Mostra+Coffee/data=!4m7!3m6!1s0x80d955df22121b93:0x26581bbb7cbdeb5e!8m2!3d32.7262768!4d-117.1610265!16s%2Fg%2F11n_xzp6y9!19sChIJkxsSIt9V2YARXuu9fLsbWCY?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.7,249,+1 619-992-1559,"2001 Fourth Ave, San Diego, CA 92101, United States",mostracoffee.com
The WestBean Coffee Roasters,https://www.google.com/maps/place/The+WestBean+Coffee+Roasters/data=!4m7!3m6!1s0x80d954b9ea891895:0x1a937a07bfc953df!8m2!3d32.7315886!4d-117.1610298!16s%2Fg%2F11f34ssrl6!19sChIJlRiJ6rlU2YAR31PJvwd6kxo?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.6,151,+1 619-794-2052,"2550 Fifth Ave #75, San Diego, CA 92103, United States",thewestbean.com
Scrimshaw Coffee,https://www.google.com/maps/place/Scrimshaw+Coffee/data=!4m7!3m6!1s0x80d9569ee694b32b:0x4a7c1dc7f453dd5!8m2!3d32.7585924!4d-117.0752213!16s%2Fg%2F11f03h8qhb!19sChIJK7OU5p5W2YAR1T1Ff9zBpwQ?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.7,334,+1 619-501-2355,"5542 El Cajon Blvd, San Diego, CA 92115, United States",scrimshawcoffee.com
Heartwork Coffee,https://www.google.com/maps/place/Heartwork+Coffee/data=!4m7!3m6!1s0x80d954d48567a421:0x1e367e9d7995dbfe!8m2!3d32.7495748!4d-117.1712266!16s%2Fg%2F11b6zs9xgb!19sChIJIaRnhdRU2YAR_tuVeZ1-Nh4?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.7,315,-,"3993 Goldfinch St, San Diego, CA 92103, United States",heartworkcoffeebar.com
Coffee Cycle Roasting,https://www.google.com/maps/place/Coffee+Cycle+Roasting/data=!4m7!3m6!1s0x80deaaec7b313d83:0x585684db8da9318!8m2!3d32.7982689!4d-117.2394015!16s%2Fg%2F11g6qr4jxb!19sChIJgz0xe-yq3oARGJPauE1ohQU?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.9,381,+1 951-363-3066,"1632 Grand Ave, San Diego, CA 92109, United States",coffeecycleroasting.com
Mixed Grounds Coffee,https://www.google.com/maps/place/Mixed+Grounds+Coffee/data=!4m7!3m6!1s0x80d9530988da439b:0xfa489d68a304ddd8!8m2!3d32.7066003!4d-117.1315077!16s%2Fg%2F11r353b2px!19sChIJm0PaiAlT2YAR2N0Eo2idSPo?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.6,221,+1 619-782-9004,"2920 Imperial Ave, San Diego, CA 92102, United States",mixedgrounds.com
Spill the Beans Coffee and Bagels,https://www.google.com/maps/place/Spill+the+Beans+Coffee+and+Bagels/data=!4m7!3m6!1s0x80d95359bce1b455:0x19c0ac0f5e37590d!8m2!3d32.711363!4d-117.1594778!16s%2Fg%2F11f38nlfvq!19sChIJVbThvFlT2YARDVk3Xg-swBk?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.5,948,+1 619-233-3836,"555 Market St, San Diego, CA 92101, United States",spillthebeanssd.com
Bay Park Coffee,https://www.google.com/maps/place/Bay+Park+Coffee/data=!4m7!3m6!1s0x80deaa9b7dfd1da7:0xb2de927d3289a40a!8m2!3d32.7823713!4d-117.2063019!16s%2Fg%2F1hc49dgk7!19sChIJpx39fZuq3oARCqSJMn2S3rI?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.6,360,+1 619-275-4000,"4130 Napier St, San Diego, CA 92110, United States",bayparkcoffeesd.com
Pump Coffee,https://www.google.com/maps/place/Pump+Coffee/data=!4m7!3m6!1s0x80dc017844ab63cb:0xee29da8463a18963!8m2!3d32.7922614!4d-117.2546218!16s%2Fg%2F11mtjsz2qn!19sChIJy2OrRHgB3IARY4mhY4TaKe4?authuser=0&hl=en&rclk=1,Coffee shops in San Diego California,4.8,277,-,"4150 Mission Blvd Suite 159, San Diego, CA 92109, United States",pumpcoffee.com
