Name,URL,Query,Rating,Reviews,Phone,Address,Website
Warm Springs Plaza,https://www.google.com/maps/place/Warm+Springs+Plaza/data=!4m7!3m6!1s0x808fc65cc7623037:0x3d78d2fa0bab530!8m2!3d37.4917919!4d-121.9287047!16s%2Fg%2F1x5qt07c!19sChIJNzBix1zGj4ARMLW6oC-N1wM?authuser=0&hl=en&rclk=1,Coffee shops in San Jose California,4.1,1301,+1 425-462-2505,"Warm Springs Blvd, Fremont, CA 94539, United States",warmspringsplaza.com
Academic Coffee,https://www.google.com/maps/place/Academic+Coffee/data=!4m7!3m6!1s0x808fccb728925b21:0x23fa8af46e1c653d!8m2!3d37.3291328!4d-121.8840982!16s%2Fg%2F11dymc4brw!19sChIJIVuSKLfMj4ARPWUcbvSK-iM?authuser=0&hl=en&rclk=1,Coffee shops in San Jose California,4.6,699,-,"499 S Second St, San Jose, CA 95113, United States",academiccoffee.com
Nirvana Soul Coffee,https://www.google.com/maps/place/Nirvana+Soul+Coffee/data=!4m7!3m6!1s0x808fcdf9b0ce52cf:0xfdeac7a5e235e1b0!8m2!3d37.3311664!4d-121.8870153!16s%2Fg%2F11jdc2xh4w!19sChIJz1LOsPnNj4ARsOE14qXH6v0?authuser=0&hl=en&rclk=1,Coffee shops in San Jose California,4.7,600,+1 408-564-6617,"315 S 1st St, San Jose, CA 95113, United States",nirvanasoulcoffee.com
Voltaire Coffee Roasters,https://www.google.com/maps/place/Voltaire+Coffee+Roasters/data=!4m7!3m6!1s0x808fccb083dd2c8d:0x6c3d307643805c39!8m2!3d37.3298891!4d-121.8868481!16s%2Fg%2F11bx1y8j_6!19sChIJjSzdg7DMj4AROVyAQ3YwPWw?authuser=0&hl=en&rclk=1,Coffee shops in San Jose California,4.5,529,+1 408-747-9697,"360 S Market St #80, San Jose, CA 95113, United States",voltairecoffeeroasters.com
Philz Coffee,https://www.google.com/maps/place/Philz+Coffee/data=!4m7!3m6!1s0x808fccbbd516f8b7:0xa48a49dfd03f76e9!8m2!3d37.3336237!4d-121.8848654!16s%2Fg%2F1ttpbk06!19sChIJt_gW1bvMj4AR6XY_0N9JiqQ?authuser=0&hl=en&rclk=1,Coffee shops in San Jose California,4.6,1786,+1 408-971-4212,"118 Paseo de San Antonio, San Jose, CA 95112, United States",philzcoffee.com
Chromatic Coffee Co.,https://www.google.com/maps/place/Chromatic+Coffee+Co./data=!4m7!3m6!1s0x808fcbaa9bc1c33d:0x661c66a3a8c13da6!8m2!3d37.3207416!4d-121.9080674!16s%2Fg%2F11j0hsym41!19sChIJPcPBm6rLj4ARpj3BqKNmHGY?authuser=0&hl=en&rclk=1,Coffee shops in San Jose California,4.5,549,+1 408-320-2086,"460 Lincoln Ave #10, San Jose, CA 95126, United States",chromaticcoffee.com
Crema Coffee Roasting Company.,https://www.google.com/maps/place/Crema+Coffee+Roasting+Company./data=!4m7!3m6!1s0x808fcb5dcd63db11:0xf52ddebcbcaf993b!8m2!3d37.3253068!4d-121.9113628!16s%2Fg%2F1tfp2pr5!19sChIJEdtjzV3Lj4ARO5mvvLzeLfU?authuser=0&hl=en&rclk=1,Coffee shops in San Jose California,4.2,670,+1 408-320-4790,"238 Race St, San Jose, CA 95126, United States",facebook.com
A.M. Craft,https://www.google.com/maps/place/A.M.+Craft/data=!4m7!3m6!1s0x808fcdecc2788aa5:0x922f8044a8f552f1!8m2!3d37.3364169!4d-121.8770154!16s%2Fg%2F11q9n98jd4!19sChIJpYp4wuzNj4AR8VL1qESAL5I?authuser=0&hl=en&rclk=1,Coffee shops in San Jose California,4.8,140,+1 408-892-7998,"481 E San Carlos St, San Jose, CA 95112, United States",am-craft.mailchimpsites.com
Voyager-San Pedro Square,https://www.google.com/maps/place/Voyager-San+Pedro+Square/data=!4m7!3m6!1s0x808fcd9abd27124b:0xe298f6183d9f219a!8m2!3d37.3368102!4d-121.8943107!16s%2Fg%2F11hyzbpjth!19sChIJSxInvZrNj4ARmiGfPRj2mOI?authuser=0&hl=en&rclk=1,Coffee shops in San Jose California,4.7,475,+1 408-899-6166,"87 N San Pedro St, San Jose, CA 95110, United States",voyagercraftcoffee.com
Roy's Station Coffee & Tea,https://www.google.com/maps/place/Roy%27s+Station+Coffee+%26+Tea/data=!4m7!3m6!1s0x808fcc84949bd917:0xe66c13c3bf8f3dcf!8m2!3d37.3490192!4d-121.8947173!16s%2Fg%2F1tcxpxpr!19sChIJF9mblITMj4ARzz2Pv8MTbOY?authuser=0&hl=en&rclk=1,Coffee shops in San Jose California,4.6,969,+1 408-286-2236,"197 Jackson St, San Jose, CA 95112, United States",roys-station.com
