Name,URL,Query,Rating,Reviews,Phone,Address,Website
"Holiday Inn Express & Suites Austin NW - Lakeline, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Austin+NW+-+Lakeline,+an+IHG+Hotel/data=!4m10!3m9!1s0x865b32bcfdb9e99d:0x1e24c7d75de55010!5m2!4m1!1i2!8m2!3d30.464588!4d-97.804043!16s%2Fg%2F1tfvzkmd!19sChIJnem5_bwyW4YREFDlXdfHJB4?authuser=0&hl=en&rclk=1",Hotels in Austin Texas,4.2,458,+1 512-249-8166,"10911 Pecan Park Blvd, Austin, TX 78750, United States",ihg.com
Best Western Plus Austin Airport Inn & Suites,https://www.google.com/maps/place/Best+Western+Plus+Austin+Airport+Inn+%26+Suites/data=!4m10!3m9!1s0x8644b6af695aaab3:0x5e7de18ad9348ec7!5m2!4m1!1i2!8m2!3d30.220558!4d-97.691145!16s%2Fg%2F1tdgkn7_!19sChIJs6paaa-2RIYRx4402YrhfV4?authuser=0&hl=en&rclk=1,Hotels in Austin Texas,4.2,920,+1 512-386-5455,"1805 Airport Commerce Dr, Austin, TX 78741, United States",bestwestern.com
"Holiday Inn Express & Suites Austin NW - Four Points, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Austin+NW+-+Four+Points,+an+IHG+Hotel/data=!4m10!3m9!1s0x865b33b697087a6f:0x2db2460b0ce8a60a!5m2!4m1!1i2!8m2!3d30.4211127!4d-97.8470854!16s%2Fg%2F11by_zdtph!19sChIJb3oIl7YzW4YRCqboDAtGsi0?authuser=0&hl=en&rclk=1",Hotels in Austin Texas,4.2,509,+1 512-610-5700,"8300 N FM 620 Building I, Austin, TX 78726, United States",ihg.com
"Holiday Inn Express & Suites Austin Downtown - University, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Austin+Downtown+-+University,+an+IHG+Hotel/data=!4m10!3m9!1s0x8644b5a6a34c1c63:0x445ea7608d5c2450!5m2!4m1!1i2!8m2!3d30.2692387!4d-97.7370368!16s%2Fg%2F11ckqjg30_!19sChIJYxxMo6a1RIYRUCRcjWCnXkQ?authuser=0&hl=en&rclk=1",Hotels in Austin Texas,3.9,1465,+1 512-474-8600,"805 Neches St, Austin, TX 78701, United States",ihg.com
La Quinta Inn by Wyndham Austin Capitol / Downtown,https://www.google.com/maps/place/La+Quinta+Inn+by+Wyndham+Austin+Capitol+%2F+Downtown/data=!4m10!3m9!1s0x8644b5a11ecbfc45:0x828191aebfd863c5!5m2!4m1!1i2!8m2!3d30.272106!4d-97.7377236!16s%2Fg%2F1tjy1x0z!19sChIJRfzLHqG1RIYRxWPYv66RgYI?authuser=0&hl=en&rclk=1,Hotels in Austin Texas,2.9,2106,+1 512-476-1166,"300 E 11th St, Austin, TX 78701, United States",wyndhamhotels.com
Super 8 by Wyndham Austin University/Downtown Area,https://www.google.com/maps/place/Super+8+by+Wyndham+Austin+University%2FDowntown+Area/data=!4m10!3m9!1s0x8644ca1a7c1de8b7:0x8c6e46abbe05a10!5m2!4m1!1i2!8m2!3d30.3154966!4d-97.7087575!16s%2Fg%2F1th57cqh!19sChIJt-gdfBrKRIYREFrgu2rkxgg?authuser=0&hl=en&rclk=1,Hotels in Austin Texas,3.3,1775,+1 512-451-7001,"5526 N Interstate Hwy 35, Austin, TX 78751, United States",wyndhamhotels.com
Hyatt Regency Austin,https://www.google.com/maps/place/Hyatt+Regency+Austin/data=!4m10!3m9!1s0x8644b504282be4a9:0x827e1b9c0ba012e3!5m2!4m1!1i2!8m2!3d30.2607308!4d-97.7471632!16s%2Fm%2F020yzzv!19sChIJqeQrKAS1RIYR4xKgC5wbfoI?authuser=0&hl=en&rclk=1,Hotels in Austin Texas,4.5,4761,+1 512-477-1234,"208 Barton Springs Rd, Austin, TX 78704, United States",hyatt.com
Fairmont Austin,https://www.google.com/maps/place/Fairmont+Austin/data=!4m10!3m9!1s0x8644b5a8ffd3a7ff:0xb0b0d9e21a520391!5m2!4m1!1i2!8m2!3d30.262079!4d-97.738217!16s%2Fm%2F01110z6s!19sChIJ_6fT_6i1RIYRkQNSGuLZsLA?authuser=0&hl=en&rclk=1,Hotels in Austin Texas,4.5,5288,+1 512-600-2000,"101 Red River St, Austin, TX 78701, United States",fairmont.com
Hilton Austin,https://www.google.com/maps/place/Hilton+Austin/data=!4m10!3m9!1s0x8644b5a8126dd78f:0x206ae9d141524569!5m2!4m1!1i2!8m2!3d30.2651833!4d-97.7381033!16s%2Fm%2F0bmgnpf!19sChIJj9dtEqi1RIYRaUVSQdHpaiA?authuser=0&hl=en&rclk=1,Hotels in Austin Texas,4.3,5562,+1 512-482-8000,"500 E 4th St, Austin, TX 78701, United States",hilton.com
"Holiday Inn Austin-Town Lake, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Austin-Town+Lake,+an+IHG+Hotel/data=!4m10!3m9!1s0x8644b5d03a7437af:0xf0f736ee84bf2e37!5m2!4m1!1i2!8m2!3d30.253817!4d-97.7371803!16s%2Fg%2F1tfqls8t!19sChIJrzd0OtC1RIYRNy6_hO429_A?authuser=0&hl=en&rclk=1",Hotels in Austin Texas,4.0,2549,+1 512-472-8211,"20 N Interstate Hwy 35, Austin, TX 78701, United States",ihg.com
