Name,URL,Query,Rating,Reviews,Phone,Address,Website
"Holiday Inn Express & Suites Charlotte NE - University Area, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Charlotte+NE+-+University+Area,+an+IHG+Hotel/data=!4m10!3m9!1s0x88541e81c035448f:0x7e8fba0bca3081ad!5m2!4m1!1i2!8m2!3d35.298553!4d-80.761708!16s%2Fg%2F11dyn9wg4y!19sChIJj0Q1wIEeVIgRrYEwygu6j34?authuser=0&hl=en&rclk=1",Hotels in Charlotte North Carolina,4.2,606,+1 704-496-9780,"6020 University Pointe Blvd, Charlotte, NC 28262, United States",ihg.com
Hilton Garden Inn Charlotte Pineville,https://www.google.com/maps/place/Hilton+Garden+Inn+Charlotte+Pineville/data=!4m10!3m9!1s0x88569c8e78e036e9:0x62393d4f4ae159f4!5m2!4m1!1i2!8m2!3d35.082301!4d-80.882222!16s%2Fg%2F1tjy26cb!19sChIJ6TbgeI6cVogR9FnhSk89OWI?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.2,854,+1 704-889-3279,"425 Towne Centre Blvd, Pineville, NC 28134, United States",hilton.com
Days Inn by Wyndham Charlotte/Woodlawn Near Carowinds,https://www.google.com/maps/place/Days+Inn+by+Wyndham+Charlotte%2FWoodlawn+Near+Carowinds/data=!4m10!3m9!1s0x88569f2753df5759:0x511bc10a966bbd2d!5m2!4m1!1i2!8m2!3d35.1779847!4d-80.8833935!16s%2Fg%2F1tk6r0l2!19sChIJWVffUyefVogRLb1rlgrBG1E?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,2.6,1007,+1 704-412-5002,"118 E Woodlawn Rd, Charlotte, NC 28217, United States",wyndhamhotels.com
DoubleTree by Hilton Charlotte City Center,https://www.google.com/maps/place/DoubleTree+by+Hilton+Charlotte+City+Center/data=!4m10!3m9!1s0x8856a024fd9b6487:0xa736e2d40a93d76d!5m2!4m1!1i2!8m2!3d35.2274686!4d-80.8397808!16s%2Fg%2F1tfgkjdj!19sChIJh2Sb_SSgVogRbdeTCtTiNqc?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.2,1961,+1 704-335-5400,"230 N College St, Charlotte, NC 28202, United States",hilton.com
"The Ritz-Carlton, Charlotte","https://www.google.com/maps/place/The+Ritz-Carlton,+Charlotte/data=!4m10!3m9!1s0x8856a025a52e862b:0x4e95d53698ab877!5m2!4m1!1i2!8m2!3d35.2261569!4d-80.8414538!16s%2Fm%2F0mwmfch!19sChIJK4YupSWgVogRd7iKaVNd6QQ?authuser=0&hl=en&rclk=1",Hotels in Charlotte North Carolina,4.6,1578,+1 704-547-2244,"201 E Trade St, Charlotte, NC 28202, United States",ritzcarlton.com
Hampton Inn Charlotte-Uptown,https://www.google.com/maps/place/Hampton+Inn+Charlotte-Uptown/data=!4m10!3m9!1s0x8856a027c3cbcfd7:0xc1696deb60223c6f!5m2!4m1!1i2!8m2!3d35.2201108!4d-80.8423617!16s%2Fg%2F1th82nkh!19sChIJ18_LwyegVogRbzwiYOttacE?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.3,1413,+1 704-373-0917,"530 E M.L.K. Jr Blvd, Charlotte, NC 28202, United States",hilton.com
Wyndham Garden Charlotte Executive Park,https://www.google.com/maps/place/Wyndham+Garden+Charlotte+Executive+Park/data=!4m10!3m9!1s0x88569ec7d1ca11eb:0x4af251a35cca064a!5m2!4m1!1i2!8m2!3d35.1588286!4d-80.8869378!16s%2Fg%2F1tdq6qq2!19sChIJ6xHK0ceeVogRSgbKXKNR8ko?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,3.2,1379,+1 980-285-8493,"440 Griffith Rd, Charlotte, NC 28217, United States",wyndhamhotels.com
Hampton Inn Charlotte-University Place,https://www.google.com/maps/place/Hampton+Inn+Charlotte-University+Place/data=!4m10!3m9!1s0x88541c265f45d809:0xeac5dc14fe533392!5m2!4m1!1i2!8m2!3d35.303032!4d-80.7524917!16s%2Fg%2F1td8zv10!19sChIJCdhFXyYcVIgRkjNT_hTcxeo?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,3.9,1042,+1 704-548-0905,"8419 N Tryon St, Charlotte, NC 28262, United States",hilton.com
JW Marriott Charlotte,https://www.google.com/maps/place/JW+Marriott+Charlotte/data=!4m10!3m9!1s0x8856a02971af2fd1:0x9b015481055b03ef!5m2!4m1!1i2!8m2!3d35.2223858!4d-80.8481961!16s%2Fg%2F11lg280kcv!19sChIJ0S-vcSmgVogR7wNbBYFUAZs?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.4,605,+1 704-333-1101,"600 S College St, Charlotte, NC 28202, United States",marriott.com
Hyatt Place Charlotte Downtown,https://www.google.com/maps/place/Hyatt+Place+Charlotte+Downtown/data=!4m10!3m9!1s0x8856a0265cfdb487:0x989643c53213e95f!5m2!4m1!1i2!8m2!3d35.2223825!4d-80.8413586!16s%2Fg%2F1q662r0l0!19sChIJh7T9XCagVogRX-kTMsVDlpg?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.3,1908,+1 704-227-0500,"222 S Caldwell St, Charlotte, NC 28202, United States",hyatt.com
Aloft Charlotte City Center,https://www.google.com/maps/place/Aloft+Charlotte+City+Center/data=!4m10!3m9!1s0x8856a025ebbfc4ed:0xe06576a6ff02bc1!5m2!4m1!1i2!8m2!3d35.2251928!4d-80.8422334!16s%2Fg%2F1hc2rc711!19sChIJ7cS_6yWgVogRwSvwb2pXBg4?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,3.8,1242,+1 704-333-1999,"210 E Trade St, Charlotte, NC 28202, United States",marriott.com
The Westin Charlotte,https://www.google.com/maps/place/The+Westin+Charlotte/data=!4m10!3m9!1s0x8856a029a1e91681:0xd4cb6edd5bb81f58!5m2!4m1!1i2!8m2!3d35.2221036!4d-80.8472698!16s%2Fm%2F03y96w6!19sChIJgRbpoSmgVogRWB-4W91uy9Q?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.3,3370,+1 704-375-2600,"601 S College St, Charlotte, NC 28202, United States",marriott.com
"Grand Bohemian Charlotte, Autograph Collection","https://www.google.com/maps/place/Grand+Bohemian+Charlotte,+Autograph+Collection/data=!4m10!3m9!1s0x8856a1c049a6fc89:0xbd463b474b6afca4!5m2!4m1!1i2!8m2!3d35.2281797!4d-80.844445!16s%2Fg%2F11h4zb77sd!19sChIJifymScChVogRpPxqS0c7Rr0?authuser=0&hl=en&rclk=1",Hotels in Charlotte North Carolina,4.4,864,+1 704-372-1877,"201 W Trade St, Charlotte, NC 28202, United States",marriott.com
Hilton Charlotte Uptown,https://www.google.com/maps/place/Hilton+Charlotte+Uptown/data=!4m10!3m9!1s0x8856a028ad6b5e6b:0x8a5c7778ca300ad2!5m2!4m1!1i2!8m2!3d35.2239649!4d-80.8438219!16s%2Fg%2F1vlk2887!19sChIJa15rrSigVogR0gowynh3XIo?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.3,2797,+1 704-377-1500,"222 E 3rd St, Charlotte, NC 28202, United States",hilton.com
The Dunhill Hotel,https://www.google.com/maps/place/The+Dunhill+Hotel/data=!4m10!3m9!1s0x8856a0253df23b31:0x74b37cf7d5873859!5m2!4m1!1i2!8m2!3d35.2288612!4d-80.8411158!16s%2Fg%2F1tddygy6!19sChIJMTvyPSWgVogRWTiH1fd8s3Q?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.3,878,+1 704-332-4141,"237 N Tryon St, Charlotte, NC 28202, United States",dunhillhotel.com
Kimpton Tryon Park Hotel,https://www.google.com/maps/place/Kimpton+Tryon+Park+Hotel/data=!4m10!3m9!1s0x8856a02ee474508d:0x18de88a24166286f!5m2!4m1!1i2!8m2!3d35.2261657!4d-80.8463211!16s%2Fg%2F11gbwy90_p!19sChIJjVB05C6gVogRbyhmQaKI3hg?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.5,1173,+1 704-445-2626,"303 S Church St, Charlotte, NC 28202, United States",tryonparkhotel.com
"Holiday Inn Charlotte University, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Charlotte+University,+an+IHG+Hotel/data=!4m10!3m9!1s0x88541c26122d495d:0x2ae003881eec51f0!5m2!4m1!1i2!8m2!3d35.305291!4d-80.7527062!16s%2Fg%2F1tj4zdr1!19sChIJXUktEiYcVIgR8FHsHogD4Co?authuser=0&hl=en&rclk=1",Hotels in Charlotte North Carolina,4.2,1026,+1 704-547-0999,"8520 University Executive Park Dr, Charlotte, NC 28262, United States",ihg.com
Hyatt House Charlotte/Center City,https://www.google.com/maps/place/Hyatt+House+Charlotte%2FCenter+City/data=!4m10!3m9!1s0x8856a0241f6bc21b:0x3961998597620be5!5m2!4m1!1i2!8m2!3d35.2241806!4d-80.8391412!16s%2Fg%2F1tnssmwd!19sChIJG8JrHySgVogR5Qtil4WZYTk?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.3,1435,+1 704-373-9700,"435 E Trade St, Charlotte, NC 28202, United States",hyatt.com
Omni Charlotte Hotel,https://www.google.com/maps/place/Omni+Charlotte+Hotel/data=!4m10!3m9!1s0x8856a024b6a86093:0xaf97f0d6c77e5471!5m2!4m1!1i2!8m2!3d35.2265484!4d-80.8426556!16s%2Fg%2F1tf9tjs6!19sChIJk2CotiSgVogRcVR-x9bwl68?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.1,2802,+1 704-377-0400,"132 E Trade St, Charlotte, NC 28202, United States",omnihotels.com
Charlotte Marriott City Center,https://www.google.com/maps/place/Charlotte+Marriott+City+Center/data=!4m10!3m9!1s0x8856a02f880e7035:0x7d355847301288e3!5m2!4m1!1i2!8m2!3d35.2279309!4d-80.8435714!16s%2Fg%2F1tx4q1py!19sChIJNXAOiC-gVogR44gSMEdYNX0?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.4,2191,+1 704-333-9000,"100 W Trade St, Charlotte, NC 28202, United States",marriott.com
Suburban Studios near University of North Carolina-Charlotte,https://www.google.com/maps/place/Suburban+Studios+near+University+of+North+Carolina-Charlotte/data=!4m10!3m9!1s0x8856a70d02803a65:0x6814f9926f2128e1!5m2!4m1!1i2!8m2!3d35.340499!4d-80.834743!16s%2Fg%2F1tjy26dm!19sChIJZTqAAg2nVogR4Sghb5L5FGg?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,2.9,550,+1 704-598-5445,"8615 Hankins Rd, Charlotte, NC 28269, United States",choicehotels.com
Sonesta Charlotte Lower South End,https://www.google.com/maps/place/Sonesta+Charlotte+Lower+South+End/data=!4m10!3m9!1s0x88569ec866fb199b:0xce5d01956af7bb11!5m2!4m1!1i2!8m2!3d35.1594605!4d-80.8897728!16s%2Fg%2F1tctg9s0!19sChIJmxn7ZsieVogREbv3apUBXc4?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.1,2281,+1 704-527-9650,"5700 Westpark Dr, Charlotte, NC 28217, United States",sonesta.com
Suburban Studios near University of North Carolina-Charlotte,https://www.google.com/maps/place/Suburban+Studios+near+University+of+North+Carolina-Charlotte/data=!4m10!3m9!1s0x8856a70d02803a65:0x6814f9926f2128e1!5m2!4m1!1i2!8m2!3d35.340499!4d-80.834743!16s%2Fg%2F1tjy26dm!19sChIJZTqAAg2nVogR4Sghb5L5FGg?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,2.9,550,+1 704-598-5445,"8615 Hankins Rd, Charlotte, NC 28269, United States",choicehotels.com
Embassy Suites by Hilton Charlotte,https://www.google.com/maps/place/Embassy+Suites+by+Hilton+Charlotte/data=!4m10!3m9!1s0x88569f29ca19c9cd:0x79a5260f7227db70!5m2!4m1!1i2!8m2!3d35.1800217!4d-80.8907858!16s%2Fg%2F1tpc8pb0!19sChIJzckZyimfVogRcNsncg8mpXk?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,3.9,2966,+1 704-527-8400,"4800 S Tryon St, Charlotte, NC 28217, United States",hilton.com
Le Méridien Charlotte,https://www.google.com/maps/place/Le+M%C3%A9ridien+Charlotte/data=!4m10!3m9!1s0x88569f898c31b663:0x55e305fd1b49bc2c!5m2!4m1!1i2!8m2!3d35.2173787!4d-80.8387142!16s%2Fg%2F1pt_6kc23!19sChIJY7YxjImfVogRLLxJG_0F41U?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.0,2058,+1 704-372-9610,"555 S McDowell St Tower, Charlotte, NC 28204, United States",marriott.com
Hyatt Place Charlotte/Arrowood,https://www.google.com/maps/place/Hyatt+Place+Charlotte%2FArrowood/data=!4m10!3m9!1s0x88569bfdfc379a37:0xc93820ae5f1ff44a!5m2!4m1!1i2!8m2!3d35.1357661!4d-80.9043083!16s%2Fg%2F1hf3x58qc!19sChIJN5o3_P2bVogRSvQfX64gOMk?authuser=0&hl=en&rclk=1,Hotels in Charlotte North Carolina,4.0,1304,+1 704-522-8400,"7900 Forest Point Blvd, Charlotte, NC 28273, United States",hyatt.com
"The Ballantyne, a Luxury Collection Hotel, Charlotte","https://www.google.com/maps/place/The+Ballantyne,+a+Luxury+Collection+Hotel,+Charlotte/data=!4m10!3m9!1s0x88569d25e8096a69:0xabf32b050a1a5618!5m2!4m1!1i2!8m2!3d35.0561088!4d-80.847352!16s%2Fg%2F1tdwfm_8!19sChIJaWoJ6CWdVogRGFYaCgUr86s?authuser=0&hl=en&rclk=1",Hotels in Charlotte North Carolina,4.6,1793,+1 704-248-4000,"10000 Ballantyne Commons Pkwy, Charlotte, NC 28277, United States",marriott.com
