Name,URL,Query,Rating,Reviews,Phone,Address,Website
"Holiday Inn Express & Suites Columbus - Easton Area, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Columbus+-+Easton+Area,+an+IHG+Hotel/data=!4m10!3m9!1s0x88388a8e5b8cd2dd:0xddf6e13edc4ef70b!5m2!4m1!1i2!8m2!3d40.06!4d-82.921553!16s%2Fg%2F1262w4dbg!19sChIJ3dKMW46KOIgRC_dO3D7h9t0?authuser=0&hl=en&rclk=1",Hotels in Columbus Ohio,4.1,740,+1 614-476-1100,"4899 Sunbury Rd, Columbus, OH 43230, United States",ihg.com
"Holiday Inn Express Columbus - Ohio Expo Center, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+Columbus+-+Ohio+Expo+Center,+an+IHG+Hotel/data=!4m10!3m9!1s0x883889556c90f049:0xc755ff08a2ab58e7!5m2!4m1!1i2!8m2!3d40.014201!4d-82.991432!16s%2Fg%2F1tfqgghl!19sChIJSfCQbFWJOIgR51irogj_Vcc?authuser=0&hl=en&rclk=1",Hotels in Columbus Ohio,3.7,650,+1 614-263-7725,"701 E Hudson St, Columbus, OH 43211, United States",ihg.com
Hilton Columbus Downtown,https://www.google.com/maps/place/Hilton+Columbus+Downtown/data=!4m10!3m9!1s0x88388f2f3104ed83:0xa4a911a6ffdac78c!5m2!4m1!1i2!8m2!3d39.9705378!4d-83.0014153!16s%2Fg%2F1hfqzl0rx!19sChIJg-0EMS-POIgRjMfa_6YRqaQ?authuser=0&hl=en&rclk=1,Hotels in Columbus Ohio,4.5,3395,+1 614-384-8600,"402 N High St, Columbus, OH 43215, United States",hilton.com
"Holiday Inn Columbus Dwtn-Capitol Square, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Columbus+Dwtn-Capitol+Square,+an+IHG+Hotel/data=!4m10!3m9!1s0x88388f349d85a0ef:0x98327bd6a1dfca58!5m2!4m1!1i2!8m2!3d39.958785!4d-82.994763!16s%2Fg%2F1v4k757z!19sChIJ76CFnTSPOIgRWMrfodZ7Mpg?authuser=0&hl=en&rclk=1",Hotels in Columbus Ohio,3.9,1436,+1 614-221-3281,"175 E Town St, Columbus, OH 43215, United States",ihg.com
DoubleTree by Hilton Hotel Columbus - Worthington,https://www.google.com/maps/place/DoubleTree+by+Hilton+Hotel+Columbus+-+Worthington/data=!4m10!3m9!1s0x8838f346ce3d48e1:0x8763dab87e431ba0!5m2!4m1!1i2!8m2!3d40.1133766!4d-83.0109024!16s%2Fg%2F1tltn0p_!19sChIJ4Ug9zkbzOIgRoBtDfrjaY4c?authuser=0&hl=en&rclk=1,Hotels in Columbus Ohio,3.6,2957,+1 614-450-8000,"175 Hutchinson Ave, Columbus, OH 43235, United States",hilton.com
"Holiday Inn Express & Suites Columbus - Easton Area, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Columbus+-+Easton+Area,+an+IHG+Hotel/data=!4m10!3m9!1s0x88388a8e64184df9:0xddf6e13edc4ef70b!5m2!4m1!1i2!8m2!3d40.0600001!4d-82.9215529!16s%2Fg%2F1262w4dbg!19sChIJ-U0YZI6KOIgRC_dO3D7h9t0?authuser=0&hl=en&rclk=1",Hotels in Columbus Ohio,4.1,740,+1 614-476-1100,"4899 Sunbury Rd, Columbus, OH 43230, United States",ihg.com
Red Roof Inn Columbus - Ohio State Fairgrounds,https://www.google.com/maps/place/Red+Roof+Inn+Columbus+-+Ohio+State+Fairgrounds/data=!4m10!3m9!1s0x88388b5077fe3405:0xe35bc06901c49c4c!5m2!4m1!1i2!8m2!3d40.0863116!4d-82.9843805!16s%2Fg%2F1tplq_1s!19sChIJBTT-d1CLOIgRTJzEAWnAW-M?authuser=0&hl=en&rclk=1,Hotels in Columbus Ohio,2.8,814,+1 614-885-4334,"1221 E Dublin Granville Rd, Columbus, OH 43229, United States",redroof.com
"Hotel LeVeque, Autograph Collection","https://www.google.com/maps/place/Hotel+LeVeque,+Autograph+Collection/data=!4m10!3m9!1s0x88388f305849c225:0x9a48df3ade9a1a1a!5m2!4m1!1i2!8m2!3d39.9623333!4d-83.002168!16s%2Fg%2F11f125v4cc!19sChIJJcJJWDCPOIgRGhqa3jrfSJo?authuser=0&hl=en&rclk=1",Hotels in Columbus Ohio,4.6,1027,+1 614-224-9500,"50 W Broad St, Columbus, OH 43215, United States",marriott.com
Courtyard Columbus Downtown,https://www.google.com/maps/place/Courtyard+Columbus+Downtown/data=!4m10!3m9!1s0x88388f2fe95c8fc9:0x27e88748754bc594!5m2!4m1!1i2!8m2!3d39.9657138!4d-83.0028462!16s%2Fg%2F1tdc19bk!19sChIJyY9c6S-POIgRlMVLdUiH6Cc?authuser=0&hl=en&rclk=1,Hotels in Columbus Ohio,4.1,1140,+1 614-228-3200,"35 W Spring St, Columbus, OH 43215, United States",marriott.com
Sonesta Columbus Downtown,https://www.google.com/maps/place/Sonesta+Columbus+Downtown/data=!4m10!3m9!1s0x88388f2ed91ef207:0xf5df526add98aa56!5m2!4m1!1i2!8m2!3d39.9687391!4d-83.000421!16s%2Fg%2F1tgwbkv6!19sChIJB_Ie2S6POIgRVqqY3WpS3_U?authuser=0&hl=en&rclk=1,Hotels in Columbus Ohio,4.1,1916,+1 614-461-4100,"33 E Nationwide Blvd, Columbus, OH 43215, United States",sonesta.com
