Name,URL,Query,Rating,Reviews,Phone,Address,Website
Magnolia Dallas Downtown,https://www.google.com/maps/place/Magnolia+Dallas+Downtown/data=!4m10!3m9!1s0x864e9918e993c711:0xa9073cfe6d9a606a!5m2!4m1!1i2!8m2!3d32.7801591!4d-96.7991098!16zL20vMDQ3djNu!19sChIJEceT6RiZToYRamCabf48B6k?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,3.9,2568,+1 214-915-6500,"1401 Commerce St, Dallas, TX 75201, United States",magnoliahotels.com
Omni Dallas Hotel,https://www.google.com/maps/place/Omni+Dallas+Hotel/data=!4m10!3m9!1s0x864e9910ab9cdfa5:0xb450dd1534bcf5e7!5m2!4m1!1i2!8m2!3d32.775117!4d-96.8042941!16s%2Fm%2F07sbzyd!19sChIJpd-cqxCZToYR5_W8NBXdULQ?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.5,9157,+1 214-744-6664,"555 S Lamar St, Dallas, TX 75202, United States",omnihotels.com
Hampton Inn & Suites Dallas Downtown,https://www.google.com/maps/place/Hampton+Inn+%26+Suites+Dallas+Downtown/data=!4m10!3m9!1s0x864e991f3c0b778b:0x152f7a99789e677b!5m2!4m1!1i2!8m2!3d32.7802579!4d-96.7967836!16s%2Fg%2F11ckqqsks0!19sChIJi3cLPB-ZToYRe2eeeJl6LxU?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.3,1506,+1 214-290-9090,"1700 Commerce St, Dallas, TX 75201, United States",hilton.com
DoubleTree by Hilton Hotel Dallas Near the Galleria,https://www.google.com/maps/place/DoubleTree+by+Hilton+Hotel+Dallas+Near+the+Galleria/data=!4m10!3m9!1s0x864c2731c4c281a9:0x7eb1b2f358afd097!5m2!4m1!1i2!8m2!3d32.926707!4d-96.8427094!16s%2Fg%2F11h11dw0c!19sChIJqYHCxDEnTIYRl9CvWPOysX4?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.1,2293,+1 972-385-9000,"4099 Valley View Ln, Dallas, TX 75244, United States",hilton.com
La Quinta Inn & Suites by Wyndham Dallas Grand Prairie North,https://www.google.com/maps/place/La+Quinta+Inn+%26+Suites+by+Wyndham+Dallas+Grand+Prairie+North/data=!4m10!3m9!1s0x864e84279952ae49:0x1225fc877e275fa6!5m2!4m1!1i2!8m2!3d32.7613774!4d-97.006741!16s%2Fg%2F11c4bgn_zw!19sChIJSa5SmSeEToYRpl8nfof8JRI?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.3,1015,+1 469-999-0875,"380 E Palace Pkwy, Grand Prairie, TX 75050, United States",wyndhamhotels.com
Fairmont Dallas,https://www.google.com/maps/place/Fairmont+Dallas/data=!4m10!3m9!1s0x864e9923150e9fcd:0xb0a6805fc3f84df0!5m2!4m1!1i2!8m2!3d32.7857161!4d-96.8017967!16s%2Fg%2F1ydpgtsy6!19sChIJzZ8OFSOZToYR8E34w1-AprA?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.3,4317,+1 214-720-2020,"1717 N Akard St, Dallas, TX 75201, United States",fairmont.com
"Crowne Plaza Dallas Downtown, an IHG Hotel","https://www.google.com/maps/place/Crowne+Plaza+Dallas+Downtown,+an+IHG+Hotel/data=!4m10!3m9!1s0x864e9917f3d6cc99:0xb8ae21cdcc403d2d!5m2!4m1!1i2!8m2!3d32.7808613!4d-96.8035776!16s%2Fg%2F1tgjlp_h!19sChIJmczW8xeZToYRLT1AzM0hrrg?authuser=0&hl=en&rclk=1",Hotels in Dallas Texas,2.6,27,+1 214-742-5678,"1015 Elm St, Dallas, TX 75202, United States",ihg.com
Sonesta Select Dallas Central Expressway,https://www.google.com/maps/place/Sonesta+Select+Dallas+Central+Expressway/data=!4m10!3m9!1s0x864e9fe7860917eb:0xc1c60ca8edc69d54!5m2!4m1!1i2!8m2!3d32.8868976!4d-96.7709839!16s%2Fm%2F0nbyn6c!19sChIJ6xcJhuefToYRVJ3G7agMxsE?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.1,863,+1 214-739-2500,"10325 N Central Expy, Dallas, TX 75231, United States",sonesta.com
CANVAS Hotel,https://www.google.com/maps/place/CANVAS+Hotel/data=!4m10!3m9!1s0x864e9903a28101c7:0x159c624b5cd894ff!5m2!4m1!1i2!8m2!3d32.7677637!4d-96.7960809!16s%2Fg%2F1hf2l60zq!19sChIJxwGBogOZToYR_5TYXEtinBU?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.1,2750,+1 214-421-1080,"1325 Botham Jean Blvd, Dallas, TX 75215, United States",canvashoteldallas.com
"The Ritz-Carlton, Dallas","https://www.google.com/maps/place/The+Ritz-Carlton,+Dallas/data=!4m10!3m9!1s0x864e993ab2550cdb:0x10eb43442590ee74!5m2!4m1!1i2!8m2!3d32.7922402!4d-96.8033716!16s%2Fg%2F1hc1q7bhc!19sChIJ2wxVsjqZToYRdO6QJURD6xA?authuser=0&hl=en&rclk=1",Hotels in Dallas Texas,4.7,1847,+1 214-922-0200,"2121 McKinney Ave, Dallas, TX 75201, United States",ritzcarlton.com
Comfort Suites NW Dallas Near Love Field,https://www.google.com/maps/place/Comfort+Suites+NW+Dallas+Near+Love+Field/data=!4m10!3m9!1s0x864e9d124afa44c5:0x993235f0be247ae1!5m2!4m1!1i2!8m2!3d32.8627413!4d-96.891477!16s%2Fg%2F11h7cm7943!19sChIJxUT6ShKdToYR4XokvvA1Mpk?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,3.7,638,+1 214-350-4011,"2287 W Northwest Hwy, Dallas, TX 75220, United States",choicehotels.com
Dallas Love Field Inn,https://www.google.com/maps/place/Dallas+Love+Field+Inn/data=!4m10!3m9!1s0x864e9df28b0a54b1:0x173e24bf7ce92d64!5m2!4m1!1i2!8m2!3d32.8259763!4d-96.8647237!16s%2Fg%2F11gy8qd9dy!19sChIJsVQKi_KdToYRZC3pfL8kPhc?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,2.4,977,+1 214-638-5151,"1550 Empire Central Dr, Dallas, TX 75235, United States",dallaslovefieldinn.us
"Holiday Inn Express & Suites Dallas East - Fair Park, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Dallas+East+-+Fair+Park,+an+IHG+Hotel/data=!4m10!3m9!1s0x864ea3c5a7252721:0xaa9e3adff9af1a08!5m2!4m1!1i2!8m2!3d32.79653!4d-96.69417!16s%2Fg%2F1v2jdb0q!19sChIJISclp8WjToYRCBqv-d86nqo?authuser=0&hl=en&rclk=1",Hotels in Dallas Texas,3.7,991,+1 214-660-0006,"8703 E R L Thornton Fwy, Dallas, TX 75228, United States",ihg.com
The Joule,https://www.google.com/maps/place/The+Joule/data=!4m10!3m9!1s0x864e9918c785c69f:0xe229195bef99dbd6!5m2!4m1!1i2!8m2!3d32.7805917!4d-96.7984722!16s%2Fm%2F03c7ls6!19sChIJn8aFxxiZToYR1tuZ71sZKeI?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.5,1614,+1 214-748-1300,"1530 Main St, Dallas, TX 75201, United States",thejouledallas.com
The Kimpton Pittman Hotel,https://www.google.com/maps/place/The+Kimpton+Pittman+Hotel/data=!4m10!3m9!1s0x864e99a7c254d91f:0x58991e603d84abf6!5m2!4m1!1i2!8m2!3d32.7842277!4d-96.7871953!16s%2Fg%2F11hfb9zl75!19sChIJH9lUwqeZToYR9quEPWAemVg?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.4,590,+1 469-498-2500,"2551 Elm St, Dallas, TX 75226, United States",pittmanhoteldallas.com
Quality Inn & Suites Dallas-Cityplace,https://www.google.com/maps/place/Quality+Inn+%26+Suites+Dallas-Cityplace/data=!4m10!3m9!1s0x864e9ff0eaf94d1d:0x4a17dec4db160cb2!5m2!4m1!1i2!8m2!3d32.8148295!4d-96.7892112!16s%2Fg%2F11mvg6p9p6!19sChIJHU356vCfToYRsgwW28TeF0o?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,3.3,201,+1 214-827-6080,"4150 N Central Expy, Dallas, TX 75204, United States",choicehotels.com
Holiday Inn Express Dallas Downtown,https://www.google.com/maps/place/Holiday+Inn+Express+Dallas+Downtown/data=!4m10!3m9!1s0x864e99795b4721b1:0x850e043090af6435!5m2!4m1!1i2!8m2!3d32.7771865!4d-96.8071275!16s%2Fg%2F11tsn5gtcm!19sChIJsSFHW3mZToYRNWSvkDAEDoU?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,3.2,101,+1 888-465-4329,"302 S Houston St, Dallas, TX 75202, United States",ihg.com
Hilton Garden Inn Downtown Dallas,https://www.google.com/maps/place/Hilton+Garden+Inn+Downtown+Dallas/data=!4m10!3m9!1s0x864e99189fb84a39:0xd42ded7912bd35ea!5m2!4m1!1i2!8m2!3d32.7821357!4d-96.7989842!16s%2Fg%2F11bw4mj0zf!19sChIJOUq4nxiZToYR6jW9EnntLdQ?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.2,1588,+1 214-299-8982,"1600 Pacific Ave, Dallas, TX 75201, United States",hilton.com
Hyatt Regency Dallas,https://www.google.com/maps/place/Hyatt+Regency+Dallas/data=!4m10!3m9!1s0x864e9913f6124ce3:0x9f8dfef882a19c8c!5m2!4m1!1i2!8m2!3d32.7756262!4d-96.8095263!16s%2Fm%2F04zvq3d!19sChIJ40wS9hOZToYRjJyhgvj-jZ8?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.5,9321,+1 214-651-1234,"300 Reunion Blvd, Dallas, TX 75207, United States",hyatt.com
The Beeman Hotel,https://www.google.com/maps/place/The+Beeman+Hotel/data=!4m10!3m9!1s0x864e9f0def00ee89:0x432d87dc7004f55a!5m2!4m1!1i2!8m2!3d32.8406167!4d-96.7752613!16s%2Fg%2F11bt_hh3vj!19sChIJie4A7w2fToYRWvUEcNyHLUM?authuser=0&hl=en&rclk=1,Hotels in Dallas Texas,4.0,1894,+1 214-750-6060,"6070 N US, 75 N Central Expy #1000, Dallas, TX 75206, United States",thebeemanhotel.com
