Name,URL,Query,Rating,Reviews,Phone,Address,Website
Best Western Greenfield Inn,https://www.google.com/maps/place/Best+Western+Greenfield+Inn/data=!4m10!3m9!1s0x883b343a9a38bd47:0x581786f249c5eb37!5m2!4m1!1i2!8m2!3d42.282285!4d-83.196491!16s%2Fg%2F1wf22j7j!19sChIJR704mjo0O4gRN-vFSfKGF1g?authuser=0&hl=en&rclk=1,Hotels in Detroit Michigan,4.2,1890,+1 313-271-1600,"3000 Enterprise Dr, Allen Park, MI 48101, United States",bestwestern.com
Comfort Inn & Suites Ambassador Bridge,https://www.google.com/maps/place/Comfort+Inn+%26+Suites+Ambassador+Bridge/data=!4m10!3m9!1s0x883b2dc56ac4aa71:0xa51dd488af6ff5c0!5m2!4m1!1i2!8m2!3d42.273113!4d-83.048157!16s%2Fg%2F1tfwl0fv!19sChIJcarEasUtO4gRwPVvr4jUHaU?authuser=0&hl=en&rclk=1,Hotels in Detroit Michigan,3.7,653,+1 519-972-1100,"2330 Huron Church Rd, Windsor, ON N9E 3S6, Canada",choicehotels.com
Comfort Inn Downtown,https://www.google.com/maps/place/Comfort+Inn+Downtown/data=!4m10!3m9!1s0x883b2cd2897e1f23:0xa8da47fd5aae4c82!5m2!4m1!1i2!8m2!3d42.3370254!4d-83.0267375!16s%2Fg%2F1td3m7xh!19sChIJIx9-idIsO4gRgkyuWv1H2qg?authuser=0&hl=en&rclk=1,Hotels in Detroit Michigan,3.7,1001,+1 313-960-7697,"1999 E Jefferson Ave, Detroit, MI 48207, United States",choicehotels.com
Hilton Garden Inn Detroit Downtown,https://www.google.com/maps/place/Hilton+Garden+Inn+Detroit+Downtown/data=!4m10!3m9!1s0x883b2d2e744edff9:0x5a107c0e75154fe0!5m2!4m1!1i2!8m2!3d42.3359147!4d-83.0450445!16s%2Fg%2F1whdk06_!19sChIJ-d9OdC4tO4gR4E8VdQ58EFo?authuser=0&hl=en&rclk=1,Hotels in Detroit Michigan,4.1,1752,+1 313-967-0900,"351 Gratiot Ave, Detroit, MI 48226, United States",hilton.com
Fort Pontchartrain a Wyndham Hotel,https://www.google.com/maps/place/Fort+Pontchartrain+a+Wyndham+Hotel/data=!4m10!3m9!1s0x883b2d3b1846961f:0xcb7d6ba50bb7f844!5m2!4m1!1i2!8m2!3d42.328061!4d-83.047581!16s%2Fm%2F02v_18v!19sChIJH5ZGGDstO4gRRPi3C6Vrfcs?authuser=0&hl=en&rclk=1,Hotels in Detroit Michigan,4.0,3877,+1 313-965-0200,"2 Washington Blvd, Detroit, MI 48226, United States",fpwyndham.com
Baymont by Wyndham Downtown Detroit,https://www.google.com/maps/place/Baymont+by+Wyndham+Downtown+Detroit/data=!4m10!3m9!1s0x8824d335875a4051:0x8ed9571ccb7ad296!5m2!4m1!1i2!8m2!3d42.341326!4d-83.0147785!16s%2Fg%2F11dfj3vrt9!19sChIJUUBahzXTJIgRltJ6yxxX2Y4?authuser=0&hl=en&rclk=1,Hotels in Detroit Michigan,2.7,976,+1 313-568-2000,"Parking lot, 3250 E Jefferson Ave, Detroit, MI 48207, United States",wyndhamhotels.com
Hotel Saint Regis Detroit,https://www.google.com/maps/place/Hotel+Saint+Regis+Detroit/data=!4m10!3m9!1s0x8824d29c93f75761:0x25b6ef58bd956fb0!5m2!4m1!1i2!8m2!3d42.3702187!4d-83.0746905!16s%2Fm%2F0hr0jtc!19sChIJYVf3k5zSJIgRsG-VvVjvtiU?authuser=0&hl=en&rclk=1,Hotels in Detroit Michigan,3.4,1281,+1 313-873-3000,"3071 W Grand Blvd, Detroit, MI 48202, United States",hotelstregisdetroit.com
Hollywood Casino at Greektown,https://www.google.com/maps/place/Hollywood+Casino+at+Greektown/data=!4m10!3m9!1s0x883b2d2bfa8d6e29:0x8599f12988e72701!5m2!4m1!1i2!8m2!3d42.3359559!4d-83.0409756!16s%2Fg%2F1hhnq6p0q!19sChIJKW6N-istO4gRASfniCnxmYU?authuser=0&hl=en&rclk=1,Hotels in Detroit Michigan,4.3,2488,+1 313-223-2999,"1200 St Antoine, Detroit, MI 48226, United States",hollywoodgreektown.com
"Hotel Indigo Detroit Downtown, an IHG Hotel","https://www.google.com/maps/place/Hotel+Indigo+Detroit+Downtown,+an+IHG+Hotel/data=!4m10!3m9!1s0x883b2d3099966a4b:0xf3c4124721bee2c6!5m2!4m1!1i2!8m2!3d42.3313963!4d-83.0505586!16s%2Fg%2F1ydp2p8ln!19sChIJS2qWmTAtO4gRxuK-IUcSxPM?authuser=0&hl=en&rclk=1",Hotels in Detroit Michigan,3.7,2275,+1 313-887-7000,"1020 Washington Blvd, Detroit, MI 48226, United States",ihg.com
MotorCity Casino Hotel,https://www.google.com/maps/place/MotorCity+Casino+Hotel/data=!4m10!3m9!1s0x883b2d4d71da8bb1:0xe4a8072514ccbe55!5m2!4m1!1i2!8m2!3d42.3388889!4d-83.0677778!16zL20vMDdtMmN3!19sChIJsYvacU0tO4gRVb7MFCUHqOQ?authuser=0&hl=en&rclk=1,Hotels in Detroit Michigan,4.2,23511,+1 866-782-9622,"2901 Grand River Ave, Detroit, MI 48201, United States",motorcitycasino.com
