Name,URL,Query,Rating,Reviews,Phone,Address,Website
Comfort Inn & Suites SW Houston Sugarland,https://www.google.com/maps/place/Comfort+Inn+%26+Suites+SW+Houston+Sugarland/data=!4m10!3m9!1s0x8640e8086ca548b1:0x477dd129975bfff8!5m2!4m1!1i2!8m2!3d29.6599571!4d-95.5603875!16s%2Fg%2F11gfdd2flk!19sChIJsUilbAjoQIYR-P9blynRfUc?authuser=0&hl=en&rclk=1,Hotels in Houston Texas,3.2,696,+1 281-568-6969,"11050 Southwest Fwy, Houston, TX 77074, United States",choicehotels.com
Hyatt Place Houston-North,https://www.google.com/maps/place/Hyatt+Place+Houston-North/data=!4m10!3m9!1s0x8640c9e4f49ef8b5:0xf3224340b2d84e66!5m2!4m1!1i2!8m2!3d29.9421211!4d-95.4004588!16s%2Fg%2F1thhkx8v!19sChIJtfie9OTJQIYRZk7YskBDIvM?authuser=0&hl=en&rclk=1,Hotels in Houston Texas,3.5,1186,+1 281-820-6060,"300 United Leuva Cir, Houston, TX 77060, United States",hyatt.com
"C. Baldwin, Curio Collection by Hilton","https://www.google.com/maps/place/C.+Baldwin,+Curio+Collection+by+Hilton/data=!4m10!3m9!1s0x8640bf2aea0cd1e5:0x3dbeaa9ec8bcf405!5m2!4m1!1i2!8m2!3d29.7578478!4d-95.3710462!16s%2Fg%2F11h79zknr5!19sChIJ5dEM6iq_QIYRBfS8yJ6qvj0?authuser=0&hl=en&rclk=1",Hotels in Houston Texas,3.9,1150,+1 713-759-0202,"400 Dallas St, Houston, TX 77002, United States",cbaldwinhotel.com
Marriott Marquis Houston,https://www.google.com/maps/place/Marriott+Marquis+Houston/data=!4m10!3m9!1s0x8640bf23daf96abd:0xf5e981232fe0153f!5m2!4m1!1i2!8m2!3d29.7544464!4d-95.3581201!16s%2Fm%2F0115mp6j!19sChIJvWr52iO_QIYRPxXgLyOB6fU?authuser=0&hl=en&rclk=1,Hotels in Houston Texas,4.4,7335,+1 713-654-1777,"1777 Walker St, Houston, TX 77010, United States",marriott.com
Four Seasons Hotel Houston,https://www.google.com/maps/place/Four+Seasons+Hotel+Houston/data=!4m10!3m9!1s0x8640bf3ccb93f8df:0x39513e6e7aa51dc7!5m2!4m1!1i2!8m2!3d29.7538813!4d-95.3624495!16s%2Fm%2F02wcd6_!19sChIJ3_iTyzy_QIYRxx2lem4-UTk?authuser=0&hl=en&rclk=1,Hotels in Houston Texas,4.6,2272,+1 713-650-1300,"1300 Lamar St, Houston, TX 77010, United States",fourseasons.com
Days Inn by Wyndham Houston,https://www.google.com/maps/place/Days+Inn+by+Wyndham+Houston/data=!4m10!3m9!1s0x8640c7d9d33548c5:0x7fe8e86a28f7040b!5m2!4m1!1i2!8m2!3d29.8177996!4d-95.465174!16s%2Fg%2F11fd4hj4dk!19sChIJxUg109nHQIYRCwT3KGro6H8?authuser=0&hl=en&rclk=1,Hotels in Houston Texas,3.0,687,+1 832-487-0730,"11002 Northwest Fwy, Houston, TX 77092, United States",wyndhamhotels.com
"Club Quarters Hotel Downtown, Houston","https://www.google.com/maps/place/Club+Quarters+Hotel+Downtown,+Houston/data=!4m10!3m9!1s0x8640bf3b2c6cf307:0xe1112db57f6e7067!5m2!4m1!1i2!8m2!3d29.7581031!4d-95.3629262!16s%2Fg%2F1tmqglfc!19sChIJB_NsLDu_QIYRZ3Buf7UtEeE?authuser=0&hl=en&rclk=1",Hotels in Houston Texas,3.9,2409,+1 713-224-6400,"1085 Rusk St, Houston, TX 77002, United States",clubquartershotels.com
"Crowne Plaza Houston Med Ctr-Galleria Area, an IHG Hotel","https://www.google.com/maps/place/Crowne+Plaza+Houston+Med+Ctr-Galleria+Area,+an+IHG+Hotel/data=!4m10!3m9!1s0x8640c0f146beaa15:0xac4cf2898bf06891!5m2!4m1!1i2!8m2!3d29.731392!4d-95.421508!16s%2Fg%2F113hj2r8m!19sChIJFaq-RvHAQIYRkWjwi4nyTKw?authuser=0&hl=en&rclk=1",Hotels in Houston Texas,3.7,2653,+1 713-523-8448,"2712 Southwest Fwy, Houston, TX 77098, United States",ihg.com
"Holiday Inn Houston Downtown, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Houston+Downtown,+an+IHG+Hotel/data=!4m10!3m9!1s0x8640bf3e67ba9c67:0x62bb0ce2f98a4bc5!5m2!4m1!1i2!8m2!3d29.7520923!4d-95.3691598!16s%2Fg%2F1q5bngx1s!19sChIJZ5y6Zz6_QIYRxUuK-eIMu2I?authuser=0&hl=en&rclk=1",Hotels in Houston Texas,4.0,1262,+1 713-658-8888,"1616 Main St, Houston, TX 77002, United States",ihg.com
Days Inn & Suites by Wyndham Downtown/University of Houston,https://www.google.com/maps/place/Days+Inn+%26+Suites+by+Wyndham+Downtown%2FUniversity+of+Houston/data=!4m10!3m9!1s0x8640bf22ce3039d1:0x13b4760823fccda4!5m2!4m1!1i2!8m2!3d29.7110435!4d-95.3108106!16s%2Fg%2F11j4dbmshp!19sChIJ0TkwziK_QIYRpM38Iwh2tBM?authuser=0&hl=en&rclk=1,Hotels in Houston Texas,4.1,447,+1 832-804-7435,"6190 Gulf Fwy, Houston, TX 77023, United States",wyndhamhotels.com
Ramada by Wyndham Houston Intercontinental Airport East,https://www.google.com/maps/place/Ramada+by+Wyndham+Houston+Intercontinental+Airport+East/data=!4m10!3m9!1s0x8640b38d67aba7c7:0x7ff3b6c71f45096a!5m2!4m1!1i2!8m2!3d29.9847729!4d-95.3003676!16s%2Fg%2F1hc4hbljr!19sChIJx6erZ42zQIYRaglFH8e2838?authuser=0&hl=en&rclk=1,Hotels in Houston Texas,3.4,2132,+1 832-412-1358,"6115 Will Clayton Pkwy, Humble, TX 77338, United States",wyndhamhotels.com
Hampton Inn Houston Downtown,https://www.google.com/maps/place/Hampton+Inn+Houston+Downtown/data=!4m10!3m9!1s0x8640bf23f5429d3f:0x52ec6cf1e68c87ee!5m2!4m1!1i2!8m2!3d29.7556479!4d-95.3586369!16s%2Fg%2F11cmd0x8pg!19sChIJP51C9SO_QIYR7oeM5vFs7FI?authuser=0&hl=en&rclk=1,Hotels in Houston Texas,4.2,1150,+1 713-224-0011,"710 Crawford St, Houston, TX 77002, United States",hilton.com
Western Inn Houston,https://www.google.com/maps/place/Western+Inn+Houston/data=!4m10!3m9!1s0x8640b889390b42ab:0x2603dc4fa5310cba!5m2!4m1!1i2!8m2!3d29.8127087!4d-95.3792256!16s%2Fg%2F1tmk8wlp!19sChIJq0ILOYm4QIYRugwxpU_cAyY?authuser=0&hl=en&rclk=1,Hotels in Houston Texas,2.9,867,+1 713-864-7600,"1500 North Loop, Houston, TX 77009, United States",westerninnhouston.com
