Name,URL,Query,Rating,Reviews,Phone,Address,Website
"Holiday Inn Jacksonville E 295 Baymeadows, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Jacksonville+E+295+Baymeadows,+an+IHG+Hotel/data=!4m10!3m9!1s0x88e4353259c55585:0xaf7c364b863bc47f!5m2!4m1!1i2!8m2!3d30.220334!4d-81.512795!16s%2Fg%2F1v1kqp40!19sChIJhVXFWTI15IgRf8Q7hks2fK8?authuser=0&hl=en&rclk=1",Hotels in Jacksonville Florida,4.2,1080,+1 904-854-8000,"11083 Nurseryfields Dr, Jacksonville, FL 32256, United States",ihg.com
"Holiday Inn Express Jacksonville South Bartram Prk, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+Jacksonville+South+Bartram+Prk,+an+IHG+Hotel/data=!4m10!3m9!1s0x88e5ccecad93583d:0x4f14903ae6c6e23d!5m2!4m1!1i2!8m2!3d30.13976!4d-81.543809!16s%2Fg%2F11h714vs29!19sChIJPViTrezM5YgRPeLG5jqQFE8?authuser=0&hl=en&rclk=1",Hotels in Jacksonville Florida,4.4,244,+1 904-337-3310,"13934 Village Lake Cir, Jacksonville, FL 32258, United States",ihg.com
Marriott Jacksonville Downtown,https://www.google.com/maps/place/Marriott+Jacksonville+Downtown/data=!4m10!3m9!1s0x88e5b716c63680e5:0xe10a6260cf5deac2!5m2!4m1!1i2!8m2!3d30.3259472!4d-81.6618889!16s%2Fg%2F1td0z8xv!19sChIJ5YA2xha35YgRwupdz2BiCuE?authuser=0&hl=en&rclk=1,Hotels in Jacksonville Florida,4.1,3366,+1 904-355-6664,"245 Water St, Jacksonville, FL 32202, United States",marriott.com
Wyndham Garden Jacksonville,https://www.google.com/maps/place/Wyndham+Garden+Jacksonville/data=!4m10!3m9!1s0x88e5ca0f00ffcaf9:0x7a0be717dc223ff2!5m2!4m1!1i2!8m2!3d30.2492162!4d-81.5900178!16s%2Fg%2F11c5wyp21_!19sChIJ-cr_AA_K5YgR8j8i3BfnC3o?authuser=0&hl=en&rclk=1,Hotels in Jacksonville Florida,3.5,2106,+1 904-281-0900,"4660 Salisbury Rd, Jacksonville, FL 32256, United States",wyndhamhotels.com
"Holiday Inn Express & Suites Jacksonville - Blount Island, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Jacksonville+-+Blount+Island,+an+IHG+Hotel/data=!4m10!3m9!1s0x88e5b25c352072b5:0x1752837e1d6f64f2!5m2!4m1!1i2!8m2!3d30.4134671!4d-81.56601!16s%2Fg%2F1tg_xxf5!19sChIJtXIgNVyy5YgR8mRvHX6DUhc?authuser=0&hl=en&rclk=1",Hotels in Jacksonville Florida,4.1,845,+1 904-696-3333,"10148 New Berlin Rd, Jacksonville, FL 32226, United States",ihg.com
Margaritaville Beach Hotel - Jacksonville,https://www.google.com/maps/place/Margaritaville+Beach+Hotel+-+Jacksonville/data=!4m10!3m9!1s0x88e449d49157cbdd:0xea8c7486f332372e!5m2!4m1!1i2!8m2!3d30.2955446!4d-81.3905401!16s%2Fg%2F11h135v9kg!19sChIJ3ctXkdRJ5IgRLjcy84Z0jOo?authuser=0&hl=en&rclk=1,Hotels in Jacksonville Florida,4.2,1674,+1 904-222-0222,"715 1st St N, Jacksonville Beach, FL 32250, United States",margaritavilleresorts.com
Hyatt Regency Jacksonville Riverfront,https://www.google.com/maps/place/Hyatt+Regency+Jacksonville+Riverfront/data=!4m10!3m9!1s0x88e5b71bd258d8bd:0xa069f8dc7c6b32d6!5m2!4m1!1i2!8m2!3d30.3241746!4d-81.655438!16s%2Fg%2F11f61588q5!19sChIJvdhY0hu35YgR1jJrfNz4aaA?authuser=0&hl=en&rclk=1,Hotels in Jacksonville Florida,4.3,5541,+1 904-588-1234,"225 E Coastline Dr, Jacksonville, FL 32202, United States",hyatt.com
Southbank Hotel Jacksonville Riverwalk,https://www.google.com/maps/place/Southbank+Hotel+Jacksonville+Riverwalk/data=!4m10!3m9!1s0x88e5b75ae88e9905:0xbf89051613644f13!5m2!4m1!1i2!8m2!3d30.3171412!4d-81.6530358!16s%2Fg%2F11fvy0yz0h!19sChIJBZmO6Fq35YgRE09kExYFib8?authuser=0&hl=en&rclk=1,Hotels in Jacksonville Florida,4.0,2477,+1 904-396-5100,"1515 Prudential Dr, Jacksonville, FL 32207, United States",marriott.com
DoubleTree by Hilton Hotel Jacksonville Riverfront,https://www.google.com/maps/place/DoubleTree+by+Hilton+Hotel+Jacksonville+Riverfront/data=!4m10!3m9!1s0x88e5b71aaec83a75:0xbf933dabb70822e4!5m2!4m1!1i2!8m2!3d30.3198325!4d-81.6579278!16s%2Fg%2F1vnrlv7p!19sChIJdTrIrhq35YgR5CIIt6s9k78?authuser=0&hl=en&rclk=1,Hotels in Jacksonville Florida,3.7,3830,+1 904-398-8800,"1201 Riverplace Blvd, Jacksonville, FL 32207, United States",hilton.com
Hampton Inn Jacksonville Beach/Oceanfront,https://www.google.com/maps/place/Hampton+Inn+Jacksonville+Beach%2FOceanfront/data=!4m10!3m9!1s0x88e4491b2803cce9:0x17510c18ecd9f59f!5m2!4m1!1i2!8m2!3d30.3028409!4d-81.3921276!16s%2Fg%2F11h0nfwn6!19sChIJ6cwDKBtJ5IgRn_XZ7BgMURc?authuser=0&hl=en&rclk=1,Hotels in Jacksonville Florida,4.4,2694,+1 904-241-2311,"1515 1st St N, Jacksonville Beach, FL 32250, United States",hilton.com
