Name,URL,Query,Rating,Reviews,Phone,Address,Website
Hilton Garden Inn Burbank Los Angeles,https://www.google.com/maps/place/Hilton+Garden+Inn+Burbank+Los+Angeles/data=!4m10!3m9!1s0x80c29556872c4149:0xbb7332277d1cd10f!5m2!4m1!1i2!8m2!3d34.178007!4d-118.305662!16s%2Fg%2F11c1sjqwl1!19sChIJSUEsh1aVwoARD9EcfScyc7s?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,4.3,1375,+1 818-509-7964,"401 S San Fernando Blvd, Burbank, CA 91502, United States",hilton.com
Cameo Beverly Hills,https://www.google.com/maps/place/Cameo+Beverly+Hills/data=!4m10!3m9!1s0x80c2bbe3f990ae79:0x8715fc4112b36905!5m2!4m1!1i2!8m2!3d34.055363!4d-118.398486!16s%2Fg%2F1tgp11rb!19sChIJea6Q-eO7woARBWmzEkH8FYc?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,4.4,1333,+1 310-277-2800,"1224 Beverwil Dr, Los Angeles, CA 90035, United States",hilton.com
Freehand Los Angeles,https://www.google.com/maps/place/Freehand+Los+Angeles/data=!4m10!3m9!1s0x80c2c7b58e08cd13:0xb74eac0b89b08e66!5m2!4m1!1i2!8m2!3d34.0447551!4d-118.2564556!16s%2Fg%2F11g5_4ygmv!19sChIJE80IjrXHwoARZo6wiQusTrc?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,4.1,2828,+1 213-612-0021,"416 W 8th St, Los Angeles, CA 90014, United States",freehandhotels.com
Hollywood Inn Suites Hotel,https://www.google.com/maps/place/Hollywood+Inn+Suites+Hotel/data=!4m10!3m9!1s0x80c2ca0c12bae2cb:0x1c22fe4d14f083c9!5m2!4m1!1i2!8m2!3d33.9161455!4d-118.2930949!16s%2Fg%2F11gfj6p20j!19sChIJy-K6EgzKwoARyYPwFE3-Ihw?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,3.8,832,+1 424-266-9450,"1030 W El Segundo Blvd, Gardena, CA 90247, United States",hollywoodsuiteshotel.com
Samesun Hollywood,https://www.google.com/maps/place/Samesun+Hollywood/data=!4m10!3m9!1s0x80c2bf23ec6ab3db:0x46172ca8a45f7ba2!5m2!4m1!1i2!8m2!3d34.1014!4d-118.3393841!16s%2Fg%2F11bxjqmpyr!19sChIJ27Nq7CO_woARontfpKgsF0Y?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,4.0,1271,+1 323-463-2750,"6820 Hollywood Blvd, Los Angeles, CA 90028, United States",samesun.com
DoubleTree by Hilton Hotel Los Angeles Downtown,https://www.google.com/maps/place/DoubleTree+by+Hilton+Hotel+Los+Angeles+Downtown/data=!4m10!3m9!1s0x80c2c648f6582865:0x221ea8adb55c2fb5!5m2!4m1!1i2!8m2!3d34.0503519!4d-118.242768!16s%2Fm%2F05c2m9f!19sChIJZShY9kjGwoARtS9cta2oHiI?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,4.0,3187,+1 213-629-1200,"120 S Los Angeles St, Los Angeles, CA 90012, United States",hilton.com
Samesun Venice Beach,https://www.google.com/maps/place/Samesun+Venice+Beach/data=!4m10!3m9!1s0x80c2bab9b473b88b:0x58cf68be60e0f119!5m2!4m1!1i2!8m2!3d33.9873005!4d-118.4733034!16s%2Fg%2F1tgywzr1!19sChIJi7hztLm6woARGfHgYL5oz1g?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,4.1,947,+1 310-399-7649,"25 Windward Ave, Venice, CA 90291, United States",samesun.com
HI Los Angeles Santa Monica Hostel,https://www.google.com/maps/place/HI+Los+Angeles+Santa+Monica+Hostel/data=!4m10!3m9!1s0x80c2a4d03b9d770b:0x3bc48de3c7234862!5m2!4m1!1i2!8m2!3d34.013834!4d-118.4963621!16s%2Fg%2F1tjbsfbc!19sChIJC3edO9CkwoARYkgjx-ONxDs?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,4.4,1347,+1 310-393-9913,"1436 2nd St, Santa Monica, CA 90401, United States",hiusa.org
Comfort Inn Los Angeles near Hollywood,https://www.google.com/maps/place/Comfort+Inn+Los+Angeles+near+Hollywood/data=!4m10!3m9!1s0x80c2c715e52f84d1:0xe975b0a5518ea0ac!5m2!4m1!1i2!8m2!3d34.0810769!4d-118.2703706!16s%2Fg%2F1tnhylrh!19sChIJ0YQv5RXHwoARrKCOUaWwdek?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,3.7,642,+1 213-413-8222,"2717 Sunset Blvd, Los Angeles, CA 90026, United States",choicehotels.com
"Holiday Inn Los Angeles - LAX Airport, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Los+Angeles+-+LAX+Airport,+an+IHG+Hotel/data=!4m10!3m9!1s0x80c2b6dd0b0ec81f:0xa3499ea795552b53!5m2!4m1!1i2!8m2!3d33.946201!4d-118.370919!16s%2Fg%2F1tg9sz0g!19sChIJH8gOC922woARUytVlaeeSaM?authuser=0&hl=en&rclk=1",Hotels in Los Angeles California,3.6,4168,+1 310-649-5151,"9901 S La Cienega Blvd, Los Angeles, CA 90045, United States",ihg.com
City Center Hotel,https://www.google.com/maps/place/City+Center+Hotel/data=!4m10!3m9!1s0x80c2c7baa3271b05:0x1333681672be917e!5m2!4m1!1i2!8m2!3d34.051506!4d-118.2649994!16s%2Fg%2F1hcbkks_n!19sChIJBRsno7rHwoARfpG-chZoMxM?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,2.6,717,+1 213-627-2581,"1135 W 7th St, Los Angeles, CA 90017, United States",citycenterlosangeles.info
The American Hotel,https://www.google.com/maps/place/The+American+Hotel/data=!4m10!3m9!1s0x80c2c6396708b377:0xe6e0e83073f9c452!5m2!4m1!1i2!8m2!3d34.0452162!4d-118.2362774!16s%2Fg%2F11c0xdhqz4!19sChIJd7MIZznGwoARUsT5czDo4OY?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,4.0,457,+1 213-545-4695,"303 S Hewitt St, Los Angeles, CA 90013, United States",americanhotella.com
Ramada by Wyndham Hawthorne/LA Stadium,https://www.google.com/maps/place/Ramada+by+Wyndham+Hawthorne%2FLA+Stadium/data=!4m10!3m9!1s0x80c2b6a1a6f36565:0x2542061173431732!5m2!4m1!1i2!8m2!3d33.916065!4d-118.3720833!16s%2Fg%2F1hc6ly1jy!19sChIJZWXzpqG2woARMhdDcxEGQiU?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,2.6,1524,+1 424-255-4745,"5250 W El Segundo Blvd, Hawthorne, CA 90250, United States",wyndhamhotels.com
Conrad Los Angeles,https://www.google.com/maps/place/Conrad+Los+Angeles/data=!4m10!3m9!1s0x80c2c64d960506bb:0x92a0c80de77ecd4e!5m2!4m1!1i2!8m2!3d34.0551769!4d-118.2485837!16s%2Fg%2F11rn7k5v2m!19sChIJuwYFlk3GwoARTs1-5w3IoJI?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,4.6,641,+1 213-349-8585,"100 S Grand Ave, Los Angeles, CA 90012, United States",hilton.com
USC Hotel,https://www.google.com/maps/place/USC+Hotel/data=!4m10!3m9!1s0x80c2c7d67ce0e44b:0x7dc42ec10e7a5d32!5m2!4m1!1i2!8m2!3d34.0192355!4d-118.2813424!16s%2Fg%2F1tgf3h0s!19sChIJS-TgfNbHwoARMl16DsEuxH0?authuser=0&hl=en&rclk=1,Hotels in Los Angeles California,4.3,2159,+1 213-748-4141,"3540 S Figueroa St, Los Angeles, CA 90007, United States",uschotel.usc.edu
