Name,URL,Query,Rating,Reviews,Phone,Address,Website
The Manhattan at Times Square Hotel,https://www.google.com/maps/place/The+Manhattan+at+Times+Square+Hotel/data=!4m10!3m9!1s0x89c258f88254f2c3:0xe0e14597c5400022!5m2!4m1!1i2!8m2!3d40.7622856!4d-73.9826404!16s%2Fg%2F1hhg_3mgs!19sChIJw_JUgvhYwokRIgBAxZdF4eA?authuser=0&hl=en&rclk=1,Hotels in New York New York,3.1,8822,+1 212-581-3300,"790 7th Ave, New York, NY 10019, United States",ihg.com
Hilton Garden Inn Ridgefield Park,https://www.google.com/maps/place/Hilton+Garden+Inn+Ridgefield+Park/data=!4m10!3m9!1s0x89c2f76e8afe51d7:0xe302cc19a817f9eb!5m2!4m1!1i2!8m2!3d40.8520125!4d-74.0137494!16s%2Fg%2F1th57y53!19sChIJ11H-im73wokR6_kXqBnMAuM?authuser=0&hl=en&rclk=1,Hotels in New York New York,4.1,1405,+1 201-641-2024,"70 Challenger Rd, Ridgefield Park, NJ 07660, United States",hilton.com
U.S. Pacific Hotel,https://www.google.com/maps/place/U.S.+Pacific+Hotel/data=!4m10!3m9!1s0x89c2598805fff559:0xefc3ddbba7698eaa!5m2!4m1!1i2!8m2!3d40.7179141!4d-73.9953772!16s%2Fg%2F1tjh08s8!19sChIJWfX_BYhZwokRqo5pp7vdw-8?authuser=0&hl=en&rclk=1,Hotels in New York New York,3.2,540,+1 212-226-0300,"106 Bowery, New York, NY 10013, United States",uspacifichotel.com
Hyatt Grand Central New York,https://www.google.com/maps/place/Hyatt+Grand+Central+New+York/data=!4m10!3m9!1s0x89c259022d712db1:0x500317cc3cc9f519!5m2!4m1!1i2!8m2!3d40.7520617!4d-73.9762995!16s%2Fm%2F09rtmvv!19sChIJsS1xLQJZwokRGfXJPMwXA1A?authuser=0&hl=en&rclk=1,Hotels in New York New York,4.1,7961,+1 212-883-1234,"at Grand Central Terminal, 109 E 42nd St, New York, NY 10017, United States",hyatt.com
31 Street Broadway Hotel,https://www.google.com/maps/place/31+Street+Broadway+Hotel/data=!4m10!3m9!1s0x89c25980c90c93d7:0xcb0f33c059c23944!5m2!4m1!1i2!8m2!3d40.747211!4d-73.9878074!16s%2Fg%2F11pwh57g55!19sChIJ15MMyYBZwokRRDnCWcAzD8s?authuser=0&hl=en&rclk=1,Hotels in New York New York,2.7,331,+1 516-770-8751,"38 W 31st St #110, New York, NY 10001, United States",31streetbroadwayhotel.com
Sheraton New York Times Square Hotel,https://www.google.com/maps/place/Sheraton+New+York+Times+Square+Hotel/data=!4m10!3m9!1s0x89c258f88254f2c3:0xc307e150c50c51f7!5m2!4m1!1i2!8m2!3d40.7623861!4d-73.9820188!16s%2Fm%2F065y05x!19sChIJw_JUgvhYwokR91EMxVDhB8M?authuser=0&hl=en&rclk=1,Hotels in New York New York,3.9,10495,+1 212-581-1000,"811 7th Avenue, W 53rd St, New York, NY 10019, United States",marriott.com
The New Yorker Hotel,https://www.google.com/maps/place/The+New+Yorker+Hotel/data=!4m10!3m9!1s0x89c259b5a9bd152b:0x31453e62a3be9f76!5m2!4m1!1i2!8m2!3d40.7526686!4d-73.9935648!16zL20vMGM3aHE5!19sChIJKxW9qbVZwokRdp--o2I-RTE?authuser=0&hl=en&rclk=1,Hotels in New York New York,3.9,10409,+1 888-539-3660,"481 8th Ave, New York, NY 10001, United States",newyorkerhotel.com
HI New York City Hostel,https://www.google.com/maps/place/HI+New+York+City+Hostel/data=!4m10!3m9!1s0x89c2f6246837073b:0xc9dcfc4023c86664!5m2!4m1!1i2!8m2!3d40.7986629!4d-73.966588!16s%2Fg%2F1wk7rt2b!19sChIJOwc3aCT2wokRZGbII0D83Mk?authuser=0&hl=en&rclk=1,Hotels in New York New York,4.4,4228,+1 212-932-2300,"891 Amsterdam Ave, New York, NY 10025, United States",hiusa.org
The Jane Hotel,https://www.google.com/maps/place/The+Jane+Hotel/data=!4m10!3m9!1s0x89c259955a4f5839:0x31c1bad4b65ed0c5!5m2!4m1!1i2!8m2!3d40.7383!4d-74.0094167!16s%2Fm%2F02rr_xf!19sChIJOVhPWpVZwokRxdBettS6wTE?authuser=0&hl=en&rclk=1,Hotels in New York New York,3.7,2005,+1 888-539-8504,"113 Jane St, New York, NY 10014, United States",thejanenyc.xyz
Best Western Jamaica Inn,https://www.google.com/maps/place/Best+Western+Jamaica+Inn/data=!4m10!3m9!1s0x89c260c75cadde9d:0x9dcb7f0d2834fb13!5m2!4m1!1i2!8m2!3d40.7058719!4d-73.8173264!16s%2Fg%2F1ty755gr!19sChIJnd6tXMdgwokRE_s0KA1_y50?authuser=0&hl=en&rclk=1,Hotels in New York New York,3.8,1029,+1 718-291-7500,"8707 Van Wyck Expy, Jamaica, NY 11435, United States",bestwestern.com
TRYP by Wyndham New York City Times Square South,https://www.google.com/maps/place/TRYP+by+Wyndham+New+York+City+Times+Square+South/data=!4m10!3m9!1s0x89c259ad8844594f:0x1aa12867cdb592ca!5m2!4m1!1i2!8m2!3d40.7537791!4d-73.9946197!16s%2Fg%2F1hm58br6y!19sChIJT1lEiK1ZwokRypK1zWcooRo?authuser=0&hl=en&rclk=1,Hotels in New York New York,3.6,2255,+1 212-600-2440,"345 W 35th St, New York, NY 10001, United States",wyndhamhotels.com
"Holiday Inn New York City - Wall Street, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+New+York+City+-+Wall+Street,+an+IHG+Hotel/data=!4m10!3m9!1s0x89c25a178668323d:0x3a5876067336e3e7!5m2!4m1!1i2!8m2!3d40.7089767!4d-74.0091231!16s%2Fg%2F1tdfp5ds!19sChIJPTJohhdawokR5-M2cwZ2WDo?authuser=0&hl=en&rclk=1",Hotels in New York New York,3.7,891,+1 212-227-3007,"51 Nassau St, New York, NY 10038, United States",ihg.com
DoubleTree by Hilton New York Downtown,https://www.google.com/maps/place/DoubleTree+by+Hilton+New+York+Downtown/data=!4m10!3m9!1s0x89c25a13f622f7d1:0xcdb7c0d4857d5425!5m2!4m1!1i2!8m2!3d40.703921!4d-74.0123541!16s%2Fg%2F11_t2ggw8!19sChIJ0fci9hNawokRJVR9hdTAt80?authuser=0&hl=en&rclk=1,Hotels in New York New York,3.7,3383,+1 212-480-9100,"8 Stone St, New York, NY 10004, United States",hilton.com
