Name,URL,Query,Rating,Reviews,Phone,Address,Website
Delta Hotel Philadelphia Airport,https://www.google.com/maps/place/Delta+Hotel+Philadelphia+Airport/data=!4m10!3m9!1s0x89c6c33e281f9d11:0x6b02a2e29478108d!5m2!4m1!1i2!8m2!3d39.87309!4d-75.274797!16s%2Fg%2F1tj9v8wk!19sChIJEZ0fKD7DxokRjRB4lOKiAms?authuser=0&hl=en&rclk=1,Hotels in Philadelphia Pennsylvania,3.7,2872,+1 610-521-5900,"500 Stevens Dr, Philadelphia, PA 19113, United States",marriott.com
"Holiday Inn Express & Suites Ft. Washington - Philadelphia, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Ft.+Washington+-+Philadelphia,+an+IHG+Hotel/data=!4m10!3m9!1s0x89c6bb04bf34ff9d:0x6629cfb90e9f7c28!5m2!4m1!1i2!8m2!3d40.134736!4d-75.20842!16s%2Fg%2F1td2vk90!19sChIJnf80vwS7xokRKHyfDrnPKWY?authuser=0&hl=en&rclk=1",Hotels in Philadelphia Pennsylvania,4.5,1330,+1 215-591-9000,"432 Pennsylvania Ave, Fort Washington, PA 19034, United States",ihg.com
Courtyard Philadelphia City Avenue,https://www.google.com/maps/place/Courtyard+Philadelphia+City+Avenue/data=!4m10!3m9!1s0x89c6b882f1f974e3:0xe4045110e948b0cb!5m2!4m1!1i2!8m2!3d40.0068386!4d-75.2108147!16s%2Fg%2F11c49_svnr!19sChIJ43T58YK4xokRy7BI6RBRBOQ?authuser=0&hl=en&rclk=1,Hotels in Philadelphia Pennsylvania,4.2,2086,+1 215-477-0200,"4100 Presidential Blvd, Philadelphia, PA 19131, United States",marriott.com
Hampton Inn Philadelphia Center City-Convention Center,https://www.google.com/maps/place/Hampton+Inn+Philadelphia+Center+City-Convention+Center/data=!4m10!3m9!1s0x89c6c62c7db92873:0x1a2bae2f8768613!5m2!4m1!1i2!8m2!3d39.9562836!4d-75.1607484!16s%2Fg%2F1tgf8r7b!19sChIJcyi5fSzGxokRE4Z2-OK6ogE?authuser=0&hl=en&rclk=1,Hotels in Philadelphia Pennsylvania,3.9,2820,+1 215-665-9100,"1301 Race St, Philadelphia, PA 19107, United States",hilton.com
Four Seasons Hotel Philadelphia at Comcast Center,https://www.google.com/maps/place/Four+Seasons+Hotel+Philadelphia+at+Comcast+Center/data=!4m10!3m9!1s0x89c6c633b0fb45df:0xd7222e61f50d95f1!5m2!4m1!1i2!8m2!3d39.9563052!4d-75.1707254!16s%2Fg%2F1tds7nkh!19sChIJ30X7sDPGxokR8ZUN9WEuItc?authuser=0&hl=en&rclk=1,Hotels in Philadelphia Pennsylvania,4.7,922,+1 215-419-5000,"One N 19th St, Philadelphia, PA 19103, United States",fourseasons.com
Sonesta Philadelphia Rittenhouse Square,https://www.google.com/maps/place/Sonesta+Philadelphia+Rittenhouse+Square/data=!4m10!3m9!1s0x89c6c631197ae04b:0xce885925f1b275b5!5m2!4m1!1i2!8m2!3d39.9529083!4d-75.1705983!16s%2Fg%2F11h0wjy_v!19sChIJS-B6GTHGxokRtXWy8SVZiM4?authuser=0&hl=en&rclk=1,Hotels in Philadelphia Pennsylvania,4.2,2813,+1 215-561-7500,"1800 Market St, Philadelphia, PA 19103, United States",sonesta.com
"Holiday Inn Express Philadelphia - Penns Landing, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+Philadelphia+-+Penns+Landing,+an+IHG+Hotel/data=!4m10!3m9!1s0x89c6c91b9add418b:0xc07c8280e45b437e!5m2!4m1!1i2!8m2!3d39.9526248!4d-75.1403596!16s%2Fg%2F126091h04!19sChIJi0HdmhvJxokRfkNb5ICCfMA?authuser=0&hl=en&rclk=1",Hotels in Philadelphia Pennsylvania,4.1,1775,+1 215-627-7900,"100 N Christopher Columbus Blvd, Philadelphia, PA 19106, United States",ihg.com
Cambria Hotel Philadelphia Downtown Center City,https://www.google.com/maps/place/Cambria+Hotel+Philadelphia+Downtown+Center+City/data=!4m10!3m9!1s0x89c6c625655798fd:0x43a9f5358814b9c1!5m2!4m1!1i2!8m2!3d39.9486274!4d-75.164198!16s%2Fg%2F11df154kkl!19sChIJ_ZhXZSXGxokRwbkUiDX1qUM?authuser=0&hl=en&rclk=1,Hotels in Philadelphia Pennsylvania,4.1,1372,+1 215-732-5500,"219 S Broad St, Philadelphia, PA 19107, United States",choicehotels.com
Motto By Hilton Philadelphia Rittenhouse Square,https://www.google.com/maps/place/Motto+By+Hilton+Philadelphia+Rittenhouse+Square/data=!4m10!3m9!1s0x89c6c6312b3abc99:0xac7e0176d20fce6c!5m2!4m1!1i2!8m2!3d39.9524705!4d-75.1716262!16s%2Fg%2F11hzn4_6dk!19sChIJmbw6KzHGxokRbM4P0nYBfqw?authuser=0&hl=en&rclk=1,Hotels in Philadelphia Pennsylvania,4.0,1020,+1 267-494-0440,"31 S 19th St, Philadelphia, PA 19103, United States",hilton.com
Days Inn by Wyndham Philadelphia Convention Center,https://www.google.com/maps/place/Days+Inn+by+Wyndham+Philadelphia+Convention+Center/data=!4m10!3m9!1s0x89c6c62b80cd0b6b:0x5b6e7a28ab74c92b!5m2!4m1!1i2!8m2!3d39.9561243!4d-75.160211!16s%2Fg%2F1tdx0hk_!19sChIJawvNgCvGxokRK8l0qyh6bls?authuser=0&hl=en&rclk=1,Hotels in Philadelphia Pennsylvania,3.2,863,+1 215-209-3705,"1227 Race St, Philadelphia, PA 19107, United States",wyndhamhotels.com
