Name,URL,Query,Rating,Reviews,Phone,Address,Website
San Francisco Proper,https://www.google.com/maps/place/San+Francisco+Proper/data=!4m10!3m9!1s0x80858084d320efbb:0x2c9693d534f8010b!5m2!4m1!1i2!8m2!3d37.780882!4d-122.412673!16s%2Fg%2F11c6sr5p8l!19sChIJu-8g04SAhYARCwH4NNWTliw?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,4.3,1034,+1 415-735-7777,"Hotel Entrance is at, 1100 Market Street, 45 McAllister St, San Francisco, CA 94102, United States",properhotel.com
"Hotel Adagio, Autograph Collection","https://www.google.com/maps/place/Hotel+Adagio,+Autograph+Collection/data=!4m10!3m9!1s0x8085808e2128e847:0xa08014b88b649dc0!5m2!4m1!1i2!8m2!3d37.787047!4d-122.412554!16s%2Fm%2F065sprd!19sChIJR-goIY6AhYARwJ1ki7gUgKA?authuser=0&hl=en&rclk=1",Hotels in San Francisco California,4.2,1213,+1 415-775-5000,"550 Geary St, San Francisco, CA 94102, United States",marriott.com
Hilton San Francisco Financial District,https://www.google.com/maps/place/Hilton+San+Francisco+Financial+District/data=!4m10!3m9!1s0x8085808b287f3b3b:0xa49802f84f7ddb35!5m2!4m1!1i2!8m2!3d37.7952284!4d-122.4040729!16s%2Fm%2F06618ms!19sChIJOzt_KIuAhYARNdt9T_gCmKQ?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,3.9,5170,+1 415-433-6600,"750 Kearny St, San Francisco, CA 94108, United States",hilton.com
Hotel Riu Plaza Fisherman´s Wharf,https://www.google.com/maps/place/Hotel+Riu+Plaza+Fisherman%C2%B4s+Wharf/data=!4m10!3m9!1s0x80858177a1112eeb:0x174b910df3197d5b!5m2!4m1!1i2!8m2!3d37.8074145!4d-122.4134809!16s%2Fg%2F11h84y0p_0!19sChIJ6y4RoXeBhYARW30Z8w2RSxc?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,4.0,2569,+1 415-362-5500,"2500 Mason St, San Francisco, CA 94133, United States",riu.com
HI San Francisco Fisherman's Wharf Hostel,https://www.google.com/maps/place/HI+San+Francisco+Fisherman%27s+Wharf+Hostel/data=!4m10!3m9!1s0x808580df609c8e97:0x971283e12dc72627!5m2!4m1!1i2!8m2!3d37.8071101!4d-122.4283307!16s%2Fg%2F1td8zbsc!19sChIJl46cYN-AhYARJybHLeGDEpc?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,4.4,1102,+1 415-771-7277,"Building, 240 Fort Mason, San Francisco, CA 94123, United States",hiusa.org
Chapter San Francisco,https://www.google.com/maps/place/Chapter+San+Francisco/data=!4m10!3m9!1s0x808581fcc6cbd33d:0x1ff05e78e0d7c76a!5m2!4m1!1i2!8m2!3d37.7888178!4d-122.4238468!16s%2Fg%2F11vqz_rb4q!19sChIJPdPLxvyBhYARasfX4Hhe8B8?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,4.4,38,+1 415-416-2437,"1533 Franklin St 2nd Floor, Austin St Entrance, San Francisco, CA 94109, United States",chaptersanfrancisco.com
HI San Francisco Downtown Hostel,https://www.google.com/maps/place/HI+San+Francisco+Downtown+Hostel/data=!4m10!3m9!1s0x8085808f06760a95:0xb105a58abfc5cb37!5m2!4m1!1i2!8m2!3d37.7865146!4d-122.4095313!16s%2Fg%2F1tdlhj77!19sChIJlQp2Bo-AhYARN8vFv4qlBbE?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,4.4,1605,+1 415-788-5604,"312 Mason St, San Francisco, CA 94102, United States",hiusa.org
Hyatt Regency San Francisco,https://www.google.com/maps/place/Hyatt+Regency+San+Francisco/data=!4m10!3m9!1s0x808580614d1f605f:0x84660c500c409d2b!5m2!4m1!1i2!8m2!3d37.7942169!4d-122.3956663!16s%2Fm%2F0b6f64b!19sChIJX2AfTWGAhYARK51ADFAMZoQ?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,4.4,6783,+1 415-788-1234,"5 Embarcadero Ctr, San Francisco, CA 94111, United States",hyatt.com
"Holiday Inn San Francisco-Golden Gateway, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+San+Francisco-Golden+Gateway,+an+IHG+Hotel/data=!4m10!3m9!1s0x808580953b304983:0xf80b9c8c620e6b91!5m2!4m1!1i2!8m2!3d37.7898079!4d-122.4219471!16s%2Fm%2F04fjw2v!19sChIJg0kwO5WAhYARkWsOYoycC_g?authuser=0&hl=en&rclk=1",Hotels in San Francisco California,4.1,3546,+1 415-441-4000,"1500 Van Ness Ave, San Francisco, CA 94109, United States",ihg.com
Hotel Vertigo,https://www.google.com/maps/place/Hotel+Vertigo/data=!4m10!3m9!1s0x80858093cbe38b87:0xf7af20400256abc8!5m2!4m1!1i2!8m2!3d37.7884987!4d-122.4159174!16s%2Fg%2F1tf714nf!19sChIJh4vjy5OAhYARyKtWAkAgr_c?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,4.1,698,+1 415-885-6800,"940 Sutter St, San Francisco, CA 94109, United States",hotelvertigosf.com
The Mosser Hotel,https://www.google.com/maps/place/The+Mosser+Hotel/data=!4m10!3m9!1s0x8085808639751215:0xde1d003c14e0d6e6!5m2!4m1!1i2!8m2!3d37.7849728!4d-122.4051639!16s%2Fg%2F1tdqhpyw!19sChIJFRJ1OYaAhYAR5tbgFDwAHd4?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,3.9,1303,+1 415-986-4400,"54 4th St, San Francisco, CA 94103, United States",themosser.com
Warfield Hotel,https://www.google.com/maps/place/Warfield+Hotel/data=!4m10!3m9!1s0x808580856e4ea1df:0xc2aaa3a057bd02df!5m2!4m1!1i2!8m2!3d37.7835607!4d-122.410695!16s%2Fg%2F1tcwlsv4!19sChIJ36FOboWAhYAR3wK9V6CjqsI?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,3.0,745,+1 415-400-5153,"118 Taylor St, San Francisco, CA 94102, United States",warfieldhotelsf.com
Hyatt Place San Francisco / Downtown,https://www.google.com/maps/place/Hyatt+Place+San+Francisco+%2F+Downtown/data=!4m10!3m9!1s0x808f7fd7b11f85eb:0xe038cf2fa5dfaed0!5m2!4m1!1i2!8m2!3d37.7788559!4d-122.3924135!16s%2Fg%2F11gw2rczd6!19sChIJ64Ufsdd_j4AR0K7fpS_POOA?authuser=0&hl=en&rclk=1,Hotels in San Francisco California,4.3,712,+1 415-767-2000,"701 3rd St, San Francisco, CA 94107, United States",hyatt.com
