Name,URL,Query,Rating,Reviews,Phone,Address,Website
Embassy Suites by Hilton Milpitas Silicon Valley,https://www.google.com/maps/place/Embassy+Suites+by+Hilton+Milpitas+Silicon+Valley/data=!4m10!3m9!1s0x808fced7e7ea1f61:0x59d8030b982328e4!5m2!4m1!1i2!8m2!3d37.434312!4d-121.891753!16s%2Fg%2F1vbl7tys!19sChIJYR_q59fOj4AR5CgjmAsD2Fk?authuser=0&hl=en&rclk=1,Hotels in San Jose California,3.9,2300,+1 408-942-0400,"901 E Calaveras Blvd, Milpitas, CA 95035, United States",hilton.com
Four Points by Sheraton San Jose Airport,https://www.google.com/maps/place/Four+Points+by+Sheraton+San+Jose+Airport/data=!4m10!3m9!1s0x808fcb8f25f9a9e9:0xd160a4aa5b9765b5!5m2!4m1!1i2!8m2!3d37.364696!4d-121.90821!16s%2Fg%2F12hxkn3qs!19sChIJ6an5JY_Lj4ARtWWXW6qkYNE?authuser=0&hl=en&rclk=1,Hotels in San Jose California,3.9,1284,+1 408-452-0200,"1471 N 4th St, San Jose, CA 95112, United States",marriott.com
Days Inn by Wyndham San Jose Airport,https://www.google.com/maps/place/Days+Inn+by+Wyndham+San+Jose+Airport/data=!4m10!3m9!1s0x808fc928ee7c44f7:0x37f1f5c5cea84196!5m2!4m1!1i2!8m2!3d37.4260548!4d-121.9111757!16s%2Fg%2F1tdjrcqn!19sChIJ90R87ijJj4ARlkGozsX18Tc?authuser=0&hl=en&rclk=1,Hotels in San Jose California,3.8,1029,+1 408-883-3487,"270 S Abbott Ave, Milpitas, CA 95035, United States",wyndhamhotels.com
Caravelle Inn & Suites W&E,https://www.google.com/maps/place/Caravelle+Inn+%26+Suites+W%26E/data=!4m10!3m9!1s0x808fcb85d69a0793:0xb0d161e39c283cfe!5m2!4m1!1i2!8m2!3d37.3605944!4d-121.9080052!16s%2Fg%2F1tsr3ft4!19sChIJkwea1oXLj4AR_jwonONh0bA?authuser=0&hl=en&rclk=1,Hotels in San Jose California,2.6,695,+1 408-436-8488,"1310 N First St, San Jose, CA 95112, United States",caravelleinnsanjose.xyz
DoubleTree by Hilton Hotel San Jose,https://www.google.com/maps/place/DoubleTree+by+Hilton+Hotel+San+Jose/data=!4m10!3m9!1s0x808fcbea46de432b:0x143d6b946b2164f5!5m2!4m1!1i2!8m2!3d37.3717721!4d-121.9227129!16s%2Fg%2F1v1tn9wg!19sChIJK0PeRurLj4AR9WQha5RrPRQ?authuser=0&hl=en&rclk=1,Hotels in San Jose California,3.8,3657,+1 408-453-4000,"2050 Gateway Pl, San Jose, CA 95110, United States",hilton.com
"Holiday Inn San Jose - Silicon Valley, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+San+Jose+-+Silicon+Valley,+an+IHG+Hotel/data=!4m10!3m9!1s0x808fcb85ec354dcd:0xe4189e7245fa445d!5m2!4m1!1i2!8m2!3d37.3618845!4d-121.9085142!16s%2Fg%2F11bycfww0j!19sChIJzU017IXLj4ARXUT6RXKeGOQ?authuser=0&hl=en&rclk=1",Hotels in San Jose California,3.9,1977,+1 408-453-6200,"1350 N First St, San Jose, CA 95112, United States",ihg.com
Hotel Elan San Jose,https://www.google.com/maps/place/Hotel+Elan+San+Jose/data=!4m10!3m9!1s0x808e33368a0815b9:0x62af3c5bcde0e794!5m2!4m1!1i2!8m2!3d37.3181636!4d-121.8761211!16s%2Fg%2F1tf7bb3v!19sChIJuRUIijYzjoARlOfgzVs8r2I?authuser=0&hl=en&rclk=1,Hotels in San Jose California,3.3,438,+1 408-280-5300,"1215 S 1st St, San Jose, CA 95110, United States",hotelelansanjose.com
Wyndham Garden San Jose Airport,https://www.google.com/maps/place/Wyndham+Garden+San+Jose+Airport/data=!4m10!3m9!1s0x88d9b69c43a833eb:0xbeca99351fa25cb0!5m2!4m1!1i2!8m2!3d37.3621528!4d-121.9063955!16s%2Fg%2F1ygbcdpj7!19sChIJ6zOoQ5y22YgRsFyiHzWZyr4?authuser=0&hl=en&rclk=1,Hotels in San Jose California,3.2,1755,+1 408-453-5500,"1355 N 4th St, San Jose, CA 95112, United States",wyndhamhotels.com
Residence Inn San Jose South,https://www.google.com/maps/place/Residence+Inn+San+Jose+South/data=!4m10!3m9!1s0x808e2fae8703783b:0x9f93036190d4ddc3!5m2!4m1!1i2!8m2!3d37.2339033!4d-121.7735553!16s%2Fg%2F1td6ybn8!19sChIJO3gDh64vjoARw93UkGEDk58?authuser=0&hl=en&rclk=1,Hotels in San Jose California,4.0,524,+1 408-226-7676,"6111 San Ignacio Ave, San Jose, CA 95119, United States",marriott.com
Hilton Santa Clara,https://www.google.com/maps/place/Hilton+Santa+Clara/data=!4m10!3m9!1s0x808fc9cedb6577cb:0xdcbbceebfc958cab!5m2!4m1!1i2!8m2!3d37.4026274!4d-121.9768768!16s%2Fg%2F1vgw8w1t!19sChIJy3dl287Jj4ARq4yV_OvOu9w?authuser=0&hl=en&rclk=1,Hotels in San Jose California,4.2,2372,+1 408-330-0001,"4949 Great America Pkwy, Santa Clara, CA 95054, United States",hilton.com
La Quinta Inn & Suites by Wyndham Fremont / Silicon Valley,https://www.google.com/maps/place/La+Quinta+Inn+%26+Suites+by+Wyndham+Fremont+%2F+Silicon+Valley/data=!4m10!3m9!1s0x808fc653100045af:0x371f54e0f8482b61!5m2!4m1!1i2!8m2!3d37.4895336!4d-121.9455779!16s%2Fg%2F1tcyxnst!19sChIJr0UAEFPGj4ARYStI-OBUHzc?authuser=0&hl=en&rclk=1,Hotels in San Jose California,3.7,904,+1 510-445-0808,"46200 Landing Pkwy, Fremont, CA 94538, United States",wyndhamhotels.com
Wyndham Garden San Jose Silicon Valley,https://www.google.com/maps/place/Wyndham+Garden+San+Jose+Silicon+Valley/data=!4m10!3m9!1s0x808e2e506076c435:0xac6029973f1730ee!5m2!4m1!1i2!8m2!3d37.247971!4d-121.7738773!16s%2Fg%2F1hc4f1n8d!19sChIJNcR2YFAujoAR7jAXP5cpYKw?authuser=0&hl=en&rclk=1,Hotels in San Jose California,3.3,1416,+1 408-972-7800,"399 Silicon Valley Blvd, San Jose, CA 95138, United States",wyndhamhotels.com
Four Points by Sheraton San Jose Downtown,https://www.google.com/maps/place/Four+Points+by+Sheraton+San+Jose+Downtown/data=!4m10!3m9!1s0x808fccbafbb2f08b:0x6425e6303eccc542!5m2!4m1!1i2!8m2!3d37.3322234!4d-121.8880455!16s%2Fg%2F1tdcxb64!19sChIJi_Cy-7rMj4ARQsXMPjDmJWQ?authuser=0&hl=en&rclk=1,Hotels in San Jose California,3.9,1002,+1 408-282-8800,"211 S 1st St, San Jose, CA 95113, United States",marriott.com
"The Row San Jose, BW Signature Collection","https://www.google.com/maps/place/The+Row+San+Jose,+BW+Signature+Collection/data=!4m10!3m9!1s0x808fcb22d6d55f87:0x60258cca9053ce00!5m2!4m1!1i2!8m2!3d37.3230765!4d-121.9364169!16s%2Fg%2F1vn9pb3w!19sChIJh1_V1iLLj4ARAM5TkMqMJWA?authuser=0&hl=en&rclk=1",Hotels in San Jose California,4.2,822,+1 408-426-9416,"2404 Stevens Creek Blvd, San Jose, CA 95128, United States",bestwestern.com
"Motel 6 San Jose, CA - South","https://www.google.com/maps/place/Motel+6+San+Jose,+CA+-+South/data=!4m10!3m9!1s0x808e3295da063b37:0xf1f3674ad6c701c4!5m2!4m1!1i2!8m2!3d37.3172541!4d-121.8283264!16s%2Fg%2F1hc7h4ppt!19sChIJNzsG2pUyjoARxAHH1kpn8_E?authuser=0&hl=en&rclk=1",Hotels in San Jose California,3.8,2272,+1 408-270-3131,"2560 Fontaine Rd, San Jose, CA 95121, United States",motel6.xyz
Hyatt Place San Jose/Downtown,https://www.google.com/maps/place/Hyatt+Place+San+Jose%2FDowntown/data=!4m10!3m9!1s0x808fcca55cac8375:0xa36cb2657160154e!5m2!4m1!1i2!8m2!3d37.3299726!4d-121.8910359!16s%2Fg%2F1tfz0bwg!19sChIJdYOsXKXMj4ARThVgcWWybKM?authuser=0&hl=en&rclk=1,Hotels in San Jose California,4.0,1888,+1 408-998-0400,"282 S Almaden Blvd, San Jose, CA 95113, United States",hyatt.com
"Hotel De Anza, a Destination by Hyatt Hotel","https://www.google.com/maps/place/Hotel+De+Anza,+a+Destination+by+Hyatt+Hotel/data=!4m10!3m9!1s0x808fcca3c01b2955:0xd67e7cc20b49a356!5m2!4m1!1i2!8m2!3d37.3344156!4d-121.8950487!16s%2Fm%2F02pxvwm!19sChIJVSkbwKPMj4ARVqNJC8J8ftY?authuser=0&hl=en&rclk=1",Hotels in San Jose California,4.0,1159,+1 408-286-1000,"233 W Santa Clara St, San Jose, CA 95113, United States",hyatt.com
