Name,URL,Query,Rating,Reviews,Phone,Address,Website
Corner Restaurant,https://www.google.com/maps/place/Corner+Restaurant/data=!4m7!3m6!1s0x8644b508789cc0c5:0x270f96c74f970af4!8m2!3d30.2645703!4d-97.7438317!16s%2Fg%2F11b76mjh5x!19sChIJxcCceAi1RIYR9AqXT8eWDyc?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.9,14114,+1 512-608-4488,"110 E 2nd St, Austin, TX 78701, United States",cornerrestaurantaustin.com
Salty Sow,https://www.google.com/maps/place/Salty+Sow/data=!4m7!3m6!1s0x8644b59369be58eb:0x6f73c991a0600c2a!8m2!3d30.2838279!4d-97.7212317!16s%2Fg%2F11h12jb_n!19sChIJ61i-aZO1RIYRKgxgoJHJc28?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.6,2942,+1 512-391-2337,"1917 Manor Rd, Austin, TX 78722, United States",saltysow.com
Odd Duck,https://www.google.com/maps/place/Odd+Duck/data=!4m7!3m6!1s0x8644b51f9fffcf8b:0xb12c453f1063a7e7!8m2!3d30.254672!4d-97.762051!16s%2Fg%2F1ptxn2gnl!19sChIJi8__nx-1RIYR56djED9FLLE?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.7,3144,+1 512-433-6521,"1201 S Lamar Blvd, Austin, TX 78704, United States",oddduckaustin.com
Corinne Austin,https://www.google.com/maps/place/Corinne+Austin/data=!4m7!3m6!1s0x8644b5a2efae9207:0x29c9c30dffef66c0!8m2!3d30.2627011!4d-97.7415763!16s%2Fg%2F11n5pb_qpg!19sChIJB5Ku76K1RIYRwGbv_w3DySk?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.8,4253,+1 737-787-7018,"304 E Cesar Chavez St, Austin, TX 78701, United States",corinneatx.com
Caroline,https://www.google.com/maps/place/Caroline/data=!4m7!3m6!1s0x8644b509e7e92743:0x38cd855b7c17b277!8m2!3d30.2688157!4d-97.7422982!16s%2Fg%2F11d_9jgz28!19sChIJQyfp5wm1RIYRd7IXfFuFzTg?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.8,11502,+1 512-982-6766,"621 Congress Ave. Suite 101, Austin, TX 78701, United States",carolinerestaurant.com
Ember Kitchen,https://www.google.com/maps/place/Ember+Kitchen/data=!4m7!3m6!1s0x8644b5723cde91d1:0x14bf1e14920af2da!8m2!3d30.266876!4d-97.7528456!16s%2Fg%2F11jt5g77r4!19sChIJ0ZHePHK1RIYR2vIKkhQevxQ?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.9,1198,+1 512-291-6846,"800 W Cesar Chavez St Ste PP110, Austin, TX 78701, United States",emberatx.com
Stella San Jac,https://www.google.com/maps/place/Stella+San+Jac/data=!4m7!3m6!1s0x8644b5a795fe1b77:0x10af9c03ddc6bb3c!8m2!3d30.266622!4d-97.740375!16s%2Fg%2F11c3l5ttb8!19sChIJdxv-lae1RIYRPLvG3QOcrxA?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.8,5162,+1 512-792-5648,"310 E 5th St., Austin, TX 78701, United States",stellasanjac.com
Acre 41,https://www.google.com/maps/place/Acre+41/data=!4m7!3m6!1s0x8644b5a5b6abeddd:0x38803822ae003c65!8m2!3d30.2824093!4d-97.742873!16s%2Fg%2F11j44cctll!19sChIJ3e2rtqW1RIYRZTwAriI4gDg?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.7,1228,+1 737-243-9020,"1901 San Antonio St, Austin, TX 78705, United States",acre41austin.com
Roaring Fork,https://www.google.com/maps/place/Roaring+Fork/data=!4m7!3m6!1s0x8644cc7b14ae180b:0x3106b969068a2f43!8m2!3d30.4008874!4d-97.7378247!16s%2Fg%2F1tgwn2dj!19sChIJCxiuFHvMRIYRQy-KBmm5BjE?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.5,3313,+1 512-342-2700,"10850 Stonelake Blvd, Austin, TX 78759, United States",roaringfork.com
Emmer & Rye,https://www.google.com/maps/place/Emmer+%26+Rye/data=!4m7!3m6!1s0x8644b5aa4ba7633d:0xfb14f97a7bd4e90c!8m2!3d30.2574161!4d-97.7390649!16s%2Fg%2F11bw61kjkh!19sChIJPWOnS6q1RIYRDOnUe3r5FPs?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.4,1531,+1 512-366-5530,"SkyHouse, 51 Rainey St UNIT 110, Austin, TX 78701, United States",emmerandrye.com
Justine's,https://www.google.com/maps/place/Justine%27s/data=!4m7!3m6!1s0x8644b42afcfc14ad:0xa6d1574a5a6592c3!8m2!3d30.2532004!4d-97.7006129!16s%2Fg%2F1tj52z_n!19sChIJrRT8_Cq0RIYRw5JlWkpX0aY?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.5,1678,+1 512-385-2900,"4710 E 5th St., Austin, TX 78702, United States",justines1937.com
Garrison,https://www.google.com/maps/place/Garrison/data=!4m7!3m6!1s0x8644b5a8e3404775:0x1c1feacbb73b7726!8m2!3d30.2619965!4d-97.7380364!16s%2Fg%2F11hbt1dsvs!19sChIJdUdA46i1RIYRJnc7t8vqHxw?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.7,340,+1 512-524-4700,"101 Red River St, Austin, TX 78701, United States",garrisongrill.com
Launderette,https://www.google.com/maps/place/Launderette/data=!4m7!3m6!1s0x8644b44b02e40143:0x358a05fe0dd85bfa!8m2!3d30.2518902!4d-97.7227868!16s%2Fg%2F11b62w7tk3!19sChIJQwHkAku0RIYR-lvYDf4FijU?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.6,1953,+1 512-382-1599,"2115 Holly St, Austin, TX 78702, United States",launderetteaustin.com
Jeffrey's,https://www.google.com/maps/place/Jeffrey%27s/data=!4m7!3m6!1s0x8644b56be11eae9f:0xd98c79a2864cd718!8m2!3d30.2804227!4d-97.7590952!16s%2Fm%2F020y__p!19sChIJn64e4Wu1RIYRGNdMhqJ5jNk?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.7,949,+1 512-477-5584,"1204 W Lynn St, Austin, TX 78703, United States",-
Roaring Fork,https://www.google.com/maps/place/Roaring+Fork/data=!4m7!3m6!1s0x8644b509e15979d5:0xce6e982ebf5ebae2!8m2!3d30.2691083!4d-97.7421111!16s%2Fg%2F1td5m2fy!19sChIJ1XlZ4Qm1RIYR4rpevy6Ybs4?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.4,1893,+1 512-583-0000,"701 Congress Ave., Austin, TX 78701, United States",roaringfork.com
Fixe Southern House,https://www.google.com/maps/place/Fixe+Southern+House/data=!4m7!3m6!1s0x8644b50eb631c4cd:0xdd01a7ff9e5f3595!8m2!3d30.2688775!4d-97.7485651!16s%2Fg%2F11b6v0l_h8!19sChIJzcQxtg61RIYRlTVfnv-nAd0?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.6,1754,+1 512-888-9133,"500 W 5th St, Austin, TX 78701, United States",fixesouthernhouse.com
Truluck's Ocean's Finest Seafood & Crab,https://www.google.com/maps/place/Truluck%27s+Ocean%27s+Finest+Seafood+%26+Crab/data=!4m7!3m6!1s0x8644b508fb09eee5:0xbb8dfc8a288d5bd1!8m2!3d30.2659685!4d-97.74532!16s%2Fm%2F020zgpx!19sChIJ5e4J-wi1RIYR0VuNKIr8jbs?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.7,1711,+1 512-482-9000,"300 Colorado St, Austin, TX 78701, United States",trulucks.com
Olamaie,https://www.google.com/maps/place/Olamaie/data=!4m7!3m6!1s0x8644b575b9ba0d6f:0x4be482c843e3ee25!8m2!3d30.2799071!4d-97.7436982!16s%2Fg%2F12qgb8rn5!19sChIJbw26uXW1RIYRJe7jQ8iC5Es?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.6,777,+1 512-474-2796,"1610 San Antonio St, Austin, TX 78701, United States",olamaieaustin.com
Eddie V's Prime Seafood,https://www.google.com/maps/place/Eddie+V%27s+Prime+Seafood/data=!4m7!3m6!1s0x8644b5a791549495:0x23753468171a9a9b!8m2!3d30.2662488!4d-97.7406292!16s%2Fg%2F1vv2smmx!19sChIJlZRUkae1RIYRm5oaF2g0dSM?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.7,2403,+1 512-472-1860,"301 E 5th St., Austin, TX 78701, United States",eddiev.com
Barley Swine,https://www.google.com/maps/place/Barley+Swine/data=!4m7!3m6!1s0x8644b4df2ef2dd89:0x47d117aa79f293fc!8m2!3d30.3413146!4d-97.7382867!16s%2Fg%2F11b73vrmkl!19sChIJid3yLt-0RIYR_JPyeaoX0Uc?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.7,1181,+1 512-394-8150,"6555 Burnet Rd #400, Austin, TX 78757, United States",barleyswine.com
Suerte,https://www.google.com/maps/place/Suerte/data=!4m7!3m6!1s0x8644b5b6fb440001:0x48219815b3589371!8m2!3d30.2622778!4d-97.7232758!16s%2Fg%2F11hcy_q_wp!19sChIJAQBE-7a1RIYRcZNYsxWYIUg?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.6,2505,+1 512-522-3031,"1800 E 6th St, Austin, TX 78702, United States",suerteatx.com
Aba Austin,https://www.google.com/maps/place/Aba+Austin/data=!4m7!3m6!1s0x8644b536d664f80d:0xc9f3e7f84a08d2dc!8m2!3d30.2534769!4d-97.7478877!16s%2Fg%2F11kxs1p26y!19sChIJDfhk1ja1RIYR3NIISvjn88k?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.5,2437,+1 737-273-0199,"1011 S Congress Ave, Austin, TX 78704, United States",abarestaurants.com
Dean's Italian Steakhouse,https://www.google.com/maps/place/Dean%27s+Italian+Steakhouse/data=!4m7!3m6!1s0x8644b5f9290d2757:0xd73edf1c24d12e4f!8m2!3d30.2641454!4d-97.7430761!16s%2Fg%2F11pyc12_7j!19sChIJVycNKfm1RIYRTy7RJBzfPtc?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.9,1901,+1 512-608-4490,"110 E 2nd St, Austin, TX 78701, United States",deanssteakhouseaustin.com
Uchi Austin,https://www.google.com/maps/place/Uchi+Austin/data=!4m7!3m6!1s0x8644b51ecba165cf:0x6c41be37669e60ee!8m2!3d30.2575392!4d-97.7597958!16s%2Fm%2F0crjflb!19sChIJz2Whyx61RIYR7mCeZje-QWw?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.7,3008,+1 512-916-4808,"801 S Lamar Blvd, Austin, TX 78704, United States",uchi.uchirestaurants.com
Red Ash,https://www.google.com/maps/place/Red+Ash/data=!4m7!3m6!1s0x8644b5088b41fa59:0xada04b221220ebe!8m2!3d30.2656691!4d-97.7447834!16s%2Fg%2F11cs5wlpxh!19sChIJWfpBiwi1RIYRvg4iIbIE2go?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.6,1917,+1 512-379-2906,"Colorado Tower, 303 Colorado St #200, Austin, TX 78701, United States",redashgrill.com
Perla's,https://www.google.com/maps/place/Perla%27s/data=!4m7!3m6!1s0x8644b4fd0ff2b66f:0x36bf94e449a8db4f!8m2!3d30.2499585!4d-97.7500913!16s%2Fg%2F1tcvztgt!19sChIJb7byD_20RIYRT9uoSeSUvzY?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.5,2588,+1 512-291-7300,"1400 S Congress Ave, Austin, TX 78704, United States",perlasaustin.com
North Italia,https://www.google.com/maps/place/North+Italia/data=!4m7!3m6!1s0x8644b50f13d654f7:0x298b7455bac125f9!8m2!3d30.2657893!4d-97.7489158!16s%2Fg%2F11hbq8vc5c!19sChIJ91TWEw-1RIYR-SXBulV0iyk?authuser=0&hl=en&rclk=1,Restaurants in Austin Texas,4.4,1881,+1 512-777-5062,"500 W 2nd St #120, Austin, TX 78701, United States",northitalia.com
