Name,URL,Query,Rating,Reviews,Phone,Address,Website
The Capital Grille,https://www.google.com/maps/place/The+Capital+Grille/data=!4m7!3m6!1s0x8856a0253c5570df:0x7808cd162055e4c3!8m2!3d35.228212!4d-80.841984!16s%2Fg%2F1tfx5lxf!19sChIJ33BVPCWgVogRw-RVIBbNCHg?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.7,2218,+1 704-348-1400,"201 N Tryon St, Charlotte, NC 28202, United States",thecapitalgrille.com
Fahrenheit Charlotte,https://www.google.com/maps/place/Fahrenheit+Charlotte/data=!4m7!3m6!1s0x8856a0265cfdb487:0x9efa49f3e0ed2938!8m2!3d35.222547!4d-80.8410225!16s%2Fg%2F1pyqs8l_p!19sChIJh7T9XCagVogROCnt4PNJ-p4?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.2,4716,+1 980-237-6718,"222 S Caldwell St 21st Floor, Charlotte, NC 28202, United States",fahrenheitrestaurants.com
Cajun Queen,https://www.google.com/maps/place/Cajun+Queen/data=!4m7!3m6!1s0x88569ff82a953393:0x1ed50ad72e5680da!8m2!3d35.2145551!4d-80.8210315!16s%2Fg%2F1tpc8pbb!19sChIJkzOVKvifVogR2oBWLtcK1R4?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.5,2751,+1 704-377-9017,"1800 E 7th St, Charlotte, NC 28204, United States",cajunqueen.com
The Fig Tree Restaurant,https://www.google.com/maps/place/The+Fig+Tree+Restaurant/data=!4m7!3m6!1s0x88569ff7c2aab069:0x6f50c2b86f53a24e!8m2!3d35.2165903!4d-80.8225703!16s%2Fg%2F1tk6wm7q!19sChIJabCqwvefVogRTqJTb7jCUG8?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.7,975,+1 704-332-3322,"1601 E 7th St, Charlotte, NC 28204, United States",charlottefigtree.com
Haberdish,https://www.google.com/maps/place/Haberdish/data=!4m7!3m6!1s0x88541fd9a3011cad:0xc6c0c57920184672!8m2!3d35.2466027!4d-80.806223!16s%2Fg%2F11c1p4y7_x!19sChIJrRwBo9kfVIgRckYYIHnFwMY?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.5,2760,+1 704-817-1084,"3106 N Davidson St, Charlotte, NC 28205, United States",haberdish.com
Deluxe Fun Dining Restaurant,https://www.google.com/maps/place/Deluxe+Fun+Dining+Restaurant/data=!4m7!3m6!1s0x8856a156f2b53e23:0x12369dea142bcf80!8m2!3d35.2281821!4d-80.8465685!16s%2Fg%2F11j1551f53!19sChIJIz618lahVogRgM8rFOqdNhI?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.5,1791,+1 980-237-8042,"305 W 4th St, Charlotte, NC 28202, United States",deluxefundining.com
BrickTop's,https://www.google.com/maps/place/BrickTop%27s/data=!4m7!3m6!1s0x88569e3f7949fbd7:0x981d00b150093862!8m2!3d35.1561031!4d-80.8318022!16s%2Fg%2F1tmk961d!19sChIJ1_tJeT-eVogRYjgJULEAHZg?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.6,1428,+1 704-364-6255,"6401 Carnegie Blvd #1B, Charlotte, NC 28211, United States",bricktops.com
Mert's Heart And Soul,https://www.google.com/maps/place/Mert%27s+Heart+And+Soul/data=!4m7!3m6!1s0x8856a024fb7254ef:0x6037b0bba7dbcd39!8m2!3d35.227313!4d-80.84029!16s%2Fg%2F1tdw45jh!19sChIJ71Ry-ySgVogROc3bp7uwN2A?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.2,4294,-,"214 N College St, Charlotte, NC 28202, United States",mertscharlotte.com
Supperland,https://www.google.com/maps/place/Supperland/data=!4m7!3m6!1s0x8856a184baadf015:0x2358e5001476239c!8m2!3d35.2189693!4d-80.8105058!16s%2Fg%2F11j2fclhj5!19sChIJFfCtuoShVogRnCN2FADlWCM?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.5,738,+1 704-817-7514,"1212 The Plaza, Charlotte, NC 28205, United States",supper.land
Angeline's,https://www.google.com/maps/place/Angeline%27s/data=!4m7!3m6!1s0x8856a13ae226e50f:0x6cd6c6c3cf93f883!8m2!3d35.226383!4d-80.8463214!16s%2Fg%2F11gbwyc4vw!19sChIJD-Um4jqhVogRg_iTz8PG1mw?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.7,2183,+1 704-445-2540,"303 S Church St, Charlotte, NC 28202, United States",angelinescharlotte.com
131 MAIN Restaurant,https://www.google.com/maps/place/131+MAIN+Restaurant/data=!4m7!3m6!1s0x8854280265b198d9:0xa75e2f6f6039af85!8m2!3d35.034089!4d-80.808956!16s%2Fg%2F1v_s6l92!19sChIJ2ZixZQIoVIgRha85YG8vXqc?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.6,1705,+1 704-544-0131,"9886 Rea Rd, Charlotte, NC 28277, United States",131-main.com
Rooster's Wood-fired Kitchen - Uptown,https://www.google.com/maps/place/Rooster%27s+Wood-fired+Kitchen+-+Uptown/data=!4m7!3m6!1s0x8856a025a886ed07:0x727d5e8b0fd2e10f!8m2!3d35.2266667!4d-80.8411111!16s%2Fg%2F11h0c4q4b!19sChIJB-2GqCWgVogRD-HSD4tefXI?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.5,1493,+1 704-370-7667,"150 N College St, Charlotte, NC 28202, United States",roosterskitchen.com
Dean's Italian Steakhouse,https://www.google.com/maps/place/Dean%27s+Italian+Steakhouse/data=!4m7!3m6!1s0x8856a02971a8d2c3:0xa38def8951f6f86b!8m2!3d35.2226278!4d-80.8479854!16s%2Fg%2F11nx5p1ydt!19sChIJw9KocSmgVogRa_j2UYnvjaM?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.9,8369,+1 704-499-6626,"128 E Brooklyn Vlg Ave, Charlotte, NC 28202, United States",deanssteakhousecharlotte.com
Alexander Michael's,https://www.google.com/maps/place/Alexander+Michael%27s/data=!4m7!3m6!1s0x8856a03a3578f809:0x8c3208d2f30e7ff3!8m2!3d35.2336206!4d-80.8407855!16s%2Fg%2F1thxlsbp!19sChIJCfh4NTqgVogR838O89IIMow?authuser=0&hl=en&rclk=1,Restaurants in Charlotte North Carolina,4.7,1492,+1 704-332-6789,"401 W 9th St, Charlotte, NC 28202, United States",almikestavern.com
