Name,URL,Query,Rating,Reviews,Phone,Address,Website
Tanta Chicago,https://www.google.com/maps/place/Tanta+Chicago/data=!4m7!3m6!1s0x880e2cb3bf1eea75:0xa4a4aeda0445e264!8m2!3d41.8917705!4d-87.6320169!16s%2Fg%2F1pp2tgx7g!19sChIJdeoev7MsDogRZOJFBNqupKQ?authuser=0&hl=en&rclk=1,Restaurants in Chicago Illinois,4.5,3030,+1 312-222-9700,"118 W Grand Ave, Chicago, IL 60654, United States",tantachicago.com
Charcoal Oven Restaurant,https://www.google.com/maps/place/Charcoal+Oven+Restaurant/data=!4m7!3m6!1s0x880fcf7ffa3fbae7:0xe1d57150e796289c!8m2!3d42.0554499!4d-87.7373311!16s%2Fg%2F1tfyf4x6!19sChIJ57o_-n_PD4gRnCiW51Bx1eE?authuser=0&hl=en&rclk=1,Restaurants in Chicago Illinois,4.0,85,+1 847-675-8062,"4400 Golf Rd, Skokie, IL 60076, United States",charcoaloven.net
Girl & The Goat,https://www.google.com/maps/place/Girl+%26+The+Goat/data=!4m7!3m6!1s0x880e2cc5369bc9b3:0x912bc8bff9607a52!8m2!3d41.8841279!4d-87.6479354!16s%2Fm%2F0xmj2p3!19sChIJs8mbNsUsDogRUnpg-b_IK5E?authuser=0&hl=en&rclk=1,Restaurants in Chicago Illinois,4.7,6166,+1 312-492-6262,"809 W Randolph St, Chicago, IL 60607, United States",girlandthegoat.com
The Purple Pig Restaurant,https://www.google.com/maps/place/The+Purple+Pig+Restaurant/data=!4m7!3m6!1s0x880e2cac1153c397:0x601ff25021fe71c1!8m2!3d41.890739!4d-87.6245691!16s%2Fm%2F0_yvzfl!19sChIJl8NTEawsDogRwXH-IVDyH2A?authuser=0&hl=en&rclk=1,Restaurants in Chicago Illinois,4.6,6453,+1 312-464-1744,"444 Michigan Ave, Chicago, IL 60611, United States",thepurplepigchicago.com
Rose Mary,https://www.google.com/maps/place/Rose+Mary/data=!4m7!3m6!1s0x880e2d41d3631de7:0x1698e44032629fcb!8m2!3d41.8869184!4d-87.6511534!16s%2Fg%2F11m1m14c9z!19sChIJ5x1j00EtDogRy59iMkDkmBY?authuser=0&hl=en&rclk=1,Restaurants in Chicago Illinois,4.6,1313,+1 872-260-3921,"932 W Fulton St, Chicago, IL 60607, United States",rosemarychicago.com
The Berghoff Restaurant,https://www.google.com/maps/place/The+Berghoff+Restaurant/data=!4m7!3m6!1s0x880e2cbcb4af42d3:0xb8998d0876263dc!8m2!3d41.879252!4d-87.628406!16zL20vMDlsNHBf!19sChIJ00KvtLwsDogR3GNih9CYiQs?authuser=0&hl=en&rclk=1,Restaurants in Chicago Illinois,4.5,4367,+1 312-427-3170,"17 W Adams St, Chicago, IL 60603, United States",theberghoff.com
The Dearborn,https://www.google.com/maps/place/The+Dearborn/data=!4m7!3m6!1s0x880e2ca5345777f9:0x8f6aa29483b9e95b!8m2!3d41.8843373!4d-87.6292766!16s%2Fg%2F11bzrpm7dv!19sChIJ-XdXNKUsDogRW-m5g5Siao8?authuser=0&hl=en&rclk=1,Restaurants in Chicago Illinois,4.6,4452,+1 312-384-1242,"145 N Dearborn St, Chicago, IL 60602, United States",thedearborntavern.com
Boka,https://www.google.com/maps/place/Boka/data=!4m7!3m6!1s0x880fd33d3292b683:0x426d5ea9ce267594!8m2!3d41.9135551!4d-87.6480103!16s%2Fm%2F0h52k2y!19sChIJg7aSMj3TD4gRlHUmzqlebUI?authuser=0&hl=en&rclk=1,Restaurants in Chicago Illinois,4.7,1700,+1 312-337-6070,"1729 N Halsted St, Chicago, IL 60614, United States",bokachicago.com
Monteverde Restaurant & Pastificio,https://www.google.com/maps/place/Monteverde+Restaurant+%26+Pastificio/data=!4m7!3m6!1s0x880e2cdbe18c5831:0x5d43ff6c1f096276!8m2!3d41.8818361!4d-87.6529694!16s%2Fg%2F11bwnxycp7!19sChIJMViM4dssDogRdmIJH2z_Q10?authuser=0&hl=en&rclk=1,Restaurants in Chicago Illinois,4.7,2146,+1 312-888-3041,"1020 W Madison St, Chicago, IL 60607, United States",monteverdechicago.com
avec Restaurant,https://www.google.com/maps/place/avec+Restaurant/data=!4m7!3m6!1s0x880e2cc5dfe08a35:0x1ce6b4e02671593f!8m2!3d41.8842861!4d-87.643401!16s%2Fm%2F0ygd5gc!19sChIJNYrg38UsDogRP1lxJuC05hw?authuser=0&hl=en&rclk=1,Restaurants in Chicago Illinois,4.6,2086,+1 312-377-2002,"615 W Randolph St, Chicago, IL 60661, United States",avecrestaurant.com
